科目,2011-12-31,2012-12-31,2013-12-31,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"73,767,537.33","91,609,676.66","96,388,629.45","111,863,540.46","138,340,638.77","369,163,837.55","146,032,021.59","61,225,919.46","110,045,062.82","225,931,112.73","176,692,265.02","205,126,492.89","182,266,615.01","222,770,405.62","123,836,258.96","90,550,586.45","244,589,275.52","212,931,816.17"
短期借款,"52,649,849.72","90,858,644.43","50,000,000.00","50,000,000.00","65,000,000.00","35,000,000.00",,,,,,,,,,,,
交易性金融资产,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,
应收票据,"19,854,835.55","2,012,560.40","500,000.00","10,109,838.82","25,267,232.23","9,060,000.00","22,490,633.49","28,849,763.11","15,363,000.00","5,156,000.00","21,477,201.04","12,143,271.07","3,334,105.14","18,695,479.65","48,041,168.43","2,855,336.95","8,576,041.70","19,697,276.36"
应付票据,"79,000,000.00","55,200,000.00","88,360,000.00","110,280,000.00","108,935,000.00","168,500,090.38","137,605,090.38","33,040,000.00","19,300,000.00","120,910,736.00","147,036,236.00","93,641,160.00","147,353,459.75","156,386,566.00","59,762,680.00","60,782,876.58","148,516,876.58","127,859,000.00"
应收账款,"101,557,461.82","128,392,652.06","161,143,980.64","175,586,159.29","169,951,748.36","189,594,857.62","198,612,735.17","172,831,048.96","169,002,652.14","177,079,181.04","203,438,468.92","173,143,589.86","243,394,824.50","228,502,633.93","224,685,011.47","233,593,974.71","242,090,477.35","209,236,754.35"
应付账款,"29,559,527.63","28,471,105.62","32,345,837.72","33,989,564.04","38,269,653.21","86,965,962.91","62,929,937.45","55,999,026.39","49,620,060.34","53,578,468.40","65,972,375.85","59,333,495.41","53,467,575.16","43,066,852.58","53,125,356.83","50,854,096.28","57,348,548.11","44,830,769.47"
预付款项,"51,504,474.32","35,267,545.09","32,572,803.12","47,284,206.62","40,445,733.87","75,150,601.23","66,478,615.05","61,198,045.90","62,158,632.10","103,910,555.74","64,622,671.85","92,727,777.22","129,051,979.70","121,397,110.67","93,126,726.75","129,894,279.77","116,677,636.10","110,018,865.55"
预收款项,"1,968,845.66","787,130.67","585,684.06","840,665.32","693,783.96","952,738.94","1,154,263.37","2,227,438.49","1,593,487.64","945,598.12","1,095,475.84","864,223.86","2,173,959.52","1,027,675.51","988,948.10","1,265,257.44","1,510,979.44","1,372,645.06"
其他应收款,"891,039.75","3,286,075.31","627,307.98","512,978.66","591,173.44","1,721,146.05","1,551,368.59","1,437,402.37","620,014.20","1,696,568.84","1,319,672.76","1,018,915.30","635,043.83","724,335.18","704,685.70","595,280.83","4,309,688.62","985,470.60"
应付职工薪酬,"2,615,436.73","2,748,668.37","3,424,750.98","3,006,516.09","4,089,734.73","2,986,946.29","2,329,850.13","2,763,478.59","4,284,713.23","3,232,486.69","3,001,271.91","1,925,506.35","3,863,319.80","2,153,736.93","3,361,630.18","2,091,463.29","5,812,158.99","2,087,558.43"
应收关联公司款,,,,,,,,,,,,,,,,,,
应交税费,"9,042,496.86","5,682,325.81","7,673,313.81","11,431,415.04","8,929,597.24","11,365,823.40","5,965,256.15","7,918,804.84","10,442,233.99","9,359,589.66","7,774,049.89","5,542,744.78","10,163,113.15","6,400,520.48","4,839,511.50","2,075,779.85","9,361,046.68","7,364,798.95"
应收利息,,,,,,,,,,,,,,,,,,
应付利息,,,,,,,,,,,,,,,,,,
应收股利,,,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,,,,,,
存货,"46,386,402.22","76,151,623.59","100,033,316.69","99,875,965.79","117,551,331.53","165,053,081.40","137,213,044.57","123,501,898.00","88,260,478.00","115,261,649.60","135,607,990.00","148,214,720.35","138,427,886.28","164,493,957.18","121,904,331.23","174,585,369.63","169,966,574.72","172,721,970.25"
其他应付款,"100,289.66","57,427.39","105,236.98","103,826.71","130,292.61","116,964.37","272,956.87","157,288.57","189,307.18","217,238.74","216,584.63","294,381.27","252,343.92","442,343.60","230,578.95","292,798.17","281,442.77","297,761.91"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,,,,,,,,
其他流动资产,,"1,299,214.23","1,096,058.57","19,460,000.00","2,004,237.09","1,162,353.89","156,515,259.23","181,079,419.17","171,000,000.00","110,000,000.00","152,690,000.00","85,000,000.00","87,690,732.78","41,000,000.00","69,000,000.00","65,859,200.00","38,345,422.78","65,000,000.00"
其他流动负债,,,,,,,,,,,,,,,,,,
流动资产合计,"293,961,750.99","338,019,347.34","392,362,096.45","464,692,689.64","494,152,095.29","810,905,877.74","728,893,677.69","630,123,496.97","616,449,839.26","739,035,067.95","755,848,269.59","717,374,766.69","784,801,187.24","797,583,922.23","681,298,182.54","697,934,028.34","824,555,116.79","790,592,153.28"
流动负债合计,"174,936,446.26","183,805,302.29","182,494,823.55","209,651,987.20","226,048,061.75","305,888,526.29","210,257,354.35","102,106,036.88","85,429,802.38","188,244,117.61","225,095,994.12","161,601,511.67","217,273,771.30","209,477,695.10","122,308,705.56","117,362,271.61","222,831,052.57","183,812,533.82"
可供出售金融资产,,,,,,,,,,,,,,,,,,
长期借款,,,,,,,,,,,,,,,,,,
持有至到期投资,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,,,,,,
长期股权投资,,,,,,,,,,,,,,,,,,
专项应付款,,,,,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,,,,,,
预计负债,,,,,,,,,,,,,,,,,,
固定资产,"56,726,385.37","100,246,240.59","94,089,290.43","91,660,506.78","90,243,564.62","88,532,125.05","87,738,607.24","84,356,866.78","86,857,425.01","84,574,568.79","81,980,903.48","78,944,858.76","79,768,309.50","77,002,035.06","75,211,349.87","79,134,031.60","87,840,594.93","84,947,784.63"
递延所得税负债,,,,,,,,,,,,,,,,,,
在建工程,"32,026,917.46",,,,"518,205.00","1,606,205.00","2,346,205.00","2,480,305.00","247,000.00","247,000.00","247,000.00","8,903,173.15","17,466,058.94","20,956,045.16","20,956,045.16","17,197,256.73","11,566,122.79","12,733,510.79"
其他非流动负债,"1,200,000.00","1,160,000.00","1,040,000.00","950,000.00",,,,,,,,,,,,,,
工程物资,,,,,,,,,,,,,,,,,,
非流动负债合计,"1,200,000.00","1,160,000.00","1,040,000.00","950,000.00","920,000.00","920,000.00","920,000.00","920,000.00","800,000.00","800,000.00","800,000.00","800,000.00","680,000.00","680,000.00","680,000.00","680,000.00","560,000.00","560,000.00"
固定资产清理,,,,,,,,,,,,,,,,,,
负债合计,"176,136,446.26","184,965,302.29","183,534,823.55","210,601,987.20","226,968,061.75","306,808,526.29","211,177,354.35","103,026,036.88","86,229,802.38","189,044,117.61","225,895,994.12","162,401,511.67","217,953,771.30","210,157,695.10","122,988,705.56","118,042,271.61","223,391,052.57","184,372,533.82"
生产性生物资产,,,,,,,,,,,,,,,,,,
实收资本(或股本),"60,000,000.00","60,000,000.00","60,000,000.00","60,000,000.00","60,000,000.00","80,000,000.00","80,000,000.00","80,000,000.00","80,000,000.00","80,000,000.00","160,000,000.00","160,000,000.00","160,000,000.00","160,000,000.00","160,000,000.00","160,000,000.00","160,000,000.00","160,000,000.00"
油气资产,,,,,,,,,,,,,,,,,,
资本公积,"59,933,760.00","59,933,760.00","59,933,760.00","59,933,760.00","59,933,760.00","261,480,135.00","261,480,135.00","261,480,135.00","261,480,135.00","261,480,135.00","181,480,135.00","181,480,135.00","181,480,135.00","181,480,135.00","181,480,135.00","181,480,135.00","181,480,135.00","181,480,135.00"
无形资产,"22,266,019.86","21,751,563.54","21,237,107.22","20,851,264.98","20,722,650.90","20,594,036.82","20,465,422.74","20,336,808.66","20,208,194.58","20,079,580.50","19,950,966.42","19,822,352.34","19,693,738.26","19,565,124.18","19,436,410.10","19,307,796.02","19,179,181.94","19,050,567.86"
盈余公积,"11,452,557.84","15,892,936.64","20,838,956.32","20,838,956.32","26,324,354.65","26,324,354.65","26,324,354.65","26,324,354.65","32,662,195.25","32,662,195.25","32,662,195.25","32,662,195.25","39,931,204.64","39,931,204.64","39,931,204.64","39,906,258.41","48,256,240.51","48,256,240.51"
开发支出,,,,,,,,,,,,,,,,,,
减:库存股,,,,,,,,,,,,,,,,,,"14,551,312.18"
商誉,,,,,,,,,,,,,,,,,,
未分配利润,"101,696,981.62","141,455,879.10","185,773,699.23","228,770,141.90","235,117,519.73","249,849,840.57","263,255,360.53","270,681,758.49","281,080,012.85","299,365,369.96","277,092,956.18","292,760,962.96","306,353,116.01","327,433,690.00","298,107,963.98","317,863,175.36","333,512,405.93","350,352,465.77"
长期待摊费用,,,,,,,,,,,,,,,,,,
少数股东权益,,,,,,,,,,,,,,,,,,
递延所得税资产,"1,004,680.29","1,253,417.30","1,500,937.24","1,624,672.36","1,585,947.57","1,703,379.15","1,897,907.89","1,713,423.64","1,595,978.88","1,753,152.83","1,991,799.26","1,745,922.14","2,242,201.93","2,235,877.03","2,215,500.43","2,322,906.61","2,269,465.04","2,009,456.61"
外币报表折算价差,,,,,,,,,,,,,,,,,,
其他非流动资产,"3,233,991.75","977,309.26","891,807.76","1,315,711.66","1,121,232.75","1,121,232.75","895,383.97","2,501,383.97","16,093,707.75","16,862,447.75","17,112,341.80","2,513,731.80","1,746,731.08","1,659,721.08","3,390,521.08","1,395,821.08","1,229,352.52","576,589.75"
非正常经营项目收益调整,,,,,,,,,,,,,,,,,,
非流动资产合计,"115,257,994.73","124,228,530.69","117,719,142.65","115,452,155.78","114,191,600.84","113,556,978.77","113,343,526.84","111,388,788.05","125,002,306.22","123,516,749.87","121,283,010.96","111,930,038.19","120,917,039.71","121,418,802.51","121,209,826.64","119,357,812.04","122,084,717.22","119,317,909.64"
所有者权益(或股东权益)合计,"233,083,299.46","277,282,575.74","326,546,415.55","369,542,858.22","381,375,634.38","617,654,330.22","631,059,850.18","638,486,248.14","655,222,343.10","673,507,700.21","651,235,286.43","666,903,293.21","687,764,455.65","708,845,029.64","679,519,303.62","699,249,568.77","723,248,781.44","725,537,529.10"
资产总计,"409,219,745.72","462,247,878.03","510,081,239.10","580,144,845.42","608,343,696.13","924,462,856.51","842,237,204.53","741,512,285.02","741,452,145.48","862,551,817.82","877,131,280.55","829,304,804.88","905,718,226.95","919,002,724.74","802,508,009.18","817,291,840.38","946,639,834.01","909,910,062.92"
负债和所有者(或股东权益)合计,"409,219,745.72","462,247,878.03","510,081,239.10","580,144,845.42","608,343,696.13","924,462,856.51","842,237,204.53","741,512,285.02","741,452,145.48","862,551,817.82","877,131,280.55","829,304,804.88","905,718,226.95","919,002,724.74","802,508,009.18","817,291,840.38","946,639,834.01","909,910,062.92"
