科目,2010-12-31,2011-12-31,2012-12-31,2013-06-30,2013-09-30,2013-12-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"220,134,461.80","169,972,573.69","174,420,791.58","190,105,535.40","184,838,630.75","204,135,931.54","183,401,730.13","197,270,108.95","560,029,644.15","548,167,278.53","381,546,413.09","375,111,180.44","119,016,431.61","119,476,652.30","295,064,768.46","115,346,188.45","134,226,070.35","167,135,846.93","198,937,199.18","205,258,056.94","180,458,593.94","183,228,683.68","156,862,332.47","126,040,449.47","252,681,986.55","247,589,572.94"
短期借款,"18,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融资产,,,,,,,,,,,"1,398,321.60","4,924,348.27","744,300.00","2,620,716.00","1,915,310.00","3,051,260.00","2,806,810.00","1,189,992.00","1,934,876.00","2,915,034.00",,"5,282,790.00","5,441,930.00","2,799,690.00","6,280.00",
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"2,271,704.56","3,040,168.40","11,597,666.79","27,244,248.44","13,572,284.79","38,240,861.05","15,325,374.46","20,674,049.05","26,089,059.89","13,029,870.60","20,189,046.32","16,176,231.08","29,372,011.23","31,678,498.92","38,157,516.11","44,422,980.18","62,757,996.78","39,106,724.76","33,405,562.72","56,049,345.17","69,189,640.40","43,680,828.95","64,914,296.76","80,286,193.56","100,670,331.73","96,392,895.81"
应付票据,,"2,165,000.00",,,,,,,,,,,,,,,,,,,,,,,,
应收账款,"50,785,278.62","70,514,097.21","83,958,227.80","97,250,897.14","112,578,361.89","89,150,854.86","120,619,417.53","114,773,800.63","115,096,623.75","122,733,758.30","130,426,317.01","129,044,877.05","145,882,147.04","146,685,798.21","149,323,566.24","143,698,098.30","136,603,886.92","143,012,826.48","174,834,783.14","168,245,198.51","176,059,033.32","200,802,037.75","202,312,098.22","183,894,108.57","170,233,573.19","171,854,746.21"
应付账款,"15,670,015.15","40,490,912.66","29,188,323.70","32,450,368.73","32,317,093.82","34,502,961.30","33,277,688.86","35,969,896.13","48,627,172.17","28,917,674.46","27,883,170.31","29,276,657.05","33,407,164.55","37,197,525.56","40,623,313.39","34,410,291.99","37,096,593.20","35,752,785.65","38,524,785.67","39,379,227.79","46,226,146.38","49,145,282.80","62,503,257.40",,"69,375,251.58",
预付款项,"14,316,015.92","32,095,808.19","25,151,723.56","27,067,123.28","29,248,582.47","24,230,663.00","22,518,927.13","35,784,587.71","7,918,464.83","10,008,164.10","6,640,490.79","10,633,043.00","8,097,599.11","9,522,754.29","14,071,701.78","17,407,815.45","12,493,330.55","24,045,209.80","14,673,661.16","16,448,336.86","18,721,152.72","16,824,962.78","15,005,122.39","31,806,629.58","9,478,245.72","26,246,268.18"
预收款项,"7,843,280.79","2,279,224.77","2,898,613.05","4,196,272.88","1,994,884.77","3,285,170.91","2,268,018.09","1,683,783.88","1,546,202.53","1,302,628.00","1,884,140.18","1,816,723.36","1,237,087.12","3,890,072.40","1,990,575.43","1,547,049.96","2,738,546.62","2,373,395.35","2,089,165.99","2,458,898.94","2,593,289.26","2,820,430.39","4,028,319.68","3,392,371.17","3,475,869.21","3,087,362.00"
