科目,2008年度,2009年度,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"897,975,427.20","695,562,799.76","881,196,462.32","147,590,030.84","324,431,116.74","559,358,689.32","1,031,377,940.61","205,558,082.57","451,533,869.92","661,191,432.42","982,260,224.19","258,865,240.81","505,062,092.65","728,723,795.85","1,065,380,643.27","125,632,689.77","328,422,783.96","500,889,323.45","800,762,399.96","239,179,535.99","556,035,962.17","969,259,019.24","1,380,212,956.81","293,217,208.49","664,661,865.59","1,080,992,218.28","1,627,873,111.98","360,138,659.84","768,730,325.18","1,333,278,215.12","1,884,495,425.46","421,311,795.56","874,522,997.76","1,396,981,540.21","2,767,291,267.21","512,072,606.83"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,"11,800,000.00",,,,,,,,,"20,000,000.00","20,000,000.00","107,300,000.00","100,848,608.15",,,"23,304,000.00",,,,"46,608,000.00",,
收到的税费返还,,"332,512.17",,,,,"1,703,996.18","4,280,256.39","4,280,256.39","4,280,256.39","4,280,256.39",,,,,,"2,640,026.59","2,640,026.59","2,640,026.59",,,,,,,,,,,,,,,,"6,634.46",
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,"280,000,000.00",,,,,,,,,"534,604.98",,,"79,322,200.00",,,,,
收到其他与经营活动有关的现金,"12,648,015.18","21,794,140.64","5,172,157.83","3,054,842.10","5,399,253.27","7,837,221.85","13,051,882.30","2,500,003.82","3,713,797.09","4,225,975.68","14,110,205.04","69,114,637.57","81,801,983.99","96,755,553.86","115,166,659.25","25,450,952.83","45,092,391.38","63,846,455.32","82,433,645.58","17,951,449.93","39,663,839.62","13,764,412.88","11,800,738.14","41,453,717.65","48,997,690.36","51,414,627.44","55,560,320.85","14,540,260.94","18,599,821.38","20,354,289.01","23,157,601.72","12,918,999.75","14,300,132.24","121,127,696.84","526,486,725.53","43,948,088.98"
投资活动现金流出小计,"16,338,206.55","26,786,301.82","19,659,390.25","18,866,781.00","48,434,153.72","134,902,866.68","142,659,871.72","17,164,578.68","17,336,808.84","33,241,959.91","106,664,341.25","16,277,006.39","24,440,246.69","26,151,869.71","84,898,059.41","327,215,512.03","625,856,251.94","1,335,931,207.00","412,179,076.39","9,118,406.56","113,013,490.04","129,906,571.60","140,668,605.44","26,334,535.41","63,482,348.81","180,841,253.02","334,263,075.81","87,003,352.91","145,391,909.29","247,333,492.13","426,027,065.30","283,570,536.89","377,026,216.88","506,292,054.27","563,278,074.93","34,779,375.22"
经营活动现金流入小计,"910,623,442.38","717,689,452.57","886,368,620.15","150,644,872.94","329,830,370.01","567,195,911.17","1,046,133,819.09","212,338,342.78","459,527,923.40","669,697,664.49","1,000,650,685.62","327,979,878.38","586,864,076.64","825,479,349.71","1,180,547,302.52","151,083,642.60","376,155,201.93","567,375,805.36","885,836,072.13","257,130,985.92","595,699,801.79","1,018,997,824.12","1,392,013,694.95","342,450,939.81","725,673,868.97","1,146,962,686.74","1,683,433,432.83","376,909,260.78","791,847,050.56","1,360,008,933.13","1,907,653,027.18","434,230,795.31","888,823,130.00","1,518,109,237.05","3,293,784,627.20","556,799,828.81"
投资活动产生的现金流量净额,"-13,985,206.55","-26,762,466.14","-19,459,390.25","-18,811,638.94","-48,012,253.72","-133,476,493.94","-141,250,574.49","-16,156,422.11","-16,184,783.36","-30,593,602.06","-100,754,637.46","15,141,353.15","7,812,138.28","7,945,380.56","-45,512,241.87","-81,183,710.88","-126,722,936.78","-262,354,218.70","-407,587,619.40","273,989,569.06","171,565,137.80","154,672,556.24","141,026,484.39","-26,334,354.47","2,733,740.08","-9,535,168.24","-30,102,264.42","-21,309,789.90","-27,708,595.82","-65,381,618.33","-79,748,206.62","-41,972,397.21","-97,170,816.53","-156,732,686.82","-187,855,501.55","-34,779,375.22"
购买商品、接受劳务支付的现金,"780,675,711.46","631,465,045.67","791,151,299.68","251,675,281.70","444,069,430.44","734,690,185.66","1,056,824,055.39","310,342,787.62","530,385,406.25","762,574,230.79","1,071,448,406.86","199,265,141.91","513,255,664.74","695,038,532.91","838,827,052.23","123,266,364.96","302,212,164.69","533,540,966.48","707,886,995.27","300,364,164.14","550,570,493.03","840,232,709.96","1,222,527,016.52","273,010,193.02","723,154,314.17","1,164,816,063.40","1,517,251,096.53","526,526,431.31","925,601,471.28","1,499,526,436.45","1,898,886,329.05","391,173,860.86","790,756,251.91","1,388,602,699.22","2,434,566,502.07","442,451,356.43"
吸收投资收到的现金,,,,"542,440,000.00","542,440,000.00","542,440,000.00","533,893,120.00",,,,"120,000,000.00",,,"73,500,000.00","68,500,000.00","450,525,994.20","450,525,994.20","450,525,994.20","450,525,994.20",,,,"28,801,400.00",,"6,451,391.85","5,337,600.00","5,337,600.00",,,,,,"5,000,000.00","5,000,000.00","5,000,000.00","77,999,997.44"
支付给职工以及为职工支付的现金,"5,708,355.46","6,890,461.75","6,063,512.94","2,082,603.46","3,535,495.76","4,991,832.79","8,348,266.97","2,468,152.59","4,442,271.38","6,541,285.26","9,452,639.75","3,185,377.33","5,516,574.15","7,793,654.88","10,372,092.15","2,870,709.57","6,007,159.42","8,149,864.76","12,454,350.55","4,150,837.64","8,793,696.07","12,965,806.46","19,522,542.88","6,328,464.69","12,768,377.12","19,931,190.07","28,192,033.99","7,391,365.28","14,420,050.10","21,519,126.08","30,076,800.02","9,007,091.66","16,368,022.24","23,664,457.85","33,924,505.22","11,581,504.95"
