科目,2007年度,2008年度,2009年度,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"1,168,754,169.19","1,482,194,011.29","1,587,589,694.65","1,056,910,107.61","1,735,056,328.76","454,963,191.68","1,396,791,389.53","2,176,442,442.56","2,647,376,734.16","743,813,913.15","1,539,303,776.00","2,040,538,025.19","2,652,063,587.50","692,102,353.61","1,223,755,736.66","1,867,595,021.07","2,826,890,681.67","576,325,660.99","1,191,838,023.44","2,069,820,896.72","3,050,320,737.56","999,088,852.29","1,257,006,116.71","2,364,069,407.91","3,782,954,402.21","1,136,345,900.56","2,231,186,495.43","3,021,026,149.23","4,058,534,684.79","1,070,964,569.47","2,338,889,306.88","4,108,243,573.80","5,172,314,450.14","754,943,009.82","1,859,791,843.63"
取得子公司及其他营业单位支付的现金净额,,"63,186,649.87",,,,,,"6,000,000.00",,,,,,,,,"20,000,000.00","112,818,200.00","107,018,200.00","112,399,500.00","108,899,500.00",,,"216,500,000.00","29,950,939.02","2,500,000.00",,,,,,,,,
收到的税费返还,,,,,,"62,219.27",,,"2,564,511.88",,"1,166,164.23","2,601,097.00","3,609,634.17","3,137,035.95","3,142,035.95","5,377,846.35","5,729,172.63","1,075,223.57","2,358,144.74","4,955,522.64","7,242,647.78","2,025.54","2,083,401.29","4,135,061.00","5,547,334.25","488,312.43","4,136,133.07","4,136,133.07","2,413,631.36","6,953,640.27","8,297,970.22","9,611,529.61","4,706,014.58","61,914.62","148,078.90"
支付其他与投资活动有关的现金,,,,,,,,,,"700,763.95",,"2,315,877.61",,"52,188.00",,,,"8,021,125.51",,,"19,586,877.67","19,318,100.00",,"10,774,129.35","5,660,162.54",,,,"1,250,496.09","6,000,000.00",,,,,
收到其他与经营活动有关的现金,"83,991,863.42","136,687,411.00","77,979,143.39","44,432,783.95","61,850,010.69","40,313,209.68","168,043,043.05","222,139,075.63","136,120,273.20","70,045,065.58","58,766,052.01","147,977,419.65","128,488,176.98","48,209,851.35","65,066,396.05","117,317,361.85","146,465,797.77","45,753,473.52","111,023,844.98","170,191,080.93","115,030,931.86","71,561,361.58","103,919,959.98","210,677,376.22","161,463,275.60","33,554,138.13","79,929,877.98","123,048,250.05","464,163,217.59","112,174,066.94","93,142,956.92","149,149,924.25","200,997,326.71","51,792,235.02","263,728,154.48"
投资活动现金流出小计,"117,650,445.12","269,549,186.81","106,784,081.10","103,617,383.84","157,462,837.50","164,150,236.97","412,470,432.43","744,070,674.66","1,013,203,417.62","257,844,067.73","568,107,674.13","610,210,428.66","640,627,470.97","121,952,238.45","198,694,969.60","302,089,512.90","774,497,361.12","258,606,737.09","443,485,561.78","545,989,998.47","1,099,675,149.40","264,647,864.28","294,702,395.21","662,379,121.06","932,559,327.34","28,588,514.58","77,427,060.57","120,133,946.29","610,659,575.84","48,306,988.86","83,024,317.74","101,876,654.33","567,191,536.21","22,227,629.92","55,014,534.88"
经营活动现金流入小计,"1,252,746,032.61","1,618,881,422.29","1,665,568,838.04","1,101,342,891.56","1,796,906,339.45","495,338,620.63","1,564,834,432.58","2,398,581,518.19","2,786,061,519.24","813,858,978.73","1,599,235,992.24","2,191,116,541.84","2,784,161,398.65","743,449,240.91","1,291,964,168.66","1,990,290,229.27","2,979,085,652.07","623,154,358.08","1,305,220,013.16","2,244,967,500.29","3,172,594,317.20","1,070,652,239.41","1,363,009,477.98","2,578,881,845.13","3,949,965,012.06","1,170,388,351.12","2,315,252,506.48","3,148,210,532.35","4,525,111,533.74","1,190,092,276.68","2,440,330,234.02","4,267,005,027.66","5,378,017,791.43","806,797,159.46","2,123,668,077.01"
投资活动产生的现金流量净额,"-116,111,163.23","-259,971,426.21","-93,728,210.34","-93,786,176.27","-144,476,848.59","-158,493,781.16","-401,496,587.30","-732,471,168.73","-1,000,672,352.28","-256,334,345.91","-564,859,060.21","-606,360,486.73","-630,241,677.05","-121,730,633.65","-171,290,889.60","-269,285,105.50","-558,458,230.21","-258,505,603.69","-434,506,747.90","-525,922,920.59","-1,078,376,911.96","-264,606,593.28","-274,296,018.77","-640,813,186.12","-898,186,500.93","-28,588,314.58","-77,195,628.57","-119,506,156.51","-607,678,547.14","-47,913,602.86","-37,431,978.65","-56,257,405.24","-513,807,048.98","-21,665,089.41","-53,623,169.60"
购买商品、接受劳务支付的现金,"874,342,212.85","1,229,827,080.00","1,285,827,202.94","892,004,704.61","1,592,080,950.73","498,810,835.66","1,274,247,362.73","1,899,844,666.23","2,211,248,802.93","513,929,252.67","1,370,397,621.31","1,855,348,409.24","2,315,801,814.93","501,287,097.39","1,003,714,690.26","1,374,496,354.07","2,111,633,431.78","647,048,301.78","1,158,109,927.14","1,854,315,254.10","2,008,783,631.75","797,637,540.15","990,326,874.50","1,898,644,744.70","2,568,209,243.42","891,769,796.03","1,656,667,273.78","2,041,419,643.56","2,619,833,288.27","698,419,137.86","1,680,802,936.18","2,603,108,060.04","2,916,965,760.16","588,847,406.61","1,397,987,092.85"
吸收投资收到的现金,"4,900,000.00","49,999,999.97",,"4,900,000.00","4,900,000.00","1,372,282,485.68","1,386,271,200.00","1,386,271,200.00","1,390,271,200.00",,"600,000.00","655,915.20","656,915.74","400,000.00","400,000.00","400,000.00","400,000.00",,,"2,000,000.00","4,000,000.00",,,"1,106,160,000.00","1,106,400,000.00",,,"7,000,000.00","7,080,000.00",,,,"3,385,091.32",,
