科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"200,102,619.02","284,430,356.88","338,374,655.78","190,808,959.27","290,509,457.08","405,972,012.49","114,641,418.62","237,632,740.92","365,633,746.01","520,228,788.23","150,836,919.32"
二、营业利润,"37,815,320.96","65,461,788.08","86,080,791.07","44,946,505.01","67,082,065.56","93,979,743.86","31,810,685.36","69,387,342.01","99,816,920.30","133,980,589.43","40,034,931.53"
减:营业成本,"122,453,219.58","166,675,893.76","197,296,867.36","111,008,200.58","172,801,452.73","237,357,209.18","66,415,741.70","137,542,254.75","218,870,249.40","311,576,590.34","92,527,571.12"
加:补贴收入,,,,,,,,,,,
营业税金及附加,"-19,839.58",,350.00,,234.76,"405,923.58","166,553.22","427,753.20","586,332.52","929,815.99","182,480.10"
营业外收入,"1,175,612.72","4,983,168.55","889,266.06","323,200.11","802,118.89","950,145.40","50,018.09","2,532,712.50","3,767,168.02","1,123,892.53","25,300.11"
销售费用,,,,,,,"450,075.95","756,518.47","1,147,202.35","2,107,706.45","259,278.29"
减:营业外支出,"17,496.85","1,200,200.00","58,109.48",,300.00,300.00,208.73,208.73,208.73,208.73,"1,112.55"
管理费用,"26,864,248.31","31,869,103.95","33,152,169.78","21,867,129.24","31,486,167.46","49,273,918.32","9,999,479.80","20,974,926.91","33,290,025.31","57,190,330.98","13,914,063.87"
其中:非流动资产处置净损失,"12,496.85",,118.85,,,,,,,,
堪探费用,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,
财务费用,"12,989,669.75","20,073,571.09","21,927,181.14","12,970,820.44","19,123,232.57","25,105,217.55","5,798,882.59","7,378,445.58","11,923,016.13","16,922,290.18","4,088,269.82"
三、利润总额,"38,973,436.83","69,244,756.63","86,911,947.65","45,269,705.12","67,883,884.45","94,929,589.26","31,860,494.72","71,919,845.78","103,583,879.59","135,104,273.23","40,059,119.09"
资产减值损失,,"350,000.00","150,000.00","16,304.00","16,304.00","-150,000.00",,"1,165,500.00",,,
减:所得税,"5,682,385.38","10,282,460.32","14,770,333.83","7,078,597.79","10,970,168.04","16,700,821.97","7,861,887.93","15,550,752.15","21,427,736.58","20,208,980.17","6,385,878.40"
加:公允价值变动净收益,,,,,,,,,,,
加:影响净利润的其他科目,,,,,,,,,,,
投资收益,,,"232,703.57",,,,,,,,
四、净利润,"33,291,051.45","58,962,296.31","72,141,613.82","38,191,107.33","56,913,716.41","78,228,767.29","23,998,606.79","56,369,093.63","82,156,143.01","114,895,293.06","33,673,240.69"
其中:对联营企业和合营企业的投资权益,,,,,,,,,,,
归属于母公司所有者的净利润,"33,291,413.97","59,086,741.68","72,141,613.82","38,191,107.33","56,913,716.41","78,228,767.29","23,998,606.79","56,369,093.63","82,156,143.01","114,895,293.06","33,673,760.31"
影响营业利润的其他科目,,,,,,,,,,,
少数股东损益,-362.52,"-124,445.37",,,,,,,,,-519.62
