科目,2009年度,2010年度,2011年度,2012年1-6月,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"213,263,737.56","407,154,565.63","596,858,481.54","417,132,249.41","871,689,316.66","1,054,422,838.25","1,064,456,101.59",,"1,046,068,940.47","1,667,064,092.85","1,968,353,724.84","368,609,836.96","906,784,049.10","1,430,111,348.78","2,520,138,702.59","737,939,459.94","1,669,825,706.97","3,099,600,005.09","4,379,287,939.02","1,205,710,622.38","2,549,621,402.88"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,,,,,,,,,,,,,,,,,,,,,
支付其他与投资活动有关的现金,,,,,,,,,,,"743,520,000.00","231,300,000.00","406,160,000.00","595,160,000.00","889,160,000.00","436,000,000.00","894,000,000.00","1,323,000,000.00",,,"1,240,220.70"
收到其他与经营活动有关的现金,"9,778,954.31","2,034,322.83","14,603,001.72","5,196,207.74","4,664,865.80","6,896,257.23","8,263,452.64",,"11,877,847.52","7,000,683.74","19,116,395.63","6,864,934.22","3,741,983.81","3,713,796.48","5,525,545.55","458,679.04","6,684,437.15","6,650,465.99","10,495,886.57","9,250,679.92","10,167,579.17"
投资活动现金流出小计,"30,883,759.41","85,885,873.46","162,918,365.44","62,554,945.27","160,982,916.43","97,966,664.66","86,387,458.02",,"58,555,417.63","103,814,171.36","923,680,807.35","248,458,236.63","472,563,616.59","706,152,393.44","1,061,289,430.80","442,471,464.88","1,026,287,935.01","1,445,084,378.85","2,307,020,005.04","858,736,952.41","1,730,313,826.75"
经营活动现金流入小计,"223,042,691.87","409,188,888.46","611,461,483.26","422,328,457.15","876,354,182.46","1,061,319,095.48","1,072,719,554.23",,"1,057,946,787.99","1,674,064,776.59","1,987,470,120.47","375,474,771.18","910,526,032.91","1,433,825,145.26","2,525,664,248.14","738,398,138.98","1,676,510,144.12","3,106,250,471.08","4,389,783,825.59","1,214,961,302.30","2,559,788,982.05"
投资活动产生的现金流量净额,"-22,506,759.41","-81,735,873.46","-153,258,365.44","-62,414,945.27","-140,365,916.43","-93,686,664.66","-79,177,458.02","-29,024,500.00","-53,460,879.85","-98,638,421.06","-160,517,660.89","-13,708,625.84","-63,657,495.37","-136,454,573.74","-156,968,714.82","-4,923,521.24","-121,479,286.42","-136,138,613.15","-179,769,868.39","-19,540,397.31","-284,203,314.85"
购买商品、接受劳务支付的现金,"169,347,087.48","270,930,991.97","387,666,181.01","295,812,933.59","576,651,434.28","795,883,010.17","768,147,272.03",,"920,363,199.91","1,500,183,823.37","1,657,151,743.53","332,235,020.52","755,155,236.54","1,165,697,726.17","2,192,050,280.32","607,746,086.60","1,460,705,639.92","2,813,193,393.33","3,868,887,930.52","1,106,528,108.79","2,467,139,620.49"
吸收投资收到的现金,"4,500,000.00","13,000,000.00","55,000,000.00",,,"490,000.00","28,620,000.00",,"221,585,206.30","214,785,206.30","229,300,000.00",,,,,,,,"98,000.00","380,539,464.15","380,898,490.57"
