科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"530,711,471.57","394,648,910.08","364,733,711.90",,"283,571,785.95","318,988,064.43","424,603,598.36","68,893,782.71","205,978,871.41","311,359,205.21","452,129,966.49","192,303,697.41","415,395,274.29","637,160,121.40"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,
收到的税费返还,"12,310,439.60","1,215,004.78","4,914,294.94",,"15,233,259.34","15,680,422.26","11,771,709.39",,,,,,"1,033,617.54","1,033,617.54"
支付其他与投资活动有关的现金,"9,213,200.00","551,800.00","40,000.00",,"140,000,000.00","140,000,000.00","490,000,000.00","130,000,000.00","150,000,000.00","150,000,000.00","156,000,000.00","3,670,000.00",,
收到其他与经营活动有关的现金,"5,275,972.02","8,116,303.10","3,293,832.44",,"997,840.85","4,887,367.62","16,110,322.14","638,283.75","1,195,892.89","1,529,567.26","3,828,009.55","14,079,002.66","15,969,251.06","18,643,651.56"
投资活动现金流出小计,"62,993,794.60","53,440,910.63","25,101,469.44",,"155,330,322.07","162,090,296.43","516,373,888.13","140,557,201.13","188,847,313.54","258,019,499.98","407,885,664.06","46,820,216.07","124,052,511.73","151,781,455.85"
经营活动现金流入小计,"548,297,883.19","403,980,217.96","372,941,839.28",,"299,802,886.14","339,555,854.31","452,485,629.89","69,532,066.46","207,174,764.30","312,888,772.47","455,957,976.04","206,382,700.07","432,398,142.89","656,837,390.50"
投资活动产生的现金流量净额,"-20,921,753.66","-44,263,989.70","65,696,130.56","-12,890,100.00","-152,618,273.18","-159,378,247.54","-34,734,438.79","-80,207,530.40","-66,089,567.12","-82,508,392.29","-174,430,564.68","-33,457,031.52","-45,953,860.32","-70,896,680.48"
购买商品、接受劳务支付的现金,"327,420,800.34","189,399,846.13","207,700,628.95",,"131,828,390.83","159,763,821.97","248,891,612.84","118,086,009.35","182,844,108.78","244,718,225.35","275,914,143.43","121,619,858.11","259,672,456.30","357,384,275.79"
吸收投资收到的现金,"18,000,000.00",,,,"358,214,686.80","358,214,686.80","369,932,800.00",,,,"84,312,180.00",,"7,170,000.00","7,170,000.00"
支付给职工以及为职工支付的现金,"84,012,470.84","81,123,105.89","89,600,277.91",,"57,008,375.45","82,604,236.91","109,602,239.37","27,657,584.57","56,489,741.19","86,927,742.31","120,709,808.93","41,984,412.80","77,251,091.17","104,659,789.31"
取得借款收到的现金,"265,247,946.32","226,788,241.62","227,500,000.00",,"158,000,000.00","168,000,000.00","193,000,000.00","68,000,000.00","138,000,000.00","498,000,000.00","528,000,000.00","48,000,000.00","108,000,000.00","183,000,000.00"
支付的各项税费,"55,446,866.22","51,082,121.29","50,915,456.85",,"36,000,275.26","42,326,500.25","62,505,569.03","21,804,914.64","41,944,401.76","52,807,451.40","81,558,437.08","17,852,303.84","36,901,811.29","44,736,148.89"
收到其他与筹资活动有关的现金,"645,100.00","3,967,193.75","60,469,400.00",,"11,718,113.20","11,718,113.20","38,513,100.00","19,173,243.00","2,630,000.00","1,930,000.00","2,280,000.00","66,100,000.00","4,960,000.00","14,880,000.00"
支付其他与经营活动有关的现金,"33,263,670.28","18,645,575.90","36,704,689.05",,"17,904,857.96","29,434,834.82","37,246,325.59","6,368,239.95","20,086,512.61","26,224,122.51","52,376,847.30","17,516,706.76","38,714,261.07","48,788,564.56"
筹资活动现金流入小计,"283,893,046.32","230,755,435.37","287,969,400.00",,"527,932,800.00","537,932,800.00","601,445,900.00","87,173,243.00","140,630,000.00","499,930,000.00","614,592,180.00","114,100,000.00","120,130,000.00","205,050,000.00"
经营活动现金流出小计,"500,143,807.68","340,250,649.21","384,921,052.76",,"242,741,899.50","314,129,393.95","458,245,746.83","173,916,748.51","301,364,764.34","410,677,541.57","530,559,236.74","198,973,281.51","412,539,619.83","555,568,778.55"
偿还债务支付的现金,"246,334,889.38","227,373,728.20","247,145,751.32",,"157,500,000.00","224,500,000.00","252,500,000.00","68,000,000.00","138,000,000.00","178,000,000.00","208,000,000.00","48,000,000.00","108,000,000.00","183,000,000.00"
经营活动产生的现金流量净额,"48,154,075.51","63,729,568.75","-11,979,213.48","51,899,700.00","57,060,986.64","25,426,460.36","-5,760,116.94","-104,384,682.05","-94,190,000.04","-97,788,769.10","-74,601,260.70","7,409,418.56","19,858,523.06","101,268,611.95"
分配股利、利润或偿还利息支付的现金,"18,619,631.81","34,928,512.72","79,886,273.25",,"54,697,660.59","58,317,811.10","61,192,806.48","2,657,387.79","57,125,291.16","59,903,460.62","63,135,684.23","3,467,030.48","27,851,874.94","31,325,273.56"
收回投资收到的现金,,,,,,,"20,417,101.28",,,,,,,
支付其他与筹资活动有关的现金,"53,793,163.95",,"11,819,400.00",,"6,024,168.10","8,981,601.40","8,591,000.00","5,451,475.00","5,451,475.00","5,451,475.00","6,151,475.00",,"3,670,000.00","4,670,000.00"
取得投资收益收到的现金,"119,156.17","76,986.30",,,,,"239,927.23","213,369.87","373,675.52","1,125,565.92","1,125,565.92","192,657.54","1,552,657.54","1,552,657.54"
筹资活动现金流出小计,"318,747,685.14","262,302,240.92","338,851,424.57",,"218,221,828.69","291,799,412.50","322,283,806.48","76,108,862.79","200,576,766.16","243,354,935.62","277,287,159.23","51,467,030.48","139,521,874.94","218,995,273.56"
处置固定资产、无形资产和其他长期资产收回的现金净额,"3,220,484.77","698,234.63","572,800.00",,"222,048.89","222,048.89","982,420.83","136,300.86","2,384,070.90","2,385,541.77","2,969,533.46","250,527.01","445,993.87","3,232,117.83"
筹资活动产生的现金流量净额,"-34,854,638.82","-31,546,805.55","-50,882,024.57","-53,317,500.00","309,710,971.31","246,133,387.50","279,162,093.52","11,064,380.21","-59,946,766.16","256,575,064.38","337,305,020.77","62,632,969.52","-19,391,874.94","-13,945,273.56"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,
四、汇率变动对现金的影响,"-387,063.66","51,298.14","-394,931.82",,"-2,243,749.79","-715,920.76","415,077.98","1,293.82","-39,651.38","-7,874.64","-173,527.89","-63,568.99","-39,436.39","-38,972.02"
收到其他与投资活动有关的现金,"38,732,400.00","8,401,700.00","90,224,800.00",,"2,490,000.00","2,490,000.00","460,000,000.00","60,000,000.00","120,000,000.00","172,000,000.00","229,360,000.00","12,920,000.00","76,100,000.00","76,100,000.00"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,
投资活动现金流入小计,"42,072,040.94","9,176,920.93","90,797,600.00",,"2,712,048.89","2,712,048.89","481,639,449.34","60,349,670.73","122,757,746.42","175,511,107.69","233,455,099.38","13,363,184.55","78,098,651.41","80,884,775.37"
五、现金及现金等价物净增加额,"-8,009,380.63","-12,029,928.36","2,439,960.69","-14,307,900.00","211,909,934.98","111,465,679.56","239,082,615.77","-173,526,538.42","-220,265,984.70","76,270,028.35","88,099,667.50","36,521,787.57","-45,526,648.59","16,387,685.89"
购建固定资产、无形资产和其他长期资产支付的现金,"53,780,594.60","52,889,110.63","21,661,469.44",,"15,330,322.07","22,090,296.43","26,373,888.13","10,557,201.13","38,847,313.54","83,659,499.98","227,525,664.06","43,150,216.07","124,052,511.73","151,781,455.85"
期初现金及现金等价物余额,"49,139,998.44","41,130,617.81","29,100,689.45",,"31,540,650.14","31,540,650.14","31,540,650.14","253,450,022.91","270,623,265.91","270,623,265.91","270,623,265.91","358,722,933.41","358,722,933.41","358,722,933.41"
投资支付的现金,,,"3,400,000.00",,,,,,,"24,360,000.00","24,360,000.00",,,
期末现金及现金等价物余额,"41,130,617.81","29,100,689.45","31,540,650.14",,"243,450,585.12","143,006,329.70","270,623,265.91","79,923,484.49","50,357,281.21","346,893,294.26","358,722,933.41","395,244,720.98","313,196,284.82","375,110,619.30"
