科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"88,228,727.99","122,205,644.76","107,142,206.29","73,996,476.87","40,445,175.74","106,528,784.09","157,498,770.21","149,414,796.12","841,175,966.40","821,284,556.62","702,376,482.71","749,844,647.40","655,065,457.13","665,908,541.18","634,600,807.87","607,609,366.14","478,530,551.90","510,510,048.43","460,989,104.12","693,837,643.02","507,921,765.80","670,543,529.88","592,586,974.19","536,537,306.91","590,869,291.15","368,767,963.95","710,025,290.32","945,112,938.28","916,579,943.66","568,839,235.97","383,194,446.21","879,660,345.83","853,744,827.63","572,014,218.44","297,260,486.84","503,843,361.63","95,531,059.12","69,003,060.54","101,879,699.55","162,273,110.72","150,857,092.38","266,301,962.69","203,898,246.30","282,569,204.55","110,737,524.27"
短期借款,"120,000,000.00","148,000,000.00","178,000,000.00","178,000,000.00","198,000,000.00","230,000,000.00","230,000,000.00","200,000,000.00","300,000,000.00","150,000,000.00","160,000,000.00","105,000,000.00","107,500,000.00","90,000,000.00","90,000,000.00","60,000,000.00","20,000,000.00","20,000,000.00","50,000,000.00","70,000,000.00","145,000,000.00","110,000,000.00","50,000,000.00","20,000,000.00","85,000,000.00","145,000,000.00","25,000,000.00","25,000,000.00","25,000,000.00","75,000,000.00","25,000,000.00","25,000,000.00","110,000,000.00","100,000,000.00","100,000,000.00",,,,,"30,000,000.00",,,,,"20,000,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"4,298,014.51","2,870,250.00","27,727,200.00","25,075,000.00","21,739,241.00","1,750,000.00","2,300,000.00","8,353,780.00","49,441,939.00","16,569,000.00","13,434,600.00","100,221,671.86","28,085,000.00","41,807,930.00","62,991,355.80","151,950,168.54","78,114,352.06","118,895,288.69","83,162,288.69","84,126,515.89","125,555,988.69","116,797,288.69","95,847,288.69","83,089,686.64","36,146,236.64","68,987,700.00","83,450,933.20","137,392,216.70","80,496,024.49","715,000.00","82,603,388.00","167,560,356.76","162,426,629.62","30,464,586.10","24,455,547.14","57,094,344.54","64,813,964.54","20,960,262.54","16,410,539.91","16,438,316.60","16,332,073.00","22,128,263.00","89,363,242.65","148,546,340.72","107,783,617.50"
应付票据,"32,717,558.00","34,592,410.90","46,445,728.00","4,100,000.00","3,100,000.00","8,808,608.00","21,315,700.00","66,898,472.18","229,434,598.93","200,648,903.52","116,949,743.98","155,055,009.05","168,215,518.07","134,510,751.73","99,157,575.73","159,373,181.61","90,143,720.62","168,294,769.78","205,395,577.64","344,904,715.22","137,996,002.81","110,904,974.72","127,949,612.42","123,035,296.36","111,944,649.40","86,886,728.95","44,075,996.38","227,882,732.60","93,071,005.12","117,159,895.54","181,655,839.51","490,573,415.19","482,246,804.28","471,427,696.03","393,928,919.04","440,536,505.29","241,965,932.79","175,147,405.71","210,619,708.02","223,079,295.44","220,839,267.95","284,224,352.97","285,417,321.30","347,960,189.84","384,603,248.90"
应收账款,"178,842,153.87","289,029,239.67","268,593,513.85","201,652,051.54","374,898,053.99","310,292,015.98","291,087,326.02","218,966,087.65","480,072,901.65","351,738,583.10","442,433,093.98","235,116,368.58","438,454,067.79","424,320,737.18","339,002,317.94","262,939,123.26","514,727,176.06","537,782,534.79","750,097,493.41","295,551,180.58","342,243,616.33","419,143,301.36","389,669,377.76","372,646,621.10","233,812,173.11","469,346,245.14","672,046,682.00","392,119,060.03","293,586,056.81","682,827,204.27","697,994,633.10","381,113,337.33","469,935,854.76","456,961,504.82","421,715,150.92","393,870,431.81","287,544,562.20","417,511,414.49","377,950,877.84","379,287,903.45","370,011,414.32","437,651,660.56","438,911,860.84","324,568,184.39","250,583,919.22"
应付账款,"121,102,510.67","194,997,248.15","165,651,860.08","128,463,622.07","257,513,145.25","254,780,038.56","284,009,845.94","221,624,926.27","331,701,278.98","311,056,965.23","337,053,229.29","231,863,318.89","337,339,493.13","352,244,876.81","319,370,514.81","280,288,192.34","438,445,112.57","352,429,678.20","474,935,899.88","241,358,450.29","375,396,193.89","460,752,876.24","389,588,212.74","274,134,512.33","278,637,183.68","384,800,106.90","475,228,990.50","297,924,100.78","260,225,691.75","448,130,513.46","496,877,960.18","318,322,333.46","315,950,829.02","254,560,730.60","262,094,333.16","217,126,522.48","216,762,274.06","325,353,414.05","236,946,165.55","200,910,164.55","252,756,182.17","309,649,082.66","355,131,793.47","227,267,619.02","252,973,559.31"
预付款项,"13,980,715.21","9,503,964.84","18,470,277.42","39,854,723.68","37,299,591.03","38,005,373.16","31,748,167.61","30,149,929.83","46,640,667.88","48,108,032.23","39,776,490.34","44,129,898.16","80,767,369.50","60,386,741.75","71,171,365.18","129,428,100.64","118,179,520.65","121,917,255.78","147,826,361.50","242,837,280.45","244,318,827.69","238,316,924.03","182,680,695.67","45,069,266.92","22,865,677.86","20,180,828.77","18,163,936.31","44,847,462.62","83,135,368.70","79,454,331.37","40,360,572.71","57,014,333.91","46,574,898.34","62,046,888.71","29,034,544.56","36,057,597.59","40,616,227.18","58,927,099.79","59,068,214.46","60,757,967.70","55,959,668.62","39,809,722.42","29,860,646.31","32,401,712.46","92,194,755.67"
预收款项,"14,157,212.62","11,804,218.43","5,791,750.08","4,968,869.41","16,458,013.92","13,606,929.07","36,969,321.78","15,463,476.59","17,956,889.72","13,338,006.41","8,771,556.86","14,543,907.18","20,418,937.99","18,325,369.06","25,312,778.11","18,719,969.23","25,559,522.87","25,935,034.49","32,482,695.48","112,029,319.35","29,227,028.04","29,338,763.12","21,263,089.01","15,857,017.94","31,279,229.69","22,015,138.99","50,481,415.32","50,908,934.08","57,892,941.12","37,534,039.00","33,701,417.76","56,067,124.99","55,268,238.68","30,928,660.20","22,132,831.75","18,135,813.59","23,835,029.17","38,720,441.81","46,567,575.93","33,194,352.50","47,192,073.56","51,698,942.24","58,063,106.86","40,377,085.59","59,573,044.43"
其他应收款,"4,967,856.09","2,016,807.17","2,759,901.75","3,491,700.24","4,724,334.63","10,475,801.80","8,545,765.37","7,719,371.29","17,718,735.24","19,248,650.21","21,335,255.82","22,836,899.27","17,520,413.85","21,375,904.00","25,188,479.47","13,479,865.93","18,410,479.40","17,734,760.09","14,756,152.91","13,329,766.45","32,445,681.32","19,219,910.79","19,124,426.07","17,600,843.35","15,529,696.64","13,723,629.71","22,438,320.96","17,182,898.42","21,602,198.55","22,638,246.44","24,336,049.14","14,027,429.82","30,062,002.61","48,427,017.55","24,286,920.78","9,194,328.44","22,634,571.46","20,923,160.43","10,445,938.70","6,718,317.06","11,070,322.90","8,782,991.83","5,468,725.47","6,973,701.42","16,660,850.36"
应付职工薪酬,"5,957,609.46","10,240,390.71","6,816,974.39","9,014,124.17","5,655,191.82","5,879,007.22","5,883,708.86","6,340,071.32","7,928,601.07","8,312,121.06","9,176,275.35","14,374,676.70","14,870,639.45","14,530,852.90","13,917,113.95","14,792,702.33","14,532,172.33","14,752,852.90","14,077,341.70","14,419,278.65","17,525,133.47","22,144,963.52","17,460,007.66","12,417,249.45","14,870,583.64","15,051,870.58","18,181,861.17","11,107,301.30","15,314,400.83","15,081,489.24","16,872,140.71","8,020,348.86","12,175,963.33","9,766,348.61","13,146,666.91","4,464,560.40","7,396,896.98","6,346,345.38","5,524,397.26","5,225,715.57","6,854,587.18","7,917,920.71","10,319,350.89","7,891,705.76","7,482,418.31"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"1,886,700.63","15,255,682.67","723,627.24","14,307,259.57","16,067,562.98","4,468,390.95","-1,961,220.46","-12,073,888.88","-6,999,693.09","-5,293,560.78","2,564,348.68","21,560,557.74","2,632,470.63","11,994,282.99","3,336,068.65","15,572,359.93","13,078,033.36","19,876,263.63","3,573,125.62","-2,618,080.40","-17,448,757.12","-15,559,542.52","6,821,735.70","23,315,162.17","2,695,865.03","6,073,580.94","24,527,303.09","15,907,463.82","-526,358.72","8,543,367.33","7,503,632.44","12,559,065.15","1,160,201.99","4,054,327.93","3,780,405.04","14,032,903.87","3,815,839.59","4,959,250.81","6,511,938.85","31,639,870.13","7,509,211.97","16,701,643.38","23,544,505.80","15,332,970.13","5,480,065.41"
应收利息,,,,,,,,,,"2,497,500.00","4,994,925.00",,,,,"4,641,325.00",,"2,076,395.56","4,939,488.00","4,093,650.00","5,348,067.00","905,666.67","1,917,666.67","3,156,083.34","3,968,970.92","4,968,380.51","6,379,472.96","2,665,508.34","10,451,774.35","12,143,463.97","1,318,246.72","5,794,262.79","6,620,058.37","15,295,406.53","11,580,680.04","10,283,687.95","6,797,953.61","4,932,181.69","7,987,958.78","10,627,803.83","5,762,496.03","5,909,010.36","7,545,055.08","3,587,292.11","11,759,713.91"
应付利息,,,,,,,,,,"358,361.11","1,225,972.22",,,,,,"848,750.00","282,917.00","1,150,527.00","2,018,137.00","2,866,887.00","698,875.01","1,533,069.45","2,421,180.56","3,359,930.56","836,888.89","1,273,125.00","2,218,500.00","3,067,250.01","124,500.00","61,500.00","68,333.33","60,416.67","163,125.00","144,375.00",,,,,,,,,,
应收股利,,,,,,,,,,,,,,,,,,,,,,,,,"5,000,000.00",,,,,,,,,,,,"10,800,000.00",,,,,"13,500,000.00",,,
应付股利,"4,423,681.47","4,358,416.56","1,878,359.02","50,948.20","50,948.20","25,080,556.25","8,644,056.25","8,644,056.25","25,435,056.25","8,919,274.14","8,644,056.25","16,988,608.05","8,593,108.05","8,593,108.05","8,593,108.05","8,593,108.05","8,593,108.05",,,,,"10,578,330.00",,,,,,,,"41,951,072.40",,,,"43,629,115.34",,,,"4,696.56","4,696.56",,,,,,
存货,"167,557,925.49","151,419,030.06","155,104,644.05","164,678,694.47","199,788,377.72","257,928,187.22","300,994,166.30","311,617,462.56","478,193,541.29","493,056,147.73","491,407,394.77","391,506,379.20","409,925,760.92","404,473,466.15","420,410,495.89","387,575,736.43","415,809,781.32","298,192,448.82","345,175,043.63","428,557,185.42","479,570,733.91","449,491,191.13","464,848,248.18","389,327,953.88","455,826,772.61","535,446,106.96","555,584,756.27","477,827,264.27","487,795,082.93","525,158,840.05","552,584,701.17","626,807,083.54","671,515,351.10","698,263,980.75","719,563,806.33","631,416,839.19","666,478,469.58","747,978,595.04","665,527,147.59","637,670,478.48","703,618,757.84","669,485,082.21","631,648,090.62","589,936,891.82","660,079,287.59"
其他应付款,"12,374,502.16","15,739,592.45","18,643,338.42","13,856,612.75","18,744,521.15","12,047,448.74","16,045,413.06","8,830,552.79","83,036,592.14","80,910,549.41","92,046,331.84","33,069,614.98","15,206,764.13","19,454,184.45","34,306,315.33","24,077,605.30","23,260,604.07","21,923,606.13","31,102,211.19","38,241,722.97","35,463,822.52","30,787,849.87","47,300,855.23","103,685,282.23","58,746,439.00","54,289,175.53","64,461,554.68","46,320,352.14","36,977,585.01","33,406,428.62","47,325,901.52","46,699,241.58","35,158,307.46","41,410,314.81","48,739,778.63","35,755,036.82","32,104,803.39","37,863,650.13","26,405,578.58","22,764,838.54","21,052,113.53","24,662,485.74","21,706,111.28","25,571,231.29","25,479,224.15"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,"150,000,000.00","150,000,000.00","150,000,000.00","150,000,000.00",,,,,,,,,,"200,000,000.00","200,000,000.00","200,000,000.00",,"30,000,000.00","30,000,000.00"
一年内到期的非流动负债,,,,,,,,,,,,,,,,,,,,,,,"150,000,000.00","150,000,000.00","150,000,000.00","220,000,000.00","70,000,000.00","70,000,000.00","70,000,000.00",,,"50,000,000.00","50,000,000.00","50,000,000.00","50,000,000.00",,,,,,,,,,
其他流动资产,,,,,,,,,,,,,,,,,,,,,,,,"16,779,716.26","29,146,769.00","32,194,219.67","392,344,412.38","487,482,003.06","439,466,336.77","438,043,211.01","622,776,755.17","634,063,631.78","559,681,443.91","811,764,032.44","1,019,421,656.50","756,055,491.64","993,977,374.83","657,216,701.98","835,988,801.28","673,191,839.08","632,064,822.27","639,366,523.32","931,242,289.68","838,969,647.18","1,033,858,427.11"
其他流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流动资产合计,"457,875,393.16","577,044,936.50","579,797,743.36","508,748,646.80","678,894,774.11","724,980,162.25","792,174,195.51","726,221,427.45","1,913,243,751.46","1,752,502,469.89","1,715,758,242.62","1,543,655,864.47","1,629,818,069.19","1,618,273,320.26","1,553,364,822.15","1,557,623,685.94","1,623,771,861.39","1,607,108,732.16","1,806,945,932.26","1,762,333,221.81","1,737,404,680.74","1,914,417,812.55","1,746,674,677.23","1,464,207,478.40","1,393,165,587.93","1,513,615,074.71","2,610,433,804.40","2,654,629,351.72","2,483,112,786.26","2,479,819,533.08","2,405,168,792.22","2,766,040,781.76","2,800,561,066.34","2,695,237,635.34","2,547,318,793.11","2,397,816,082.79","2,189,194,182.52","1,997,452,476.50","2,075,259,178.11","2,146,965,736.92","2,145,676,647.36","2,302,935,216.39","2,337,938,156.95","2,257,552,974.65","2,313,658,095.63"
流动负债合计,"312,619,775.01","434,987,959.87","423,951,637.23","352,761,436.17","515,589,383.32","554,670,978.79","600,906,825.43","515,727,666.52","988,493,324.00","768,250,620.10","736,431,514.47","592,455,692.59","674,776,931.45","649,653,425.99","593,993,474.63","581,417,118.79","634,461,023.87","623,495,122.13","812,717,378.51","820,353,543.08","726,026,310.61","759,647,089.96","811,916,582.21","724,865,701.04","736,533,881.00","934,953,490.78","773,230,246.14","747,269,384.72","561,022,515.12","776,931,305.59","808,998,392.12","1,007,309,862.56","1,062,020,761.43","1,005,940,318.52","893,967,309.53","730,051,342.45","525,880,775.98","588,395,204.45","532,580,060.75","546,814,236.73","556,203,436.36","694,854,427.70","754,182,189.60","664,400,801.63","755,591,560.51"
可供出售金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"185,644,631.25","378,163,655.35","139,000,000.00","139,000,000.00","139,000,000.00","139,000,000.00","139,000,000.00","139,000,000.00","354,000,000.00","204,000,000.00","154,000,000.00","154,000,000.00","154,000,000.00","209,000,000.00","179,000,000.00","179,000,000.00"
长期借款,,,,,,,,,,"70,000,000.00","70,000,000.00","70,000,000.00","70,000,000.00","70,000,000.00","70,000,000.00","70,000,000.00","70,000,000.00","70,000,000.00","70,000,000.00","70,000,000.00","70,000,000.00","220,000,000.00","70,000,000.00","70,000,000.00","70,000,000.00",,,"50,000,000.00","50,000,000.00","50,000,000.00","50,000,000.00",,,,,,,,,,,,,,
持有至到期投资,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,000,000.00","7,000,000.00","7,000,000.00","7,000,000.00","7,000,000.00","7,000,000.00","7,000,000.00","7,000,000.00","7,000,000.00","7,000,000.00","7,000,000.00","7,000,000.00",,,,,,
长期股权投资,"10,000,000.00","10,000,000.00",,,,,,,,,,,,,,,,,,"75,000,000.00","75,000,000.00","75,000,000.00","75,000,000.00","75,000,000.00","75,000,000.00","75,000,000.00","75,000,000.00","75,000,000.00","75,000,000.00","75,000,000.00",,,,,,,,,,,,,,,
专项应付款,"6,136,300.00",,,,"4,000,000.00","4,000,000.00",,,,,"2,000,000.00",,,,,"8,000,000.00","8,000,000.00","8,000,000.00","8,000,000.00","8,000,000.00","8,000,000.00","8,000,000.00","8,000,000.00","8,400,000.00","8,400,000.00","8,400,000.00","8,400,000.00","8,560,000.00","8,560,000.00","8,560,000.00","8,560,000.00","8,560,000.00","8,560,000.00","8,580,000.00","8,580,000.00","8,600,000.00","8,600,000.00","8,600,000.00","9,698,520.00","13,600,000.00","6,000,000.00","6,000,000.00","7,857,420.00","4,250,000.00","4,250,000.00"
投资性房地产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
预计负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
固定资产,"296,551,066.43","297,474,234.31","301,607,356.58","317,773,581.30","320,398,077.34","332,194,260.42","328,342,982.39","346,928,713.67","398,229,623.61","396,909,345.55","404,792,461.77","442,217,092.69","396,258,048.98","456,491,948.12","451,116,429.11","443,448,718.45","438,690,495.67","430,345,541.91","423,148,434.07","419,059,748.52","410,389,436.44","403,335,987.42","431,092,144.19","441,324,541.04","703,680,786.47","724,622,918.27","740,376,061.44","745,974,646.66","729,744,267.82","734,525,545.48","686,732,554.70","729,232,261.12","766,872,120.35","737,585,307.61","754,996,589.67","745,845,676.62","729,764,546.54","697,612,509.53","682,213,961.00","691,451,897.83","676,834,371.46","760,121,970.73","770,839,533.85","741,556,859.74","726,955,072.59"
递延所得税负债,"703,575.65","703,575.65","703,575.65",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
在建工程,"5,601,972.64","8,338,253.44","15,596,546.08","27,265,655.93","28,907,273.00","31,114,252.83","32,583,960.84","25,984,133.64","28,009,652.52","27,301,197.08","20,658,144.21","17,731,122.02","62,476,011.34","21,187,338.59","48,462,507.41","64,727,872.75","72,542,045.99","113,081,689.28","115,506,613.04","146,189,508.25","162,189,154.16","207,181,572.83","257,089,317.50","435,343,664.15","158,888,363.59","152,092,290.51","151,877,468.02","179,211,108.58","206,239,300.43","219,410,111.38","328,846,719.51","340,677,287.37","327,747,917.14","320,299,118.11","323,051,540.68","346,384,774.81","367,640,112.25","403,989,173.18","435,689,228.60","452,454,423.86","462,304,871.73","402,169,384.20","398,433,298.15","511,494,367.71","550,198,433.44"
其他非流动负债,,"4,907,100.00","4,907,100.00",,"3,000,000.00","3,000,000.00",,,,,,,,"16,200,000.00","26,200,000.00","23,200,000.00","23,200,000.00","23,200,000.00","23,400,000.00","23,200,000.00","23,200,000.00","23,200,000.00","23,200,000.00","23,200,000.00","23,200,000.00","22,785,714.28","22,971,428.56","22,557,142.84","22,142,857.12","21,728,571.40","20,914,285.68","2,618,307.87","2,196,509.53","1,627,831.90",,,,,,,,,,,
工程物资,"22,790,952.20","18,796,342.20","21,968,987.82","26,107,386.38","27,111,693.91","10,950,705.00","10,777,606.45","13,448,114.61","18,613,598.14","30,914,702.97","30,914,702.97","2,220,674.61","2,220,674.61","2,220,674.61","20,550.00","20,550.00","20,550.00","20,550.00",,,,,,,,,,,,,,,,,,,,,,,,,,,
非流动负债合计,"6,839,875.65","5,610,675.65","5,610,675.65",,"7,000,000.00","7,000,000.00",,,,"70,000,000.00","72,000,000.00","70,000,000.00","70,000,000.00","86,200,000.00","96,200,000.00","101,200,000.00","101,200,000.00","101,200,000.00","101,400,000.00","101,200,000.00","101,200,000.00","251,200,000.00","101,200,000.00","101,600,000.00","101,600,000.00","31,185,714.28","31,371,428.56","88,117,142.84","87,702,857.12","87,288,571.40","86,474,285.68","38,478,307.83","37,642,223.77","36,679,260.42","35,807,614.25","35,382,239.94","34,481,538.75","33,443,258.04","34,337,211.75","30,880,165.90","42,386,458.09","41,894,811.75","55,936,028.78","52,914,911.43","52,454,986.69"
固定资产清理,,,"11,934.73",,,,,,,,,,,"86,350.80","166,710.18",,"69,566.66","758,147.03","452,911.12",,"1,586,192.21","1,698,053.22","1,513,891.62",,"495,466.04","495,466.04","498,566.04",,,,,,"1,825.00","51,304.50","52,098.04",,"31,034.80","31,034.80","48,783.01",,"20,025.00","6,878,389.80",,,
负债合计,"319,459,650.66","440,598,635.52","429,562,312.88","352,761,436.17","522,589,383.32","561,670,978.79","600,906,825.43","515,727,666.52","988,493,324.00","838,250,620.10","808,431,514.47","662,455,692.59","744,776,931.45","735,853,425.99","690,193,474.63","682,617,118.79","735,661,023.87","724,695,122.13","914,117,378.51","921,553,543.08","827,226,310.61","1,010,847,089.96","913,116,582.21","826,465,701.04","838,133,881.00","966,139,205.06","804,601,674.70","835,386,527.56","648,725,372.24","864,219,876.99","895,472,677.80","1,045,788,170.39","1,099,662,985.20","1,042,619,578.94","929,774,923.78","765,433,582.39","560,362,314.73","621,838,462.49","566,917,272.50","577,694,402.63","598,589,894.45","736,749,239.45","810,118,218.38","717,315,713.06","808,046,547.20"
生产性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
实收资本(或股本),"102,910,000.00","102,910,000.00","102,910,000.00","102,910,000.00","102,910,000.00","102,910,000.00","102,910,000.00","102,910,000.00","167,910,000.00","167,910,000.00","167,910,000.00","167,910,000.00","167,910,000.00","167,910,000.00","302,238,000.00","302,238,000.00","302,238,000.00","302,238,000.00","302,238,000.00","302,238,000.00","302,238,000.00","302,238,000.00","302,238,000.00","302,238,000.00","302,238,000.00","302,238,000.00","419,510,724.00","419,510,724.00","419,510,724.00","419,510,724.00","671,217,159.00","671,217,159.00","671,217,159.00","671,217,159.00","1,208,190,886.00","1,208,190,886.00","1,208,190,886.00","1,208,190,886.00","1,208,190,886.00","1,208,190,886.00","1,208,190,886.00","1,208,190,886.00","1,208,190,886.00","1,208,190,886.00","1,208,190,886.00"
油气资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
资本公积,"237,868,761.38","237,868,761.38","237,868,761.38","236,163,156.72","236,163,156.72","236,163,156.72","236,163,156.72","236,163,156.72","951,717,798.95","951,717,798.95","951,717,798.95","936,432,211.60","936,432,211.60","936,432,211.60","804,114,067.34","805,346,605.97","805,346,605.97","805,346,605.97","805,346,605.97","805,346,605.97","805,346,605.97","805,346,605.97","805,346,605.97","805,346,605.97","805,346,605.97","805,346,605.97","1,949,318,945.89","1,949,318,945.89","1,949,318,945.89","1,944,928,402.00","1,697,612,510.89","1,697,612,510.89","1,697,612,510.89","1,697,612,510.89","1,160,638,783.89","1,160,135,086.52","1,160,135,086.52","1,160,135,086.52","1,160,135,086.52","1,160,135,086.52","1,160,135,086.52","1,160,135,086.52","1,160,135,086.52","1,160,135,086.52","1,160,135,086.52"
无形资产,"433,340.00","400,841.00","368,342.00","335,843.00","303,344.00","270,845.00","238,346.00","205,847.00","173,348.00","140,849.00","108,350.00","75,851.00","43,352.00","10,843.00",,,,,,,,,"35,572,777.78","36,825,115.54","142,485,015.45","144,025,830.88","143,298,033.67","192,246,152.20","193,268,181.10","192,271,463.20","191,308,279.30","190,308,208.00","189,321,550.30","103,313,794.25","105,423,177.67","104,695,894.42","103,968,611.12","103,241,327.87","102,514,044.62","101,786,761.37","101,059,478.12","101,638,361.67","101,087,050.14","100,215,553.07","99,363,134.62"
盈余公积,"35,145,212.08","35,145,212.08","35,145,212.08","45,919,021.76","45,919,021.76","45,919,021.76","45,919,021.76","54,679,850.61","54,679,850.61","54,679,850.61","54,679,850.61","65,045,829.98","65,045,829.98","65,045,829.98","65,045,829.98","66,650,683.40","66,650,683.40","66,650,683.40","66,650,683.40","73,549,101.00","73,549,101.00","73,549,101.00","73,549,101.00","76,889,789.18","76,889,789.18","84,889,789.18","84,889,789.18","89,422,928.60","89,422,928.60","127,795,905.76","127,795,905.76","143,793,232.98","143,793,232.98","161,107,687.98","161,107,687.98","168,205,019.16","168,205,019.16","174,077,307.85","174,077,307.85","176,215,344.93","176,215,344.93","188,885,326.27","188,885,326.27","188,885,326.27","188,885,326.27"
开发支出,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
减:库存股,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
商誉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
未分配利润,"62,692,892.91","61,094,776.30","78,076,693.74","95,468,160.53","103,478,042.01","109,731,752.75","127,929,537.60","147,117,939.74","139,020,299.49","147,211,895.91","147,237,750.38","172,683,812.23","174,562,622.63","191,511,055.02","195,842,877.14","214,785,746.34","231,199,198.65","259,292,895.81","264,963,373.21","307,605,092.13","313,297,004.47","344,703,609.22","386,552,696.05","415,964,337.22","424,548,216.03","431,554,960.28","455,612,498.47","493,636,392.89","495,192,681.19","453,845,494.29","470,454,699.63","537,685,615.43","540,368,035.61","506,903,744.73","527,130,520.60","570,454,202.42","574,351,277.23","546,628,325.74","538,740,891.34","557,974,037.45","547,054,908.60","558,616,307.04","565,223,957.27","562,112,026.59","550,139,319.35"
长期待摊费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
少数股东权益,"39,019,737.77","41,337,761.89","43,180,846.85","51,238,798.36","54,037,077.79","50,204,205.91","56,527,662.91","59,846,296.60","60,274,168.88","51,244,338.89","45,547,606.45","7,128,823.61","7,290,298.40","7,862,286.41","2,062,218.58",,,,,,"75,000,000.00","74,615,264.62","74,497,370.30","84,357,541.50","84,319,884.22","84,363,273.12","84,112,692.68","126,475,193.73","171,027,273.45","171,676,308.68","171,379,123.73","171,476,469.41","171,378,728.53",,,,,,,,,,,,
