科目,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、经营活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收回投资收到的现金,,,,,"29,200,000.00",,,"20,000,000.00",,,,,,,"29,338,447.45","38,644,771.95","38,644,771.95","5,094,799.19","5,094,799.19","9,874,799.19","28,374,799.19","19,240,000.00","34,768,795.64","58,603,795.64","92,229,179.48","6,845,128.11","6,845,128.11","114,010,487.86","150,892,787.86","42,885,707.25","82,054,097.25","175,383,409.18","376,824,385.11","250,536,898.48","364,513,315.56","460,008,011.74","644,734,936.81","1,819,084,424.54","2,584,343,904.94","2,771,900,333.45","3,231,799,903.45","312,326,738.45","951,531,948.37"
客户存款和同业存放款项净增加额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
取得投资收益收到的现金,"5,677,131.99","429,034.92","26,632,263.04","36,861,673.12","64,320,190.11","821,692.06","55,296,035.90","64,553,077.22","62,250,162.27","23,974,245.90","13,234,122.09","32,086,375.22","50,059,130.51","9,887,984.70","31,854,862.77","47,363,848.32","30,990,760.92","603,059.86","8,551,104.03","188,224,024.34","32,953,523.45","2,368,093.65","137,669,828.40","151,558,110.09","277,802,998.84","42,521,168.91","130,981,260.01","261,159,321.64","342,866,173.59","141,940,264.40","385,837,257.55","521,751,121.91","794,710,496.11","230,575,132.43","448,020,370.86","568,841,765.07","849,579,893.53","231,012,296.85","296,065,802.02","412,604,532.87","476,187,684.48","28,672,206.93","138,528,322.26"
向中央银行借款净增加额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到其他与投资活动有关的现金,"131,680.86","83,146.16","248,559.42","540,754.49","810,454.21","81,835.85","328,931.18","532,193.71","764,526.10","19,114,498.27","19,171,942.48","29,234,486.93","67,825,234.02","180,304.95","50,605,649.62","50,734,935.23","44,673,256.87","117,366.38","140,927.43","37,739,681.37","75,220,985.60","37,132.58","839,273.18","1,413,163.37","1,841,248.06","25,151.27","78,649.56","762,986.67","854,792.26","135,839.17","1,229,964.94","1,464,501.24","2,010,184.59","85,177.70","2,875,749.35","2,980,241.21","3,386,385.94","129,528.14","257,351.75","415,484.03","559,081.39","94,463.92","428,695.93"
向其他金融机构拆入资金净增加额,,,,,,"500,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,090,000,000.00","2,050,000,000.00",,
投资活动现金流入小计,"5,808,812.85","512,181.08","26,880,822.46","37,402,427.61","94,330,644.32","903,527.91","55,624,967.08","85,085,270.93","63,014,688.37","43,088,744.17","32,406,064.57","61,320,862.15","117,884,364.53","10,068,289.65","111,798,959.84","136,743,555.50","114,308,789.74","5,815,225.43","13,786,830.65","235,838,504.90","136,549,308.24","21,645,226.23","173,277,897.22","211,575,069.10","371,873,426.38","49,391,448.29","137,905,037.68","375,932,796.17","494,613,753.71","184,961,810.82","469,121,319.74","698,599,032.33","1,173,545,065.81","481,197,208.61","815,409,435.77","1,031,830,018.02","1,497,701,216.28","2,050,226,249.53","2,880,667,058.71","3,184,920,350.35","3,708,546,669.32","341,093,409.30","1,090,488,966.56"
收取利息、手续费及佣金的现金,"12,144,462,980.46","563,891,075.75","1,007,956,804.08","1,335,971,099.12","1,684,415,898.67","1,350,358,522.29","1,203,257,513.23","9,909,716,725.01","2,879,352,125.80","637,995,793.73","1,215,315,604.35","1,831,589,464.43","2,713,791,318.26","605,553,943.48","1,194,814,474.56","1,762,256,358.58","2,286,253,326.66","489,932,181.30","1,048,577,095.28","1,558,349,400.33","2,101,429,257.45","632,146,758.81","1,175,499,511.44","1,897,325,545.75","2,704,760,167.93","935,865,680.51","1,682,288,741.57","2,836,042,136.74","4,472,612,522.54","1,911,407,031.96","5,413,394,625.70","8,035,626,230.50","10,470,540,135.66","1,707,219,393.40","3,802,405,560.10","5,565,981,123.76","7,786,759,142.96","1,728,275,874.92","3,765,197,950.60","5,762,496,420.05","7,747,976,329.30","1,890,290,041.35","3,602,280,515.27"
投资支付的现金,"229,697,707.41",,,,"29,338,447.45","7,845,128.11","7,845,128.11","71,795,159.69","51,795,159.69","176,105,935.73","322,084,657.68","360,900,982.18","201,704,665.42",,"104,347,579.70","222,821,801.42","302,083,565.26","16,476,464.85","16,476,464.85","66,526,341.17","218,220,233.81","26,346,389.24","139,149,693.10","328,909,438.31","427,126,991.73","74,781,742.09","164,023,618.63","165,708,386.37","416,051,626.39","325,628,659.41","616,675,272.20","815,045,482.39","1,632,104,376.82","737,750,000.00","1,330,330,000.00","1,450,630,000.00","3,043,997,500.00","503,530,498.59","569,104,778.17","738,904,252.57","1,522,991,514.48","114,440,000.00","148,086,000.00"
