科目,2008年度,2009年度,2010年度,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"216,617,878.81","208,505,380.26","546,663,520.30","837,917,810.11","922,093,196.43","93,622,428.60","135,087,318.96","161,926,395.94","219,175,116.16","68,419,224.44","161,423,629.17","194,789,619.31","238,954,443.58","70,971,017.23","139,269,580.40","206,897,922.84","327,354,365.82","45,209,444.71","172,089,643.59","272,661,322.44","375,098,644.44","166,395,291.87","291,875,288.94","525,298,041.28","734,014,277.01","215,765,057.73","507,378,806.39","953,838,601.37"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,"49,315,917.53","132,090,197.62","132,005,401.47",,,,,,,
收到的税费返还,"4,078,395.79","4,672,313.60","5,849,973.67","13,307,662.38","46,787,666.55",,"89,949.01","3,988,421.93","4,007,453.28","79,315.74","116,535.02","116,535.02","3,888,274.66","1,320,185.27","2,762,862.53","6,372,842.31","9,184,462.11","1,551,833.36","1,580,248.88","2,679,531.01","6,657,992.77","4,798,675.54","7,562,553.15","15,714,685.75","21,221,093.98","3,880,718.97","18,000,538.00","37,192,193.29"
支付其他与投资活动有关的现金,,,,,,,,,,,,,"22,542,808.00",,,,,,,,"36,169,079.46",,,,,,,
收到其他与经营活动有关的现金,"1,145,150.00","7,815,254.28","34,989,302.16","28,672,086.03","46,515,057.55","10,957,078.91","29,371,799.01","40,848,897.50","16,274,789.47","1,344,304.28","32,608,623.46","39,643,967.80","43,506,477.11","10,193,636.65","30,171,086.03","37,778,071.56","57,577,534.69","8,978,222.03","34,009,038.39","34,616,350.81","53,202,986.41","9,697,201.74","14,202,871.87","35,046,854.59","30,644,825.91","10,058,379.35","15,547,462.97","26,840,637.95"
投资活动现金流出小计,"79,641,976.44","21,773,449.68","19,649,822.83","33,129,155.91","36,253,634.17","3,073,216.49","4,437,351.96","9,035,359.09","12,815,071.76","162,696.00","31,503,032.07","142,702,536.26","400,174,745.82","262,405,838.06","423,927,198.54","658,320,451.35","988,112,772.43","250,687,780.49","311,477,419.70","904,917,721.92","989,044,427.04","115,377,647.84","120,305,152.76","209,726,884.80","693,521,337.43","366,684,354.66","1,105,969,436.20","1,403,684,579.43"
经营活动现金流入小计,"221,841,424.60","220,992,948.14","587,502,796.13","879,897,558.52","1,015,395,920.53","104,579,507.51","164,549,066.98","206,763,715.37","239,457,358.91","69,842,844.46","194,148,787.65","234,550,122.13","286,349,195.35","82,484,839.15","172,203,528.96","251,048,836.71","394,116,362.62","55,739,500.10","207,678,930.86","309,957,204.26","434,959,623.62","180,891,169.15","313,640,713.96","576,059,581.62","785,880,196.90","229,704,156.05","540,926,807.36","1,017,871,432.61"
投资活动产生的现金流量净额,"-77,823,832.22","-21,603,872.93","-19,196,636.50","-32,358,859.71","-35,130,815.77","-2,537,280.59","-3,054,317.63","-7,050,104.45","-12,263,996.39","-162,696.00","-31,503,032.07","-142,192,178.62","-150,777,870.10","-61,723,268.21","-13,340,484.85","-162,418,181.49","-391,730,882.61","-27,300,836.23","-11,023,690.80","-337,733,333.30","-384,723,236.43","-61,693,148.79","623,767.75","-88,709,185.99","-483,776,939.33","59,223,878.23","-259,221,552.12","-293,097,091.54"
购买商品、接受劳务支付的现金,"110,478,612.02","95,531,246.85","335,339,964.42","591,785,811.84","655,193,961.96","53,180,236.53","76,799,068.83","98,497,232.54","117,552,255.90","30,921,451.41","49,367,243.47","59,407,086.12","88,301,284.03","49,345,222.80","93,095,196.73","158,438,695.72","154,114,906.37","57,045,007.47","202,791,914.47","272,974,382.63","332,705,869.19","112,948,764.08","205,728,327.91","297,842,048.62","552,592,842.20","162,285,113.99","354,318,608.23","571,639,320.46"
吸收投资收到的现金,,,,,,,"1,045,022,500.00","1,045,022,500.00","1,045,022,500.00",,"10,000,000.00","10,000,000.00","14,900,000.00",,"10,000,000.00","10,000,000.00","30,000,000.00",,"26,618,812.76","33,605,697.50","49,599,649.76","60,000,000.00","69,898,508.50","69,898,508.50","1,369,598,508.50",,,
