科目,2011年度,2012年度,2013年度,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"257,860,690.64","224,052,367.54","273,690,432.08","144,081,417.11","220,566,576.25","298,369,078.70","61,578,650.75","132,748,510.85","215,720,236.21","262,923,058.95","54,184,656.46","131,947,221.77","197,663,586.45","295,083,103.78","103,980,687.17","227,380,754.66","340,066,760.63","470,024,075.13","143,496,856.30","282,693,067.33","414,443,096.91","601,044,799.82","118,308,559.12"
取得子公司及其他营业单位支付的现金净额,,,"694,297.33",,,,,,,,,,,,,,,,,,,,
收到的税费返还,"260,724.00","6,922,349.48","7,586,550.28","2,817,069.48","4,096,028.04","8,376,325.82","1,703,771.67","3,280,062.34","4,255,321.16","8,214,992.95","1,522,822.97","3,416,304.09","7,131,728.55","10,692,142.25","2,171,457.44","4,425,565.14","8,679,043.72","12,733,180.24","5,478,066.42","10,015,641.52","15,546,470.14","25,915,175.57","1,846,944.21"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,"101,000,000.00","344,270,000.00",,
收到其他与经营活动有关的现金,"4,807,672.83","4,292,298.59","2,301,645.13","2,449,381.87","9,922,776.20","11,330,928.35","8,947,962.57","11,319,805.44","11,604,299.14","12,033,723.75","2,699,522.84","8,361,908.15","10,494,453.65","12,257,619.01","4,510,594.04","5,479,920.71","8,958,864.03","9,047,967.62","7,539,989.18","11,187,519.53","11,891,058.20","13,335,096.32","13,454,669.97"
投资活动现金流出小计,"23,059,238.33","17,134,103.87","7,452,449.28","3,723,014.16","4,067,994.92","11,874,510.70","10,276,643.96","11,082,827.20","12,792,327.02","15,298,607.35","2,785,786.64","5,410,112.74","9,411,358.41","20,074,961.45","12,985,648.02","44,339,781.39","49,754,329.92","91,466,579.28","44,299,225.71","182,444,185.11","443,442,227.86","736,836,450.60","183,740,924.62"
经营活动现金流入小计,"262,929,087.47","235,267,015.61","283,578,627.49","149,347,868.46","234,585,380.49","318,076,332.87","72,230,384.99","147,348,378.63","231,579,856.51","283,171,775.65","58,407,002.27","143,725,434.01","215,289,768.65","318,032,865.04","110,662,738.65","237,286,240.51","357,704,668.38","491,805,222.99","156,514,911.90","303,896,228.38","441,880,625.25","640,295,071.71","133,610,173.30"
投资活动产生的现金流量净额,"-23,059,238.33","-16,831,103.87","5,169,282.87","-3,723,014.16","-4,067,994.92","-11,874,510.70","-10,195,822.05","-10,811,977.90","-7,391,381.83","-9,890,662.16","-2,785,786.64","-5,383,312.74","-9,280,758.41","-19,943,861.45","-12,985,648.02","-44,339,781.39","-49,754,329.92","-91,466,579.28","-44,299,225.71","-166,364,760.45","-204,710,579.91","-292,679,470.39","18,574,166.71"
购买商品、接受劳务支付的现金,"154,435,905.52","131,092,433.97","163,091,823.52","87,064,770.36","132,691,009.84","178,545,088.30","40,386,851.04","76,717,312.66","113,713,257.87","117,924,795.24","31,481,554.36","72,912,087.32","117,543,428.17","165,597,350.04","45,334,560.57","93,195,834.63","168,407,273.34","238,604,847.24","80,601,780.50","132,275,353.46","212,161,359.86","288,467,300.04","70,372,778.98"
吸收投资收到的现金,,,,,"152,000,000.00","130,200,000.00",,,,,,,,,,,,,"23,460,000.00","23,460,000.00","23,460,000.00","25,540,800.00","3,699,200.00"
