科目,2013-12-31,2014-12-31,2015-12-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31
货币资金,"67,452,645.79","73,095,261.72","87,924,393.11","103,175,865.94","93,002,398.42","779,365,019.84","297,473,776.19","309,808,067.98","142,799,676.34","144,333,302.26"
短期借款,"65,000,000.00","70,000,000.00","50,000,000.00","80,000,000.00","100,000,000.00",,,"36,959,948.43","36,603,275.49","36,116,885.69"
交易性金融资产,,,,,,,,,,
交易性金融负债,,,,,,,,,,
应收票据,,,,,,,,,,
应付票据,"168,000,000.00","70,000,000.00","15,000,000.00",,,,,,,
应收账款,"75,379,712.86","97,154,478.05","128,663,229.06","129,894,972.95","118,626,401.05","136,879,399.04","143,346,172.07","113,740,885.28","113,882,593.46","176,645,482.23"
应付账款,"173,487,001.84","437,442,183.69","275,381,765.24","314,808,087.24","293,699,605.18","263,766,814.92","170,073,393.17","164,411,653.00","200,394,206.63","191,620,629.40"
预付款项,"61,279,024.32","41,787,163.48","41,182,840.95","43,622,378.86","60,145,193.68","44,820,833.00","52,240,475.79","54,404,337.26","55,493,966.13","47,127,824.96"
预收款项,"5,165,963.38","12,136,466.08","18,523,564.63","5,796,590.84","7,927,474.48","18,301,331.12","18,737,462.25","27,221,762.09","27,811,544.67","30,498,225.07"
其他应收款,"9,716,967.38","11,505,320.39","8,862,645.72","10,229,029.04","11,530,706.80","11,431,666.01","11,700,533.61","14,547,885.81","15,498,210.34","16,623,259.16"
应付职工薪酬,"18,037,974.90","26,885,989.98","22,512,126.70","18,436,184.20","27,367,499.43","43,130,459.24","33,443,215.93","35,504,253.08","27,535,351.68","49,663,821.69"
应收关联公司款,,,,,,,,,,
应交税费,"24,903,436.22","19,806,200.40","37,414,277.98","41,114,039.15","42,206,347.62","37,460,565.62","54,476,099.11","45,417,550.35","48,348,233.34","60,347,192.99"
应收利息,,,,,,,,"3,185,249.31","518,849.32","6,184,197.27"
应付利息,"104,977.17","128,333.33","70,228.49","102,222.22","70,228.49",,,"36,326.25","37,894.11","40,745.18"
应收股利,,,,,,,,,,
应付股利,,,,,,,,"48,639,120.00",,
存货,"956,381,925.78","1,250,986,392.04","1,108,239,020.58","1,198,029,344.14","1,258,143,648.42","1,325,835,056.24","1,368,589,564.59","1,395,441,126.71","1,440,712,405.13","1,469,020,240.16"
其他应付款,"38,234,541.26","52,417,929.24","61,589,219.67","60,988,260.89","83,489,710.49","100,020,356.45","102,506,405.21","107,385,798.16","106,653,683.34","167,162,139.18"
其中:消耗性生物资产,,,,,,,,,,
应付关联公司款,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,
其他流动资产,"3,940,102.57","24,915,187.87","14,991,227.79","10,649,612.61","14,941,777.08","14,209,503.61","471,704,354.65","541,976,501.92","702,024,586.95","755,761,086.12"
其他流动负债,,,,,,,,,,
流动资产合计,"1,174,150,378.70","1,499,443,803.55","1,389,863,357.21","1,495,601,203.54","1,556,390,125.45","2,312,541,477.74","2,345,054,876.90","2,433,104,054.27","2,470,930,287.67","2,615,695,392.16"
流动负债合计,"492,933,894.77","688,817,102.72","480,491,182.71","521,245,384.54","554,760,865.69","462,679,527.35","379,236,575.67","465,576,411.36","447,384,189.26","535,449,639.20"
可供出售金融资产,,,,,,,,,,
长期借款,,,,,,,,"2,288,079.16","2,288,079.24","2,353,103.07"
持有至到期投资,,,,,,,,,,
应付债券,,,,,,,,,,
长期应收款,,,,,,,,,,
长期应付款,,,,,,,,,,
长期股权投资,,,,,,,,,,
专项应付款,,,,,,,,,,
投资性房地产,"8,183,500.82","7,634,305.33","2,986,182.45","2,834,123.94","2,758,094.69","2,682,065.43","2,606,036.17","2,529,746.43","2,529,746.42","2,377,427.43"
预计负债,,,,,,,,,,
固定资产,"90,142,650.33","86,591,821.91","86,666,694.04","84,330,018.11","83,633,666.32","81,777,553.72","80,032,295.57","80,552,856.46","79,356,824.47","77,633,610.98"
递延所得税负债,,,,,,,,,,
在建工程,,,,,,,,,,"471,698.11"
其他非流动负债,,,,,,,,,,
工程物资,,,,,,,,,,
非流动负债合计,"10,322,617.90","11,033,137.51","8,151,623.25","9,687,892.88","10,233,255.01","8,712,090.28","8,945,798.03","9,360,563.73","9,360,563.81","9,347,714.23"
固定资产清理,,,,,,,,,,
负债合计,"503,256,512.67","699,850,240.23","488,642,805.96","530,933,277.42","564,994,120.70","471,391,617.63","388,182,373.70","474,936,975.09","456,744,753.07","544,797,353.43"
生产性生物资产,,,,,,,,,,
实收资本(或股本),"182,396,700.00","182,396,700.00","182,396,700.00","182,396,700.00","182,396,700.00","243,195,600.00","243,195,600.00","243,195,600.00","340,473,840.00","340,473,840.00"
油气资产,,,,,,,,,,
资本公积,"441,836,078.84","441,836,078.84","441,836,078.84","441,836,078.84","441,836,078.84","1,189,602,178.84","1,189,602,178.84","1,189,602,178.84","1,090,794,865.02","1,092,749,571.60"
无形资产,"14,118,180.65","16,058,392.23","20,927,485.56","31,906,197.79","30,572,371.14","29,325,134.46","28,262,713.59","27,030,822.24","25,831,280.13","24,737,048.62"
盈余公积,"23,530,501.66","36,911,602.22","52,004,387.11","52,004,387.11","52,004,387.11","70,324,387.13","70,324,387.13","70,324,387.13","70,324,387.13","104,588,769.37"
开发支出,,,,,,,,,,
减:库存股,,,,,,,,,,
商誉,,,,,,,,"28,427,136.45","28,427,136.45","28,427,136.45"
未分配利润,"168,617,902.47","292,234,928.10","398,160,840.87","462,370,700.02","492,963,821.55","521,227,589.74","631,371,486.76","663,281,486.10","718,644,713.06","747,531,223.07"
长期待摊费用,"26,947,826.93","32,377,453.15","36,491,553.07","28,453,163.29","34,024,552.72","38,710,943.29","36,015,033.24","37,910,408.94","41,011,302.31","42,326,094.87"
少数股东权益,"-876,216.50","-1,486,699.42","-1,985,471.99","-2,212,626.05","-2,314,771.04","-2,590,621.96","-2,591,494.22","-1,533,305.02","774,372.42","650,041.40"
递延所得税资产,"5,218,941.71","9,637,073.80","15,404,549.57","16,004,895.67","16,302,611.84","19,914,661.74","19,914,661.74","21,566,933.70","21,566,933.70","30,151,273.37"
外币报表折算价差,,,,,,,,,,
其他非流动资产,,,"8,715,518.89","8,198,915.00","8,198,915.00","8,198,915.00","8,198,915.00","8,743,059.70","8,201,495.24","9,081,057.82"
非正常经营项目收益调整,,,,,,,,,,
