科目,2007年度,2008年度,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"287,642,669.31","332,412,248.41","171,026,075.92","280,604,479.95","406,428,040.45","85,629,106.51","213,906,453.36","338,989,048.84","488,924,441.41","111,560,484.23","278,545,703.05","478,747,117.28","710,158,450.56","187,374,369.23","405,333,626.51","678,279,024.17","990,486,870.92","220,717,010.95","518,200,037.48","835,071,160.59","1,319,285,933.67","277,475,900.84","591,530,260.71","868,695,729.23","1,125,201,345.67","293,299,254.78","715,455,912.55","1,134,888,292.23","1,689,922,082.60","426,334,861.05","1,473,503,777.55","2,211,317,724.74","2,952,700,424.22","442,266,878.29","1,545,240,240.31","2,775,386,310.49","3,551,471,459.74","535,575,570.69","1,648,089,007.00"
二、营业利润,"42,228,337.27","52,246,821.21","23,644,903.23","42,291,333.39","69,126,742.19","11,747,549.28","33,958,706.14","59,506,955.16","79,705,413.09","19,894,750.89","55,557,890.01","98,735,848.78","135,967,312.03","31,720,680.98","93,614,415.55","155,293,140.00","216,683,514.44","48,567,853.42","130,358,649.55","209,487,846.00","311,660,563.76","66,085,402.23","143,763,859.01","200,110,716.13","299,256,622.28","38,309,340.27","110,868,469.23","237,170,332.98","206,389,220.06","31,867,419.90","128,393,593.97","307,720,422.36","341,219,557.88","66,204,004.98","232,533,986.36","447,265,748.91","473,274,644.46","95,148,932.57","276,424,384.53"
减:营业成本,"205,618,050.71","225,674,529.29","117,376,948.02","192,768,741.14","278,377,347.00","59,449,527.10","143,246,613.90","227,044,557.61","328,979,106.58","75,342,215.21","186,020,212.15","319,944,741.45","474,831,010.62","125,052,414.69","256,096,357.23","437,330,647.27","632,736,719.84","143,312,865.09","321,951,369.92","520,860,437.02","817,004,744.29","172,848,263.06","349,124,858.90","520,356,010.52","676,413,556.12","202,666,201.23","474,105,189.81","691,473,670.13","1,119,876,826.64","331,934,373.37","1,134,724,473.33","1,643,953,230.93","2,234,541,018.07","317,117,105.17","1,126,395,945.41","2,069,205,003.06","2,685,690,960.66","373,752,232.29","1,152,959,529.60"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"2,253,686.17","2,306,156.86","1,326,525.15","1,709,381.23","2,708,878.66","502,502.58","1,044,840.97","1,694,531.67","2,793,856.79","688,081.93","1,407,822.19","1,765,144.00","3,233,104.74","1,083,020.79","1,714,029.11","1,721,518.97","3,774,951.49","795,777.52","2,058,765.34","3,609,363.12","8,157,374.30","895,558.93","4,707,234.97","6,021,710.70","9,011,890.14","1,550,140.57","4,386,110.53","6,714,283.17","8,943,554.85","791,661.69","5,140,917.18","7,156,639.41","18,085,694.09","4,610,014.71","14,728,562.19","23,582,233.24","28,646,042.54","3,161,132.48","14,216,536.10"
营业外收入,"6,192,657.67","9,078,697.06","2,474,000.00","2,574,000.00","2,722,755.89","66,611.37","1,153,236.93","1,206,788.12","3,606,788.12","45,000.00","2,510,287.00","2,929,540.94","16,949,914.90","952,659.91","1,319,310.46","79,913,284.52","93,479,126.05","10,000.00","634,063.62","1,002,061.87","5,678,217.04","58,874.87","15,814,998.70","17,331,384.19","21,018,441.97","2,344,856.94","3,277,436.94","4,254,473.01","7,530,762.45","21,410,901.19","23,422,073.91","24,452,239.34","25,499,883.83","1,009,087.38","2,236,349.06","38,003,264.09","38,796,257.43","652,025.88","953,946.00"
销售费用,"5,465,693.84","7,512,306.34","3,705,560.90","19,853,818.04","10,594,593.67","4,432,937.69","8,101,826.75","11,870,534.75","18,989,302.78","5,370,361.13","10,831,039.89","21,423,172.35","39,140,432.31","8,686,308.13","16,218,125.26","27,692,895.74","47,621,192.01","11,152,047.08","20,535,128.11","32,700,452.46","62,272,589.69","16,221,338.13","31,076,144.82","51,085,004.78","75,594,225.88","15,285,803.59","34,490,982.40","53,150,607.89","93,585,632.34","13,961,775.29","50,400,111.26","66,082,129.09","100,816,852.14","9,519,413.37","38,475,083.13","60,364,479.71","96,691,816.79","13,471,916.72","35,220,641.09"
减:营业外支出,"32,653.41","30,569.73","35,594.90","1,905,994.90","190,482.90",,"3,669.09","4,533.09","75,352.23","224,304.68","226,304.68","227,339.32","93,799.62",,"3,003.79","71,808,176.08","82,510,128.84","3,426.00","3,426.00","24,263.08","83,087.02","137,081.40","218,516.85","230,063.04","288,895.43",580.39,"7,496.29",,"383,152.97","2,068,292.11","2,668,322.15","2,986,739.66","3,003,531.32",914.84,"9,200.16","7,036.36","50,426.33","2,397.45","213,275.33"
管理费用,"14,240,855.28","22,420,387.44","11,632,382.83","10,557,873.15","28,752,818.27","6,842,540.21","14,442,002.72","21,250,297.62","37,578,063.01","7,862,475.19","17,592,230.66","24,949,700.91","36,498,251.07","13,077,939.60","24,179,004.75","37,510,617.48","53,603,051.36","11,777,096.65","26,096,268.27","44,052,411.41","66,784,303.49","15,346,749.65","40,026,278.31","72,442,644.60","142,573,596.99","24,352,578.79","54,999,895.90","90,644,843.28","149,096,672.43","33,413,751.95","105,737,710.85","157,627,597.32","230,578,172.92","35,879,066.82","101,301,498.74","157,455,005.26","232,922,826.34","36,796,706.62","109,493,781.95"
其中:非流动资产处置净损失,"28,569.73",,,,,,,,,,,,,,,,,,"3,426.00",,"53,070.01",,,,"72,442.48",,580.39,,"138,599.85",,"578,556.59","879,230.76","880,707.86",899.15,"8,978.96","6,815.16",,,
