科目,2007年1-3月,2007年1-6月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"124,328,103.67","247,485,269.63","526,885,996.71","128,073,841.81","281,603,730.17","452,899,535.99","617,944,111.97","162,312,834.55","319,749,000.88","501,776,191.46","650,595,746.88","152,529,618.95","330,130,524.01","530,804,770.65","735,071,037.17","189,748,591.48","434,603,446.64","701,162,019.75","941,650,588.22","259,498,139.74","514,473,373.96","812,417,986.11","1,152,016,859.44","270,537,737.68","566,211,900.49","916,459,318.51","1,236,983,207.20","300,041,568.74","617,021,460.54","867,410,600.56","1,166,442,680.82","296,580,411.40","591,149,886.63","878,446,450.10","1,158,483,073.34","276,024,032.40","565,923,419.37","902,682,173.16","1,235,339,965.14","283,591,048.98","540,153,294.61","898,399,399.27","1,219,770,508.06"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,"2,470,901.36","2,470,901.36","2,470,901.36","2,470,901.36",,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,,,,,,"49,989.97",,,,,"126,828.33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付其他与投资活动有关的现金,,,,,,,,,"-4,245.00","-4,245.00",,,,,"4,526,668.65","2,758,043.00","2,758,043.00","2,758,043.00",,,,,,,,"110,000,000.00","247,000,000.00","160,000,000.00","400,000,000.00","470,000,000.00","510,000,000.00","30,000,000.00","50,000,000.00","130,000,000.00","150,000,000.00","20,000,000.00","60,000,000.00","120,000,000.00","150,000,000.00","90,000,000.00","180,000,000.00","320,000,000.00","320,000,000.00"
收到其他与经营活动有关的现金,"1,255,291.17","1,403,593.46","6,917,756.71","554,246.39","1,073,538.90","2,211,606.52","17,798,975.61","2,236,694.24","4,634,410.46","8,645,865.43","11,402,513.39","2,303,123.68","5,470,848.40","7,716,071.18","9,148,819.01","9,707,157.12","13,603,446.46","19,894,476.44","22,830,915.09","14,571,730.25","15,761,276.45","26,752,356.96","27,840,123.59","11,066,208.72","14,036,044.90","23,631,322.34","30,302,049.98","5,329,786.76","12,308,786.22","22,890,162.67","65,632,349.14","5,796,952.30","11,944,160.38","17,278,928.85","44,877,656.21","5,590,717.56","10,168,750.70","19,765,706.81","26,712,611.63","6,966,175.61","16,776,129.52","26,389,753.63","19,335,323.89"
投资活动现金流出小计,"23,116,363.49","51,604,253.39","92,969,481.17","14,675,015.70","28,510,288.90","56,455,041.60","77,555,755.08","17,093,250.13","33,082,043.33","56,412,550.07","86,747,561.50","36,759,721.98","62,607,767.35","94,433,513.64","134,189,520.50","33,732,497.36","98,820,473.69","163,718,810.70","234,148,082.21","56,269,061.32","99,495,682.63","154,412,807.53","198,067,956.14","23,543,242.60","194,986,838.59","359,954,377.45","567,471,510.84","211,148,345.79","498,695,000.61","599,915,776.05","745,771,647.89","73,587,265.42","121,820,400.84","218,746,871.49","263,847,856.59","42,470,329.56","93,803,274.59","166,662,791.08","236,456,941.26","114,597,720.64","222,368,347.71","393,594,195.52","410,276,241.19"
经营活动现金流入小计,"125,583,394.84","248,888,863.09","533,803,753.42","128,628,088.20","282,677,269.07","455,161,132.48","635,743,087.58","164,549,528.79","324,383,411.34","510,422,056.89","662,125,088.60","154,832,742.63","335,601,372.41","538,520,841.83","744,219,856.18","199,455,748.60","448,206,893.10","721,056,496.19","964,481,503.31","274,069,869.99","530,234,650.41","839,170,343.07","1,179,856,983.03","281,603,946.40","580,247,945.39","940,090,640.85","1,267,285,257.18","305,371,355.50","629,330,246.76","890,300,763.23","1,232,075,029.96","302,377,363.70","603,094,047.01","895,725,378.95","1,203,360,729.55","281,614,749.96","576,092,170.07","922,447,879.97","1,262,052,576.77","290,557,224.59","556,929,424.13","924,789,152.90","1,239,105,831.95"
投资活动产生的现金流量净额,"-23,116,363.49","-51,384,253.39","-92,749,481.17","-14,675,015.70","-28,490,288.90","-56,311,191.60","-77,441,155.08","-17,093,250.13","-33,040,043.33","-56,363,560.07","-86,535,561.50","-36,430,048.98","-62,241,094.35","-94,066,840.64","-133,622,847.50","-33,682,497.36","-98,675,473.69","-163,484,030.70","-209,043,592.61","-56,269,061.32","-89,435,469.63","-144,352,594.53","-183,617,243.14","-16,513,242.60","-185,339,638.59","-348,078,655.84","-447,469,147.85","-1,320,195.11","-98,075,930.75","-87,770,815.78","-132,881,343.56","-21,488,760.21","-19,307,402.48","-115,683,873.13","-75,030,611.65","-12,252,137.78","-31,937,165.00","-84,647,092.45","-55,266,481.80","-114,597,720.64","-129,926,765.52","-149,225,522.87","-144,475,583.18"
购买商品、接受劳务支付的现金,"82,796,793.76","165,705,670.26","351,824,388.52","107,497,391.82","210,479,232.75","315,544,844.19","424,660,440.43","102,404,960.39","173,591,712.66","261,659,177.10","352,125,375.37","92,737,865.14","183,589,081.00","310,828,416.45","426,197,391.76","139,703,263.08","293,535,685.04","437,249,507.84","575,090,912.72","173,439,975.86","314,926,299.87","516,611,290.63","667,570,903.04","156,915,013.13","332,901,065.66","524,624,167.79","696,269,050.14","177,704,534.34","380,174,967.40","554,654,879.54","688,210,568.92","172,562,602.82","314,508,499.06","478,580,247.87","614,658,043.73","167,072,587.52","314,216,985.98","472,816,294.87","610,844,775.90","170,733,848.23","331,027,157.09","537,364,112.14","744,487,115.15"
吸收投资收到的现金,"8,324,626.75","8,324,626.75","8,324,626.75",,"297,502,680.56","297,502,680.56","303,774,125.00",,,,,,,,,,,,,"7,350,000.00","7,350,000.00","14,700,000.00","14,700,000.00",,"695,162,748.00","695,162,748.00","695,162,748.00",,,"700,000.00","750,000.00",,"200,000.00","200,000.00","200,000.00",,,,,,,,
