科目,2009年度,2010年度,2011年度,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"200,484,855.10","296,816,504.64","300,294,810.01","212,411,199.60","302,208,210.72","361,002,216.52","104,794,408.25","222,349,877.51","345,386,600.61","451,931,136.87","89,581,572.34","225,784,787.80","302,160,348.08","443,629,411.41","114,790,452.45","247,060,863.65","395,371,938.39","509,270,950.81","129,718,226.88","315,431,263.52","462,760,245.39","688,493,889.58","146,936,189.05","410,804,796.73","577,326,123.68","733,364,953.87"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,"94,873,990.68","157,516,990.68","157,516,990.68","157,516,990.68",,,"95,895,228.22","95,895,228.22",,,,
收到的税费返还,,,,,,,,,,"251,700.00",,,,,,,,"15,098.11",,330.00,330.00,,,,,"518,445.65"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,"20,000,000.00",,"2,000,000.00","4,000,000.00","91,854,000.00"
收到其他与经营活动有关的现金,"767,168.23","6,693,611.18","13,410,345.52","1,948,441.55","2,113,938.52","2,448,803.42","2,121,076.34","2,884,569.47","3,799,445.29","4,099,949.01","383,701.63","1,963,236.89","30,844,055.18","30,360,343.07","2,604,829.13","4,662,243.18","5,434,425.12","7,757,084.19","397,055.77","3,024,483.72","16,420,496.17","16,217,378.41","817,046.61","1,285,064.93","8,992,183.43","11,306,014.46"
投资活动现金流出小计,"18,124,748.53","58,944,234.92","29,048,250.54","8,255,189.88","15,169,344.87","24,633,953.68","13,774,486.36","17,674,863.37","27,301,190.51","37,282,149.49","10,184,066.40","38,468,014.37","48,758,392.92","58,486,060.07","111,785,854.48","192,523,886.31","200,425,897.34","208,829,474.67","16,125,809.21","20,800,709.97","122,196,076.72","157,675,849.80","12,143,921.94","58,400,197.69","92,215,873.14","225,596,267.66"
经营活动现金流入小计,"201,252,023.33","303,510,115.82","313,705,155.53","214,359,641.15","304,322,149.24","363,451,019.94","106,915,484.59","225,234,446.98","349,186,045.90","456,282,785.88","89,965,273.97","227,748,024.69","333,004,403.26","473,989,754.48","117,395,281.58","251,723,106.83","400,806,363.51","517,043,133.11","130,115,282.65","318,456,077.24","479,181,071.56","704,711,267.99","147,753,235.66","412,089,861.66","586,318,307.11","745,189,413.98"
投资活动产生的现金流量净额,"-14,692,739.40","-9,000,217.33","-28,354,959.92","-8,255,189.88","-15,169,344.87","-24,633,953.68","-13,774,486.36","-17,674,863.37","-27,301,190.51","-37,282,149.49","-10,184,066.40","-38,468,014.37","-48,718,392.92","-58,401,112.09","-111,785,854.48","-192,438,089.43","-200,340,100.46","-208,743,677.79","-16,122,896.59","-20,797,797.35","-122,193,164.10","-150,586,757.18","-12,098,826.87","-58,093,355.49","-91,682,302.62","-147,699,897.59"
购买商品、接受劳务支付的现金,"111,310,503.34","230,005,459.31","217,403,443.91","117,393,375.69","186,962,618.02","186,382,279.82","71,238,604.81","130,272,932.08","204,700,204.70","303,403,213.34","55,436,143.44","87,418,921.89","151,721,744.54","248,335,702.34","71,250,015.41","142,254,138.02","228,130,056.50","272,758,098.84","97,430,019.61","175,274,570.45","248,427,273.02","406,613,601.74","111,696,926.88","215,038,553.09","342,412,605.03","459,078,026.61"
吸收投资收到的现金,,"66,000,000.00",,,"379,251,200.00","378,531,200.00",,,,,,,,,,,,,,"230,949,574.90","230,949,574.90","232,099,574.90",,,"40,587,000.00","40,587,000.00"
支付给职工以及为职工支付的现金,"11,028,098.17","14,939,191.13","25,531,716.11","15,412,752.58","22,985,674.05","35,072,185.57","9,630,150.43","20,544,398.39","31,415,805.38","45,240,747.04","10,903,978.27","23,023,871.10","35,016,493.56","48,074,499.73","12,677,607.91","28,656,852.63","42,519,571.84","61,350,771.92","21,092,707.80","40,272,723.85","58,654,681.68","84,254,036.30","27,903,672.44","52,641,779.87","74,843,290.92","99,684,051.54"
取得借款收到的现金,"83,595,155.32","113,688,727.08","127,126,910.90",,,"37,000,000.00","30,000,000.00","62,000,000.00","130,380,606.23","134,171,634.23","12,110,332.46","39,505,115.82","63,493,376.01","81,571,845.93","20,978,127.02","55,810,101.92","85,683,682.82","111,885,512.07","19,638,567.20","38,754,516.04","95,943,169.04","139,286,485.76","51,007,327.00","95,801,102.00","147,401,127.06","251,901,524.74"
支付的各项税费,"22,093,991.55","29,677,065.36","36,019,031.10","22,321,516.30","33,192,956.03","39,293,533.98","11,656,871.69","27,726,096.68","45,212,254.48","49,477,933.72","14,451,580.36","25,735,111.45","41,499,590.17","48,507,901.90","10,346,942.78","26,914,292.74","41,829,277.88","54,383,568.44","13,378,740.85","24,613,109.10","47,314,770.42","64,350,234.96","19,996,508.06","31,084,028.43","47,557,173.19","65,670,534.44"
收到其他与筹资活动有关的现金,"3,873,000.00","15,376,043.50","1,175,000.00",,,,"5,560,000.00","5,560,000.00","5,560,000.00","5,560,000.00",,,,,,,,,,,,,,,,
支付其他与经营活动有关的现金,"19,312,734.71","19,800,135.12","16,767,673.24","8,077,681.97","12,131,649.12","21,235,265.44","5,117,560.46","11,278,282.47","15,661,157.08","24,707,928.77","3,990,051.47","13,753,855.03","17,989,967.45","25,877,500.78","6,475,060.64","15,562,570.89","25,805,196.31","36,702,743.23","8,719,745.38","17,037,860.41","29,479,877.97","29,606,133.56","8,394,412.23","15,480,505.59","28,662,620.60","44,054,962.65"
筹资活动现金流入小计,"87,468,155.32","195,064,770.58","128,301,910.90",,"379,251,200.00","415,531,200.00","35,560,000.00","67,560,000.00","135,940,606.23","139,731,634.23","12,110,332.46","39,505,115.82","63,493,376.01","81,571,845.93","20,978,127.02","55,810,101.92","85,683,682.82","111,885,512.07","19,638,567.20","269,704,090.94","326,892,743.94","371,386,060.66","51,007,327.00","95,801,102.00","187,988,127.06","292,488,524.74"
经营活动现金流出小计,"163,745,327.77","294,421,850.92","295,721,864.36","163,205,326.54","255,272,897.22","281,983,264.81","97,643,187.39","189,821,709.62","296,989,421.64","422,829,822.87","84,781,753.54","149,931,759.47","246,227,795.72","370,795,604.75","100,749,626.74","213,387,854.28","338,284,102.53","425,195,182.43","140,621,213.64","257,198,263.81","383,876,603.09","584,824,006.56","167,991,519.61","314,244,866.98","493,475,689.74","668,487,575.24"
偿还债务支付的现金,"79,512,011.97","108,125,855.08","125,787,340.90","39,300,000.00","39,300,000.00","76,300,000.00","30,000,000.00","62,000,000.00","127,000,000.00","130,380,606.23","8,799,621.55","28,046,118.82","60,306,993.50","81,321,549.78","18,042,104.15","40,042,237.49","82,853,467.12","110,405,537.35","22,570,434.71","43,275,814.91","100,274,467.91","115,827,151.47","51,007,315.00","95,800,922.00","142,400,922.00","176,445,922.00"
经营活动产生的现金流量净额,"37,506,695.56","9,088,264.90","17,983,291.17","51,154,314.61","49,049,252.02","81,467,755.13","9,272,297.20","35,412,737.36","52,196,624.26","33,452,963.01","5,183,520.43","77,816,265.22","86,776,607.54","103,194,149.73","16,645,654.84","38,335,252.55","62,522,260.98","91,847,950.68","-10,505,930.99","61,257,813.43","95,304,468.47","119,887,261.43","-20,238,283.95","97,844,994.68","92,842,617.37","76,701,838.74"
分配股利、利润或偿还利息支付的现金,"2,761,669.06","55,149,754.80","16,415,339.31","931,946.82","931,946.82","1,155,946.82","206,888.89","39,563,364.54","40,095,364.53","40,830,563.53","92,105.09","50,186,914.72","50,462,961.93","50,556,643.46","90,047.43","50,201,097.48","50,905,559.23","50,445,585.74","45,250.53","65,654,630.10","65,874,125.32","65,795,516.52","69,716.73","65,919,434.78","66,233,710.38","68,488,725.45"
收回投资收到的现金,"3,165,009.13","37,226,556.19",,,,,,,,,,,,,,,,,,,,,,,,
