科目,2009年度,2010年度,2011年度,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"4,199,951,598.80","5,193,195,098.82","6,306,158,514.47","3,159,439,961.27","5,803,746,486.27","8,974,675,272.12","729,372,581.61","1,755,244,853.77","3,404,842,433.61","4,942,439,122.57","803,430,850.66","2,210,082,814.81","3,427,936,070.02","5,236,548,269.28","403,664,338.48","2,681,661,521.89","8,016,455,761.67","13,129,595,926.11","4,327,392,774.15","8,271,839,067.95","12,989,651,580.88","20,819,918,307.53","4,404,620,345.24","9,939,049,440.63","16,154,059,760.84"
取得子公司及其他营业单位支付的现金净额,,"124,065,639.23",,,,"523,073.06",,,,,,,,,,"30,000,000.00","300,000,000.00","290,414,271.15",,,,"629,963,262.79",,,
收到的税费返还,"3,616,995.00","9,789,603.00","5,500,480.30","1,257,089.94","1,793,277.10","6,124,536.00","515,696.34","3,853,338.41","4,029,941.42","4,420,155.42","98,000.00","770,100.00","2,169,486.00","2,878,845.53",800.00,"98,800.00","374,800.00","1,357,152.36",,"378,575.35","378,575.35","480,144.10","48,325.33","52,776.27","663,558.59"
支付其他与投资活动有关的现金,,,"324,116.51","759,842.78","1,125,518.95",,,,,,,,,,,"8,729,853.12","8,729,853.12",,"15,390,641.34","15,390,641.34","15,390,641.34","15,390,641.34",,,
收到其他与经营活动有关的现金,"2,673,759.21","1,535,611.69","11,202,854.64","12,745,419.34","14,664,626.37","17,437,668.82","2,490,068.07","4,861,503.25","6,047,088.53","24,849,621.30","22,357,359.94","47,968,286.32","74,876,221.28","53,851,305.55","13,435,382.84","47,239,940.53","48,364,359.85","82,094,928.18","1,169,964.32","6,886,002.35","8,522,326.26","42,364,907.06","26,900,202.42","68,180,935.43","101,464,029.20"
投资活动现金流出小计,"22,574,036.19","129,431,634.34","3,938,720.33","3,341,806.53","4,891,804.21","6,474,307.37","2,423,053.52","10,069,697.45","22,574,644.87","69,846,905.51","19,881,628.01","14,736,156.25","8,715,349.35","12,878,561.35","9,024,691.27","362,768,216.99","723,839,083.16","718,196,186.91","52,827,466.81","64,707,635.96","65,426,972.37","768,205,957.31","34,577,779.52","54,661,269.92","580,336,460.65"
经营活动现金流入小计,"4,206,242,353.01","5,204,520,313.51","6,322,861,849.41","3,173,442,470.55","5,820,204,389.74","8,998,237,476.94","732,378,346.02","1,763,959,695.43","3,414,919,463.56","4,971,708,899.29","825,886,210.60","2,258,821,201.13","3,504,981,777.30","5,293,278,420.36","417,100,521.32","2,729,000,262.42","8,065,194,921.52","13,213,048,006.65","4,328,562,738.47","8,279,103,645.65","12,998,552,482.49","20,862,763,358.69","4,431,568,872.99","10,007,283,152.33","16,256,187,348.63"
投资活动产生的现金流量净额,"-20,256,323.36","-110,300,907.34","-1,320,710.43","-3,300,781.73","-4,850,779.41","-6,433,282.57","-2,423,053.52","-10,065,498.45","-22,570,445.87","-69,845,405.51","37,365,811.24","42,730,207.58","48,890,901.71","45,599,607.66","10,811,877.87","-352,994,647.85","-706,009,740.63","-671,925,569.01","-32,272,983.09","-44,153,152.24","-13,773,611.04","-741,225,315.06","32,602,876.50","27,468,490.59","-304,158,245.92"
购买商品、接受劳务支付的现金,"4,007,435,791.94","4,937,129,379.19","6,067,723,265.85","3,161,622,040.27","6,227,122,629.47","9,344,220,483.67","776,439,909.72","1,584,340,278.79","3,130,839,745.72","4,526,122,217.14","759,353,155.20","2,007,487,373.53","3,375,972,586.69","4,918,899,908.56","395,936,391.77","2,423,433,463.18","8,175,334,630.87","13,475,525,448.31","3,483,267,155.99","7,781,181,601.47","12,470,373,267.29","20,133,041,653.76","4,611,221,789.76","10,602,012,193.53","16,635,368,571.80"
吸收投资收到的现金,"1,510,000.00",,,,"307,426,116.33","307,426,116.33",,,,,"14,000,000.00","14,000,000.00","14,000,000.00","14,000,000.00","19,200,000.00","49,041,552.00","49,041,552.00","49,041,552.00",,,"3,435,395,241.55","3,450,734,356.15",,,"1,323,800.00"
支付给职工以及为职工支付的现金,"13,093,290.02","21,126,574.08","22,575,985.73","14,776,175.03","20,371,643.62","25,844,224.41","4,816,562.36","13,857,417.21","22,248,553.27","28,872,737.30","6,150,966.83","12,993,078.97","21,439,612.56","41,999,233.28","6,348,941.19","13,797,978.21","21,869,950.29","29,204,932.79","7,378,822.82","13,413,978.06","18,615,722.49","23,233,018.81","7,686,498.08","16,007,595.70","22,392,963.84"
取得借款收到的现金,"341,251,818.87","542,503,442.34","784,692,810.78","435,312,508.89","836,612,508.89","994,612,508.89","100,000,000.00","210,000,000.00","290,000,000.00","330,000,000.00","30,000,000.00","165,701,600.00","200,000,000.00","220,000,000.00","62,950,000.00","131,810,660.00","961,424,101.89","1,789,092,143.24","608,192,151.73","1,744,696,867.25","2,821,241,082.81","3,643,652,093.60","828,306,182.45","2,034,288,122.85","2,946,716,124.94"
支付的各项税费,"45,572,321.98","53,753,625.10","82,534,516.51","41,144,498.52","53,221,187.98","65,762,165.79","33,440,037.85","35,027,620.10","39,123,987.15","49,303,433.82","9,917,535.52","14,099,257.12","12,661,506.67","13,059,856.24","1,103,168.87","2,590,657.63","5,268,349.57","7,363,566.59","11,468,339.36","13,007,580.68","14,486,562.40","18,831,967.89","5,882,821.41","10,185,796.13","17,183,719.64"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,,,,,,"20,230,450.70","26,691,650.70","26,691,650.70","42,498,498.91","118,846,611.03","448,529,046.61","568,110,707.36"
