科目,2007年度,2008年度,2009年1-3月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"414,987,650.02","495,397,667.90","87,232,704.68","458,735,602.37","120,838,798.58","261,792,136.15","465,140,058.15","693,999,124.42","175,291,594.57","390,371,303.79","606,584,288.51","835,369,023.55","175,137,912.79","391,701,926.43","608,656,347.36","716,552,180.01","180,018,953.66","438,703,296.50","750,251,659.95","1,025,948,512.45","290,993,447.35","609,027,342.12","918,966,811.31","1,320,252,581.24","374,637,518.52","768,593,709.94","1,250,186,622.06","1,881,052,642.61","506,431,690.50","1,202,181,872.86","1,762,241,411.03","2,495,606,828.95","701,010,007.74","1,551,539,760.87","2,408,879,977.33"
取得子公司及其他营业单位支付的现金净额,,"101,675,176.07",,,,,,,,,,,,,,,,,,"54,495,496.12",,,,,"326,190.58","61,613,001.82","63,106,374.00","72,838,408.28",,,,"671,527.83",,,
收到的税费返还,,,,,,,,,,,"7,071,197.88","7,620,801.31","58,301.33","10,532,562.92","14,909,184.35","20,295,796.79","7,577,152.99","24,465,362.95","29,886,857.50","32,282,444.61","540,051.29","2,563,426.39","3,503,870.13","6,758,605.90","3,428,843.38","6,456,868.40","12,538,859.95","17,320,105.66","3,213,835.24","6,653,948.20","11,016,001.37","14,038,027.15","1,624,754.16","3,419,122.57","6,198,833.95"
支付其他与投资活动有关的现金,,"616,268.70",,"100,000.00",,,,,,,,,,,,,,,"601,192.31",,,,,,"126,779.12",,,,,,,,"5,000.00","5,000.00","5,000.00"
收到其他与经营活动有关的现金,"16,985,392.58","22,103,781.59","7,799,469.27","7,553,389.42","1,620,442.40","1,622,579.58","7,342,710.49","14,280,896.24","6,694,540.55","7,215,311.24","9,878,003.92","10,161,985.76","3,235,066.43","8,749,537.06","15,795,753.59","4,070,813.22","8,534,230.13","4,591,152.23","30,533,591.80","22,331,055.01","1,445,526.04","2,938,023.06","9,123,352.77","29,041,926.71","5,185,769.25","16,765,585.23","26,786,155.98","56,173,189.17","2,652,959.18","7,891,336.71","19,489,882.89","30,743,616.37","10,617,373.39","20,431,646.21","30,568,805.16"
投资活动现金流出小计,"100,793,582.48","260,542,314.15","39,336,809.58","145,213,437.46","32,161,919.65","63,987,223.33","135,882,849.91","239,283,877.96","60,201,468.20","130,644,259.05","214,891,798.90","286,194,687.01","81,027,138.88","175,616,951.81","339,497,692.86","432,277,222.24","77,127,326.28","177,114,864.02","190,011,122.54","269,318,055.94","29,073,337.93","98,073,893.85","219,733,502.45","248,346,219.60","34,120,709.68","319,155,726.08","500,107,204.49","695,376,169.16","29,084,113.80","88,569,386.31","125,737,733.26","197,034,927.04","25,308,614.11","111,813,805.67","182,954,153.98"
经营活动现金流入小计,"431,973,042.60","517,501,449.49","95,032,173.95","466,288,991.79","122,459,240.98","263,414,715.73","472,482,768.64","708,280,020.66","181,986,135.12","397,586,615.03","623,533,490.31","853,151,810.62","178,431,280.55","410,984,026.41","639,361,285.30","740,918,790.02","196,130,336.78","467,759,811.68","810,672,109.25","1,080,562,012.07","292,979,024.68","614,528,791.57","931,594,034.21","1,356,053,113.85","383,252,131.15","791,816,163.57","1,289,511,637.99","1,954,545,937.44","512,298,484.92","1,216,727,157.77","1,792,747,295.29","2,540,388,472.47","713,252,135.29","1,575,390,529.65","2,445,647,616.44"
投资活动产生的现金流量净额,"-92,416,547.65","-225,748,832.84","-41,013,462.44","-140,850,412.83","-32,082,919.65","-63,908,223.33","-135,767,099.91","-239,204,877.96","-60,201,468.20","-130,644,259.05","-214,891,798.90","-285,994,687.01","-80,881,338.88","-175,411,151.81","-339,081,892.86","-430,773,422.24","-75,001,326.28","-172,188,864.02","-176,516,584.11","-255,842,826.98","-29,073,337.93","-94,957,004.10","-197,158,666.94","-225,822,862.78","-33,656,966.68","-318,663,983.08","-499,577,430.27","-693,903,546.70","-29,084,113.80","-87,299,926.34","-123,765,950.80","-3,065,877.08","-24,127,634.92","-108,846,939.79","-168,560,812.93"
购买商品、接受劳务支付的现金,"216,918,037.44","240,630,062.12","47,557,492.65","227,285,055.62","78,624,730.50","126,959,693.67","240,018,539.89","331,655,011.04","78,744,064.51","163,307,224.32","284,581,748.27","385,953,410.96","93,809,133.04","173,065,679.21","269,765,089.92","301,324,006.75","94,842,412.85","207,795,500.01","383,147,788.78","455,301,515.40","175,249,682.28","296,096,373.95","434,362,663.96","574,364,275.12","219,672,871.19","492,617,332.65","753,673,447.77","980,779,684.57","327,576,705.58","645,623,976.77","974,242,292.67","1,370,453,718.45","464,374,402.16","936,539,226.21","1,470,663,302.43"
吸收投资收到的现金,,"44,000,000.00",,,,"981,445,000.00","981,445,000.00","981,445,000.00",,,,,,,,,,,,,,,,,"386,791,472.68","386,791,472.68","386,791,472.68","386,762,190.28","91,852.47","93,048.32","93,378.79","334,922.30",,,
支付给职工以及为职工支付的现金,"45,324,022.31","59,886,279.63","15,760,272.58","80,893,400.81","30,379,803.77","58,512,381.70","94,762,527.76","128,812,042.86","38,169,466.18","86,616,182.44","141,772,089.52","192,919,977.19","56,018,623.42","111,908,406.38","169,766,145.14","223,413,185.49","64,001,863.37","139,021,694.08","231,278,984.51","317,793,620.15","97,458,068.55","189,771,258.01","288,023,376.54","383,147,962.69","108,142,808.83","199,799,225.62","319,745,420.87","452,257,202.31","159,559,252.00","324,662,242.09","495,745,586.36","664,472,123.44","171,844,875.78","376,641,294.17","558,533,660.42"
取得借款收到的现金,"64,100,000.00","166,356,533.57","3,738,803.95","245,000,000.00","83,600,900.85","129,465,548.52","177,364,724.32","177,364,724.32",,,"40,000,000.00","46,915,836.55",,,"78,950,649.60","106,886,992.19","90,000,000.00","170,000,000.00","299,132,000.00","365,398,882.64","229,836,500.00","319,000,000.00","529,117,379.86","626,698,828.89","277,557,368.77","622,388,612.02","757,631,366.79","1,182,585,299.97","147,133,012.91","312,036,456.80","484,625,284.91","529,653,736.54","51,038,985.48","327,995,296.49","342,026,579.18"
支付的各项税费,"12,915,710.29","29,339,750.29","6,297,735.55","34,335,580.54","12,862,613.39","24,191,973.00","42,152,983.80","62,282,002.93","20,830,292.26","34,538,248.61","48,664,638.63","58,099,934.42","8,180,854.83","23,613,086.40","50,302,754.65","76,822,354.10","18,213,192.22","40,508,007.01","53,127,866.28","70,348,284.32","19,041,440.12","47,935,821.18","83,821,681.50","109,530,766.56","32,424,001.65","62,900,731.85","85,607,198.34","116,700,331.52","25,617,984.09","54,550,700.91","79,104,295.85","111,376,176.40","30,023,750.98","61,556,675.53","89,118,938.11"
收到其他与筹资活动有关的现金,"37,779,000.00",,,"29,880,000.00","3,000,000.00","3,600,000.00","3,600,000.00","3,600,000.00",,,,"6,597,196.63","1,843,673.98","12,807,927.41","12,982,823.50","13,595,641.74","288,599.89","288,599.89","288,718.51","830,136.20","3,591.02",,,,,"307,876.97","591,635.72","591,635.72",,,,,,,
