科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"212,640,393.25","219,065,363.48","234,085,079.76","127,716,195.90","200,714,014.87","281,300,287.77","85,547,415.51","225,993,289.97","270,237,839.87","278,481,642.06","97,702,493.57"
取得子公司及其他营业单位支付的现金净额,"898,001.17",,,,,,,,,,
收到的税费返还,"521,391.26","170,805.53","51,670.56","175,860.90","175,860.90","175,860.90","317,491.07","576,252.80","663,808.28","521,160.11",
支付其他与投资活动有关的现金,,,,,,,,,,,
收到其他与经营活动有关的现金,"1,388,830.74","3,709,357.08","4,062,840.13","6,456,061.56","6,380,649.79","8,577,999.67","1,715,131.16","7,407,408.96","33,552,387.13","33,477,589.61","2,658,566.99"
投资活动现金流出小计,"23,387,965.21","49,990,373.78","28,444,853.69","21,092,714.81","33,953,861.83","40,786,909.95","35,488,210.41","70,755,655.93","79,193,206.01","91,727,450.05","24,775,051.54"
经营活动现金流入小计,"214,550,615.25","222,945,526.09","238,199,590.45","134,348,118.36","207,270,525.56","290,054,148.34","87,580,037.74","233,976,951.73","304,454,035.28","312,480,391.78","100,361,060.56"
投资活动产生的现金流量净额,"-23,334,965.21","-49,990,373.78","-28,329,640.02","-21,092,714.81","-33,953,861.83","-40,786,909.95","-35,487,760.41","-69,748,538.51","-78,147,481.91","-91,591,200.05","-24,775,051.54"
购买商品、接受劳务支付的现金,"143,781,225.35","134,042,944.81","133,171,289.72","92,034,004.61","129,989,103.38","193,358,966.18","56,762,004.07","177,540,454.47","214,643,935.46","210,585,777.37","67,608,438.33"
吸收投资收到的现金,,,,,,"176,800,000.00",,,,,
支付给职工以及为职工支付的现金,"11,920,055.30","15,746,864.62","16,027,044.27","10,252,837.78","15,023,920.28","20,376,777.46","9,918,641.77","16,507,544.30","23,864,054.05","31,528,876.20","10,183,107.83"
取得借款收到的现金,"74,000,000.00","107,000,000.00","80,000,000.00","60,000,000.00","60,000,000.00","60,000,000.00","20,000,000.00","40,000,000.00","60,000,000.00","60,000,000.00","10,000,000.00"
支付的各项税费,"9,934,430.67","8,396,299.47","14,104,936.38","4,263,934.83","9,637,293.22","14,961,667.08","4,021,528.74","7,836,604.12","11,989,154.72","17,044,968.97","3,155,592.86"
收到其他与筹资活动有关的现金,,"3,000,000.00",,,,,,,,"9,240,500.00","900,000.00"
支付其他与经营活动有关的现金,"23,958,988.94","25,416,620.47","23,868,825.51","8,220,521.21","14,191,757.61","29,257,673.75","7,576,816.35","15,041,797.68","22,776,207.70","49,926,810.45","10,100,603.96"
筹资活动现金流入小计,"74,000,000.00","110,000,000.00","80,000,000.00","60,000,000.00","60,000,000.00","236,800,000.00","20,000,000.00","40,000,000.00","60,000,000.00","69,240,500.00","10,900,000.00"
经营活动现金流出小计,"189,594,700.26","183,602,729.37","187,172,095.88","114,771,298.43","168,842,074.49","257,955,084.47","78,278,990.93","216,926,400.57","273,273,351.93","309,086,432.99","91,047,742.98"
偿还债务支付的现金,"82,000,000.00","101,000,000.00","100,000,000.00","50,000,000.00","50,000,000.00","70,000,000.00","30,000,000.00","40,000,000.00","40,000,000.00","40,000,000.00","20,000,000.00"
经营活动产生的现金流量净额,"24,955,914.99","39,342,796.72","51,027,494.57","19,576,819.93","38,428,451.07","32,099,063.87","9,301,046.81","17,050,551.16","31,180,683.35","3,393,958.79","9,313,317.58"
分配股利、利润或偿还利息支付的现金,"4,411,557.27","4,677,405.75","4,333,191.28","1,751,380.23","2,491,194.39","3,146,540.01","353,957.08","16,804,907.08","17,470,094.58","18,184,823.73","675,458.32"
收回投资收到的现金,,,,,,,,,,,
支付其他与筹资活动有关的现金,"3,200,000.00","1,301,886.78","200,000.00","100,000.00","200,000.00","30,659,732.97",,,,,
取得投资收益收到的现金,,,,,,,,,,,
筹资活动现金流出小计,"89,611,557.27","106,979,292.53","104,533,191.28","51,851,380.23","52,691,194.39","103,806,272.98","30,353,957.08","56,804,907.08","57,470,094.58","58,184,823.73","20,675,458.32"
处置固定资产、无形资产和其他长期资产收回的现金净额,"53,000.00",,"115,213.67",,,,450.00,"1,007,117.42","1,045,724.10","136,250.00",
筹资活动产生的现金流量净额,"-15,611,557.27","3,020,707.47","-24,533,191.28","8,148,619.77","7,308,805.61","132,993,727.02","-10,353,957.08","-16,804,907.08","2,529,905.42","11,055,676.27","-9,775,458.32"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,
四、汇率变动对现金的影响,"-657,553.67","-70,111.72","573,510.90","115,277.40","94,121.83","568,659.04",,"518,748.14","-842,745.07","-408,806.73","-12,850.00"
收到其他与投资活动有关的现金,,,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,
投资活动现金流入小计,"53,000.00",,"115,213.67",,,,450.00,"1,007,117.42","1,045,724.10","136,250.00",
五、现金及现金等价物净增加额,"-14,648,161.16","-7,696,981.31","-1,261,825.83","6,748,002.29","11,877,516.68","124,874,539.98","-36,540,670.68","-68,984,146.29","-45,279,638.21","-77,550,371.72","-25,250,042.28"
购建固定资产、无形资产和其他长期资产支付的现金,"22,489,964.04","49,990,373.78","28,444,853.69","21,092,714.81","33,953,861.83","40,786,909.95","35,488,210.41","70,755,655.93","79,193,206.01","91,727,450.05","24,775,051.54"
期初现金及现金等价物余额,"58,877,367.28","44,229,206.12","36,532,224.81","35,270,398.98","35,270,398.98","35,270,398.98","160,144,938.96","160,144,938.96","160,144,938.96","160,144,938.96","82,594,567.24"
投资支付的现金,,,,,,,,,,,
期末现金及现金等价物余额,"44,229,206.12","36,532,224.81","35,270,398.98","42,018,401.27","47,147,915.66","160,144,938.96","123,604,268.28","91,160,792.67","114,865,300.75","82,594,567.24","57,344,524.96"
