科目,2012-12-31,2013-12-31,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"27,532,519.37","90,044,206.21","93,429,552.94","79,261,665.32","147,528,193.07","85,941,495.91","82,014,351.64","75,536,238.80","81,194,275.97","82,712,792.05","84,262,582.84","75,563,251.71","26,841,676.04","37,259,504.10","28,751,649.36","29,593,160.59","26,887,122.05","80,872,370.73","23,497,146.10","22,664,877.88"
短期借款,"15,394,074.70","35,426,030.47","33,154,716.96","22,404,077.27","36,138,632.29","30,892,609.85","3,760,301.30",,,,,,,,,,,,,
交易性金融资产,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,
应收票据,"415,032.00","638,222.22","863,450.00","378,045.20",,"249,000.00","150,000.00","589,840.00","339,200.00",,"990,080.00","3,750,744.00",,"1,556,134.75","976,680.00","845,400.00","1,632,000.00","1,092,516.16","2,696,007.04","1,936,762.04"
应付票据,,,,,,"4,548,000.00","4,548,000.00","4,176,738.00","9,326,553.70","7,695,650.50","1,567,940.00","2,800,000.00","5,000,000.00","6,579,090.20","1,043,616.20","6,430,711.60","7,766,416.60",,"8,405,234.12",
应收账款,"39,186,137.12","52,459,892.97","48,148,667.20","58,449,547.04","62,634,945.76","83,696,569.58","65,953,937.45","75,451,182.35","86,715,261.76","93,034,971.88","72,571,113.33","92,814,164.42","69,719,099.16","72,081,443.91","71,627,200.32","91,351,071.30","69,131,627.89","64,399,986.60","67,949,429.74","92,146,367.98"
应付账款,"17,210,449.99","17,607,445.89","9,196,142.49","12,534,616.32","7,584,372.80","9,773,511.24","13,693,233.99","11,532,907.79","15,299,142.43","10,418,370.68","13,438,926.13","15,563,737.57","8,694,255.44","16,724,378.08","17,612,028.10","12,627,168.89","9,898,749.61",,"9,728,654.17",
预付款项,"1,399,037.49","1,735,862.34","1,769,930.77","2,464,728.44","2,523,038.10","3,194,952.13","4,231,343.09","3,781,448.58","4,645,888.64","3,684,848.85","4,171,506.23","3,753,807.46","3,385,017.96","5,828,878.56","1,944,424.92","3,801,899.00","4,340,268.60","7,495,781.27","4,107,870.14","6,118,598.15"
预收款项,"521,954.64","186,849.97","607,097.39","469,592.02","152,269.17","269,433.35","433,705.78","107,450.00","353,863.73","308,639.02","179,607.93","365,927.92","355,278.83","267,919.98","106,124.46","221,958.72","78,028.17","228,384.35","225,841.43","220,490.65"
其他应收款,"9,626,169.01","3,281,512.27","5,687,236.07","5,969,881.33","57,332.53","361,899.25","44,193.89","320,779.31","68,027.15","395,291.08","157,418.43","438,827.96","232,928.50","271,574.07","183,294.24","252,284.01","188,499.27","1,639,748.25","1,598,383.13","1,666,855.83"
应付职工薪酬,"385,527.87","621,815.33","991,809.83","660,909.96","804,844.20","825,756.18","824,937.39","1,159,760.30","3,614,452.88","3,758,694.65","1,409,255.76","1,342,310.67","4,813,619.60","4,786,719.07","1,456,604.85","1,476,062.14","3,585,711.27","3,665,488.37","1,712,560.08","1,727,817.93"
应收关联公司款,,,,,,,,,,,,,,,,,,,,
应交税费,"4,173,879.49","2,788,276.91","5,069,088.87","10,549,181.80","3,755,908.35","3,492,789.37","5,143,128.67","7,147,825.33","8,194,010.30","7,418,738.15","10,502,646.47","8,685,292.74","5,216,120.85","6,499,979.93","8,833,543.62","9,112,912.37","5,566,596.04","7,146,839.16","5,774,795.97","6,779,445.06"
应收利息,,,,,,,,,,,,,,,,,,,,
应付利息,,,,,,,,,,,,,,,,,,,,
应收股利,,,,,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,,,,,,,,
存货,"23,946,407.00","30,654,818.71","30,923,543.80","27,977,911.25","24,368,734.71","24,746,335.61","34,595,361.81","32,521,465.55","28,455,175.64","29,334,122.76","31,023,254.48","30,278,698.50","30,657,671.77","34,219,803.36","37,816,737.06","36,261,293.85","38,331,346.93","37,707,912.55","39,677,836.72","41,974,395.96"
其他应付款,"406,847.22","345,024.98","690,103.84","925,892.92","4,537,573.79","2,868,190.92","852,400.63","1,069,360.90","1,240,707.38","3,847,846.06","643,652.81","681,110.82","831,098.78","1,352,405.12","445,879.57","435,467.08","499,783.33","480,322.51","419,013.11","740,488.39"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,"10,000,000.00","25,000,000.00","19,581,249.33","19,581,249.33","7,081,249.33","7,081,249.33",,,,,,,,,,,,,,
其他流动资产,,,"7,524,839.70","9,221,282.41","65,081,775.04","133,000,000.00","135,493,600.00","160,655,036.00","147,067,952.51","159,000,197.80","203,497,708.79","222,721,000.00","269,776,206.12","284,223,912.81","325,714,383.26","330,958,740.59","310,852,841.42","271,340,614.86","351,655,197.82","345,766,378.51"
其他流动负债,,,,,,,,,,,,,,,,,,,,
流动资产合计,"102,105,301.99","178,814,514.72","188,347,220.48","183,723,060.99","302,194,019.21","331,190,252.48","322,482,787.88","348,855,990.59","348,485,781.67","368,162,224.42","396,673,664.10","429,320,494.05","400,612,599.55","435,441,251.56","467,014,369.16","493,063,849.34","451,363,706.16","464,548,930.42","491,181,870.69","512,274,236.35"
流动负债合计,"48,092,733.91","81,975,443.55","69,290,208.71","67,125,519.62","60,054,849.93","59,751,540.24","29,255,707.76","25,194,042.32","38,028,730.42","33,447,939.06","27,742,029.10","29,438,379.72","24,910,373.50","36,210,492.38","29,497,796.80","30,304,280.80","27,395,285.02","24,680,733.78","26,266,098.88","27,722,413.11"
可供出售金融资产,,,,,,,,,,,,,,,,,,,,
长期借款,"44,581,249.33","19,581,249.33",,,,,,,,,,,,,,,,,,
持有至到期投资,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,,,,,,,,
长期股权投资,,,,,,,,,,,,,,,,,,,,
专项应付款,,,,,,,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,,,,,,,,
预计负债,,,,,,,,,,,,,,,,,,,,
固定资产,"97,036,681.72","101,406,038.73","100,916,295.25","98,136,765.25","107,148,661.95","107,071,940.91","113,224,091.00","111,285,819.74","110,880,241.35","107,434,520.20","109,609,704.99","105,980,606.35","104,472,584.64","101,938,993.35","98,821,741.51","95,054,779.37","92,416,816.36","89,115,973.22","91,894,434.08","88,999,944.74"
递延所得税负债,,,,,,,,,,,,,,,,,,,,
在建工程,"8,776,817.88","2,821,855.23","9,450,053.77","14,840,589.04","8,672,976.11","9,677,451.48","5,245,880.62","6,433,111.27","5,789,513.45","9,266,293.60","7,436,876.84","10,652,117.81","14,639,671.49","16,528,340.12","18,175,847.38","27,283,097.69","34,972,694.87","46,778,526.48","52,016,492.37","65,344,015.99"
其他非流动负债,,,,,,,,,,,,,,,,,,,,
工程物资,,,,,,,,,,,,,,,,,,,,
非流动负债合计,"51,876,384.11","27,506,906.78","16,034,376.04","15,903,684.55","15,772,993.06","15,642,301.57","15,511,610.08","15,380,918.59","15,250,227.10","15,119,535.61","17,988,844.12","17,858,152.63","17,727,461.14","17,596,769.65","18,266,078.16","18,135,386.67","18,004,695.18","17,975,646.97","17,946,599.32","17,917,551.67"
固定资产清理,"26,348.06",,,"22,076.22",,,,,,,,,,,,,,,,
负债合计,"99,969,118.02","109,482,350.33","85,324,584.75","83,029,204.17","75,827,842.99","75,393,841.81","44,767,317.84","40,574,960.91","53,278,957.52","48,567,474.67","45,730,873.22","47,296,532.35","42,637,834.64","53,807,262.03","47,763,874.96","48,439,667.47","45,399,980.20","42,656,380.75","44,212,698.20","45,639,964.78"
生产性生物资产,,,,,,,,,,,,,,,,,,,,
实收资本(或股本),"46,000,000.00","46,000,000.00","46,000,000.00","46,000,000.00","61,400,000.00","61,400,000.00","61,400,000.00","61,400,000.00","122,800,000.00","122,800,000.00","122,800,000.00","122,800,000.00","122,800,000.00","122,800,000.00","122,800,000.00","122,800,000.00","122,800,000.00","122,800,000.00","122,800,000.00","122,800,000.00"
油气资产,,,,,,,,,,,,,,,,,,,,
资本公积,"554,912.56","554,912.56","554,912.56","554,912.56","96,687,209.71","96,818,530.48","97,003,489.00","97,003,489.00","35,603,489.00","35,603,489.00","35,603,489.00","35,603,489.00","35,603,489.00","35,603,489.00","35,603,489.00","35,603,489.00","35,603,489.00","35,603,489.00","35,603,489.00","35,603,489.00"
无形资产,"20,350,515.27","19,924,326.51","29,415,355.00","29,254,844.56","29,094,334.12","28,933,823.68","28,773,313.24","28,612,802.80","28,452,292.36","28,291,781.92","28,131,271.48","27,970,761.04","27,810,250.60","27,649,740.16","27,489,229.72","27,328,719.28","27,168,208.84","27,007,698.40","26,847,187.96","26,686,677.52"
盈余公积,"8,214,366.56","14,738,429.93","22,427,731.83","22,427,731.83","22,427,731.83","29,910,661.58","32,299,635.22","32,299,635.22","32,299,635.22","32,299,635.22","43,097,399.40","43,097,399.40","43,097,399.40","43,097,399.40","53,535,275.03","53,535,275.03","53,535,275.03","53,535,275.03","63,841,550.34","63,841,550.34"
开发支出,,,,,,,,,,,,,,,,,,,,
减:库存股,,,,,,,,,,,,,,,,,,,,
商誉,,,,,,,,,,,,,,,,,,,,
未分配利润,"73,929,299.10","132,645,869.44","174,249,586.57","174,393,378.71","191,285,321.67","213,995,954.35","235,496,717.06","265,128,410.66","250,948,553.42","275,222,752.83","295,836,594.67","326,334,582.39","304,579,481.91","327,435,482.75","352,937,475.38","383,482,125.79","349,687,873.84","373,933,256.42","396,573,980.27","426,502,788.20"
长期待摊费用,,,,,,,"714,940.00","692,625.01","667,310.02","643,495.03","634,680.04","625,865.05","617,050.06","608,235.07","599,420.08","590,605.09","581,790.10","572,975.11","564,160.12","555,345.13"
少数股东权益,,,,,,,,,,,,,,,,,,,,
递延所得税资产,"372,031.32","454,827.07","427,891.21","427,891.21","518,114.81","645,519.67","526,146.38","526,146.38","655,496.31","695,036.55","582,158.84","582,158.84","566,048.61","577,072.92","539,506.52","539,506.52","523,401.74","504,297.57","527,572.59","527,572.59"
外币报表折算价差,,,,,,,,,,,,,,,,,,,,
其他非流动资产,,,,,,,,,,,,,,,,,,,,
非正常经营项目收益调整,,,,,,,,,,,,,,,,,,,,
非流动资产合计,"126,562,394.25","124,607,047.54","140,209,595.23","142,682,166.28","145,434,086.99","146,328,735.74","148,484,371.24","147,550,505.20","146,444,853.49","146,331,127.30","146,394,692.19","145,811,509.09","148,105,605.40","147,302,381.62","145,625,745.21","150,796,707.95","155,662,911.91","163,979,470.78","171,849,847.12","182,113,555.97"
所有者权益(或股东权益)合计,"128,698,578.22","193,939,211.93","243,232,230.96","243,376,023.10","371,800,263.21","402,125,146.41","426,199,841.28","455,831,534.88","441,651,677.64","465,925,877.05","497,337,483.07","527,835,470.79","506,080,370.31","528,936,371.15","564,876,239.41","595,420,889.82","561,626,637.87","585,872,020.45","618,819,019.61","648,747,827.54"
资产总计,"228,667,696.24","303,421,562.26","328,556,815.71","326,405,227.27","447,628,106.20","477,518,988.22","470,967,159.12","496,406,495.79","494,930,635.16","514,493,351.72","543,068,356.29","575,132,003.14","548,718,204.95","582,743,633.18","612,640,114.37","643,860,557.29","607,026,618.07","628,528,401.20","663,031,717.81","694,387,792.32"
负债和所有者(或股东权益)合计,"228,667,696.24","303,421,562.26","328,556,815.71","326,405,227.27","447,628,106.20","477,518,988.22","470,967,159.12","496,406,495.79","494,930,635.16","514,493,351.72","543,068,356.29","575,132,003.14","548,718,204.95","582,743,633.18","612,640,114.37","643,860,557.29","607,026,618.07","628,528,401.20","663,031,717.81","694,387,792.32"
