科目,2009-12-31,2010-12-31,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31
货币资金,"102,055,301.42","163,689,435.76","186,084,245.92","157,390,812.30","479,438,228.26","509,661,095.33","600,152,587.45","508,441,655.01","447,889,137.01","416,850,639.40","413,287,121.85","532,553,946.83","300,593,442.64","374,172,240.00","448,612,411.99","395,055,633.25","322,278,354.61","558,129,263.54","694,295,461.39","601,569,663.26","495,343,345.02","372,233,818.25","503,268,276.49","731,039,911.23","653,674,709.85","585,536,183.04","646,133,451.45"
短期借款,"292,150,689.49","368,630,572.77","346,699,700.00","307,039,700.00","335,800,000.00","446,946,500.00","612,970,000.00","743,350,000.00","792,000,000.00","703,000,000.00","686,000,000.00","707,999,420.50","541,259,996.80","589,386,911.00","590,955,424.00","653,272,704.00","671,970,167.00","631,482,560.00","739,020,040.00","761,638,586.73","753,293,218.00","727,708,595.25","874,906,056.04","1,211,703,164.35","1,369,402,240.15","1,426,292,773.90","1,308,388,558.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"60,000.00","1,995,133.00","10,973,692.90","7,303,912.20","8,967,108.05","3,530,785.76","25,670,783.03","4,423,240.25","5,850,000.00","2,454,550.46","17,453,992.20","5,714,760.00","18,886,274.90","18,189,463.74","20,866,485.89","13,225,303.71","3,556,964.00","16,861,837.50","67,316,100.00","7,673,739.81","8,141,484.81","3,161,700.00","47,001,570.89","70,699,743.52","42,542,708.50","246,517,042.00","322,316,596.81"
应付票据,"36,872,660.00","74,783,120.00","63,642,360.50","96,085,449.50","83,708,337.50","111,394,437.50","155,594,820.00","137,053,730.00","107,741,910.00","152,670,561.58","177,097,593.58","185,674,369.00","178,986,096.50","190,045,667.00","297,819,805.50","291,687,020.50","278,489,297.62","402,731,893.57","477,829,763.50","372,105,084.50","217,103,013.00","267,143,210.40","370,282,960.09","299,504,630.29","225,084,317.94","388,429,095.26","403,821,899.46"
应收账款,"26,604,067.07","57,851,607.68","60,713,779.10","118,219,086.86","126,172,999.20","164,300,236.37","149,022,494.62","166,672,420.41","207,106,381.64","195,780,310.82","204,068,180.61","227,851,022.70","241,688,389.62","225,942,638.67","304,788,984.60","288,437,631.66","309,143,788.42","306,279,981.76","461,704,438.11","470,116,287.58","376,138,487.95","429,731,140.39","513,814,356.07","839,684,930.50","1,066,975,589.16","1,216,123,599.50","1,242,778,550.69"
应付账款,"68,123,834.37","62,415,267.89","43,301,054.98","52,952,823.30","50,142,179.60","63,200,402.48","57,339,394.42","75,181,102.75","79,059,337.82","73,318,841.37","98,018,322.91","90,456,889.52","60,776,215.08","57,938,483.41","60,749,321.25","65,142,845.25","111,335,394.30","105,912,593.13","112,262,703.97","134,832,391.31","99,037,435.58","110,537,584.91","139,252,577.22","458,664,141.14","477,708,530.21","531,968,024.43","367,491,403.91"
预付款项,"223,644,119.21","109,986,739.00","110,453,133.69","140,610,534.79","160,979,274.31","204,007,433.85","250,750,970.77","436,686,503.55","263,993,717.15","250,492,310.76","248,771,127.83","252,466,338.28","224,805,186.49","253,378,990.46","218,504,474.34","260,882,906.29","399,840,636.45","335,746,677.91","202,726,875.34","335,895,205.42","276,534,930.04","336,821,967.71","378,062,507.90","499,223,750.71","477,796,691.65","711,048,333.20","254,684,034.95"
预收款项,"245,805,630.47","146,875,066.20","18,909,990.95","22,791,754.68","21,487,424.09","28,238,280.51","30,327,593.33","35,949,421.57","38,553,939.74","39,992,048.36","38,816,719.37","48,111,424.35","50,784,289.76","55,811,582.41","47,121,677.53","45,705,756.93","50,829,052.21","46,564,988.88","38,923,910.72","43,217,207.86","34,295,511.05","39,371,626.66","43,535,985.62","242,285,188.09","181,331,166.81","248,669,978.08","70,287,082.42"
其他应收款,"84,917,090.54","62,545,559.13","71,135,982.69","35,412,564.24","48,173,840.94","104,176,228.02","63,153,926.14","71,343,950.13","75,488,939.81","96,347,835.77","81,272,258.24","76,879,016.99","77,474,485.42","76,171,922.59","62,391,002.14","73,500,086.36","61,546,817.28","90,511,842.53","182,963,646.12","128,243,990.00","138,955,756.76","150,510,846.24","106,394,145.56","153,847,365.06","162,374,128.18","176,897,948.41","164,185,267.14"
应付职工薪酬,"17,533,405.31","18,253,497.09","15,470,889.96","9,990,678.55","10,087,527.18","13,088,746.45","13,550,466.16","9,956,640.46","10,394,993.47","12,285,330.27","15,981,568.06","13,732,302.42","14,815,373.72","16,115,844.40","17,640,279.92","16,639,036.54","18,236,501.61","19,505,321.24","29,183,019.74","20,290,254.00","18,870,892.00","20,480,781.46","33,732,427.15","26,602,004.90","26,719,856.90","29,182,218.33","34,242,743.18"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"2,508,725.85","34,546,814.39","58,754,519.26","59,798,633.15","19,857,852.18","28,586,762.85","36,708,866.32","18,546,550.65","18,594,669.47","7,570,614.76","31,420,768.61","26,822,396.08","15,684,639.92","16,193,236.27","29,018,279.55","21,313,301.58","17,159,052.82","9,678,571.29","41,650,079.39","25,373,688.74","21,923,496.56","25,725,637.10","32,302,012.97","49,824,941.15","38,390,118.57","60,842,546.52","94,937,446.81"
应收利息,,,,,,,"2,377,974.60","2,499,212.02","4,625,810.77","2,060,266.46","2,056,253.80","2,959,686.46","4,250,030.01","1,349,312.24","2,189,382.20","1,295,976.64","1,248,232.61","992,518.30","840,183.37","891,821.49","920,394.52","970,720.81","249,610.31","284,006.28","418,923.84","653,725.42","923,351.31"
应付利息,"330,910.83","398,803.99","434,359.63","501,952.55","1,251,231.50","517,635.28","718,047.41","719,192.41","109,032.17","141,025.05","935,607.64","28,333.33","875,000.00","2,702,233.33","770,666.67","770,666.67","2,241,333.34","653,608.06","697,590.55","148,255.83","641,291.17","822,945.35","851,870.14","810,116.19","1,054,395.33","1,204,782.85","2,210,513.34"
应收股利,"113,489.88",,,,,,"6,328,855.16","6,328,855.16","6,328,855.16","6,328,855.16","7,028,855.16","7,028,855.16","6,328,855.16","6,328,855.16","6,303,935.26","6,753,935.26","7,203,935.26","7,653,935.26","560,471.00","560,471.00","1,128,360.18","1,628,360.18","128,360.18","550,000.00","1,100,000.00","1,650,000.00",
应付股利,"569,618.63","234,361.32",,,,,"367,500.00",,,"1,870,328.44",,,,"2,450,000.00",,,,,,,"1,920,000.00","2,549,885.66","1,920,000.00","2,681,859.13","3,840,000.00","1,920,000.00","1,920,000.00"
存货,"157,698,983.18","287,340,094.81","78,447,814.92","84,685,832.32","87,435,543.44","109,221,325.49","111,624,177.12","129,061,646.05","127,240,479.21","212,183,214.93","240,962,916.41","263,050,905.56","234,933,289.92","246,170,820.73","162,934,156.91","184,056,868.48","177,142,714.20","199,869,724.80","146,491,821.07","149,786,249.13","169,267,322.08","172,943,966.57","188,458,870.05","350,339,832.58","432,829,641.36","404,415,580.37","246,748,243.90"
其他应付款,"106,877,542.17","165,002,690.67","110,492,100.44","129,676,961.65","159,212,885.17","163,382,083.28","171,306,221.12","167,107,848.06","145,063,937.53","150,429,298.94","202,960,086.37","357,125,985.02","217,921,668.26","209,449,096.24","201,726,148.12","245,850,359.70","365,828,617.80","328,370,253.30","360,150,090.66","305,870,478.28","389,145,761.31","327,154,692.47","604,986,260.10","524,005,879.38","577,279,469.42","668,666,010.58","623,636,702.15"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,"6,000,000.00","34,800,000.00","49,700,000.00","47,800,000.00","50,800,000.00","20,800,000.00","17,800,000.00","11,800,000.00","11,166,666.66","16,166,666.66","33,488,333.31","28,246,666.64","27,264,999.97","65,723,333.30","70,900,000.00","68,400,000.00","68,740,000.00","26,240,000.00","14,700,000.00","14,700,000.00","11,950,000.00","14,950,100.00","15,016,800.00","16,516,800.00","29,491,800.00","29,491,800.00","26,466,800.00"
其他流动资产,"45,404,128.57","72,239,136.21","89,514,401.87","90,330,086.68","98,735,669.45","105,582,436.45","107,589,052.45","111,474,186.49","113,106,360.03","115,381,734.71","142,839,174.44","147,084,512.41","149,513,963.69","148,970,946.24","190,606,822.89","213,648,417.57","210,542,690.53","275,275,334.12","344,812,354.37","376,329,160.94","424,694,011.33","493,754,290.83","749,223,876.28","676,742,728.08","780,174,818.00","817,825,819.01","809,802,011.94"
其他流动负债,,,,,,,,,,,,,"100,000,000.00","100,000,000.00","106,476,022.22","107,206,494.44","202,278,911.10","205,794,466.65","266,344,938.20","452,568,686.31","237,265,523.11","242,997,128.35","237,120,319.98","47,101,668.45","13,218,307.90","47,885,803.98","18,762,798.75"
