科目,2009-12-31,2010-12-31,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"20,669,058.86","105,898,429.27","86,545,366.57","388,703,606.71","277,838,703.38","286,250,774.42","299,166,259.40","221,004,178.74","175,032,080.24","152,476,986.80","261,360,080.47","185,134,392.23","356,695,876.32","349,125,183.02","261,473,165.84","229,123,499.89","277,958,177.97","334,150,764.36","640,720,452.39","414,679,511.03","388,326,483.33","1,234,047,299.32","967,296,593.61","1,873,826,483.27","1,894,198,405.70","1,930,726,002.28","1,512,769,609.90","1,215,672,290.24","1,186,610,186.37","1,353,589,347.74","2,618,742,995.87","2,314,001,959.57"
短期借款,"22,000,000.00","44,000,000.00","73,000,000.00","73,000,000.00","43,000,000.00","50,000,000.00","40,000,000.00","52,000,000.00","70,000,000.00","90,000,000.00","140,932,872.58","120,853,299.07","110,113,654.75","142,303,264.23","179,675,816.02","152,103,468.27","241,272,785.21","527,364,997.60","590,210,307.35","629,622,151.23","704,198,246.91","620,197,297.22","579,101,578.15","1,841,818,578.42","1,886,952,799.08","1,946,091,142.50","1,916,729,212.45","846,874,074.30","908,148,891.97","986,456,368.80","1,816,117,271.90","1,871,867,403.79"
交易性金融资产,,,,,,,,,,,,,,,"19,610,619.23","3,283,927.23","8,493,495.17","9,725,390.91","5,565,941.06","3,460,028.26","3,658,081.81","30,085,015.95","57,385,419.82","62,759,781.21","66,027,119.43","38,183,389.96","3,951,399.61","2,866,474.46","4,254,721.01","3,429,078.40","3,750,100.95","3,780,899.33"
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,"471,960.00",,"1,002,405.00","1,797,000.00","1,754,800.00","3,665,117.00","530,388.20","2,080,260.20","3,841,788.20","10,059,246.00","4,050,092.50","14,787,705.00","3,949,800.00","12,620,956.30","7,463,104.11","18,831,955.92","15,545,298.44","12,638,791.43","22,340,527.71","32,284,651.50","16,680,286.93","16,326,910.79","15,573,996.78","32,727,389.60","35,474,162.11","36,132,208.02","21,087,055.01","31,326,293.02","47,709,781.29","101,905,386.48","78,657,800.42"
应付票据,"6,900,000.00","22,024,737.40","16,000,000.00","7,000,000.00",,"15,000,000.00","33,943,628.75","29,931,555.10","16,482,888.20","25,482,888.20","40,000,000.00","46,000,000.00","27,540,173.00","18,183,384.54","55,069,322.65","73,948,712.99","43,530,622.46","66,324,822.80","77,108,395.57","88,225,287.02","107,204,725.03","158,662,913.99","234,849,335.01","225,867,546.80","180,198,633.33","304,102,301.61","317,999,676.43","367,192,773.56","446,060,264.46",,"527,523,635.75",
应收账款,"52,477,222.63","95,604,543.95","117,892,761.23","157,532,615.14","236,515,448.87","258,969,617.68","304,244,003.28","301,613,434.07","340,005,777.65","350,964,585.76","388,834,673.05","380,891,107.01","484,231,895.67","509,975,099.13","570,348,417.44","537,619,642.84","645,542,579.72","876,398,654.06","1,149,672,496.23","1,217,510,253.38","1,435,946,076.41","1,601,035,094.76","1,767,071,981.93","1,768,204,784.31","1,694,654,342.65","1,914,699,892.87","2,031,021,462.67","1,983,902,661.01","2,095,473,207.80","2,293,654,852.28","2,535,485,180.52","2,799,059,275.82"
应付账款,"37,111,550.68","70,691,619.23","81,787,110.36","73,853,230.76","84,283,314.06","111,965,368.82","125,715,072.36","102,142,774.59","144,298,517.01","146,801,105.25","171,632,004.19","143,072,350.53","167,106,884.26","176,877,563.28","212,984,545.87","190,673,395.27","276,500,695.10","510,430,201.50","552,611,725.87","525,036,314.15","676,869,136.46","771,562,832.28","864,917,858.57","881,390,945.23","1,100,546,520.70","1,151,776,333.71","1,407,563,222.72","1,446,489,663.80","1,471,856,815.85",,"2,021,641,877.73",
预付款项,"6,828,393.16","5,702,081.60","7,822,370.98","10,259,678.91","6,455,348.20","11,280,540.47","6,726,899.19","7,999,440.85","14,059,292.83","19,041,283.68","44,264,062.57","39,054,256.35","42,337,895.85","59,819,911.62","42,399,698.84","73,635,302.01","99,417,987.16","247,503,427.83","62,203,587.27","92,558,788.49","65,171,122.27","178,355,051.99","81,999,781.67","138,531,737.55","198,586,517.66","282,083,191.40","121,832,532.17","311,779,404.81","206,922,238.58","243,930,044.50","135,964,620.98","171,106,078.87"
预收款项,"103,399,988.75","108,087,907.21","67,715,083.33","27,990,447.37","39,602,719.66","52,477,921.51","73,736,542.37","63,195,784.36","64,951,335.84","94,008,509.15","85,427,787.21","76,868,535.21","90,913,566.20","141,894,573.84","98,882,778.81","88,914,453.41","106,904,486.80","146,270,042.73","163,350,506.64","211,632,346.34","250,815,998.19","328,688,026.64","250,287,034.41","289,627,383.46","360,478,618.24","428,704,284.56","465,943,700.09","521,079,472.48","611,141,868.98","609,670,188.62","585,672,217.98","443,003,029.58"
