科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月
销售商品、提供劳务收到的现金,"343,051,336.44","756,834,886.73","1,195,628,150.64","1,890,137,748.14","355,200,142.74","984,916,009.60","1,459,104,176.18","1,360,814,658.61","415,266,106.67","1,109,513,728.29","1,428,191,336.35","1,788,178,884.04","475,085,860.40","1,119,357,095.10","1,591,336,350.01","1,671,092,653.27","419,021,315.12","931,156,268.41","1,264,831,067.43","1,849,478,707.99","382,667,572.72","781,311,592.46","1,298,507,662.41","1,986,132,257.13","410,445,728.01"
取得子公司及其他营业单位支付的现金净额,,,,,,,"6,190,000.00","2,690,000.00","600,000.00","600,000.00","600,000.00","600,000.00",,,,"1,369,580.26",,,,"15,997,189.83",,,,,
收到的税费返还,,,,,,,,,,"407,871.15","2,476,162.85","3,431,810.36","2,490,309.45","4,572,974.46","6,743,371.36","7,554,184.68","647,850.99","939,111.75","2,308,718.35","2,276,935.35","3,959,117.82","5,660,751.07","6,025,302.71","6,563,553.29","345,333.83"
支付其他与投资活动有关的现金,,,,,,,,,,,,"16,000,000.00",,,,"3,000,000.00",,,,,,,,,
收到其他与经营活动有关的现金,"3,078,662.33","8,907,610.36","7,603,919.43","65,447,079.72","822,311.98","799,726.23","8,321,296.51","24,155,686.01","422,113.73","14,338,674.43","15,829,926.23","27,911,144.46","2,204,039.28","11,646,610.47","59,978,293.30","24,625,035.92","3,170,442.82","11,601,131.66","42,664,590.75","30,169,213.07","25,603,591.58","30,417,229.49","43,244,948.20","43,070,920.02","7,996,547.38"
投资活动现金流出小计,"56,804,686.35","97,853,052.93","114,716,269.18","198,738,683.99","4,721,798.99","7,859,515.36","14,379,436.66","51,264,573.87","3,101,443.41","3,867,384.40","4,605,661.95","22,352,128.75","1,524,823.17","5,496,646.85","13,547,945.93","91,124,595.73","16,228,485.73","21,733,637.02","60,552,426.10","86,974,053.31","15,429,143.82","19,989,759.49","36,336,578.50","80,145,215.62","21,229,775.66"
经营活动现金流入小计,"346,129,998.77","765,742,497.09","1,203,232,070.07","1,955,584,827.86","356,022,454.72","985,715,735.83","1,467,425,472.69","1,384,970,344.62","415,688,220.40","1,124,260,273.87","1,446,497,425.43","1,819,521,838.86","479,780,209.13","1,135,576,680.03","1,658,058,014.67","1,703,271,873.87","422,839,608.93","943,696,511.82","1,309,804,376.53","1,881,924,856.41","412,230,282.12","817,389,573.02","1,347,777,913.32","2,035,766,730.44","418,787,609.22"
投资活动产生的现金流量净额,"-56,723,186.35","-97,771,552.93","-94,624,769.18","-178,608,238.11","-4,718,698.99","-7,844,915.36","-14,362,126.55","-43,357,802.96","-3,035,511.91","-3,820,871.90","-4,559,149.45","-22,225,390.80","-1,494,823.17","-5,447,971.85","-13,499,270.93","-49,748,762.16","-16,228,485.73","-21,652,637.02","-60,401,110.34","-82,661,997.91","-15,110,497.52","-19,989,759.49","-32,386,578.50","-60,239,415.62","-21,224,721.66"
购买商品、接受劳务支付的现金,"248,072,907.82","541,451,964.75","895,896,683.92","1,558,990,121.44","280,239,986.02","935,359,280.36","1,445,716,554.44","1,019,006,407.03","325,780,638.76","1,032,865,449.75","1,347,832,483.31","1,542,945,775.29","381,282,969.98","913,376,280.03","1,357,205,003.45","1,388,440,027.35","311,364,779.38","757,328,075.36","1,049,928,104.79","1,547,569,578.37","376,534,332.08","749,581,746.60","1,094,828,153.77","1,650,112,881.69","426,126,344.15"
吸收投资收到的现金,,,,"2,100,000.00",,,,"500,000.00","2,100,000.00",,,,,,,,,"40,000,000.00","40,000,000.00","40,000,000.00",,,"4,000,000.00","4,000,000.00","2,000,000.00"
支付给职工以及为职工支付的现金,"19,491,256.48","37,442,275.76","53,079,407.15","74,258,287.62","19,926,557.22","36,808,926.58","55,257,676.86","73,868,807.02","17,935,916.77","39,703,104.67","57,452,105.14","73,681,232.06","30,210,862.34","52,914,457.54","77,021,609.40","94,609,323.59","35,625,969.72","62,308,109.65","92,471,530.09","130,829,145.66","38,121,759.17","70,313,900.23","104,834,089.41","152,674,840.05","58,414,077.62"
取得借款收到的现金,"470,220,000.00","636,720,000.00","741,720,000.00","1,093,340,000.00","477,000,000.00","730,700,000.00","840,200,000.00","1,173,458,000.00","500,900,000.00","618,000,000.00","732,000,000.00","852,000,000.00","479,280,000.00","589,280,000.00","689,280,000.00","971,930,000.00","357,720,000.00","558,720,000.00","838,720,000.00","1,128,720,000.00","520,440,000.00","884,681,847.04","1,047,181,847.04","1,516,880,000.00","610,560,000.00"
支付的各项税费,"9,590,528.71","17,892,293.47","34,658,104.15","49,185,326.12","8,173,887.51","23,940,558.52","31,103,051.42","30,403,955.75","18,647,311.98","34,592,955.67","44,573,558.58","65,348,011.12","16,079,123.05","35,148,590.54","49,282,781.74","73,206,657.66","18,628,053.20","41,339,522.45","49,831,913.38","64,537,290.05","27,330,940.70","49,155,119.97","67,863,159.67","80,539,212.65","25,776,885.43"
收到其他与筹资活动有关的现金,"52,186,721.55","94,362,926.55","94,550,000.00","23,000,000.00","254,713.18","3,134,793.31","156,835,974.41","150,000,000.00","282,161,950.70","270,280,877.58","377,366,485.30","815,716,759.20","166,926,627.03","238,359,967.57","262,194,286.74","35,290,000.00","115,612,008.47","269,020,969.68","273,188,568.86","266,000,000.00","141,243,969.56","188,680,171.11","322,239,412.00","200,636,150.49","105,666,544.97"
支付其他与经营活动有关的现金,"50,420,971.33","92,469,927.66","106,846,669.98","148,506,472.44","34,651,853.32","50,056,724.79","129,733,202.81","123,683,735.54","23,714,531.69","37,927,390.78","67,816,380.01","117,572,638.16","36,033,829.63","74,646,059.15","119,430,135.92","80,516,528.84","41,769,351.76","66,750,420.23","92,917,694.93","88,296,390.07","52,315,507.22","71,019,841.97","108,540,710.21","142,056,809.10","69,564,373.17"
筹资活动现金流入小计,"522,406,721.55","731,082,926.55","836,270,000.00","1,118,440,000.00","477,254,713.18","733,834,793.31","997,035,974.41","1,323,958,000.00","785,161,950.70","888,280,877.58","1,109,366,485.30","1,667,716,759.20","646,206,627.03","827,639,967.57","951,474,286.74","1,007,220,000.00","473,332,008.47","867,740,969.68","1,151,908,568.86","1,434,720,000.00","661,683,969.56","1,073,362,018.15","1,373,421,259.04","1,721,516,150.49","718,226,544.97"
经营活动现金流出小计,"327,575,664.34","689,256,461.64","1,090,480,865.20","1,830,940,207.62","342,992,284.07","1,046,165,490.25","1,661,810,485.53","1,246,962,905.34","386,078,399.20","1,145,088,900.87","1,517,674,527.04","1,799,547,656.63","463,606,785.00","1,076,085,387.26","1,602,939,530.51","1,636,772,537.44","407,388,154.06","927,726,127.69","1,285,149,243.19","1,831,232,404.15","494,302,539.17","940,070,608.77","1,376,066,113.06","2,025,383,743.49","579,881,680.37"
偿还债务支付的现金,"315,050,000.00","467,380,000.00","553,250,000.00","930,970,000.00","447,000,000.00","583,000,000.00","675,000,000.00","1,106,320,000.00","688,470,000.00","750,228,000.00","900,228,000.00","1,110,698,000.00","422,280,000.00","532,280,000.00","622,280,000.00","827,750,000.00","315,000,000.00","555,000,000.00","625,000,000.00","1,017,470,000.00","285,720,000.00","796,965,194.02","914,520,000.00","1,098,140,000.00","485,940,000.00"
