科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"454,927.57","538,979.96","1,872,265.30","2,778,883.22","1,779,527.69","3,783,793.17","6,577,649.00","7,218,584.13","766,430.24","662,085.73","1,946,838.44","2,746,214.21","808,931.79","1,311,070.99","2,003,793.92","2,766,726.20","352,780.29","635,822.71","2,328,059.55","2,030,922.22","852,410.11","890,158.92","1,044,431.84","591,087.84","248,998.18","716,855.16","319,260.31","523,397.88","-517,778.49","-1,790,921.76","-1,973,510.48","-1,731,323.00","-1,558,975.13","-3,761,163.88","-4,781,574.66","-6,658,259.97","-1,657,635.88","-2,985,150.49","-4,262,157.70","-5,328,432.28","-1,445,698.63","54,913,344.40","116,315,082.50","38,143,075.02","16,762,742.13","101,585,367.83"
三、利润总额,"-1,452,489.39","-20,027,110.67","-34,163,261.21","-63,316,805.36","-7,470,366.01","-19,416,464.29","-29,284,926.60","-61,865,044.75","-9,467,316.63","-22,179,774.92","-29,160,090.94","3,396,953.51","-9,864,030.81","-26,139,923.82","-35,647,536.29","-79,435,294.66","-8,316,528.88","-18,158,870.09","-25,137,490.64","-50,837,280.15","2,734,838.80","23,975,095.73","38,427,143.39","57,680,011.17","4,656,728.69","33,157,266.88","55,636,852.02","78,986,518.10","4,018,796.33","28,464,442.09","55,129,800.08","99,174,053.61","5,010,305.01","26,352,513.26","55,159,875.48","69,708,796.12","-6,862,486.81","-11,984,552.00","-27,699,894.23","-41,194,734.63","-19,412,700.23","-146,185,768.03","-186,974,878.41","67,313,857.86","-24,004,290.32","-129,524,221.36"
资产减值损失,,,,"30,442,765.92","-5,000.00","-105,392.31","-168,914.36","23,771,283.03",,"-577,673.09","-620,126.69","61,045,650.43","-1,761,305.55","-2,397,658.21","-3,936,917.07","27,148,895.66","-129,459.28","4,095,303.66","-184,457.77","19,803,136.35",,"2,097,758.23","3,584,408.23","9,580,668.54",,"-561,171.97","-94,191.97","254,128.71",,"6,838,220.77","6,841,658.03","31,125.77",,"1,297,478.74","1,297,581.93","9,043,915.53",,"-749,968.90","-749,968.90","-351,923.16","7,000.00","489,902.82","-351,797.44","-4,478,414.45","729,917.42","558,671.78"
减:所得税,,,,,,"177,109.79","290,471.13","296,526.18","11,787.16","41,261.33","70,638.98","80,150.60","40,428.55","47,956.51","56,147.94","64,457.63","35,940.52","66,562.51","119,033.57","220,880.76","2,293,106.47","5,266,329.92","7,335,845.63","12,531,118.45","789,617.95","5,916,216.36","9,857,807.38","14,208,236.11","913,478.43","4,809,093.34","9,427,886.74","16,059,593.22","1,097,065.87","2,122,991.22","7,014,593.54","9,122,553.53",,"-34,652.83","-34,652.83","1,253,011.09",,"1,640,123.00","8,078,180.79","14,055,084.13","2,832,057.94","3,470,287.12"
加:公允价值变动净收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响净利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资收益,"147,593.92","-1,612,368.51","-1,091,668.15","-2,379,083.77","-955,706.44","-1,175,286.08","-1,259,068.26","-1,358,318.20","-128,622.86","-92,196.69","99,362.43","11,804,173.46","34,841.24","777,456.33","1,168,644.41","1,255,392.64","1,939.46","-37,519.05","75,147.59","128,162.79",,,,,,,,,,"1,899,684.29","2,243,656.89","8,997,052.03","83,386.64","22,022,279.25","23,213,206.36","30,357,115.34","1,105,172.78","3,033,668.39","3,206,360.04","7,915,165.41","1,374,143.83","1,241,905.66","1,174,475.45","1,101,120.36",,"-140,778.08"
四、净利润,"-1,452,489.39","-20,027,110.67","-34,163,261.21","-63,316,805.36","-7,470,366.01","-19,593,574.08","-29,575,397.73","-62,161,570.93","-9,479,103.79","-22,221,036.25","-29,230,729.92","3,316,802.91","-9,904,459.36","-26,187,880.33","-35,703,684.23","-79,499,752.29","-8,352,469.40","-18,225,432.60","-25,256,524.21","-51,058,160.91","441,732.33","18,708,765.81","31,091,297.76","45,148,892.72","3,867,110.74","27,241,050.52","45,779,044.64","64,778,281.99","3,105,317.90","23,655,348.75","45,701,913.34","83,114,460.39","3,913,239.14","24,229,522.04","48,145,281.94","60,586,242.59","-6,862,486.81","-11,949,899.17","-27,665,241.40","-42,447,745.72","-19,412,700.23","-147,825,891.03","-195,053,059.20","53,258,773.73","-26,836,348.26","-132,994,508.48"
其中:对联营企业和合营企业的投资权益,,,,,,,,,,,,"794,458.93",,"777,456.33","1,168,644.41","1,255,392.64",,"-63,095.49","49,571.14",,,,,,,,,,,,,,,,,,,,,,,,,"-273,023.47",,"-140,778.08"
归属于母公司所有者的净利润,"-1,186,803.95","-19,089,186.93","-32,845,585.22","-58,579,012.55","-7,126,390.67","-18,889,523.75","-28,289,518.08","-58,853,889.47","-9,239,805.29","-21,591,522.52","-28,180,199.19","10,210,901.81","-9,485,907.90","-23,767,512.61","-32,826,955.14","-73,732,891.04","-8,349,346.37","-15,782,185.59","-24,618,650.43","-47,474,969.93","498,037.25","19,010,869.46","30,818,310.02","44,479,560.97","3,798,431.36","26,821,342.09","45,010,917.34","63,858,621.61","3,196,195.66","23,559,661.51","45,265,596.43","82,459,550.31","3,906,870.58","23,959,904.30","47,578,428.10","59,780,813.42","-6,328,124.65","-10,345,131.75","-25,215,652.59","-38,038,311.23","-18,331,159.60","-145,328,472.65","-191,835,938.50","57,893,244.41","-25,523,534.49","-130,454,689.93"
影响营业利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
少数股东损益,"-265,685.44","-937,923.74","-1,317,675.99","-4,737,792.81","-343,975.34","-704,050.33","-1,285,879.65","-3,307,681.46","-239,298.50","-629,513.73","-1,050,530.73","-6,894,098.90","-418,551.46","-2,420,367.72","-2,876,729.09","-5,766,861.25","-3,123.03","-2,443,247.01","-637,873.78","-3,583,190.98","-56,304.92","-302,103.65","272,987.74","669,331.75","68,679.38","419,708.43","768,127.30","919,660.38","-90,877.76","95,687.24","436,316.91","654,910.08","6,368.56","269,617.74","566,853.84","805,429.17","-534,362.16","-1,604,767.42","-2,449,588.81","-4,409,434.49","-1,081,540.63","-2,497,418.38","-3,217,120.70","-4,634,470.68","-1,312,813.77","-2,539,818.55"
