科目,2013-12-31,2014-12-31,2015-12-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"117,701,775.60","153,452,045.49","170,084,899.03","138,872,366.28","164,770,716.52","356,844,687.27","333,698,472.23","298,373,287.87","335,824,509.80","351,407,636.76","336,201,579.62","344,115,294.80"
短期借款,"321,900,000.00","296,350,000.00","269,470,000.00","347,000,000.00","325,000,000.00","100,000,000.00","70,000,000.00","40,000,000.00","20,000,000.00",,,
交易性金融资产,"2,568,902.25","122,309.39",,,,,,,,,,
交易性金融负债,,"1,487,321.96",,,,,,,,,,
应收票据,"8,776,362.90","14,868,276.41","12,056,361.77","7,079,133.56","9,671,391.90","10,116,716.00","7,199,249.80","17,572,295.52","4,213,525.24","6,019,298.98","7,855,698.66","5,809,093.33"
应付票据,,,,,,,,,,,,"21,890,303.60"
应收账款,"160,732,839.52","185,538,647.89","201,129,113.27","200,851,680.36","222,557,515.84","202,986,152.07","197,361,924.33","204,000,170.94","209,768,500.05","188,038,241.50","219,868,251.27","235,901,816.93"
应付账款,"86,596,794.56","114,153,216.31","99,008,871.85","104,948,888.90","115,416,716.61","115,107,878.37","108,528,438.88","128,336,481.00","125,681,286.40","135,471,594.62","125,666,983.17","132,758,158.16"
预付款项,"6,103,186.03","5,908,670.77","2,338,654.59","3,325,203.60","5,277,058.37","3,743,286.93","5,635,191.18","7,520,843.32","7,988,632.04","5,104,438.57","6,930,000.25","6,880,129.75"
预收款项,"15,959,562.51","14,124,426.85","14,531,792.01","18,100,862.88","12,893,403.37","16,297,855.34","18,821,794.18","17,270,402.22","20,190,806.66","21,734,931.94","19,826,216.13","21,604,386.68"
其他应收款,"36,501,349.50","20,750,749.76","17,636,569.75","16,423,013.28","13,911,393.95","1,353,097.87","2,305,244.96","3,420,614.27","6,188,103.91","5,398,413.11","4,792,202.55","6,469,094.75"
应付职工薪酬,"30,557,080.48","27,484,820.49","38,279,564.12","30,510,993.17","35,777,707.19","48,055,372.60","33,161,815.80","40,325,508.66","45,950,387.57","54,288,284.64","30,771,132.42","44,700,322.76"
应收关联公司款,,,,,,,,,,,,
应交税费,"9,935,651.00","13,705,389.86","16,650,921.92","20,585,665.34","21,778,779.24","17,859,636.44","21,764,602.79","16,078,168.50","22,529,742.03","20,363,237.27","25,967,991.33","28,357,893.63"
应收利息,,,,,,,,,,,,
应付利息,"691,177.97","706,748.78","593,917.53","576,262.76","543,697.71","132,916.66","93,041.66","48,333.34","24,166.67",,,
应收股利,,,,,,,,,,,,
应付股利,,"20,472,818.88",,,,,,,,,,"47,315,250.00"
存货,"151,857,052.47","158,019,374.12","187,322,306.30","194,273,099.80","193,403,533.42","189,546,636.14","192,168,312.48","192,707,280.98","194,067,962.24","220,409,676.55","200,746,355.33","207,614,239.76"
其他应付款,"9,340,590.36","2,708,608.46","3,897,179.69","5,209,286.44","7,882,404.54","8,400,440.41","12,168,624.09","11,849,230.92","14,232,958.08","13,295,609.25","11,236,183.44","11,369,695.25"
其中:消耗性生物资产,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,
一年内到期的非流动负债,"17,160,000.00","587,069.33","1,029,992.74","3,014,337.34","3,000,288.00","997,221.25","997,221.25","1,427,598.42","1,415,549.14","1,295,796.02","1,507,409.45","1,488,691.84"
其他流动资产,"6,805,528.62","5,124,878.05","6,107,285.75","24,007,880.59","3,869,452.57","2,543,832.45","3,793,447.40","4,607,104.89","3,706,459.63","5,460,117.25","3,942,826.37","6,638,540.33"
其他流动负债,,,,,,,,,,,,
流动资产合计,"491,046,996.89","543,784,951.88","596,675,190.46","584,832,377.47","613,461,062.57","767,134,408.73","742,161,842.38","728,201,597.79","761,757,692.91","781,837,822.72","780,356,865.60","813,445,960.07"
流动负债合计,"492,140,856.88","491,780,420.92","443,462,239.86","529,946,296.83","522,292,996.66","306,851,321.07","265,535,538.65","255,335,723.06","250,024,896.55","246,449,453.74","215,302,162.78","310,299,829.82"
可供出售金融资产,"837,957.00","837,957.00","837,957.00","837,957.00","837,957.00","837,957.00","837,957.00","837,957.00","837,957.00","837,957.00","837,957.00","837,957.00"
长期借款,"19,850,000.00","73,000,000.00","105,000,000.00","103,000,000.00","103,000,000.00",,,,,,,
持有至到期投资,,,,,,,,,,,,
应付债券,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,
长期股权投资,,,,,,,,,,,,
专项应付款,"90,431,004.76",,,,,,,,,,,
投资性房地产,"3,271,014.17","3,106,669.18","2,942,324.20","1,073,432.88","1,046,240.22","1,019,047.56","996,861.55","974,675.55","957,496.17","970,356.70","953,177.33","935,997.96"
预计负债,,,,,,,,,,,,
固定资产,"546,729,570.89","518,731,199.28","551,315,504.99","572,124,512.65","663,557,723.34","658,185,646.44","647,561,121.66","664,995,489.83","665,729,005.32","684,881,828.00","678,669,800.56","700,922,593.28"
递延所得税负债,"340,371.77","18,346.41",,,,,,,,,,
在建工程,"6,492,751.54","101,854,779.72","126,350,552.61","110,222,775.86","16,070,804.84","25,661,116.06","48,527,799.70","35,803,522.60","38,558,416.62","27,506,226.94","39,325,802.31","34,818,403.24"
其他非流动负债,,,,,,,,,,,,
工程物资,,,,,,,,,,,,
非流动负债合计,"120,705,812.76","84,954,459.03","117,502,815.30","115,219,276.40","114,971,552.31","12,220,665.66","11,885,091.48","10,876,267.45","10,937,539.30","14,734,541.00","15,732,228.75","15,366,157.75"
固定资产清理,,,,,,,,,,,,
负债合计,"612,846,669.64","576,734,879.95","560,965,055.16","645,165,573.23","637,264,548.97","319,071,986.73","277,420,630.13","266,211,990.51","260,962,435.85","261,183,994.74","231,034,391.53","325,665,987.57"
生产性生物资产,,,,,,,,,,,,
实收资本(或股本),"157,690,000.00","157,690,000.00","157,690,000.00","157,690,000.00","157,690,000.00","210,290,000.00","210,290,000.00","315,435,000.00","315,435,000.00","315,435,000.00","315,435,000.00","315,435,000.00"
