科目,2007年度,2008年度,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"1,221,945,535.97","1,422,381,910.44","1,528,765,287.05","377,487,938.60","938,893,525.43","1,558,042,784.85","2,228,752,655.87","590,175,642.82","1,342,105,577.66","2,024,747,525.20","2,751,229,849.55","500,982,273.18","1,213,827,783.04","1,942,596,003.87","2,730,919,736.88","671,347,926.08","1,504,803,073.27","2,320,026,275.29","3,205,146,878.03","756,760,238.28","1,602,154,655.76","2,493,900,697.30","3,391,583,066.75","787,802,933.72","1,710,495,543.32","2,625,195,060.85","3,476,970,839.03","873,504,015.63","1,866,907,246.94","2,724,337,837.05","3,738,610,953.91","888,558,238.51","1,969,084,149.31","2,959,315,423.19","4,003,621,033.77","1,006,591,639.09","2,164,529,329.35","3,212,110,632.28","4,168,693,635.91","925,563,457.44"
二、营业利润,"129,135,486.95","119,667,201.01","219,217,399.79","47,888,338.76","108,532,941.20","175,264,767.47","283,287,501.32","56,420,341.80","151,098,230.62","257,041,730.68","394,719,019.51","46,793,229.90","119,693,205.93","195,381,789.33","300,660,438.68","61,534,568.68","145,393,261.77","244,205,357.21","371,598,980.29","62,924,772.15","154,576,545.51","247,249,969.37","404,764,012.39","67,512,296.07","167,476,938.40","241,595,571.28","387,241,474.97","77,960,216.26","193,490,126.67","302,260,266.03","484,881,573.01","73,408,767.11","183,606,621.01","282,215,272.60","456,048,513.51","59,615,028.13","180,010,187.79","331,910,842.59","508,018,546.55","94,411,916.69"
减:营业成本,"995,939,261.01","1,163,702,991.96","1,180,525,011.34","298,090,047.53","742,494,273.87","1,246,383,287.73","1,766,656,178.73","477,980,046.41","1,076,000,202.81","1,598,718,246.63","2,140,494,804.09","405,626,784.44","966,112,430.05","1,548,920,240.80","2,162,928,054.45","541,143,118.28","1,192,855,866.84","1,845,854,717.10","2,540,393,488.85","623,147,547.51","1,293,622,626.93","2,004,865,784.67","2,692,839,680.91","640,284,832.52","1,372,883,592.10","2,107,989,846.93","2,760,114,138.89","706,693,109.13","1,491,732,111.83","2,142,745,704.21","2,919,718,222.64","731,613,529.88","1,610,522,702.62","2,411,114,272.70","3,232,009,590.25","862,725,618.39","1,812,776,465.90","2,630,886,168.87","3,320,743,573.10","765,452,800.77"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"2,940,053.99","3,530,823.55","4,722,871.63","1,897,988.43","4,452,487.53","7,359,914.51","6,121,417.96","4,308,344.54","9,064,174.31","19,033,047.10","20,330,488.86","5,670,109.04","12,854,440.39","21,305,242.51","26,511,961.43","7,081,888.55","13,315,279.47","18,021,198.61","22,983,088.00","8,643,502.99","16,155,039.38","26,603,781.86","34,166,964.92","5,566,402.44","12,111,045.68","19,920,730.94","24,004,202.13","7,326,043.57","14,213,564.67","20,892,532.30","28,600,118.40","7,837,728.84","14,699,912.03","21,582,063.51","28,366,907.96","9,880,849.31","17,504,159.64","26,583,839.38","36,607,394.30","9,761,604.35"
营业外收入,"4,074,262.52","5,796,414.92","10,391,736.31","2,535,168.49","6,468,373.03","9,432,850.54","14,062,112.44","3,658,318.57","4,166,456.63","10,777,686.88","19,252,233.79","1,828,486.33","3,550,567.59","6,886,196.24","22,828,106.70","448,759.37","5,430,329.21","12,704,216.76","34,697,133.11","2,318,219.08","8,435,646.89","10,184,682.99","38,484,511.16","492,441.17","5,490,059.62","17,057,744.43","34,669,051.52","1,050,265.49","3,304,948.67","10,798,413.93","34,531,770.03","5,645,893.70","3,967,911.45","7,993,738.56","14,777,350.17","768,064.13","1,644,036.95","3,408,500.07","3,781,652.70","864,852.93"
销售费用,"37,387,549.95","48,831,341.94","55,421,570.37","11,862,814.76","39,883,851.95","62,159,676.46","74,343,851.85","23,396,583.85","55,716,368.50","76,965,430.50","96,389,120.52","23,338,013.67","66,517,721.20","100,980,759.55","126,260,316.56","28,302,104.16","81,308,383.88","116,146,740.54","157,675,599.99","36,183,247.61","82,084,924.61","127,593,489.76","164,855,603.15","39,024,932.93","80,945,000.37","128,691,458.01","160,073,177.21","41,633,055.42","85,560,682.83","127,346,966.18","160,915,502.22","36,898,880.81","85,062,451.46","136,141,817.34","154,027,980.39","36,297,370.19","85,141,785.87","141,078,856.11","155,889,595.51","36,485,873.95"
减:营业外支出,"131,117.69","766,842.56","380,985.28","228,612.34","296,780.47","360,819.53","2,530,943.30","30,134.06","1,763,044.86","5,730,055.11","5,139,157.66","9,437.62","948,112.29","1,250,885.02","1,878,023.46","34,031.97","588,409.42","877,675.85","2,039,580.77","45,899.25","240,232.81","381,977.84","6,790,586.17","444,768.35","1,805,667.86","2,339,233.47","9,217,975.27","240,039.36","1,049,075.83","2,166,858.03","2,881,462.73","275,573.61","776,368.77","779,672.26","1,912,009.67","1,521,359.16","1,593,080.57","4,317,624.19","6,162,388.68","129,011.66"
管理费用,"29,633,799.33","49,853,864.78","44,696,244.47","10,649,002.96","28,232,671.35","42,279,616.55","73,821,761.82","19,393,666.15","39,343,884.13","56,108,657.69","81,349,084.86","20,338,424.14","47,679,246.13","72,765,375.72","97,713,883.67","27,390,565.69","62,452,823.70","94,023,136.44","113,464,127.75","30,625,101.48","61,869,153.38","96,989,414.60","121,053,048.18","30,778,219.56","65,668,500.40","111,609,051.01","125,466,888.91","36,338,669.30","74,097,332.92","127,001,699.95","172,369,898.50","38,112,914.89","76,986,490.19","115,884,774.05","153,041,848.01","30,580,280.72","68,230,234.64","121,473,500.60","144,344,048.88","45,217,550.09"
其中:非流动资产处置净损失,"2,647.62","622,687.40","124,531.47",,"21,400.08",,"99,108.15",,,,"1,807,671.93",,"216,822.54",,"234,279.51",,"207,736.99","472,701.87","836,290.18",,"38,184.55","115,016.40","2,132,533.51",,"680,641.55","1,137,257.83","6,946,322.13",,"811,487.94","818,967.90","1,244,580.72","14,376.38","47,319.14","49,691.00",,,,,,
