科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"1,084,848,613.40","2,249,957,126.61","3,337,513,502.63","4,529,305,109.09","1,021,832,699.84","2,102,364,123.59","3,180,297,590.16","4,311,443,227.86","1,086,129,584.15","2,438,582,961.68","3,606,755,071.72","4,734,452,100.47","1,246,885,080.76","2,648,982,121.37","4,017,598,158.04","5,410,459,093.46","1,296,585,314.09","2,902,231,077.27","4,480,471,751.94","6,032,156,325.15","1,536,063,602.95","3,177,119,244.05","4,772,391,357.87","6,420,096,553.91","1,650,251,825.16","3,767,080,708.01","6,251,016,790.81","8,701,750,687.45","2,642,699,318.88","5,387,774,414.87","8,363,746,056.78","10,891,135,520.76","2,463,349,504.61","4,821,607,708.79","7,181,681,081.45","9,625,906,980.43","2,521,911,985.61","4,541,468,291.82","6,784,315,624.95","9,387,052,998.15","2,779,097,960.79","4,789,565,728.80","7,194,356,278.95"
二、营业利润,"199,367,101.90","479,781,936.55","699,029,351.40","791,644,613.24","102,408,577.89","144,436,994.93","84,918,319.51","79,684,815.84","78,203,830.51","184,885,958.04","205,649,864.21","153,860,565.82","37,574,018.39","68,254,394.57","91,336,869.98","70,309,250.00","-50,336,044.37","-9,329,847.84","-17,969,225.91","39,273,637.86","596,324.36","117,636,172.29","189,805,574.12","231,985,088.38","86,648,500.57","476,229,467.60","907,622,038.55","1,264,829,368.24","686,338,419.88","1,479,592,191.76","2,496,261,791.41","3,158,295,717.52","860,000,983.18","1,802,629,469.59","2,863,674,931.52","3,265,469,533.67","1,064,871,430.07","1,940,125,405.23","2,708,376,960.22","2,446,876,663.21","368,210,818.03","449,605,782.67","533,756,755.27"
减:营业成本,"759,698,500.51","1,564,248,430.77","2,348,799,128.90","3,236,838,196.95","817,127,210.83","1,730,971,036.49","2,728,786,838.40","3,658,268,479.48","869,114,327.90","1,957,272,216.69","2,960,075,738.15","3,992,605,934.89","1,080,356,874.00","2,336,106,333.59","3,532,248,750.31","4,771,443,794.89","1,198,327,488.76","2,603,271,638.75","4,004,864,862.69","5,306,069,777.53","1,316,914,712.72","2,686,864,745.00","4,003,800,704.50","5,368,814,805.27","1,340,285,531.43","2,959,052,904.11","4,700,899,029.14","6,462,056,177.87","1,783,140,991.08","3,527,625,446.84","5,284,282,441.98","6,825,967,109.61","1,453,114,631.95","2,775,970,337.19","4,036,013,696.51","5,678,166,877.06","1,405,739,014.25","2,520,855,878.98","3,970,129,827.92","6,439,957,225.39","2,241,431,136.39","3,947,044,951.34","6,021,711,194.09"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"12,179,035.73","23,904,995.53","35,227,583.85","47,464,987.31","11,567,226.32","21,206,895.81","26,596,370.51","35,701,762.45","9,423,773.25","20,725,892.70","27,334,427.05","32,868,435.04","12,945,979.62","18,590,121.36","27,232,172.52","35,446,663.93","14,007,298.30","24,074,539.28","32,094,217.33","43,254,673.42","11,228,231.96","21,549,884.90","30,377,078.71","38,626,527.61","15,041,410.36","25,304,113.04","37,158,929.41","48,246,166.97","14,444,363.52","26,322,715.79","45,146,944.07","62,588,034.85","17,986,734.60","35,594,367.66","62,528,784.78","84,344,996.58","32,314,916.34","51,103,109.05","74,904,375.87","110,708,902.13","24,094,387.91","43,012,491.94","74,266,215.86"
营业外收入,"563,600.00","563,600.00","577,904.60","8,292,488.57","1,018,965.50","2,357,437.71","3,365,433.80","9,675,632.14","740,472.21","1,668,944.42","2,397,416.63","8,682,486.59","1,372,390.42","2,714,872.26","5,291,476.23","8,163,443.00","1,419,814.86","3,717,149.50","5,883,924.49","7,778,196.41","1,618,053.11","3,694,246.57","5,906,521.54","14,005,189.62","2,076,824.51","5,527,291.89","7,418,447.14","11,121,946.75","11,891,523.73","7,286,727.12","10,354,658.63","15,447,159.06","6,117,284.58","10,161,718.11","15,116,383.33","23,149,323.32","5,509,678.34","15,612,141.58","21,273,878.49","28,461,391.62","6,485,615.63","17,876,002.86","7,405,862.06"
销售费用,"6,692,542.01","13,836,770.35","20,673,061.39","29,041,207.09","5,277,259.33","10,289,834.58","15,928,803.48","22,074,169.75","5,927,168.99","11,706,716.00","17,933,444.11","27,473,490.25","6,785,011.23","13,855,501.36","22,243,759.83","31,842,424.33","8,846,326.27","19,399,257.93","30,003,089.03","42,251,620.23","11,238,021.89","22,065,621.83","33,958,998.46","47,127,285.15","12,694,725.07","24,183,100.27","35,572,987.69","47,126,951.96","11,489,911.28","22,407,919.41","35,488,636.71","48,010,694.11","13,965,759.98","28,384,027.02","36,550,945.80","50,516,920.66","11,829,151.91","23,499,151.01","37,379,702.04","53,830,116.77","13,879,063.94","26,932,931.67","41,326,058.53"
减:营业外支出,"252,287.21","1,314,808.35","1,472,255.44","1,970,029.78","87,000.00","759,895.22","859,301.77","977,787.79","234,187.00","274,187.00","280,599.00","619,618.22","3,314.74","3,314.74","197,258.54","1,048,237.52",,"46,954.00","96,954.00","652,402.72","50,855.82","172,915.82","405,672.43","1,371,374.65","261,601.22","437,936.01","902,918.41","30,355,004.65","5,400.00","182,840.07","380,903.32","35,834,045.75","43,002.76","938,288.76","1,015,658.66","7,298,852.68","131,035.25","131,035.25","469,679.25","3,541,570.25","65,203.34","609,718.60","1,231,871.50"
管理费用,"52,264,761.45","122,294,059.09","182,157,650.72","332,665,840.91","54,712,054.28","112,531,269.17","167,167,282.59","243,718,012.36","58,390,003.91","149,350,731.08","209,285,582.84","293,250,326.55","43,863,128.01","89,854,876.95","148,207,282.34","239,060,305.37","48,902,996.08","128,703,371.39","218,870,815.31","350,296,079.93","96,649,766.24","206,191,123.59","324,721,958.49","490,970,471.23","130,812,802.76","172,183,008.42","345,436,515.60","593,179,625.26","130,683,942.81","304,332,071.24","559,424,864.53","806,870,863.20","144,731,753.98","299,460,921.02","450,729,742.79","749,108,486.66","115,350,852.63","203,443,360.39","301,006,236.67","556,889,381.76","68,996,664.32","155,743,186.57","315,376,756.87"
其中:非流动资产处置净损失,,"9,983.60","73,709.77","403,408.05",,,,"69,400.24",,,,"299,019.22","3,314.74","3,314.74","8,084.54","859,063.52",,"1,044.00","1,044.00","273,871.50",755.82,755.82,"107,012.43","854,048.65","67,014.64","182,836.21","183,387.36","29,445,135.00",,"76,205.07","252,518.32","35,676,627.42",,,"3,020.90","3,355,995.77",,,,"10,210.00",203.34,"273,318.01","857,606.57"
