科目,2011年度,2012年度,2013年度,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"565,998,258.74","437,867,372.07","427,996,999.56","288,821,859.24","421,608,113.06","544,796,320.00","128,082,799.15","260,931,824.97","413,707,455.59","528,357,952.30","153,268,436.08","330,046,951.60","533,482,443.47","737,465,038.96","147,763,758.95","342,773,612.00","533,622,259.39","742,077,482.32","172,418,851.35","355,204,910.97"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,"224,513,811.15",,,,"37,908,300.00",,
收到的税费返还,,"674,368.78","570,060.91",,,,,"880,231.81","3,241,940.37","3,252,052.60","4,404,718.77","7,502,675.60","11,610,270.42","17,033,571.72","1,965,366.95","7,501,287.07","10,370,368.11","17,476,894.75","4,950,892.93","8,598,502.65"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"13,740,848.23","40,712,891.34","25,594,182.88","1,317,000.00","12,432,859.53","22,048,886.91","4,174,772.30","215,000.00","1,715,000.00","20,620,533.96","7,904,482.96","27,085,847.63","35,026,419.76","33,545,004.37","565,214.21","4,414,951.40","8,207,319.88","16,362,801.43","14,056,027.77","14,319,211.50"
投资活动现金流出小计,"40,324,027.17","15,577,957.98","25,130,536.66","5,819,912.95","7,774,740.23","87,366,849.08","410,415.39","1,442,374.01","54,210,037.63","130,673,637.09","42,511,738.81","133,225,223.09","200,571,896.34","798,503,178.71","199,578,305.88","294,412,769.52","461,904,072.80","886,707,880.16","124,407,364.41","276,834,083.58"
经营活动现金流入小计,"579,739,106.97","479,254,632.19","454,161,243.35","290,138,859.24","434,040,972.59","566,845,206.91","132,257,571.45","262,027,056.78","418,664,395.96","552,230,538.86","165,577,637.81","364,635,474.83","580,119,133.65","788,043,615.05","150,294,340.11","354,689,850.47","552,199,947.38","775,917,178.50","191,425,772.05","378,122,625.12"
投资活动产生的现金流量净额,"-39,115,936.37","-12,941,665.48","-23,722,013.12","-4,979,243.51","-6,808,742.00","-85,220,769.86","-146,636.05","20,185,764.55","-2,356,915.40","3,885,215.29","-2,041,131.05","-65,805,167.45","-112,764,506.57","-507,709,232.92","34,264,046.56","-23,344,301.13","-34,620,817.77","-61,228,156.36","42,971,405.20","11,733,907.46"
购买商品、接受劳务支付的现金,"414,538,768.52","331,756,600.68","362,359,395.98","215,696,672.33","308,246,518.66","382,254,797.14","166,114,881.27","261,309,268.85","340,246,888.58","429,303,092.44","102,903,343.36","211,709,527.13","351,954,855.19","488,007,718.33","135,856,517.23","235,721,038.39","396,761,437.55","573,882,596.96","157,990,481.64","322,162,713.06"
吸收投资收到的现金,,,,,,"171,400,000.00",,,,,,,"637,999,984.32","637,999,984.32",,,,,,"29,932,300.00"
支付给职工以及为职工支付的现金,"62,473,906.46","67,040,087.47","65,675,889.43","36,042,584.07","53,448,984.16","72,904,338.49","20,127,738.45","39,879,305.23","59,366,901.04","81,566,546.45","32,391,018.33","59,021,003.27","85,380,237.60","117,478,553.67","38,791,473.48","66,844,587.47","93,700,254.28","120,721,332.05","44,896,267.96","77,344,049.17"
取得借款收到的现金,"170,000,000.00","315,500,000.00","259,181,876.75","185,994,060.83","293,994,060.83","379,994,060.83","172,840,000.00","327,840,000.00","471,840,000.00","604,840,000.00","154,900,000.00","251,900,000.00","336,900,000.00","396,900,000.00","20,000,000.00","40,000,000.00","106,496,865.00","120,996,865.00","77,777,280.00","193,777,280.00"
支付的各项税费,"33,853,474.39","51,141,229.27","26,914,625.74","13,641,622.51","23,973,499.16","30,110,364.03","11,559,992.88","13,891,661.28","21,538,305.13","23,204,923.73","16,337,975.78","35,666,092.96","55,500,375.31","55,011,569.04","5,662,398.08","15,346,630.16","29,214,257.07","40,453,825.85","13,028,139.11","21,391,380.83"
收到其他与筹资活动有关的现金,"2,800,000.00",,,,,,,,,,,,,,,,,,,"46,510,000.00"
支付其他与经营活动有关的现金,"45,313,449.72","40,553,375.32","41,131,925.51","26,052,789.38","26,197,780.75","36,240,716.04","13,736,104.69","22,197,168.46","24,718,909.53","42,005,884.17","19,856,049.91","34,589,814.85","57,440,262.10","47,362,098.72","27,340,702.93","51,845,371.71","86,151,384.49","76,536,129.00","36,601,335.38","44,138,029.42"
筹资活动现金流入小计,"172,800,000.00","315,500,000.00","259,181,876.75","185,994,060.83","293,994,060.83","551,394,060.83","172,840,000.00","327,840,000.00","471,840,000.00","604,840,000.00","154,900,000.00","251,900,000.00","974,899,984.32","1,034,899,984.32","20,000,000.00","40,000,000.00","106,496,865.00","120,996,865.00","77,777,280.00","270,219,580.00"
经营活动现金流出小计,"556,179,599.09","490,491,292.74","496,081,836.66","291,433,668.29","411,866,782.73","521,510,215.70","211,538,717.29","337,277,403.82","445,871,004.28","576,080,446.79","171,488,387.38","340,986,438.21","550,275,730.20","707,859,939.76","207,651,091.72","369,757,627.73","605,827,333.39","811,593,883.86","252,516,224.09","465,036,172.48"
偿还债务支付的现金,"94,000,000.00","244,500,000.00","242,000,000.00","197,175,937.58","317,175,937.58","480,175,937.58","101,000,000.00","239,840,000.00","423,840,000.00","548,840,000.00","122,900,000.00","149,900,000.00","299,900,000.00","566,900,000.00",,"15,000,000.00","25,000,000.00","40,000,000.00","56,496,865.00","96,496,865.00"
