科目,2007年度,2008年度,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"128,284,227.11","207,470,304.01","92,582,085.23","181,907,733.18","283,951,026.89","26,857,735.32","106,810,457.83","218,610,716.98","345,078,077.19","36,717,729.46","103,558,053.24","165,038,661.02","284,228,971.54","79,970,188.55","241,488,370.21","270,543,220.30","332,780,467.00","91,970,837.39","217,734,945.12","269,595,817.38","443,115,815.36","37,273,492.25","96,607,266.75","361,552,074.23","790,851,361.84","167,224,193.73","332,210,117.27","579,512,182.13","949,830,935.37","182,251,581.94","350,368,058.14","452,913,237.82","662,984,124.45","83,500,257.83","212,149,372.57","376,797,192.77","551,298,664.60","125,873,429.48"
取得子公司及其他营业单位支付的现金净额,,"507,363.90",,,,,,,,,,,,,,,,,,,,,,"249,732,464.79","249,732,464.79",,,,,,,,,,,,,
收到的税费返还,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,052,095.97","202,470.75","3,073,298.10","4,353,666.42","4,402,486.41","4,402,486.41","255,979.66"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,083,582.97","299,255.58","348,405.58","2,885,395.58",,"80,386.00"
收到其他与经营活动有关的现金,"2,682,830.89","2,675,011.84","166,732.59","180,532.59","1,917,772.17","3,881,446.44","6,959,838.81","7,653,165.22","11,128,754.14","2,150,185.31","14,085,059.95","14,679,704.74","22,942,364.61","2,614,367.47","9,314,729.14","12,138,064.91","15,352,296.70","2,384,904.29","4,644,052.02","6,905,426.26","8,212,638.93","2,769,780.38","7,519,767.47","14,708,858.56","17,348,722.04","19,246,298.07","8,321,306.28","19,611,536.56","13,487,138.12","6,509,617.23","9,617,136.41","29,580,822.83","9,466,165.37","5,046,427.80","13,719,918.24","23,172,017.44","25,694,676.21","12,435,118.89"
投资活动现金流出小计,"10,117,942.00","13,129,983.93","4,368,944.61","6,647,747.70","7,763,626.91","23,000,332.05","42,210,132.17","104,330,993.36","168,206,977.74","2,953,237.00","10,937,151.72","16,547,417.11","31,700,228.12","4,793,431.51","18,226,594.25","27,991,647.95","49,026,666.17","16,995,703.24","29,925,953.68","43,045,260.18","82,065,846.24","38,435,713.18","327,910,348.44","358,674,954.43","418,222,257.59","30,095,365.67","37,267,184.31","54,995,853.54","152,547,183.82","15,024,076.83","22,181,200.10","26,217,321.34","56,107,116.36","6,547,919.33","10,162,003.35","21,403,557.10","48,019,489.58","31,615,163.61"
经营活动现金流入小计,"130,967,058.00","210,145,315.85","92,748,817.82","182,088,265.77","285,868,799.06","30,739,181.76","113,770,296.64","226,263,882.20","356,206,831.33","38,867,914.77","117,643,113.19","179,718,365.76","307,171,336.15","82,584,556.02","250,803,099.35","282,681,285.21","348,132,763.70","94,355,741.68","222,378,997.14","276,501,243.64","451,328,454.29","40,043,272.63","104,127,034.22","376,260,932.79","808,200,083.88","186,470,491.80","340,531,423.55","599,123,718.69","963,318,073.49","188,761,199.17","359,985,194.55","487,546,156.62","672,652,760.57","91,619,983.73","230,222,957.23","404,371,696.62","581,395,827.22","138,564,528.03"
投资活动产生的现金流量净额,"-10,117,942.00","-13,129,983.93","-4,356,944.61","-6,635,747.70","-7,751,626.91","-23,000,332.05","-42,210,132.17","-104,310,993.36","-168,186,977.74","-2,953,237.00","-10,893,414.56","-16,453,389.12","-31,700,228.12","-4,793,431.51","-18,120,594.25","-27,885,647.95","-48,860,666.17","-16,995,703.24","-29,925,953.68","-43,045,260.18","-81,967,846.24","-28,435,713.18","-317,898,348.44","-343,962,954.43","-413,389,102.64","-30,095,365.67","-37,267,184.31","-54,995,116.04","-152,546,446.32","-15,022,608.83","-22,123,486.09","-26,159,607.33","24,540,390.51","-6,543,645.83","-10,114,509.76","59,095,880.98","32,516,253.75","8,522,531.95"
购买商品、接受劳务支付的现金,"98,103,513.15","147,470,322.75","83,116,834.83","167,408,258.26","215,446,484.26","59,698,411.48","126,834,000.19","209,523,767.00","306,978,153.71","75,282,072.53","137,017,659.31","182,473,078.41","305,908,834.54","36,835,088.16","100,769,067.28","153,486,811.50","189,061,901.90","40,180,875.34","140,144,693.79","198,507,856.69","262,879,829.27","56,594,894.52","104,075,261.28","203,567,986.16","372,302,977.36","133,042,324.63","196,103,746.48","273,527,260.46","473,712,149.41","54,430,737.28","115,518,359.45","198,444,163.04","300,700,355.94","84,151,834.78","218,511,534.83","362,645,356.87","501,851,683.47","64,008,208.81"
吸收投资收到的现金,"10,000,000.00",,,"533,379,200.00","533,379,200.00",,,,,"4,900,000.00","4,900,000.00","4,900,000.00","4,900,000.00",,,,,"19,600,000.00","19,600,000.00","19,600,000.00","19,600,000.00",,"373,449,978.92","373,449,978.92","383,449,978.92",,,,,,,,,,"9,300,000.00","9,300,000.00","9,300,000.00",
