科目,2013-12-31,2014-12-31,2015-12-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"22,147,660.64","19,850,613.93","25,705,782.46","13,596,571.17","30,359,978.80","182,915,359.40","103,186,517.25","54,191,437.93","51,545,627.49","51,564,975.15","50,454,964.82"
短期借款,,"11,500,000.00","7,000,000.00",,,"14,000,000.00",,,,,
交易性金融资产,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,
应收票据,"4,309,560.71","10,532,480.10","16,116,289.14","15,579,924.49","13,500,766.92","17,080,373.08","24,422,847.72","27,272,317.77","24,805,662.70","24,437,409.40","24,539,824.09"
应付票据,"5,000,000.00","8,200,000.00",,,,,,,,,
应收账款,"138,477,032.29","146,430,053.91","137,938,866.90","139,332,575.61","148,487,814.93","146,181,370.03","141,333,666.97","144,947,772.46","150,331,122.71","160,631,087.99","168,815,209.54"
应付账款,"57,574,830.31","54,086,388.55","47,618,485.27","52,653,978.97","65,870,058.19","67,398,409.06","69,593,765.61","68,495,559.75","76,775,956.26","80,839,344.73","90,473,808.19"
预付款项,"4,220,191.47","2,870,480.06","4,678,517.62","6,764,547.75","6,380,430.55","1,326,055.66","4,257,996.79","2,026,424.70","2,917,500.21","2,704,063.49","3,987,917.07"
预收款项,"951,077.88","627,968.51","838,726.49","1,143,209.33","1,285,942.93","1,395,336.34","1,560,395.37","989,463.26","1,173,808.57","1,462,595.55","1,515,799.08"
其他应收款,"800,356.26","1,333,746.43","143,904.47","2,738,134.89","2,265,262.87","2,269,252.70","2,525,333.81","1,974,742.00","1,946,517.20","2,225,198.59","2,166,431.17"
应付职工薪酬,"3,327,941.57","3,109,114.37","3,779,876.82","2,689,663.07","3,653,781.68","4,417,124.45","3,012,986.42","3,930,372.77","3,918,973.78","5,159,534.76","2,685,681.81"
应收关联公司款,,,,,,,,,,,
应交税费,"2,726,302.40","4,197,662.86","4,113,521.76","4,595,547.31","5,136,262.85","3,175,105.54","3,610,682.77","4,740,196.51","4,688,464.49","2,421,655.18","2,937,494.83"
应收利息,,,,,,,,,,,
应付利息,,,,,,,,,,,
应收股利,,,,,,,,,,,
应付股利,,,,,,,,,,,
存货,"36,849,589.83","39,449,258.24","37,030,187.19","37,248,746.84","44,823,448.74","45,623,665.99","47,359,158.50","47,521,301.77","59,435,452.44","57,204,766.81","61,795,375.31"
其他应付款,"1,512,530.54","2,256,692.28","2,854,408.36","2,343,844.72","2,925,162.17","8,996,209.88","1,778,170.84","1,865,171.87","2,120,090.22","3,082,651.59","2,333,988.32"
其中:消耗性生物资产,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,
一年内到期的非流动负债,"13,500,000.00",,,,,,,,,,
其他流动资产,"32,766.14","670,264.68","436,421.74","300,978.51","153,425.21","2,277,088.68","61,049,749.19","101,803,299.85","101,759,690.71","91,720,476.00","82,103,906.43"
其他流动负债,,,,,,,,,,,
流动资产合计,"206,837,157.34","221,136,897.35","222,049,969.52","215,561,479.26","245,971,128.02","397,673,165.54","384,135,270.23","379,737,296.48","392,741,573.46","390,487,977.43","393,863,628.43"
流动负债合计,"84,592,682.70","83,977,826.57","66,205,018.70","63,426,243.40","78,871,207.82","99,382,185.27","79,556,001.01","80,020,764.16","88,677,293.32","92,965,781.81","99,946,772.23"
可供出售金融资产,,,,,,,,,,,
长期借款,,,,,"14,000,000.00",,,,,,
持有至到期投资,,,,,,,,,,,
应付债券,,,,,,,,,,,
长期应收款,,,,,,,,,,,
长期应付款,,,,,,,,,,,
长期股权投资,,,,,,,,,,,
专项应付款,,,,,,,,,,,
投资性房地产,,,,,,,,,,,
预计负债,,,,,,,,,,,
固定资产,"27,377,621.87","32,774,095.55","30,956,711.33","29,825,035.91","30,165,816.51","29,985,078.58","29,504,834.99","29,703,852.69","29,054,762.38","29,435,677.37","29,404,458.83"
递延所得税负债,,,,,,,,,,,
在建工程,"4,037,079.90","820,178.50","8,523,372.20","15,127,677.83","29,261,386.16","31,848,963.25","35,827,517.77","42,068,636.80","50,886,583.18","54,413,680.29","56,362,751.08"
其他非流动负债,,,,,,,,,,,
工程物资,,,,,,,,,,,
非流动负债合计,"292,500.00","262,500.00","232,500.00","217,500.00","19,210,000.00","5,202,500.00","5,195,000.00","5,187,500.00","5,180,000.00","5,131,399.31","5,096,991.63"
固定资产清理,,,,,,,,,,,
负债合计,"84,885,182.70","84,240,326.57","66,437,518.70","63,643,743.40","98,081,207.82","104,584,685.27","84,751,001.01","85,208,264.16","93,857,293.32","98,097,181.12","105,043,763.86"
生产性生物资产,,,,,,,,,,,
实收资本(或股本),"60,000,000.00","60,000,000.00","60,000,000.00","60,000,000.00","60,000,000.00","80,000,000.00","80,000,000.00","120,000,000.00","120,000,000.00","120,000,000.00","120,000,000.00"
油气资产,,,,,,,,,,,
资本公积,"54,141,168.50","55,141,168.50","55,141,168.50","55,141,168.50","55,141,168.50","175,781,734.56","176,006,168.57","136,006,168.57","136,006,168.57","136,006,168.57","136,006,168.57"
无形资产,"18,410,057.71","17,994,313.61","17,578,569.41","17,370,697.31","17,266,761.26","17,166,386.65","17,067,792.50","16,969,198.34","16,897,439.87","16,797,681.20","16,697,922.53"
盈余公积,"3,764,845.22","5,672,406.82","7,678,041.65","8,642,633.09","9,353,048.31","9,834,885.56","10,518,012.43","11,228,523.11","12,220,123.98","12,630,549.29","13,232,188.17"
开发支出,,,,,,,,,,,
减:库存股,,,,,,,,,,,
商誉,,,,,,,,,,,
未分配利润,"56,749,085.48","74,450,403.25","95,847,597.05","96,412,400.87","106,753,851.77","112,852,851.56","121,596,713.82","122,149,243.57","133,588,549.75","138,903,017.32","146,985,842.53"
长期待摊费用,"123,435.09","3,483,938.55","3,066,963.85","2,860,625.95","2,757,385.18","2,621,860.41","2,589,154.32","2,420,178.87","2,319,338.10","2,218,497.33","2,117,656.56"
少数股东权益,,,,,,,,,,,
递延所得税资产,"2,754,929.99","3,294,881.58","2,928,739.59","3,094,429.60","3,906,799.27","3,758,702.52","3,747,326.02","3,693,036.23","3,772,438.63","3,866,702.68","3,822,079.13"
外币报表折算价差,,,,,,,,,,,
其他非流动资产,,,,,,,,,,"8,416,700.00","18,999,466.57"
非正常经营项目收益调整,,,,,,,,,,,
非流动资产合计,"52,703,124.56","58,367,407.79","63,054,356.38","68,278,466.60","83,358,148.38","85,380,991.41","88,736,625.60","94,854,902.93","102,930,562.16","115,148,938.87","127,404,334.70"
所有者权益(或股东权益)合计,"174,655,099.20","195,263,978.57","218,666,807.20","220,196,202.46","231,248,068.58","378,469,471.68","388,120,894.82","389,383,935.25","401,814,842.30","407,539,735.18","416,224,199.27"
资产总计,"259,540,281.90","279,504,305.14","285,104,325.90","283,839,945.86","329,329,276.40","483,054,156.95","472,871,895.83","474,592,199.41","495,672,135.62","505,636,916.30","521,267,963.13"
