科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"238,127,502.41","264,156,781.90","286,211,036.10","142,981,784.15","222,658,495.75","324,255,369.86","75,379,895.30","186,426,064.81","296,859,455.03","436,147,724.44","137,890,842.04","289,718,065.61","457,458,896.42","711,705,123.67","237,468,188.74"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,"4,575,037.89","7,601,553.58",,"55,801,078.45","114,739,303.09","161,319,668.63",
收到的税费返还,"271,689.33","659,324.43",,,,,,"15,056.07","15,056.07","15,056.07",,"36,114.19","766,900.73","3,230,201.32","7,619,208.54"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"2,536,156.55","753,151.03","3,789,153.35","367,321.59","420,520.79","2,330,328.67","1,918,792.56","2,991,903.16","4,185,852.73","4,786,799.60","3,329,692.31","3,621,121.20","6,573,426.85","10,349,551.29","830,975.62"
投资活动现金流出小计,"40,327,694.98","10,579,320.90","18,050,410.01","16,052,528.21","25,879,592.78","40,099,112.01","9,295,733.50","188,463,297.63","473,893,324.79","734,611,420.06","155,015,211.61","308,013,232.99","438,705,205.81","507,071,577.40","17,323,226.02"
经营活动现金流入小计,"240,935,348.29","265,569,257.36","290,000,189.45","143,349,105.74","223,079,016.54","326,585,698.53","77,298,687.86","189,433,024.04","301,060,363.83","440,949,580.11","141,220,534.35","293,375,301.00","464,799,224.00","725,284,876.28","245,918,372.90"
投资活动产生的现金流量净额,"-40,316,694.98","-10,579,320.90","-18,033,610.01","-15,799,528.21","-25,394,792.78","-39,614,312.01","-9,295,733.50","-188,463,297.63","-182,153,817.94","-212,111,809.71","2,533,555.51","-76,191,287.78","-148,679,041.42","-196,926,938.33","-17,234,826.02"
购买商品、接受劳务支付的现金,"162,830,348.20","186,326,420.62","171,034,293.05","74,034,268.69","118,901,428.09","198,618,564.04","65,756,119.96","130,329,726.51","214,647,698.20","330,002,493.84","86,379,772.27","188,189,149.73","324,353,369.10","501,062,340.06","160,068,729.64"
吸收投资收到的现金,"14,400,000.00",,,,,,"218,470,000.00","235,400,000.00","245,400,000.00","245,400,000.00","28,943,040.00","28,943,040.00","28,943,040.00","28,954,549.28",
支付给职工以及为职工支付的现金,"11,965,608.26","18,594,139.90","26,335,119.85","14,771,182.88","21,463,617.91","29,101,450.66","10,152,439.51","18,738,266.55","28,650,111.37","40,866,524.43","19,487,064.83","37,058,335.04","56,439,081.47","77,213,624.62","28,687,831.34"
取得借款收到的现金,"44,910,413.60","45,980,000.00","54,635,000.00","19,770,000.00","19,770,000.00","39,370,000.00","8,000,000.00","8,000,000.00","11,000,000.00","23,700,000.00","5,300,000.00","40,510,000.00","119,390,000.00","157,210,000.00","59,100,000.00"
支付的各项税费,"14,935,369.73","14,440,924.48","26,431,663.29","16,534,932.89","22,563,877.76","27,595,152.29","3,138,731.78","5,895,540.01","12,385,831.27","19,539,230.39","7,024,635.71","9,567,144.93","13,378,352.03","19,122,762.90","7,847,771.89"
