科目,2007年度,2008年度,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"121,321,721.51","202,925,164.32","120,737,448.29","190,278,265.99","263,673,083.41","63,567,422.66","148,267,467.33","244,663,713.22","355,825,689.72","92,066,285.55","220,275,323.92","349,963,420.75","501,023,553.39","114,625,783.65","264,609,377.12","428,883,218.57","616,368,723.85","147,040,622.63","335,456,867.92","542,823,532.28","776,924,649.56","169,765,626.87","381,875,066.00","619,252,212.81","926,045,514.71","234,954,343.60","532,515,904.27","848,611,278.69","1,287,835,396.95","259,601,252.26","636,116,781.25","1,066,726,193.24","1,652,260,675.47","374,879,105.82","849,583,311.94","1,412,549,649.86","2,118,230,537.60","448,123,073.64","1,088,894,794.74","1,832,810,527.43","2,680,881,245.22","565,649,798.73"
二、营业利润,"39,861,662.29","43,315,751.12","30,425,923.07","50,685,205.10","62,324,289.88","10,043,961.49","33,428,524.17","60,751,008.33","76,492,176.77","11,711,405.16","48,623,754.29","74,184,474.69","106,969,931.40","15,591,490.43","50,954,335.92","88,051,321.04","127,647,143.14","21,839,502.35","66,312,262.55","118,781,621.80","169,924,747.75","14,317,354.24","54,768,450.77","88,955,570.17","159,659,767.95","9,645,530.18","51,657,664.88","90,951,053.33","199,795,290.15","-7,215,831.25","24,785,967.60","94,792,330.64","129,422,317.39","12,812,184.22","51,241,886.89","124,925,714.22","174,030,516.74","-20,522,639.19","66,318,714.19","193,846,816.71","314,683,553.02","48,358,803.24"
减:营业成本,"27,953,824.55","64,733,463.02","43,152,007.99","65,869,802.24","94,091,022.47","24,604,718.76","54,624,147.17","87,455,391.72","132,045,720.81","38,416,372.51","79,593,054.49","122,816,065.69","171,050,897.84","39,897,247.29","87,057,183.27","143,363,531.90","216,835,859.14","64,320,024.86","130,799,835.87","206,472,271.59","292,615,355.22","79,651,029.06","162,444,960.78","262,534,441.38","388,105,317.16","130,392,518.69","267,719,155.76","415,920,345.22","593,076,177.77","158,387,508.27","340,904,576.71","534,858,315.84","816,084,946.13","201,030,824.90","456,976,181.68","760,158,973.45","1,178,271,509.64","293,382,167.02","638,664,057.63","1,030,120,281.89","1,479,875,230.72","319,137,021.26"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"6,323,759.03","10,466,045.20","6,137,426.14","9,579,704.34","13,282,198.54","3,200,004.40","7,444,368.02","12,150,190.35","17,775,796.48","4,774,216.81","11,279,506.65","17,960,941.72","25,619,475.29","4,462,746.96","10,030,347.82","16,198,734.34","19,558,516.24","950,483.94","2,024,092.88","3,021,971.99","3,664,700.39","635,418.31","1,438,209.74","2,145,372.74","2,807,324.76","493,348.37","1,169,722.26","1,678,471.21","3,109,381.11","997,732.69","1,791,701.58","2,641,849.79","7,403,414.59","1,634,516.61","3,977,228.62","6,236,124.46","8,382,823.69","2,007,100.29","3,988,879.48","6,098,693.62","9,022,386.84","2,183,069.77"
营业外收入,"343,986.72","3,738,416.43","2,655,892.95","5,889,769.63","7,420,928.27","110,004.32","1,585,719.11","5,208,706.60","6,604,773.72","2,235,308.94","2,791,448.54","5,643,184.35","11,841,343.44","3,047,659.71","6,321,821.55","9,336,332.15","15,180,728.18","1,122,851.72","5,682,202.02","7,734,592.31","14,426,224.13","1,991,707.93","9,673,258.64","18,149,671.97","22,284,986.40","2,738,296.44","6,781,938.71","13,483,410.80","17,450,819.54","2,774,655.90","8,079,439.88","14,531,445.61","28,678,650.43","4,340,970.19","15,288,768.07","21,750,291.99","16,322,054.47","7,091,458.48","11,825,957.11","11,603,751.44","12,112,883.67","10,396,998.78"
销售费用,"26,431,475.34","49,116,793.31","25,133,212.51","40,138,373.27","59,940,596.01","16,560,195.48","37,508,577.52","59,938,480.12","92,813,303.46","25,058,997.99","49,673,788.96","77,354,627.51","106,807,895.77","26,665,154.45","52,444,850.38","83,597,946.03","113,965,937.17","34,036,850.53","74,428,630.88","113,955,181.32","153,007,873.54","49,236,975.06","99,966,253.71","158,227,313.92","199,552,463.30","57,647,763.45","115,632,548.87","181,608,950.20","244,794,810.27","63,534,870.22","144,873,129.14","224,501,498.51","311,941,952.35","78,988,353.70","172,654,263.58","269,857,489.10","400,958,452.20","102,463,646.51","210,071,194.62","331,039,704.60","506,355,023.16","111,215,699.15"
减:营业外支出,"33,454.17","585,151.68","145,805.81","414,595.73","934,769.60","124,969.33","241,054.76","323,975.80","495,664.87","366,122.21","696,358.85","512,838.11","579,532.89","69,904.76","149,177.24","212,453.81","299,545.99","86,994.05","179,664.88","235,285.22","463,502.80","204,969.56","264,752.51","333,032.47","1,294,502.66","751,680.82","1,026,139.89","1,421,402.23","1,767,199.62","99,459.58","774,663.23","1,250,134.18","3,094,684.98","670,329.09","2,130,441.21","2,473,761.27","1,680,301.70","98,392.63","384,963.45","701,748.64","3,311,790.31","283,929.19"
管理费用,"20,426,304.78","32,523,376.98","12,818,088.96","20,477,917.23","29,828,658.88","8,821,315.22","19,717,468.82","30,134,656.71","49,657,792.82","14,004,724.51","34,924,937.63","64,569,395.12","100,454,768.70","29,972,018.86","68,089,811.37","103,085,752.80","143,864,899.56","29,820,059.52","67,547,040.97","107,543,162.14","164,539,003.80","27,515,977.40","64,829,998.25","110,069,444.92","182,602,276.31","36,208,225.43","92,870,401.79","150,648,498.41","231,476,231.65","42,105,056.23","113,758,156.83","194,546,674.06","302,076,439.34","75,533,005.08","158,727,714.87","240,954,393.05","330,548,614.29","66,645,050.26","166,921,718.45","119,078,417.54","180,879,690.96","44,192,610.97"
其中:非流动资产处置净损失,,,,,"344,187.95",,,,"239,947.57",,,,"38,925.55",,"49,619.87",,"163,909.58",,"93,746.41",,"347,894.09","178,748.50","213,457.90",,"773,993.77",,"658,586.29",,"1,295,658.80",,"575,669.97",,"1,208,360.65",,"1,091,040.50",,,,,,,
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
