科目,2008-12-31,2009-12-31,2010-12-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"14,547,123.57","31,830,623.85","48,375,924.10","43,632,756.10","249,951,703.57","194,823,299.89","188,309,280.25","172,604,292.69","164,705,866.25","150,941,066.45","138,255,375.59","131,358,856.20","84,584,457.74","171,081,447.80","156,679,333.56","177,955,283.64","83,692,120.90","85,959,969.70","57,272,959.19","69,175,642.22","72,372,818.96","69,864,764.02","65,479,959.14","66,751,059.16","84,755,386.83","128,767,004.70","337,996,075.45","320,134,289.31","264,412,724.11","270,864,864.82","165,633,953.59","303,706,491.56"
短期借款,"28,000,000.00","59,547,957.38","67,495,126.85","65,694,878.19","18,845,608.09","8,150,729.90","18,451,473.10","28,532,385.33","27,889,174.84","12,150,297.00","16,650,297.00","34,000,000.00","42,000,000.00","102,000,000.00","102,000,000.00","147,500,000.00","90,000,000.00","108,400,000.00","112,700,000.00","137,588,448.20","126,938,448.20","119,500,000.00","108,525,203.35","105,617,181.21","109,199,823.38","110,000,000.00","81,100,000.00","58,000,000.00","47,000,000.00","40,983,322.93","77,770,062.08","73,770,062.08"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,,"6,724.41","1,334,802.09",,"1,000,000.00","200,000.00",,"600,000.00","455,067.66","846,668.32","1,202,782.09","894,730.67","580,087.14","100,000.00","468,240.00","500,000.00","2,109,678.38","350,000.00","533,405.08","1,600,000.00","1,602,848.00","4,647,702.92","944,399.91","1,718,000.00","3,610,009.50","6,594,838.84","7,313,976.48","8,368,890.87","4,903,392.79","3,696,050.34"
应付票据,"43,750,000.00","52,999,511.64","99,994,802.84","108,285,738.77","153,585,518.43","154,940,314.61","141,124,020.46","142,381,575.23","145,762,842.90","139,352,652.50","139,388,738.32","127,368,584.91","132,000,463.85","150,105,627.95","150,508,281.47","152,997,709.30","157,242,753.25","152,375,588.61","144,711,085.29","162,636,176.74","179,175,700.47","153,173,868.00","162,030,237.27","160,500,634.79","182,246,233.39","216,051,436.17","234,422,132.39","243,008,444.01","291,223,571.19","332,365,461.22","245,717,489.25","255,147,152.86"
应收账款,"57,402,329.87","55,531,968.84","90,900,182.13","109,118,039.63","126,486,240.55","130,473,839.22","122,058,626.08","143,331,286.18","145,613,020.24","147,503,466.46","163,501,281.90","148,157,674.34","161,872,386.90","143,930,859.21","156,520,071.88","162,668,082.25","163,258,861.61","176,197,568.99","192,003,211.91","208,419,452.33","212,787,910.23","209,777,130.49","217,018,560.21","240,907,696.13","260,906,246.81","285,719,996.11","299,186,980.17","284,032,799.97","351,641,463.29","375,679,740.45","374,887,474.31","410,173,470.60"
应付账款,"83,005,121.09","66,401,032.61","99,491,599.60","80,810,286.23","72,484,031.06","81,438,256.44","71,795,488.67","98,398,427.37","80,890,966.72","104,723,256.19","126,795,143.30","119,585,480.66","122,221,546.28","114,429,747.82","125,536,089.89","124,591,366.84","129,120,613.59","141,549,361.47","164,417,766.87","166,476,786.44","163,736,712.75","145,802,303.85","166,169,137.93","209,156,692.07","189,956,578.89","190,431,435.69","200,498,569.09","216,684,343.86","275,856,057.08","231,531,159.34","314,977,480.81","270,437,572.51"
预付款项,"8,115,043.87","13,086,897.59","6,561,001.91","12,297,426.38","35,022,803.82","37,613,322.62","40,059,421.14","16,127,031.53","20,367,053.18","11,529,159.45","33,859,697.94","25,428,023.65","24,396,777.52","19,045,351.20","32,217,107.68","67,030,680.22","51,967,017.20","9,614,351.57","55,714,701.82","9,946,258.03","13,650,617.01","7,383,692.19","10,387,127.57","9,707,372.07","14,656,090.31","9,971,441.99","30,991,172.43","21,980,894.83","125,218,766.07","45,671,073.22","108,586,183.85","64,495,789.40"
预收款项,"3,232,337.79","5,306,263.81","2,179,844.66","1,388,666.31","1,381,667.31","1,416,788.31","1,367,669.31","233,952.00","256,032.00","5,486,907.08","944,596.30","937,913.30","930,914.30","5,942,967.37","2,650,571.18","10,070,960.88","6,411,217.13","14,776,545.39","9,529,340.22","10,347,622.39","10,096,738.48","12,039,775.19","7,405,466.20","16,518,893.54","14,078,044.99","29,924,900.63","91,928,010.06","90,368,093.48","94,197,928.61","114,338,240.08","101,299,941.92","117,486,629.80"
其他应收款,"4,510,668.41","4,996,638.62","1,781,356.16","1,614,567.47","1,275,488.79","1,753,336.78","848,343.38","2,302,625.74","1,276,157.19","1,542,074.51","2,782,504.16","1,759,997.59","5,247,463.30","1,935,369.94","2,614,978.16","2,103,348.86","2,884,347.54","2,938,740.29","3,592,605.19","4,453,271.22","6,720,887.22","16,671,695.18","17,200,608.99","19,882,579.12","19,765,298.64","12,920,827.16","16,945,744.77","17,550,405.64","19,349,630.85","32,912,887.18","34,442,629.63","39,642,841.70"
应付职工薪酬,"2,252,103.10","3,185,822.75","2,523,367.45","2,700,910.71","3,131,111.06","3,193,440.04","2,740,989.55","3,292,084.63","2,710,630.27","3,242,915.99","857,849.34","3,168,084.62","1,620,879.49","4,029,387.56","5,260,217.67","8,117,121.78","5,103,371.82","6,130,193.13","10,186,374.64","8,693,724.10","7,782,183.95","7,421,548.25","8,512,859.78","8,293,394.10","6,331,863.53","6,669,096.70","11,008,955.66","12,492,343.27","10,356,823.53","11,062,624.37","11,345,197.37","11,868,427.84"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
