科目,2008年度,2009年度,2010年度,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"737,947,076.13","475,113,206.75","1,138,730,864.14","1,021,304,908.01","1,531,158,285.62","1,775,402,299.91","98,099,164.61","243,885,210.18","381,793,313.41","568,533,024.68","111,633,460.37","233,624,466.36","344,667,702.31","465,867,125.82","138,563,878.88","261,575,574.66","513,218,432.26","694,816,342.48","257,040,128.18","903,690,811.93","1,262,235,750.30","1,582,602,744.83","460,578,479.09","1,034,355,983.11","1,372,488,874.50","1,812,992,135.52","213,533,993.38","758,980,376.21","1,300,144,047.37","1,917,286,734.90","548,274,536.88","1,201,620,491.81"
二、营业利润,"210,558,314.99","104,200,613.52","382,622,443.78","401,354,941.57","497,641,968.87","489,292,158.57","653,263.20","779,747.76","6,624,171.22","50,205,074.70","8,440,679.39","16,335,006.55","-12,851,282.09","-85,902,758.53","27,884,898.09","43,955,345.09","32,147,510.93","6,563,196.87","35,627,614.79","107,570,273.86","169,961,640.98","137,882,684.78","113,591,532.01","254,229,260.15","312,746,022.38","234,872,044.11","-15,546,204.23","165,101,849.60","353,807,815.18","380,910,958.85","145,584,848.69","333,358,352.84"
减:营业成本,"466,794,333.51","310,118,191.37","646,343,560.52","507,934,549.69","851,989,143.72","1,044,181,407.43","54,912,731.01","192,318,776.20","292,386,053.07","418,145,823.03","69,847,460.37","167,329,505.83","274,979,262.05","387,407,155.05","76,188,652.97","152,597,526.75","337,907,087.19","443,609,942.34","165,181,180.06","656,914,203.32","894,995,779.47","1,162,780,890.29","286,444,385.67","640,213,514.84","841,150,944.66","1,194,664,979.96","135,529,742.85","470,016,344.38","765,683,132.89","1,251,069,692.04","311,992,861.53","655,962,334.46"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"3,159,150.55","3,763,905.13","4,286,963.66","7,427,074.64","10,327,006.14","11,644,159.90","1,081,338.90","1,739,560.45","2,749,602.17","3,999,825.89","1,352,352.89","2,643,447.38","2,847,672.44","2,889,463.31","614,567.11","705,418.56","826,715.25","3,512,784.14","147,068.76","1,414,349.15","2,535,249.56","4,919,263.14","1,830,925.36","3,399,944.28","3,670,284.87","10,423,425.84","6,300,713.82","15,819,225.97","23,693,969.84","29,705,490.27","7,261,037.71","11,587,448.60"
营业外收入,"3,050,716.80","20,348,063.80","25,221,148.16","5,021,750.00","13,397,250.00","24,942,732.68","18,357,600.01","25,602,067.22","30,296,067.23","34,112,854.65","344,226.12","15,287,452.43","132,132,709.45","162,679,853.44","1,045,875.19","3,890,676.77","110,624,060.64","113,260,907.42","1,534,020.52","48,374,037.92","63,785,192.85","106,503,513.98","1,599,246.87","11,254,925.91","22,729,125.05","37,379,341.61","12,426,213.88","3,703,541.87","7,710,297.36","4,531,690.63","29,430,239.74","28,281,382.38"
销售费用,"3,171,483.82","3,600,459.26","10,143,467.33","12,011,691.87","16,122,932.30","22,617,371.47","2,522,437.07","4,107,416.63","7,250,615.64","10,496,542.31","2,333,746.72","7,739,719.73","11,005,671.97","14,497,286.44","2,577,446.46","4,802,077.25","11,629,321.80","18,312,714.24","2,670,526.20","7,562,775.04","15,164,993.96","21,200,598.79","4,816,274.02","14,280,752.59","18,095,659.21","22,002,528.28","5,450,724.49","12,733,679.26","18,790,014.94","26,099,119.11","6,510,907.25","17,075,696.00"
减:营业外支出,"287,441.00","7,082.73","2,161,788.28","1,685,871.42","2,109,681.59","981,753.09","19,827.15","104,559.97","161,203.90","255,822.24","26,856.70","6,551,342.14","6,832,260.11","6,954,635.84","50,641.18","296,450.91","420,366.07","898,206.07","58,174.82","640,616.40","739,277.44","1,981,747.13","29,580.55","165,824.55","389,204.55","700,474.94","2,989.91","127,826.51","356,897.35","2,899,285.20","216,054.27","309,744.67"
管理费用,"17,111,238.50","27,246,058.10","76,772,766.55","61,319,312.75","97,415,253.97","136,849,081.79","24,930,600.35","46,780,687.95","72,070,759.35","98,134,484.12","21,722,032.33","47,484,203.88","80,957,595.02","128,258,951.05","30,252,433.36","42,068,875.67","71,070,242.84","141,814,166.40","33,438,847.80","70,774,078.90","98,565,209.00","144,782,461.51","43,700,324.79","85,222,268.48","128,574,824.10","160,780,672.81","38,587,681.45","82,126,787.16","125,755,356.23","175,551,610.68","48,481,489.17","95,377,843.42"
其中:非流动资产处置净损失,,,,,,,,,,,,,,"6,358,731.63",,"1,706.25","1,706.25","64,482.37",,"114,704.85","115,782.84","122,228.41",,,,,"1,783.37","3,477.49","10,847.79",,,
