科目,2008年度,2009年度,2010年度,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"949,481,743.24","953,085,135.63","1,633,072,767.59","1,581,851,909.67","2,396,061,244.16","3,247,867,430.21","763,368,914.98","1,461,694,813.96","2,360,463,049.22","3,162,032,640.66","748,125,426.74","1,592,441,420.83","2,431,255,385.08","3,316,006,594.35","745,425,738.21","1,925,844,953.69","2,945,475,966.04","4,305,768,113.94","843,556,968.60","2,182,671,178.86","3,228,718,472.29","4,187,340,616.91","1,050,487,358.02","2,185,228,798.85","3,458,752,064.44","5,354,641,995.51","1,914,789,164.54","4,035,686,807.42","6,124,851,909.01","8,187,918,614.66","1,752,972,903.66","4,358,711,670.06","6,927,449,296.92","10,029,299,151.05","2,106,704,026.42"
二、营业利润,"56,706,123.68","112,717,857.06","327,846,845.83","406,806,701.17","581,388,900.24","710,674,719.05","127,609,872.15","216,041,088.64","330,341,317.32","476,800,206.79","99,327,909.95","204,476,551.17","360,448,677.49","571,920,371.94","103,432,176.92","213,831,914.71","255,810,847.87","44,266,303.86","-154,433,896.49","-119,309,716.57","-233,018,014.89","-436,151,765.85","3,993,087.94","17,067,640.25","97,756,440.11","307,762,134.38","309,505,400.50","519,245,839.13","762,088,914.05","1,042,856,128.99","129,300,242.87","371,668,283.36","709,490,714.96","1,050,513,382.21","247,433,997.91"
减:营业成本,"827,351,841.24","751,003,311.46","1,147,343,776.94","1,067,855,734.39","1,639,926,062.07","2,275,305,502.27","589,508,889.28","1,129,160,008.56","1,846,157,960.99","2,426,802,341.96","588,714,915.61","1,261,777,238.15","1,854,647,430.41","2,454,155,675.95","581,148,193.32","1,534,656,102.78","2,393,555,806.95","3,722,327,119.94","973,950,437.82","2,123,662,497.29","3,058,490,768.49","3,830,572,679.74","889,080,742.94","1,843,930,455.28","2,807,531,036.93","4,161,792,746.57","1,372,039,426.59","3,073,506,397.30","4,660,403,758.45","6,182,119,909.83","1,415,600,334.95","3,582,226,715.73","5,492,511,289.22","7,954,682,623.91","1,626,075,526.87"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"1,823,798.14","1,639,323.74","2,357,758.12","5,501,999.72","10,734,613.64","14,844,835.71","1,012,158.91","4,641,177.71","13,195,228.71","14,892,215.65","2,589,541.62","5,039,065.11","9,868,651.00","13,508,319.07","4,472,690.12","8,721,052.79","10,676,751.71","14,197,617.67","1,597,923.20","3,284,597.03","3,592,492.38","6,793,061.28","1,953,444.44","3,402,935.90","3,783,931.29","12,334,840.27","3,758,486.78","9,770,588.20","18,551,853.58","30,684,433.83","7,895,816.23","20,611,691.24","26,901,162.67","39,250,893.18","12,328,390.01"
营业外收入,"990,940.30","1,378,155.30","7,414,208.73","2,195,068.51","4,555,110.82","11,334,625.49","3,349,968.90","8,389,570.93","14,593,295.94","19,188,302.97","12,546,207.55","14,164,189.71","18,488,876.05","22,703,784.09","5,325,576.93","10,216,515.26","16,753,422.03","24,644,119.86","13,787,988.44","15,578,271.94","21,628,368.23","23,009,263.54","979,871.10","2,326,483.54","7,347,897.84","6,233,636.18","1,686,427.41","248,210.75","315,306.40","2,712,779.59","381,738.04","620,238.37","1,015,863.28","901,322.77","439,918.68"
销售费用,"11,007,361.94","11,670,908.44","20,614,782.49","18,279,675.50","30,211,978.78","50,502,356.92","10,181,009.88","32,596,223.15","55,553,708.86","76,546,029.08","15,694,139.30","33,982,891.47","58,864,610.48","75,367,941.02","13,298,722.74","45,702,212.17","74,284,710.20","111,088,898.80","29,548,711.20","63,800,137.62","112,455,738.55","167,207,418.81","35,162,635.97","85,370,850.98","140,467,103.34","202,614,270.10","46,665,679.38","106,015,449.96","162,140,370.54","226,530,080.88","34,363,370.39","95,560,719.27","161,814,862.14","249,298,357.51","55,201,705.63"
减:营业外支出,"1,688,941.74","1,510,719.69","2,402,565.00","3,141,316.06","4,074,773.62","6,233,744.63","1,076,701.19","3,214,150.34","4,144,407.43","4,575,971.36","832,909.63","2,113,424.00","3,618,457.27","4,645,445.31","1,626,305.76","5,570,558.76","6,771,379.50","10,825,406.62","1,771,928.83","3,442,333.68","4,726,859.58","6,178,677.46","1,429,181.53","2,799,123.58","4,304,484.70","8,867,284.98","190,105.15","803,800.15","4,582,789.85","20,727,679.63","699,312.79","1,136,122.66","2,790,462.92","5,670,000.30","295,859.66"
管理费用,"23,267,212.81","61,214,981.57","116,394,389.26","68,876,181.02","110,987,121.83","164,378,355.97","33,146,345.25","76,368,966.31","121,228,850.76","181,574,943.74","52,857,649.54","102,149,038.34","165,220,601.48","217,667,712.49","42,225,266.49","106,697,693.28","168,902,615.49","227,437,643.31","42,355,263.73","120,857,504.69","227,561,408.26","378,816,298.74","83,309,366.16","153,415,061.91","290,254,156.91","438,735,356.65","146,441,519.61","217,242,251.70","342,162,739.41","502,817,901.31","139,503,992.73","256,260,627.46","199,224,994.15","264,097,732.56","54,717,339.93"
其中:非流动资产处置净损失,,"18,929.97","25,775.09","3,162.94",,"1,306,705.17",,"777,956.56","777,956.56","433,179.93",,,,"6,462.98","318,788.86","2,937,408.31","2,941,410.71","4,997,053.12",,"25,908.54","52,155.45","54,762.34",,"70,238.23","126,662.33","3,192,844.51","126,503.66","705,579.78","2,228,532.62",,,,,,
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"30,050,409.86","13,252,432.57","16,833,920.42","11,454,383.10","21,306,896.34","30,149,291.32","1,169,907.43","1,301,641.97","-7,053,759.44","-19,849,119.20","-8,678,911.83","-16,227,030.54","-19,926,693.40","-20,188,671.21","2,050,011.82","16,320,969.86","41,271,915.16","83,069,079.88","50,167,813.28","91,592,634.40","166,132,856.49","209,946,633.37","41,941,080.18","84,009,940.12","117,875,222.01","159,696,513.33","28,422,530.24","100,363,046.76","154,420,227.39","135,775,163.33","28,929,537.59","29,185,066.40","43,752,791.02","76,318,293.34","28,239,807.72"
三、利润总额,"56,008,122.24","112,585,292.67","332,858,489.56","405,860,453.62","581,869,237.44","715,775,599.91","129,883,139.86","221,216,509.23","340,790,205.83","491,412,538.40","111,041,207.87","216,527,316.88","375,319,096.27","589,978,710.72","107,131,448.09","218,477,871.21","265,792,890.40","58,085,017.10","-142,417,836.88","-107,173,778.31","-216,116,506.24","-419,321,179.77","3,543,777.51","16,595,000.21","100,799,853.25","305,128,485.58","311,001,722.76","518,690,249.73","757,821,430.60","1,024,841,228.95","128,982,668.12","371,152,399.07","707,716,115.32","1,045,744,704.68","247,578,056.93"
资产减值损失,"-725,004.43","1,586,320.79","1,681,294.53","3,077,234.77","1,505,671.26","2,012,368.97","740,732.08","1,585,707.62","1,039,742.02","5,266,022.64","-2,379,817.45","1,243,667.13","2,132,107.62","3,575,245.09","-1,201,323.20","-84,991.90","973,318.66","103,331,725.48","-98,826,765.85","-96,683,908.59","-97,258,690.30","31,947,214.37","-6,134,616.41","-2,511,541.07","1,569,793.82","82,413,382.54","5,383,497.59","11,853,320.34","4,026,434.68","5,979,217.40","-5,254,436.26","4,910,058.31","9,957,223.67","12,798,560.05","-3,530,170.30"
减:所得税,"2,036,948.42","5,074,478.28","27,082,640.69","52,515,531.99","74,281,931.57","86,050,823.75","19,854,285.71","34,090,884.11","52,277,460.42","69,230,238.29","15,515,951.39","35,097,105.64","59,359,334.45","89,842,718.77","16,334,820.01","35,225,274.40","39,258,107.25","25,529,905.51","6,009,258.02","7,389,529.87","9,219,401.82","16,856,428.28","1,025,761.05","2,588,697.26","4,216,568.21","-1,893,950.37","20,998,871.84","38,357,750.06","67,217,438.63","89,737,164.61","17,504,136.45","48,031,216.96","89,450,741.02","110,350,053.38","30,260,684.60"
加:公允价值变动净收益,,,,,,,,,,,,,,,,,,"-49,725.00","755,133.29","4,587,682.01","7,193,401.69","-5,001,062.67","5,350,776.67","11,687,515.16","17,275,486.52","13,601,061.77","-7,171,996.68","-10,800,944.51","-26,361,861.89","-24,829,488.77","4,853,917.92","23,954,978.45","18,108,991.44","8,608,640.97","-11,791,872.25"
加:影响净利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资收益,,,,,,,,,,,,,,,,,,,"47,385.00","-55,115.00","2,044,685.00","6,791,986.22","-6,532,393.47","-12,230,970.64","-16,789,866.55","-2,893,813.44","4,599,372.83","10,066,353.12","1,336,448.17","-42,292,475.39","-11,162,000.79","-27,623,730.69","-1,286,509.13","35,857,669.76","-2,948,126.37"
四、净利润,"53,971,173.82","107,510,814.39","305,775,848.87","353,344,921.63","507,587,305.87","629,724,776.16","110,028,854.15","187,125,625.12","288,512,745.41","422,182,300.11","95,525,256.48","181,430,211.24","315,959,761.82","500,135,991.95","90,796,628.08","183,252,596.81","226,534,783.15","32,555,111.59","-148,427,094.90","-114,563,308.18","-225,335,908.06","-436,177,608.05","2,518,016.46","14,006,302.95","96,583,285.04","307,022,435.95","290,002,850.92","480,332,499.67","690,603,991.97","935,104,064.34","111,478,531.67","323,121,182.11","618,265,374.30","935,394,651.30","217,317,372.33"
其中:对联营企业和合营企业的投资权益,,,,,,,,,,,,,,,,,,,,,,,,,,"-3,808,205.14","51,268.79","79,363.87","-194,059.99","270,921.64","180,672.59","-904,212.15","-3,667,058.68","-5,540,027.18","-233,158.48"
归属于母公司所有者的净利润,"53,971,173.82","107,510,814.39","305,775,848.87","353,344,921.63","507,587,305.87","629,724,776.16","110,028,854.15","187,125,625.12","288,512,745.41","422,182,300.11","95,525,256.48","181,430,211.24","315,959,761.82","500,135,991.95","90,796,628.08","183,252,596.81","226,534,783.15","32,555,111.59","-148,427,094.90","-114,563,308.18","-225,335,908.06","-436,011,182.19","2,966,002.01","15,472,516.99","99,386,927.68","311,564,619.78","291,694,500.57","484,178,861.49","695,522,761.52","942,456,845.41","113,141,367.19","326,659,936.27","622,824,466.37","940,627,801.89","219,609,533.81"
影响营业利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
少数股东损益,,,,,,,,,,,,,,,,,,,,,,"-166,425.86","-447,985.55","-1,466,214.04","-2,803,642.64","-4,542,183.83","-1,691,649.65","-3,846,361.82","-4,918,769.55","-7,352,781.07","-1,662,835.52","-3,538,754.16","-4,559,092.07","-5,233,150.59","-2,292,161.48"
