科目,2007年度,2008年度,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"81,476,293.29","134,665,450.58","97,466,327.18","128,834,520.40","242,861,496.84","36,114,760.55","78,444,440.61","123,090,121.08","288,317,249.28","28,038,765.45","83,661,093.15","142,534,219.85","220,117,810.65","33,616,790.54","91,966,747.44","136,683,795.51","245,050,933.24","57,475,565.74","178,345,376.15","271,860,001.94","453,269,293.98","50,052,228.71","157,947,670.18","332,228,806.76","697,195,921.07","155,613,865.32","372,501,122.28","594,605,333.61","997,173,282.09","265,032,592.54","461,502,486.77","655,523,655.05","1,013,640,057.95","212,575,749.23","565,115,682.30","791,043,152.60"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,"340,558,477.69","340,558,477.69","100,558,477.69",,,,,,"126,035,552.29","98,204,917.85"
收到的税费返还,,,"11,965.82","81,367.53","88,547.02",,,"516,993.33","6,803,561.27",,"765,811.96","765,811.96","9,341,722.02",,"237,426.34","2,612,897.57","2,612,897.57",,,"318,290.90","7,085,716.71",,"2,178,959.28","7,606,543.44","10,007,944.73","1,426,893.10","980,133.99","5,196,738.81","10,898,033.78","1,942,922.73","5,387,875.83","9,251,397.11","18,617,852.28","108,341.45","3,996,711.05","10,242,518.39"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,"350,000.00","530,000.00","980,000.00","980,000.00",,"8,767,440.00","8,767,440.00","26,778,168.00","2,705.90","71,440,562.00","83,544,928.61"
收到其他与经营活动有关的现金,"14,489,570.63","6,447,108.18","3,231,564.79","4,629,158.48","2,023,574.41","3,070,195.63","5,704,662.95","6,667,051.03","14,443,708.45","4,012,018.26","11,967,958.72","17,025,487.24","19,915,756.67","1,342,949.66","9,534,603.76","16,793,746.38","22,497,944.54","10,388,675.89","14,472,107.51","28,278,213.43","35,788,498.93","5,290,109.27","5,483,217.86","12,221,092.02","31,408,143.58","136,960,447.64","262,318,840.65","268,363,167.70","30,249,304.93","10,637,389.66","26,427,003.04","64,207,735.91","80,891,440.95","16,375,138.09","27,546,903.16","53,572,410.36"
投资活动现金流出小计,"3,476,298.88","4,780,538.84","1,612,049.38","1,805,677.87","5,832,330.11","35,564,025.39","75,286,683.14","83,723,273.14","84,966,153.05","7,075,737.03","10,826,812.69","14,525,656.40","15,832,153.79","1,909,014.35","27,763,051.93","33,470,841.24","52,620,031.86","3,389,915.01","12,334,148.77","29,052,155.38","32,911,729.38","3,299,802.11","26,969,369.37","31,015,047.23","50,030,237.14","304,420,422.72","466,125,484.68","497,786,929.69","321,443,502.52","26,253,179.91","39,614,956.69","58,485,420.23","124,891,253.02","158,557,906.16","305,076,935.16","301,632,637.87"
经营活动现金流入小计,"95,965,863.92","141,112,558.76","100,709,857.79","133,545,046.41","244,973,618.27","39,184,956.18","84,149,103.56","130,274,165.44","309,564,519.00","32,050,783.71","96,394,863.83","160,325,519.05","249,375,289.34","34,959,740.20","101,738,777.54","156,090,439.46","270,161,775.35","67,864,241.63","192,817,483.66","300,456,506.27","496,143,509.62","55,342,337.98","165,609,847.32","352,056,442.22","738,612,009.38","294,001,206.06","635,800,096.92","868,165,240.12","1,038,320,620.80","277,612,904.93","493,317,365.64","728,982,788.07","1,113,149,351.18","229,059,228.77","596,659,296.51","854,858,081.35"
投资活动产生的现金流量净额,"-3,476,298.88","-4,726,179.58","-1,612,049.38","-1,805,052.87","-5,550,081.88","-35,563,685.39","-75,154,943.14","-83,590,378.14","-84,831,938.05","-7,071,547.03","-10,792,472.69","-14,447,116.40","-15,751,833.79","-1,906,214.35","-27,758,801.93","-33,463,741.24","-52,612,931.86","-3,384,655.01","-12,328,088.77","-29,044,695.38","-32,901,319.38","-3,297,192.11","-26,964,259.37","-31,008,137.23","-25,847,311.57","-304,420,222.72","-463,059,170.28","-492,977,793.51","-316,149,514.79","-24,925,377.68","-38,127,236.31","-44,537,938.03","-100,558,106.40","-156,218,874.87","-284,022,480.90","-283,459,915.57"
购买商品、接受劳务支付的现金,"41,658,221.44","46,390,057.59","56,306,732.79","101,150,814.68","133,178,829.35","63,492,970.23","106,402,150.98","161,540,171.01","202,929,268.64","47,567,960.78","91,811,934.99","165,988,078.43","197,701,708.82","21,623,808.76","53,645,453.76","111,113,727.50","183,049,605.98","58,820,786.28","140,674,753.06","204,757,317.68","276,818,979.34","64,601,139.13","125,150,713.79","220,578,380.04","344,736,635.97","116,422,821.80","248,228,840.50","404,303,779.21","518,288,780.54","154,103,189.72","314,503,300.10","440,431,470.90","575,275,084.47","186,051,052.91","341,388,860.71","504,534,575.27"
吸收投资收到的现金,"15,350,000.00",,,,"473,000,000.00",,,,,,"55,152,000.00","58,652,000.00","58,652,000.00",,,,,,,,,,"11,347,216.24","122,619,468.32","124,639,427.38",,"9,768,633.58","10,181,131.66","15,522,868.46","4,035,068.60","13,252,919.60","14,311,093.56","21,489,361.10","821,236.06","821,236.06","409,321,222.72"
支付给职工以及为职工支付的现金,"9,472,752.78","10,792,301.92","7,535,376.23","14,728,203.21","21,090,272.57","8,006,192.42","13,094,705.88","19,319,104.85","26,720,170.34","11,203,664.50","20,116,237.10","29,850,049.18","40,133,509.65","14,757,654.27","26,763,461.68","38,641,978.76","49,246,555.95","16,960,461.12","29,610,828.27","36,294,869.81","59,985,123.89","20,906,155.81","32,879,371.28","48,714,747.81","66,231,382.49","39,174,906.37","69,775,407.94","97,827,358.78","123,831,877.55","52,036,332.41","91,552,515.93","134,048,361.32","178,615,604.62","52,267,965.38","119,118,636.69","181,243,821.44"
取得借款收到的现金,"10,000,000.00","10,000,000.00",,"15,000,000.00","15,000,000.00",,,,,,,,,,,,,,,"20,000,000.00","67,979,677.00","7,000,000.00","35,460,000.00","55,460,000.00","55,460,000.00","188,000,000.00","429,750,000.00","654,850,000.00","566,721,230.00","40,130,000.00","219,906,865.70","340,076,865.70","447,114,865.70","266,528,000.00","441,056,000.00","471,056,000.00"
支付的各项税费,"10,211,471.88","15,097,924.76","19,180,249.61","38,441,428.10","47,305,559.53","3,575,327.35","10,806,963.51","14,937,676.92","24,772,376.00","16,648,768.66","25,598,606.31","30,771,418.79","34,547,730.71","6,543,087.82","15,985,396.36","24,711,539.04","27,590,332.03","10,739,474.06","19,386,379.52","27,719,995.90","52,247,149.40","8,243,643.23","22,375,895.77","44,370,719.90","80,061,085.25","28,334,170.17","69,227,080.15","97,215,512.40","127,928,798.08","43,463,520.82","69,228,417.93","88,670,991.28","112,834,186.65","26,234,440.51","46,857,277.19","68,974,657.08"
收到其他与筹资活动有关的现金,,,,,,,,,,,"38,874.39","38,874.39","38,874.39",,2.75,2.75,2.75,10.82,"46,153.32","58,617.71",,237.52,"4,096,202.70","4,279,135.74","5,505,346.31",558.39,"19,883,350.65","23,937,852.96","151,396,107.27","8,333,695.66","19,253,924.39","21,069,530.81","31,966,361.78","1,053,523.73","1,149,237.65","1,312,711.68"
支付其他与经营活动有关的现金,"23,735,698.75","27,386,447.86","20,793,685.22","23,882,480.92","24,983,948.04","8,484,785.76","26,730,934.61","29,180,892.84","53,863,817.19","12,562,789.36","23,523,847.70","34,766,623.71","44,165,856.37","15,199,006.65","19,918,089.05","31,049,201.71","52,583,291.45","19,649,595.01","30,118,588.04","73,090,216.30","89,361,342.75","17,669,206.16","39,486,235.95","63,893,891.30","100,202,832.31","69,142,954.57","103,062,686.19","132,750,913.82","173,550,312.36","42,404,631.58","86,579,921.58","137,455,987.33","187,255,039.85","69,148,162.95","81,467,198.98","171,691,864.14"
筹资活动现金流入小计,"25,350,000.00","10,000,000.00",,"15,000,000.00","488,000,000.00",,,,,,"55,190,874.39","58,690,874.39","58,690,874.39",,2.75,2.75,2.75,10.82,"46,153.32","20,058,617.71","67,979,677.00","7,000,237.52","50,903,418.94","182,358,604.06","185,604,773.69","188,000,558.39","459,401,984.23","688,968,984.62","733,640,205.73","52,498,764.26","252,413,709.69","375,457,490.07","500,570,588.58","268,402,759.79","443,026,473.71","881,689,934.40"
