科目,2008年度,2009年度,2010年度,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"99,468,525.79","113,589,807.66","187,158,987.61","92,357,735.07","154,744,889.99","238,037,190.51","31,392,829.19","97,188,889.06","170,343,560.76","278,151,978.16","47,890,929.29","126,250,687.91","230,431,246.55","348,943,824.69","54,968,724.71","125,088,053.62","251,663,533.19","372,246,500.98","53,046,973.13","132,644,769.95","266,579,678.84","383,202,924.90","79,962,657.60","184,070,534.14","315,992,272.96","516,573,463.51","118,196,927.53","250,842,727.02","429,527,756.24","685,217,906.83","126,464,777.89","307,584,338.66","522,990,564.88","840,028,208.85","169,673,841.73"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,"2,516,466.49","2,516,466.49","2,516,466.49","76,109,669.30",,"127,583,635.57","148,663,635.57","129,758,049.45",,,,,"24,640,000.00"
收到的税费返还,"42,587.16",,"5,384,720.59","823,792.16","921,303.58","921,303.58","9,126,350.52","9,126,350.52","9,126,350.52","9,126,350.52","11,823,862.60","11,823,862.60","11,823,862.60","24,204,127.40",,,"12,939,140.01","14,623,643.13",,"5,007,563.85","5,007,563.85","10,832,640.31",,"236,350.20","8,306,686.53","17,228,253.63","4,760,559.68","7,664,779.46","16,671,209.08","32,633,083.31","1,110,447.39","9,740,320.96","15,594,625.48","29,225,763.09","851,721.66"
支付其他与投资活动有关的现金,"1,320,893.15",,,,,,,,,,,,,,,,,,,,,,,,,,,"20,000,000.00","20,000,000.00","20,000,000.00",,,,,
收到其他与经营活动有关的现金,"9,339,697.19","9,827,116.52","5,783,657.02","2,862,052.54","4,829,351.12","10,232,142.03","4,512,092.37","7,576,891.88","17,673,878.50","23,029,790.63","4,878,196.11","7,050,053.36","21,218,445.57","40,694,274.86","3,293,079.51","7,604,067.35","12,607,640.01","23,281,171.12","4,796,795.15","8,972,978.22","16,654,924.04","31,617,008.04","6,147,314.65","12,331,448.25","26,721,834.62","44,024,408.02","11,265,362.90","27,975,468.72","62,571,839.69","95,283,020.26","8,449,375.40","20,587,051.16","34,132,626.65","70,771,195.97","20,654,841.59"
投资活动现金流出小计,"2,378,880.15","1,709,657.94","2,102,880.41","1,413,466.79","26,851,054.47","32,403,992.96","4,818,212.23","36,402,122.66","37,199,619.21","83,661,323.39","29,215,326.02","55,484,673.72","125,913,229.10","134,822,598.92","11,769,803.67","21,354,772.87","72,008,667.41","106,240,074.22","54,214,614.90","87,240,800.43","132,745,570.49","192,341,066.20","16,141,363.09","25,419,330.69","44,336,875.98","139,576,323.29","125,634,733.24","792,261,736.07","895,436,904.39","1,443,129,630.52","116,760,741.87","785,898,706.46","1,088,038,897.27","1,797,408,002.78","71,528,031.48"
经营活动现金流入小计,"108,850,810.14","123,416,924.18","198,327,365.22","96,043,579.77","160,495,544.69","249,190,636.12","45,031,272.08","113,892,131.46","197,143,789.78","310,308,119.31","64,592,988.00","145,124,603.87","263,473,554.72","413,842,226.95","58,261,804.22","132,692,120.97","277,210,313.21","410,151,315.23","57,843,768.28","146,625,312.02","288,242,166.73","425,652,573.25","86,109,972.25","196,638,332.59","351,020,794.11","577,826,125.16","134,222,850.11","286,482,975.20","508,770,805.01","813,134,010.40","136,024,600.68","337,911,710.78","572,717,817.01","940,025,167.91","191,180,404.98"
投资活动产生的现金流量净额,"-2,131,230.15","394,231.36","-2,102,240.95","-1,413,466.79","-26,851,054.47","-32,403,992.96","-4,818,212.23","-36,402,122.66","-37,199,619.21","-83,648,003.39","-29,215,326.02","-55,452,673.72","-124,736,518.13","-127,118,110.18","-9,236,303.67","12,863,572.69","-6,784,766.29","-39,246,728.66","-51,362,287.19","-80,860,417.17","-122,889,631.68","-179,047,349.62","22,035,184.22","14,577,189.54","-1,630,138.28","-59,645,412.99","-98,629,616.73","-702,346,975.16","-780,734,098.05","-876,960,745.90","-33,717,832.18","4,037,540.99","5,013,734.48","22,504,939.31","-52,933,641.35"
购买商品、接受劳务支付的现金,"78,271,975.07","78,536,676.37","132,711,378.70","76,741,609.32","114,012,297.66","135,890,906.86","25,659,988.56","53,314,656.99","91,597,801.81","137,446,422.90","29,961,500.12","81,661,960.14","141,714,029.76","189,590,568.17","30,352,873.53","67,389,116.16","115,638,378.34","158,697,441.89","28,462,895.64","72,641,739.20","154,691,959.20","222,261,091.51","43,510,836.86","91,472,055.58","167,992,483.76","247,576,715.90","64,853,737.10","148,025,259.11","247,968,365.05","399,970,845.06","89,223,157.80","188,971,850.68","309,342,903.30","395,250,365.19","66,312,083.00"
吸收投资收到的现金,"700,000.00","2,907,579.50","32,400,000.00",,"387,318,376.09","387,318,376.09",,,"1,500,000.00","1,500,000.00",,,,,,,,,,"25,109,000.00","25,109,000.00","25,109,000.00",,,"760,597,291.00","763,447,291.00",,,"920,000.00","920,000.00",,,,,
