科目,2007年度,2008年度,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"454,668,708.41","830,359,537.63","700,464,913.91","324,677,374.68","490,207,457.09","694,191,396.50","121,979,285.17","316,193,489.65","696,636,201.20","824,126,071.72","318,768,838.30","699,696,320.44","1,006,391,844.89","1,302,909,962.32","408,922,993.48","875,249,781.05","1,203,811,944.73","1,724,175,022.94","457,781,689.08","729,125,663.71","1,666,766,581.10","2,342,295,745.43","554,503,191.98","1,326,532,800.74","2,097,295,660.92","2,801,054,690.53","731,377,775.47","1,627,297,730.26","3,096,945,456.75","5,952,476,644.13","3,092,807,687.39","6,075,709,990.10","9,106,109,541.76","3,240,238,487.97","876,228,466.58","1,745,714,216.06"
取得子公司及其他营业单位支付的现金净额,,"51,763,731.24",,,,,,,,,,,,"4,693,311.35",,,,,,"7,562,518.69","127,184,940.00","24,404,343.96",,,,,,,,,,,,,,
收到的税费返还,"13,179,911.37","18,171,912.29","7,348,881.88","9,021,788.17","12,404,545.32","12,368,327.32","1,212,164.76","5,318,084.17","9,558,511.58","16,963,114.50","13,783,387.97","16,571,173.11","18,782,459.96","36,905,671.91","13,115,548.06","24,530,327.86","47,377,653.77","56,405,133.92","26,075,090.32","44,452,384.68","63,641,941.60","74,457,036.97","24,685,688.33","39,267,676.40","45,008,159.88","93,694,141.97","38,233,134.31","56,162,908.91","75,902,112.72","81,783,381.22","40,854,266.86","52,212,340.09","80,140,604.77","110,605,993.61","51,449,128.03","67,845,707.28"
支付其他与投资活动有关的现金,,,"2,540,932.61",,,"16,000,000.00",,,"4,262,355.00",,"4,969.29",,"4,969.29","342,014,067.07","23,473,917.19","183,928,808.13","16,612,692.80","298,263,160.27","200,156,949.76","178,255,440.45","252,294,421.43","91,044,639.66","59,015,319.06","441,301,202.45","427,356,753.67","264,706,744.45","201,574,924.91","827,929,807.28","712,355,762.10","648,479,979.98","671,703,249.21","592,208,857.03","642,323,775.67","685,009,074.29","628,763,100.79","406,852,033.84"
收到其他与经营活动有关的现金,"14,958,410.77","66,079,478.72","19,252,129.08","5,873,904.97","9,922,356.40","20,379,241.10","6,425,475.66","23,304,197.98","83,986,435.51","36,050,482.83","53,100,009.90","106,843,256.47","110,829,818.39","69,032,966.17","31,764,652.19","165,780,579.50","217,640,701.36","171,058,004.37","45,682,067.50","258,235,870.56","244,915,586.48","273,615,313.88","43,686,696.14","298,301,590.58","242,326,114.51","221,921,256.45","180,947,223.40","281,796,318.73","265,704,061.12","333,633,170.59","112,559,976.15","185,167,825.63","193,070,720.36","9,387,679,957.48","1,958,009,093.26","3,412,985,051.57"
投资活动现金流出小计,"21,741,814.91","135,912,013.84","48,028,400.62","50,401,106.47","90,940,543.96","125,871,296.08","48,294,481.31","61,888,537.26","267,476,767.80","182,624,056.83","153,418,838.90","234,283,720.49","357,560,130.19","752,807,758.76","183,876,744.24","578,468,218.38","537,182,954.81","1,156,949,489.92","333,630,935.53","470,320,257.21","1,085,298,175.89","1,089,676,226.27","405,471,971.34","764,127,600.27","1,024,838,314.99","866,378,215.91","326,139,040.55","1,036,440,283.96","1,106,729,815.88","1,288,931,527.48","828,092,651.09","893,578,161.62","1,065,184,235.87","1,341,010,870.56","807,471,748.59","624,214,006.50"
经营活动现金流入小计,"482,807,030.55","914,610,928.64","727,065,924.87","339,573,067.82","512,534,358.81","726,938,964.92","129,616,925.59","344,815,771.80","790,181,148.29","877,139,669.05","385,652,236.17","823,110,750.02","1,136,004,123.24","1,408,848,600.40","453,803,193.73","1,065,560,688.41","1,468,830,299.86","1,951,638,161.23","529,538,846.90","1,031,813,918.95","1,975,324,109.18","2,690,368,096.28","622,875,576.45","1,664,102,067.72","2,384,629,935.31","3,116,670,088.95","950,558,133.18","1,965,256,957.90","3,438,551,630.59","6,367,893,195.94","3,246,221,930.40","6,313,090,155.82","9,379,320,866.89","12,738,524,439.06","2,885,686,687.87","5,226,544,974.91"
投资活动产生的现金流量净额,"-21,436,894.91","-127,337,006.75","-47,581,825.51","-50,401,106.47","-90,940,543.96","-125,731,296.08","-48,294,481.31","-31,684,287.76","-266,881,279.95","-170,097,914.39","-153,351,179.76","-203,434,058.45","-326,230,147.37","-737,063,444.71","-36,193,295.45","-32,856,249.48","-240,455,576.47","-437,132,922.22","-212,215,394.43","-177,366,303.82","-566,329,058.77","-396,088,928.07","-119,161,096.82","-613,295,256.77","-647,432,196.86","-474,441,764.17","-152,891,131.02","-668,528,599.11","-706,667,384.82","-888,416,579.37","-159,220,013.15","-218,088,585.07","-375,497,181.21","-623,950,915.45","-284,622,143.29","-88,851,376.91"
购买商品、接受劳务支付的现金,"368,930,587.79","666,960,881.91","496,640,614.61","172,561,751.69","319,122,721.93","432,691,152.80","128,318,382.67","289,904,650.50","667,808,432.46","755,081,508.90","223,652,880.09","514,590,190.52","844,856,687.25","1,028,056,448.72","309,060,702.43","656,516,756.19","946,777,371.26","1,116,837,812.65","363,321,691.74","687,332,237.16","1,399,743,597.23","1,832,424,345.34","413,719,856.90","1,087,565,325.54","1,943,279,685.12","2,446,863,249.56","673,320,836.43","1,703,074,964.05","3,333,395,715.92","5,949,662,403.46","2,943,404,504.76","5,795,930,407.09","8,486,190,818.59","2,142,339,305.16","648,561,094.71","1,139,292,924.19"
吸收投资收到的现金,"9,338,000.00","107,290,000.00",,,,"1,141,893,566.40",,,"128,050,000.00","10,975,000.00",,"26,595,500.00","56,909,323.68","66,709,323.68",,,"620,000.00","750,000.00","565,763.26",,"25,000,000.00","15,262,500.00","992,753,305.41","987,793,305.41","992,753,578.57","987,793,305.41",,"3,000,000.00","3,000,000.00","8,598,720.88",,,,,,
