科目,2010年度,2011年度,2012年度,2013年1-6月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"87,599,859.56","138,937,035.56","148,484,851.11","78,589,192.17","173,744,401.10","40,386,469.20","85,353,910.45","132,175,175.17","180,974,549.02","52,575,607.40","119,690,725.20","203,008,513.73","436,869,256.70","74,395,972.13","203,665,728.13","374,370,462.64","823,910,765.99","154,421,429.67","353,162,244.11","564,004,245.02","993,875,656.96","168,876,473.77","356,418,348.56","540,660,166.15","962,558,497.93","152,949,396.25"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,"447,408,134.50",,,"4,137,972.04","113,128,115.00",,"17,901,321.57","30,427,050.00","72,939,397.89",,"43,917,880.69",,,
收到的税费返还,,,,,,,,,,,,,,,,"121,000.00",,"2,320,266.08","54,690.45","65,764.77",,,"40,312.13","14,814,732.82",,
支付其他与投资活动有关的现金,,"253,066.06",,,,,"60,000,040.00","3,000,000.00",,"2,021,589.35","30,000,000.00","9,480,000.00",,,,,"83,907,917.22",,,"335,124,000.00",,,,,,
收到其他与经营活动有关的现金,"9,773,518.62","5,841,436.89","6,421,219.24","1,785,467.29","4,454,706.71","1,439,523.11","7,034,249.45","7,984,977.67","9,497,211.24","501,139.85","1,290,445.45","2,835,210.78","26,585,560.02","84,765,946.82","11,159,563.60","114,069,622.34","10,165,151.62","7,868,080.32","7,855,128.41","126,680,532.74","16,801,305.15","5,125,236.03","39,319,550.60","65,813,872.69","28,934,382.60","11,215,165.07"
投资活动现金流出小计,"9,402,107.07","64,111,687.02","2,165,677.04","2,397,965.16","4,636,836.36","293,840.61","61,121,765.20","668,410,776.06","723,834,176.55","44,099,055.34","106,732,941.17","287,922,272.63","679,992,636.41","215,929,561.66","363,905,165.08","443,342,355.55","619,842,972.18","94,858,143.54","436,349,814.13","461,931,670.92","711,870,636.46","43,944,286.22","168,304,684.97","220,603,426.35","236,126,854.08","7,607,956.19"
经营活动现金流入小计,"97,373,378.18","144,778,472.45","154,906,070.35","80,374,659.46","178,199,107.81","41,825,992.31","92,388,159.90","140,160,152.84","190,471,760.26","53,076,747.25","120,981,170.65","205,843,724.51","463,454,816.72","159,161,918.95","214,825,291.73","488,561,084.98","834,075,917.61","164,609,776.07","361,072,062.97","690,750,542.53","1,010,676,962.11","174,001,709.80","395,778,211.29","621,288,771.66","991,492,880.53","164,164,561.32"
投资活动产生的现金流量净额,"-9,402,107.07","-64,099,996.42","-2,161,997.04","-2,395,725.16","-4,629,190.13","49,422.42","-60,119,728.47","-65,801,218.78","-60,700,380.73","-14,065,557.79","-76,643,020.41","-217,674,239.79","-524,578,478.07","-120,293,475.30","-220,815,453.88","-272,403,612.06","-439,147,505.05","-72,038,226.76","-149,464,207.15","-111,314,599.79","-206,790,134.06","-10,476,457.23","-76,710,135.30","-35,720,814.91","-43,512,101.44","20,097,788.68"
购买商品、接受劳务支付的现金,"31,518,678.66","34,023,844.91","41,053,055.86","22,068,136.46","47,103,015.02","9,120,326.49","21,380,265.12","42,096,370.58","57,807,390.60","16,141,470.27","47,047,775.65","88,483,645.45","164,424,574.62","81,483,581.79","172,875,565.93","315,857,431.06","513,264,551.19","129,953,327.91","268,200,383.58","443,980,375.00","570,662,442.07","114,887,065.01","187,385,269.69","296,994,686.09","437,148,719.29","63,945,325.87"
吸收投资收到的现金,"5,000,000.00","50,000,000.00",,,,"119,644,637.80","119,642,554.80","129,136,675.00","129,136,675.00",,,,"899,761,990.22",,,"5,330,000.00","2,740,000.00",,"14,710,000.00","15,720,000.00","15,720,000.00",,"3,700,000.00","3,204,910.57","780,000.00",
