科目,2007年度,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"484,498,281.09","282,190,641.19","472,318,088.60","712,317,615.39","90,737,371.47","291,708,000.23","513,725,850.59","829,305,917.03","253,329,202.73","883,699,168.05","1,381,163,129.45","1,981,660,167.96","353,366,308.61","1,031,699,861.00","1,745,193,929.04","2,473,653,535.66","434,799,953.33","1,245,111,962.50","2,101,266,643.13","2,978,570,323.20","524,744,838.32","1,633,495,732.13","2,783,481,883.60","3,902,626,865.51","823,541,692.90","2,360,563,362.86","3,625,794,467.25","5,005,923,672.60","816,160,021.65","2,196,039,683.29","3,632,523,554.20","5,303,990,441.76","1,026,509,869.90","2,921,088,840.98","4,798,119,843.96","7,000,232,779.37","1,497,788,431.98","4,310,590,753.64","6,970,547,930.56","10,292,965,441.05","1,904,587,600.65","5,613,003,955.89"
二、营业利润,"54,518,078.48","19,465,142.82","36,805,976.46","48,921,665.05","2,020,880.71","31,526,885.73","58,696,133.40","81,380,043.12","-2,745,823.38","42,781,719.44","88,674,148.66","115,510,818.08","-27,472,056.35","23,061,720.88","48,066,147.75","84,104,441.72","-26,736,725.66","49,054,380.42","111,927,483.86","191,746,976.34","-3,794,553.64","99,490,428.35","255,740,600.37","415,123,146.40","49,434,550.53","259,346,161.22","464,120,316.72","623,854,045.42","57,023,983.92","259,143,353.88","466,419,030.39","728,073,858.22","62,744,052.62","404,991,293.42","813,212,375.65","1,096,554,189.71","77,522,579.06","557,827,282.32","1,006,310,918.49","1,432,057,961.31","118,919,341.42","708,621,417.63"
减:营业成本,"352,726,867.89","202,782,350.14","335,859,994.79","509,990,836.96","54,707,306.70","170,996,641.36","308,787,440.42","532,232,281.03","191,101,842.46","668,186,794.16","1,028,717,733.12","1,411,253,034.55","255,681,452.90","751,911,345.29","1,284,392,763.94","1,791,461,739.01","306,805,034.43","882,565,598.59","1,473,122,876.88","2,101,664,395.67","369,375,990.23","1,102,916,408.70","1,855,254,207.80","2,583,621,674.12","534,943,556.10","1,494,372,134.07","2,297,628,993.57","3,221,923,407.42","519,968,321.79","1,301,637,551.17","2,131,590,263.22","3,141,970,716.14","600,507,391.68","1,665,864,390.02","2,661,620,473.84","4,015,769,842.35","894,572,607.40","2,568,481,655.42","4,192,829,276.75","6,409,441,578.99","1,219,978,616.54","3,540,984,885.03"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"6,922,205.54","3,210,667.28","3,823,243.52","6,946,951.66","707,526.20","1,797,242.45","3,922,553.11","6,674,716.46","1,911,936.40","6,688,931.89","10,205,643.81","14,993,055.39","2,893,798.22","9,126,192.75","16,394,459.39","28,384,282.86","4,890,895.07","13,987,724.12","23,660,037.96","36,301,615.21","7,971,063.47","20,760,584.79","36,692,007.09","55,475,925.52","9,481,753.02","30,349,496.26","44,022,008.69","72,690,210.40","17,647,935.09","46,887,717.00","74,342,873.36","90,795,489.36","23,740,635.33","39,099,999.96","49,020,139.33","81,265,521.16","17,099,830.01","39,374,448.56","63,111,036.11","99,183,796.67","22,303,722.19","59,058,692.37"
营业外收入,"1,165,820.91","4,622,623.36","4,944,923.29","5,272,492.61","1,227,068.00","2,307,903.20","2,614,301.40","8,906,662.05","5,616,612.43","1,533,253.39","1,870,511.62","6,631,754.20","28,246,868.23","28,600,066.23","29,516,320.66","33,866,346.47","19,780,017.00","21,721,902.20","23,229,654.92","33,685,441.68","14,901,118.41","16,343,191.71","23,435,913.67","30,782,897.60","23,892,791.75","7,577,519.12","19,672,865.03","28,570,541.89","1,321,177.77","68,805,733.42","73,603,104.24","116,567,116.46","9,286,062.04","15,393,970.18","34,558,028.03","66,846,757.88","18,915,994.98","939,305.28","1,684,760.08","13,780,794.19","3,089,670.53","2,360,804.80"
销售费用,"29,935,126.39","25,188,936.06","48,653,017.46","72,248,434.85","21,234,321.03","45,674,993.23","72,304,654.97","105,943,917.59","34,151,166.54","82,522,279.77","124,477,746.31","205,600,480.37","59,971,622.03","121,633,824.70","195,296,609.85","264,981,605.15","65,379,101.50","138,417,877.95","245,526,256.05","307,996,067.36","75,411,243.92","198,640,185.76","314,183,614.07","399,346,646.81","111,805,439.91","241,321,504.40","375,420,761.83","477,400,112.63","121,425,455.73","296,983,480.05","492,386,950.64","653,017,076.53","175,691,411.69","401,969,972.54","618,586,216.10","840,323,959.75","269,522,446.14","587,439,336.71","873,795,534.09","1,180,488,799.80","308,171,639.54","704,416,884.43"
减:营业外支出,"103,287.26","691,000.00","691,108.37","691,108.37","187,336.39","203,380.75","374,647.75","380,399.35","192,744.97","766,324.93","897,593.50","1,295,439.66","63,436.65","601,033.61","669,698.81","867,178.47","56,684.85","288,107.61","493,980.58","2,796,062.46","234,247.63","622,853.25","1,154,112.26","2,089,312.99","48,689.20","96,692.65","1,188,594.16","959,000.62","1,071,275.31","4,500,304.79","6,188,822.01","7,406,211.75","592,993.48","1,488,983.47","4,572,465.17","6,549,625.19","471,422.82","1,232,414.61","4,048,521.98","9,133,178.55","2,184,260.57","3,002,088.69"
管理费用,"26,472,837.27","21,768,796.49","33,930,341.06","55,498,792.14","11,912,671.67","37,481,539.50","60,866,991.66","86,483,468.39","25,256,675.06","59,932,989.46","98,048,126.99","186,868,443.09","50,250,855.66","99,166,650.53","159,089,116.77","229,665,292.88","64,439,316.72","125,510,014.10","182,144,257.80","243,558,552.51","63,920,272.53","151,214,256.85","247,909,822.01","355,177,230.41","107,899,306.61","245,976,956.66","339,519,980.75","512,668,942.23","117,066,969.02","260,050,728.25","405,222,992.26","595,133,261.00","154,894,071.81","338,292,938.29","512,664,413.09","824,614,520.22","238,536,750.37","508,924,516.19","722,073,550.99","1,047,574,368.20","249,196,923.74","541,386,225.01"
其中:非流动资产处置净损失,"41,259.41",,82.00,82.00,"97,327.12","98,171.48","98,171.48","80,110.95","80,110.95","578,324.93","578,324.93","633,968.66","61,436.65","61,436.65","61,436.65","168,044.04","19,472.93","178,005.04","178,005.04","1,846,321.65",,"521,584.72","521,584.72","1,827,770.10",,"3,290.25","3,290.25","477,860.40","971,372.17","4,178,825.45","5,662,424.46","6,667,368.46","338,280.84","1,164,637.25","3,862,659.41","5,677,134.14","211,226.31","776,604.10","3,220,788.20",,,
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"5,807,388.04","3,706,872.90","6,440,178.98","7,608,853.27","545,769.75","2,794,563.82","5,759,199.46","11,259,705.71","3,653,405.65","10,560,651.45","20,136,174.07","30,226,700.41","11,750,544.17","23,948,937.33","37,554,615.49","55,517,194.81","16,722,241.45","36,455,921.74","43,693,169.98","66,748,239.41","16,306,063.53","32,281,712.10","49,288,114.02","64,104,603.87","15,643,351.27","32,682,076.64","48,567,372.08","56,841,939.14","5,875,800.46","14,035,728.01","23,241,768.46","27,065,993.72","12,257,111.89","24,633,368.23","44,397,558.63","46,363,984.98","11,252,158.12","30,943,279.00","66,977,877.43","103,345,953.52","12,494,148.21","63,052,866.43"
