科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"276,056,564.26","377,203,457.22","390,628,673.54","146,444,382.51","220,641,931.19","446,704,590.25","68,430,662.16","154,605,720.27","283,971,961.53","631,383,385.89","68,192,160.77","180,140,234.03"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,
收到的税费返还,"3,569,291.52","2,894,059.03","7,395,863.96","3,091,727.08","3,533,697.12","6,593,064.32","1,337,274.79","2,162,526.00","4,355,674.59","8,277,640.54","584,625.64","1,592,070.56"
支付其他与投资活动有关的现金,,,,,,,,,,,,
收到其他与经营活动有关的现金,"3,387,288.22","3,499,430.98","11,227,148.27","2,612,686.07","3,183,169.15","2,443,627.96","1,693,489.35","6,416,579.04","20,643,862.28","13,841,893.21","9,017,923.20","24,307,495.03"
投资活动现金流出小计,"9,513,530.30","7,476,168.57","7,706,275.04","6,458,511.26","7,808,558.84","9,936,336.53","100,503,397.00","301,124,028.02","304,855,991.60","157,594,081.31","153,065,180.32","156,991,188.67"
经营活动现金流入小计,"283,013,144.00","383,596,947.23","409,251,685.77","152,148,795.66","227,358,797.46","455,741,282.53","71,461,426.30","163,184,825.31","308,971,498.40","653,502,919.64","77,794,709.61","206,039,799.62"
投资活动产生的现金流量净额,"-9,513,530.30","-1,809,168.57","-5,202,249.52","-6,458,511.26","-7,808,558.84","-9,643,240.41","-100,196,547.68","-100,470,707.59","-103,588,972.54","-104,795,604.03","-52,354,344.70","45,354,181.19"
购买商品、接受劳务支付的现金,"84,348,043.18","107,183,519.13","141,044,831.56","57,994,664.65","95,346,406.70","149,078,698.35","28,443,682.15","68,081,028.32","127,377,611.33","212,363,608.75","63,034,394.95","114,058,953.14"
吸收投资收到的现金,,,"2,450,000.00",,,"240,400,000.00",,"1,773,910.00","1,773,910.00","1,773,910.00",,
支付给职工以及为职工支付的现金,"89,588,234.50","116,826,895.25","134,695,396.58","85,605,922.95","125,782,851.28","167,184,227.74","64,406,882.83","99,666,162.41","150,516,436.56","195,943,642.23","77,179,447.12","131,077,972.04"
取得借款收到的现金,,,,,,,,,,,,
支付的各项税费,"24,560,309.40","34,691,190.71","29,748,911.65","28,296,706.94","35,513,389.33","42,876,336.27","17,783,485.27","32,098,906.95","41,579,505.22","58,428,430.19","21,154,111.99","30,403,331.34"
收到其他与筹资活动有关的现金,,,,,,,,,,,,
