科目,2008年度,2009年度,2010年度,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"195,124,747.64","226,681,724.64","328,245,650.74","168,837,753.39","254,562,002.24","360,022,652.43","72,567,981.08","113,399,732.72","192,522,016.50","288,464,158.65","39,305,949.34","108,189,411.35","199,596,766.83","283,255,359.94","70,706,456.68","398,235,074.73","716,068,101.03","957,429,309.29","197,036,358.70","569,698,648.56","836,431,096.01","1,244,782,390.63","418,675,575.25","747,763,625.89","1,083,151,220.34","1,645,046,998.78","402,195,864.26","1,324,332,398.47","2,453,281,410.04"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,"1,000,000.00",,,"310,261,602.38","355,673,879.37","292,757,228.29",,,"148,309,949.66","148,309,949.66",,"44,423,514.00","44,683,587.95","29,718,887.91",,"1,662,107,373.35","1,916,778,502.79"
收到的税费返还,"3,706,423.92","2,986,816.44","6,898,083.13","2,287,266.56","3,379,557.84","4,097,717.05",,"533,666.97","785,704.86","785,704.86",,"50,976.04","50,976.04","50,976.04","2,326,690.21","4,539,759.00","5,001,367.01","5,501,978.19","1,079,063.83","6,027,526.27","8,089,072.65","17,220,048.43","6,983,063.83","13,960,335.68","22,252,376.10","25,448,480.27","8,611,795.29","16,280,964.62","28,067,002.48"
支付其他与投资活动有关的现金,,,,,,,,"1,273,667.84","1,273,667.84","67,673,667.84","294,116.76","1,536,564.56","1,547,009.43",,,,"7,913,800.45","18,000,000.00",,,"1,816,494.73",,"4,000,000.00",,,"245,000,000.00","55,000,000.00","1,000,000,000.00","553,021,830.00"
收到其他与经营活动有关的现金,"3,017,537.10","3,015,422.98","2,444,953.71","1,742,229.53","2,476,075.59","13,838,546.31","3,614,914.30","9,129,572.87","13,206,525.49","16,260,970.81","4,499,421.15","7,319,341.07","9,212,248.04","14,437,128.34","3,228,491.47","6,163,992.26","10,451,820.53","36,854,504.44","12,150,176.39","13,949,493.17","16,215,614.81","26,085,158.25","17,992,888.08","6,383,738.48","20,427,601.80","18,720,964.39","20,874,960.00","50,541,290.92","66,833,129.05"
投资活动现金流出小计,"7,944,866.80","5,162,038.22","43,648,457.05","39,588,701.48","40,297,366.88","42,478,767.72","1,808,812.03","10,487,625.05","17,431,876.22","88,676,786.92","27,516,479.76","72,704,655.07","114,446,157.43","258,601,635.89","377,622,966.57","425,660,307.08","531,877,416.56","542,628,126.34","11,493,346.14","62,036,952.03","297,679,700.60","270,250,157.74","5,968,458.82","120,579,854.24","139,209,863.75","426,603,971.86","495,822,281.92","2,699,220,837.14","2,574,548,424.53"
经营活动现金流入小计,"201,848,708.66","232,683,964.06","337,588,687.58","172,867,249.48","260,417,635.67","377,958,915.79","76,182,895.38","123,062,972.56","206,514,246.85","305,510,834.32","43,805,370.49","115,559,728.46","208,859,990.91","297,743,464.32","76,261,638.36","408,938,825.99","731,521,288.57","999,785,791.92","210,265,598.92","589,675,668.00","860,735,783.47","1,288,087,597.31","443,651,527.16","768,107,700.05","1,125,831,198.24","1,689,216,443.44","431,682,619.55","1,391,154,654.01","2,548,181,541.57"
投资活动产生的现金流量净额,"-4,775,559.12","-5,112,999.76","-43,597,595.36","-39,524,201.48","-40,232,866.88","-42,414,267.72","-1,808,812.03","-10,487,625.05","-17,402,943.53","-18,257,849.96","-27,516,479.76","-72,704,655.07","-113,097,478.76","-136,560,051.43","-377,622,966.57","-425,660,307.08","-529,575,001.88","-539,733,356.93","6,294,050.44","-43,705,933.52","-279,348,682.09","-251,488,181.14","-5,968,458.82","-95,291,730.96","-112,934,369.77","-353,989,818.92","-450,363,400.92","-2,555,222,537.57","-2,423,755,110.74"
购买商品、接受劳务支付的现金,"137,353,397.35","166,446,474.02","230,717,410.39","127,220,310.89","193,040,711.43","249,061,550.88","58,494,403.13","83,528,964.42","117,555,620.39","172,262,707.61","21,036,852.81","62,475,065.54","110,229,583.49","141,176,428.10","39,951,657.15","234,744,056.65","475,140,704.73","652,196,546.05","107,007,464.79","381,671,930.20","482,697,129.57","733,799,855.78","252,118,048.63","504,357,930.62","700,200,570.22","1,023,502,657.91","246,220,396.30","1,056,263,316.62","1,869,299,262.09"
吸收投资收到的现金,,"15,477,000.00","4,101,434.60",,"492,000,624.08","501,720,000.00",,,,,,"14,256,900.00","18,198,900.00","18,198,900.00",,"3,906,600.00","3,906,600.00","3,906,600.00",,"16,950,400.00","16,950,400.00","7,048,438.49","489,059,993.44","487,580,257.06","487,580,257.06","487,580,257.06",,"2,835,699,994.49","2,835,699,994.49"
支付给职工以及为职工支付的现金,"14,729,498.17","16,689,364.06","25,588,032.66","15,045,923.22","23,475,471.54","32,866,107.88","9,577,906.43","18,349,932.18","27,636,265.90","36,695,455.17","8,870,986.10","17,622,354.87","27,256,911.01","37,601,588.01","9,904,456.28","62,446,882.79","115,860,860.95","160,009,329.93","9,465,321.00","44,160,285.91","155,602,708.57","234,614,309.31","58,653,577.33","106,538,822.18","187,998,720.10","217,976,795.43","58,776,940.92","154,600,838.03","249,130,150.02"
取得借款收到的现金,"34,500,000.00","21,400,000.00","21,400,000.00","30,000,000.00","30,000,000.00","30,000,000.00",,,,,,,,,"345,196,560.00","349,462,114.21","375,281,549.06","444,289,466.99","25,000,000.00","86,814,532.50","293,114,497.31","237,689,291.45",,"74,231,783.85","422,431,921.61","648,587,353.37","484,500,000.00","651,330,372.30","924,834,086.94"
