科目,2010年度,2011年度,2012年度,2013年1-6月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"36,335,062,301.01","43,653,088,770.30","47,061,207,541.46","24,073,023,371.39","53,916,002,640.73","9,242,957,451.67","19,319,959,518.69","30,360,347,869.00","44,178,960,880.82","9,640,446,020.49","19,550,149,100.44","28,687,874,547.92","39,687,933,803.85","8,116,809,461.50","17,842,937,772.26","28,688,669,021.51","39,176,612,279.21","10,971,994,395.66","22,629,052,387.66","37,583,675,462.23"
二、营业利润,"3,947,020,868.72","3,215,458,317.04","5,412,618,533.05","4,648,422,546.18","9,356,256,850.81","1,596,374,269.49","4,006,073,856.84","5,839,497,585.84","8,343,118,084.56","1,866,591,481.34","5,454,127,488.91","7,985,912,443.20","10,167,138,151.92","2,002,771,729.69","5,737,704,821.76","8,011,308,270.67","8,585,241,936.07","1,175,548,768.66","2,854,948,686.54","4,777,927,001.24"
减:营业成本,"30,646,056,574.20","38,858,453,043.99","39,972,422,801.25","19,252,158,278.17","43,714,484,674.55","7,550,296,416.73","15,350,040,755.53","24,317,092,720.69","35,409,353,032.14","7,523,259,010.44","14,451,789,230.47","21,107,856,365.10","29,338,089,237.65","6,036,177,163.52","12,521,010,015.85","21,202,272,780.10","30,422,934,633.96","9,680,262,361.92","19,975,048,104.58","32,892,998,239.80"
加:补贴收入,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"228,720,028.67","243,278,873.84","296,680,826.97","178,281,551.37","368,289,589.54","70,376,322.18","144,022,506.12","230,271,665.82","334,326,344.68","88,926,734.73","179,346,081.87","263,729,601.03","359,069,631.38","69,291,663.55","139,152,308.02","211,745,456.59","390,282,733.19","98,366,991.61","211,517,470.51","327,733,546.37"
营业外收入,"215,477,852.35","188,499,966.13","386,930,592.93","219,385,835.49","325,831,579.68","16,716,491.80","167,610,343.73","221,084,038.87","349,178,935.50","18,668,752.54","121,565,887.52","200,004,473.97","299,652,152.41","51,296,296.88","138,882,928.76","206,937,022.98","274,215,533.37","59,387,894.72","132,973,786.23","134,424,779.75"
销售费用,,,,,,,,,,,,,,,,,,,,
减:营业外支出,"75,147,846.97","79,435,599.49","186,390,165.46","144,993,570.17","382,588,283.21","23,293,736.48","60,281,435.61","90,448,171.41","143,547,450.68","16,007,112.34","58,187,616.68","88,488,555.38","187,481,431.30","27,278,460.66","49,948,274.36","138,077,233.79","160,211,102.11","8,037,947.87","18,287,912.09","29,486,396.43"
管理费用,"1,021,531,511.46","1,164,625,120.36","1,371,900,125.21","605,555,901.19","1,514,936,046.13","277,831,619.09","609,672,896.47","926,658,191.63","1,410,975,410.26","330,146,169.51","629,924,960.25","972,532,338.61","1,474,279,495.63","333,964,921.07","640,208,245.00","975,576,213.90","1,426,078,171.59","295,726,166.44","622,086,857.62","964,515,442.48"
其中:非流动资产处置净损失,"15,969,693.20","17,149,105.16","122,612,609.85","114,726,303.01","309,972,792.75","3,646,357.13","22,069,368.18","33,607,430.01","60,267,358.23","100,638.43","19,943,182.48","36,912,113.49","95,075,847.94","10,549,171.78","17,621,889.98","26,451,844.14","83,012,622.45",,"5,508,371.36","6,140,975.59"
