科目,2014-12-31,2015-12-31,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31
货币资金,"79,526,867.74","95,272,607.21","79,323,869.21","298,808,513.17","145,597,993.13","163,573,674.64","159,773,168.18"
短期借款,"243,721,945.00","201,815,000.00","196,200,000.00","18,000,000.00","18,000,000.00","18,000,000.00","16,839,739.51"
交易性金融资产,,,,,,,
交易性金融负债,,,,,,,
应收票据,,,"184,000.00",,,,"100,000.00"
应付票据,"32,513,473.79","32,025,000.00","36,236,121.90","33,422,121.90","27,841,000.00","26,235,000.00","24,163,900.00"
应收账款,"65,674,163.62","72,954,719.03","69,755,416.28","89,371,208.78","83,334,837.91","74,819,351.42","85,877,465.97"
应付账款,"79,174,817.56","87,903,925.48","78,566,063.11","84,062,749.04","69,417,552.98","57,833,732.76","100,910,562.36"
预付款项,"4,503,684.99","2,008,784.35","7,519,449.00","6,433,979.81","1,766,875.53","1,255,600.93","5,683,739.68"
预收款项,"1,797,241.71","2,926,412.55","1,508,192.98","2,422,324.30","1,131,197.51","131,656.32","1,659,628.69"
其他应收款,"25,100,682.87","9,652,026.90","4,253,549.02","4,677,772.53","5,433,836.57","4,793,288.90","6,627,673.98"
应付职工薪酬,"17,157,739.30","23,943,856.88","17,679,444.37","14,350,643.10","18,040,680.73","15,118,478.12","20,368,534.81"
应收关联公司款,,,,,,,
应交税费,"19,352,811.39","18,711,280.50","26,781,189.65","17,795,690.93","15,606,138.80","17,102,305.19","16,623,263.16"
应收利息,,,,,"921,250.00","772,333.34","250,410.96"
应付利息,"467,537.75","830,491.69","1,103,514.02",,"168,266.54","98,802.40","129,028.04"
应收股利,,,,,,,
应付股利,"3,819,042.13","3,540,138.13",,,,,
存货,"152,565,787.20","153,350,033.57","162,596,148.98","154,190,659.74","180,124,595.34","204,010,547.88","220,370,945.31"
其他应付款,"11,120,545.09","10,626,210.82","5,333,678.49","16,651,904.42","3,082,554.78","5,646,154.74","6,164,980.05"
其中:消耗性生物资产,,,,,,,
应付关联公司款,,,,,,,
一年内到期的非流动资产,,,,,,,
一年内到期的非流动负债,"8,777,734.63","9,573,274.08","869,345.39","916,173.47","68,869.36",,"2,117,712.20"
其他流动资产,"6,746,470.16","6,493,760.52","8,299,956.70","117,057,067.53","229,749,293.54","229,665,373.88","168,601,281.73"
其他流动负债,,,"1,364,927.98",,,,
流动资产合计,"334,178,906.58","340,363,682.05","331,932,389.19","670,539,201.56","646,928,682.02","678,890,170.99","690,989,496.47"
流动负债合计,"418,814,707.13","392,300,354.13","365,642,477.89","188,986,535.14","153,373,018.04","140,166,129.53","189,634,762.34"
可供出售金融资产,"2,800,000.00","2,800,000.00","2,800,000.00","2,800,000.00","2,800,000.00","2,800,000.00","2,800,000.00"
长期借款,"14,525,951.68","33,288,411.62","33,974,832.53","28,436,997.77","27,150,113.18","38,841,108.10","20,269,063.57"
持有至到期投资,,,,,,,
应付债券,,,,,,,
长期应收款,,,,,,,
长期应付款,,,,,,,
长期股权投资,"4,283,758.99","3,884,380.61","3,486,866.10","3,486,866.10","3,208,190.46","3,118,318.80","2,809,367.77"
专项应付款,,,,,,,
投资性房地产,,"3,368,692.37","3,203,921.93","3,162,729.32","3,121,536.71","3,080,344.10","3,039,151.49"
预计负债,,,,,,,
固定资产,"155,452,487.67","273,079,294.00","286,069,380.60","280,659,233.72","271,761,189.88","267,510,100.63","309,360,354.44"
递延所得税负债,,,,,,,
在建工程,"106,802,130.97","39,988,679.00","33,518,928.50","40,588,998.00","36,106,429.74","38,009,609.73","9,360,451.96"
其他非流动负债,,,,,,,
工程物资,,,,,,,
非流动负债合计,"14,525,951.68","33,288,411.62","33,974,832.53","28,436,997.77","27,150,113.18","38,841,108.10","20,269,063.57"
固定资产清理,,,,,,,
负债合计,"433,340,658.81","425,588,765.75","399,617,310.42","217,423,532.91","180,523,131.22","179,007,237.63","209,903,825.91"
生产性生物资产,,,,,,,
实收资本(或股本),"75,000,000.00","75,000,000.00","75,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00"
油气资产,,,,,,,
资本公积,"128,317,513.65","128,914,386.03","128,957,126.58","601,242,452.78","591,278,824.76","591,505,239.88","588,658,126.58"
无形资产,"104,614,632.58","103,045,409.80","100,622,304.09","101,747,915.08","100,301,186.60","99,604,335.96","99,487,723.39"
盈余公积,"17,256,752.59","22,348,125.49","29,818,540.33","35,165,342.94","29,818,540.33","29,818,540.33","36,348,023.28"
开发支出,,,,,,,
减:库存股,,,,,,,
商誉,"4,545,702.69","4,545,702.69","4,545,702.69","4,545,702.69","4,545,702.69","4,545,702.69","4,545,702.69"
未分配利润,"66,864,910.71","124,387,732.02","135,677,308.43","151,853,482.97","172,230,172.85","200,743,442.72","201,399,184.88"
长期待摊费用,"3,992,858.67","2,579,977.41","5,194,353.57","5,036,263.41","7,874,553.80","8,039,736.44","9,272,668.28"
少数股东权益,"4,478,523.05","6,253,406.61","8,724,475.88","9,093,485.46","9,455,623.12","9,953,509.19","9,745,000.74"
递延所得税资产,"6,114,003.12","8,722,879.80","8,213,900.43","4,922,828.64","8,270,969.53","6,537,420.90","8,620,362.39"
外币报表折算价差,,,,,,,
其他非流动资产,"945,216.76","223,770.00","754,500.00","754,500.00",,,"6,150,817.08"
非正常经营项目收益调整,,,,,,,
非流动资产合计,"389,550,791.45","442,238,785.68","448,409,857.91","447,705,036.96","437,989,759.41","433,245,569.25","455,446,599.49"
所有者权益(或股东权益)合计,"290,389,039.22","357,013,701.98","380,724,936.68","900,820,705.61","904,395,310.21","933,128,502.61","936,532,270.05"
资产总计,"723,729,698.03","782,602,467.73","780,342,247.10","1,118,244,238.52","1,084,918,441.43","1,112,135,740.24","1,146,436,095.96"
负债和所有者(或股东权益)合计,"723,729,698.03","782,602,467.73","780,342,247.10","1,118,244,238.52","1,084,918,441.43","1,112,135,740.24","1,146,436,095.96"
