科目,2011-12-31,2012-12-31,2013-12-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"42,183,188.13","55,827,981.27","47,420,992.67","39,837,023.40","26,517,695.27","171,605,751.48","146,145,009.41","126,460,750.53","115,036,083.55","135,174,899.72","60,673,273.21","128,424,959.46","157,985,922.22","132,978,874.79","252,104,358.14","240,752,904.74","208,062,526.27","227,821,847.37","176,396,761.40","173,980,842.24"
短期借款,,"13,737,287.07","11,492,422.13","18,258,772.96","21,988,060.58","22,772,475.74","17,805,881.46","16,662,071.65","37,183,204.89","64,338,195.01","71,970,886.08","72,265,299.83","53,415,230.06","44,938,736.68","42,417,874.85","82,082,688.53","128,700,546.58","187,225,627.50","247,943,931.20","246,372,137.78"
交易性金融资产,,,,,,,,,,,,,,,,,,"54,017,541.62","54,017,541.62","54,017,541.62"
交易性金融负债,,,,,,,,,,,,,,"22,017,600.00","22,017,600.00","22,017,600.00","22,017,600.00","30,165,297.60","30,165,297.60","30,165,297.60"
应收票据,"4,635,705.64","8,564,428.94","8,459,808.26","6,392,984.55","20,733,427.14","3,354,928.78","7,658,024.87","15,233,150.61","10,764,804.69","15,805,942.03","26,189,099.55","22,724,618.77","26,642,600.56","42,866,457.76","44,319,320.98","58,719,278.24","54,123,657.97","87,335,136.74","40,635,392.95","39,500,737.26"
应付票据,"1,900,864.43","5,802,271.08","18,371,859.09","11,863,919.37","21,298,690.29","21,124,319.08","14,408,114.05","14,261,372.06","9,732,619.18","16,313,134.17","20,039,959.82","35,902,631.18","39,334,947.54","36,762,886.72","69,252,568.51","109,172,357.68","93,089,560.42","91,053,706.56","68,621,413.18","83,027,987.12"
应收账款,"86,722,918.03","100,371,165.98","131,778,174.77","170,276,157.87","163,292,947.31","172,527,560.43","168,412,151.97","194,675,043.98","214,943,710.73","241,508,668.33","236,820,772.01","331,485,665.04","284,840,612.03","340,294,985.90","568,786,991.96","658,747,299.12","711,708,608.05","728,700,311.98","728,414,241.16","926,538,278.16"
应付账款,"38,963,611.58","31,009,359.28","46,611,943.38","51,887,081.67","54,316,457.20","53,466,002.94","53,374,323.80","56,199,205.88","62,388,392.90","67,948,308.57","75,690,503.99","129,571,810.28","121,088,011.50","164,581,367.21","318,128,232.14","320,094,126.02","274,669,506.32","253,419,546.55","249,099,803.95","405,000,640.74"
预付款项,"6,562,079.86","3,257,539.98","5,009,181.05","6,948,376.83","11,303,262.02","3,564,442.53","5,256,501.34","5,552,673.00","10,962,569.96","16,559,688.55","19,726,166.97","8,645,393.92","4,368,004.62","6,753,287.77","17,723,603.79","12,316,883.28","32,652,325.78","27,861,479.92","41,321,712.54","77,017,847.02"
预收款项,"430,847.46","878,609.94","939,760.15","1,846,834.81","198,590.51","651,946.60","3,105,707.42","2,052,847.52","1,636,843.24","2,924,013.28","4,292,309.61","15,685,041.96","19,661,627.61","25,692,521.07","62,602,178.23","102,193,044.94","89,107,139.67","36,456,141.55","41,540,700.52","58,377,240.90"
