科目,2007-12-31,2008-12-31,2009-12-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"139,277,980.83","189,849,658.26","184,406,644.93","171,960,317.27","1,390,791,094.97","942,632,476.51","674,787,061.33","625,999,032.84","777,644,245.62","1,244,534,690.38","906,979,611.36","707,529,791.12","780,703,533.66","840,251,919.97","587,958,714.12","435,298,188.16","410,882,661.34","378,715,417.53","272,002,000.45","402,029,772.96","377,751,310.61","678,895,231.46","572,483,692.37","560,173,249.13","572,555,658.49","641,225,294.16","703,579,237.75","850,802,215.92","732,221,781.97","633,236,214.28","655,657,990.15","908,586,825.36","985,781,753.43"
短期借款,"251,820,000.00","297,820,000.00","447,120,000.00","673,820,000.00","814,820,000.00","814,820,000.00","949,820,000.00","1,058,720,000.00","1,029,820,000.00","1,014,820,000.00","669,820,000.00","747,820,000.00","917,820,000.00","927,820,000.00","849,820,000.00","760,820,000.00","819,000,000.00","819,000,000.00","837,000,000.00","872,000,000.00","521,000,000.00","521,000,000.00","717,170,000.00","667,270,000.00","606,770,000.00","643,330,800.00","505,840,000.00","501,040,000.00","486,010,800.00","456,000,000.00","384,000,000.00","522,478,374.00","513,349,189.92"
交易性金融资产,,,,,,,,,,"458,500.00",,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"1,705,192.50","1,200,000.00","743,547.00","5,716,446.26","3,471,159.94","1,040,000.00","194,555,979.54","98,877,008.00","18,782,832.10","6,490,900.00","48,385,204.00","62,594,628.96","68,592,658.78","96,731,587.97","38,799,852.00","11,585,670.00","14,012,763.03","25,679,060.80","6,639,659.00","7,672,495.80","28,291,000.00","35,855,523.62","12,704,493.89","12,640,833.00","13,718,679.53","11,002,174.70","5,300,000.00","8,998,616.20","5,181,971.20","13,556,683.07","6,152,888.59","9,453,661.00","10,685,640.22"
应付票据,,"112,059,211.00","102,281,200.00","34,000,000.00","72,572,442.75","214,166,247.76","112,153,200.00","77,000,000.00","137,640,253.47","66,735,878.71","26,207,057.80","24,463,619.06","10,383,000.00","22,865,200.00","24,872,900.00","65,756,918.99","68,116,460.14","149,374,468.70","119,095,821.40","185,236,867.54","217,809,582.10","356,593,640.08","395,143,648.82","332,310,412.78","287,028,749.78","143,372,591.51","133,701,722.51","142,595,503.73","147,089,209.59","83,858,131.88","107,114,840.15","130,372,498.00","136,778,085.53"
应收账款,"188,515,871.69","228,572,971.50","336,842,458.49","460,672,012.18","512,540,415.57","1,006,019,090.74","1,179,722,208.53","1,495,464,603.11","1,278,944,984.18","1,098,247,068.81","782,967,188.71","797,073,950.30","773,254,146.71","604,011,029.62","616,412,404.86","884,683,872.44","935,208,314.57","884,152,762.94","900,072,904.47","1,137,330,595.90","1,180,009,632.55","1,013,807,610.39","1,084,553,731.59","1,278,643,050.52","1,201,357,731.03","1,083,263,678.48","981,049,802.84","891,103,532.02","1,003,609,932.87","919,639,254.38","785,954,704.44","813,219,070.68","1,044,327,138.80"
应付账款,"98,502,286.27","117,035,763.07","160,676,552.05","203,074,158.78","212,308,019.47","364,981,535.69","541,160,477.61","440,463,484.78","281,297,511.17","205,139,258.70","175,418,825.43","193,546,056.68","192,512,628.63","236,673,703.83","249,212,010.11","330,441,170.28","325,887,318.76","365,108,334.90","390,716,242.52","447,157,805.27","379,335,061.19","310,687,581.34","362,766,851.12","503,696,073.65","490,088,703.91","692,006,201.46","727,782,754.75","930,185,682.14","1,034,933,005.15","741,570,185.64","636,284,493.72","775,240,707.92","950,524,837.28"
预付款项,"31,081,709.51","47,036,871.68","76,621,257.97","74,147,961.19","116,320,642.20","138,819,308.96","103,869,737.68","89,368,374.53","93,138,139.82","201,122,087.13","235,683,950.58","312,228,772.07","331,436,829.31","245,661,178.72","305,802,066.69","380,176,486.87","419,596,641.04","218,111,833.14","279,963,066.66","262,376,285.34","298,027,197.08","222,373,072.78","280,047,323.66","218,138,448.77","218,163,437.04","171,859,099.10","117,443,336.25","98,328,698.84","96,860,421.01","66,839,153.60","85,349,443.03","71,186,775.87","68,369,955.23"
预收款项,"8,761,702.10","8,002,511.24","6,674,378.60","24,540,565.34","18,349,801.77","15,875,847.75","24,033,097.32","14,783,601.96","11,119,420.18","15,485,052.80","22,725,345.24","25,542,140.86","26,356,450.26","22,015,804.33","24,628,822.11","20,741,191.50","26,629,216.63","34,347,246.93","29,269,206.56","27,264,151.62","25,843,418.21","21,024,732.12","26,240,723.13","22,453,168.46","21,059,079.96","16,957,623.54","24,617,631.96","7,628,829.98","11,620,804.99","11,624,395.67","12,421,233.52","10,679,183.87","11,300,638.28"
