科目,2008年度,2009年度,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"3,318,850,273.23","3,825,979,847.12","4,608,922,567.31","1,720,974,950.66","3,479,826,054.92","5,128,440,453.07","6,841,149,506.76","2,197,823,427.88","4,143,960,830.77","5,754,863,248.58","7,396,236,382.66","2,780,769,835.10","5,908,102,161.39","8,746,191,805.32","10,224,399,270.02","3,229,840,886.45","4,758,243,051.28","6,274,470,992.36","7,751,624,598.48","2,212,722,184.75","3,705,619,211.46","5,092,030,727.65","6,091,622,608.82","1,501,042,661.60","2,455,663,169.93","3,190,813,010.88","4,145,203,441.45","1,195,490,531.95","2,167,236,191.74","3,237,062,191.06","4,305,612,265.23"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,,,,,,,,"1,986,055.09","1,986,055.09","1,986,055.09","7,146,458.13","2,485,560.47","6,420,041.74","3,333,289.92","13,259,231.39","859,031.14","5,204,694.95","7,311,980.13","11,949,360.44","2,166,749.00","4,972,366.36","6,143,524.01","9,780,775.78","867,208.79","3,394,432.99","8,722,758.06","12,681,087.26","2,672,990.06","5,895,489.34","7,070,648.38","11,181,587.29"
支付其他与投资活动有关的现金,,,,,,,,"160,580.00",,"3,420,790.00","6,321,300.00",,,,"363,000,000.00","285,000,000.00","892,805,490.00","892,805,490.00","1,624,805,490.00",,"195,000,000.00","160,000,000.00","160,000,000.00","320,000,000.00","320,000,000.00","320,000,000.00","320,000,000.00",,,,
收到其他与经营活动有关的现金,"6,507,640.25","1,954,426.54","10,949,159.01","755,455.82","8,466,614.34","12,500,748.31","31,372,908.77","8,593,655.60","14,706,541.78","79,676,512.40","30,829,167.18","7,579,291.35","20,862,365.72","38,416,335.56","494,573,381.94","37,436,627.13","816,355,395.70","1,207,766,943.67","1,219,690,632.52","83,028,303.51","12,996,769.26","30,805,936.11","36,862,630.31","43,672,938.92","26,930,036.54","71,481,516.63","31,606,426.08","12,880,448.97","11,266,036.06","10,416,123.70","18,170,472.02"
投资活动现金流出小计,"18,601,481.29","4,837,740.40","20,782,872.35","591,965.00","1,180,595.84","4,700,522.84","196,258,823.20","17,555,899.30","13,657,570.14","151,376,051.95","137,611,616.45","14,437,293.66","16,418,874.06","28,699,254.91","1,145,787,033.28","855,523,136.80","1,842,501,045.61","2,246,943,705.62","3,783,141,098.58","707,173,752.10","2,009,339,305.72","2,268,789,008.84","3,869,800,742.43","748,811,003.47","2,437,314,350.89","2,780,302,489.00","3,646,939,709.11","224,992,639.13","476,836,200.67","632,704,744.67","956,001,979.62"
经营活动现金流入小计,"3,325,357,913.48","3,827,934,273.66","4,619,871,726.32","1,721,730,406.48","3,488,292,669.26","5,140,941,201.38","6,872,522,415.53","2,208,403,138.57","4,160,653,427.64","5,836,525,816.07","7,434,212,007.97","2,790,834,686.92","5,935,384,568.85","8,787,941,430.80","10,732,231,883.35","3,268,136,544.72","5,579,803,141.93","7,489,549,916.16","8,983,264,591.44","2,297,917,237.26","3,723,588,347.08","5,128,980,187.77","6,138,266,014.91","1,545,582,809.31","2,485,987,639.46","3,271,017,285.57","4,189,490,954.79","1,211,043,970.98","2,184,397,717.14","3,254,548,963.14","4,334,964,324.54"
投资活动产生的现金流量净额,"-12,891,041.29","-1,501,767.24","50,984,491.65","11,008,035.00","12,511,164.16","13,127,144.10","-14,179,710.61","-17,555,899.30","-13,289,950.14","-100,641,051.95","-86,876,616.45","-12,818,873.66","-7,939,184.06","-21,021,824.91","-683,366,631.62","-453,026,903.47","-804,736,888.64","-726,357,330.50","-852,724,285.39","157,463,033.27","127,504,613.11","99,371,461.87","-327,364,071.17","-110,333,160.74","-514,591,201.82","-350,413,312.53","-324,704,883.33","987,128,100.59","997,323,179.69","1,094,434,567.20","1,025,126,959.50"
购买商品、接受劳务支付的现金,"3,066,745,237.98","3,515,311,629.72","4,406,734,680.20","1,829,528,018.43","3,358,459,285.01","5,515,989,563.27","7,352,447,351.87","1,750,386,564.95","3,342,053,003.79","5,308,367,314.34","6,988,954,111.95","2,691,062,848.84","5,356,569,771.90","8,152,081,511.02","9,250,628,039.76","2,685,521,349.46","3,716,414,477.37","5,447,213,132.69","6,590,900,224.84","2,230,284,994.21","3,330,237,920.35","4,733,283,121.21","5,373,362,069.35","1,164,216,746.66","1,839,006,625.24","2,723,359,045.34","3,626,982,068.53","1,056,093,009.96","1,728,403,715.07","3,029,295,565.53","3,779,532,612.65"
吸收投资收到的现金,"34,175,000.00",,"500,000.00",,"1,870,000,000.00","1,870,000,000.00","1,858,930,000.00",,"2,000,000.00",,"2,000,000.00",,,,,,,,,,,,,,,"200,000.00","200,000.00",,,"500,000.00","7,000,000.00"
支付给职工以及为职工支付的现金,"63,702,013.32","76,320,376.64","39,206,163.99","26,771,090.98","35,977,669.36","45,734,752.53","59,759,660.58","41,001,533.72","43,356,941.71","68,064,218.97","68,873,111.57","27,552,950.26","45,703,506.77","61,538,007.36","77,219,454.30","33,124,694.53","80,352,898.63","124,290,130.70","152,696,569.74","59,266,961.75","94,268,931.70","130,654,517.92","167,405,913.87","56,476,918.23","91,812,333.03","123,051,496.71","160,127,558.39","54,895,941.46","89,303,089.68","122,767,042.59","164,356,423.99"
取得借款收到的现金,"1,631,400,000.00","1,800,000,000.00","2,547,000,000.00","721,000,000.00","1,155,000,000.00","1,430,950,000.00","1,598,950,000.00","322,000,000.00","522,000,000.00","522,000,000.00","522,000,000.00","400,000,000.00","400,000,000.00","400,000,000.00","400,000,000.00","987,131,644.84","542,345,910.47","542,345,910.47","542,345,910.47",,,,,"100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","50,000,000.00","50,000,000.00","50,000,000.00","50,000,000.00"
