科目,2008年度,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
支付给职工以及为职工支付的现金,"9,407,972,650.00","4,674,385,240.00","7,199,749,000.00","10,363,881,000.00","2,917,863,000.00","5,405,168,000.00","8,454,147,000.00","12,143,842,000.00","3,525,929,000.00","6,932,221,000.00","10,215,109,000.00","13,513,892,000.00","3,847,506,000.00","7,388,559,000.00","10,876,754,000.00","14,694,227,000.00","3,808,487,000.00","7,037,355,000.00","9,644,203,000.00","15,251,522,000.00","3,584,345,000.00","7,401,188,000.00","10,107,764,000.00","17,271,989,000.00","3,873,577,000.00","7,589,863,000.00","10,596,827,000.00","17,662,165,000.00","3,887,203,000.00","7,766,526,000.00","10,738,120,000.00","17,598,948,000.00","4,020,227,000.00","7,987,873,000.00","11,737,219,000.00","18,821,926,000.00","4,847,569,000.00","9,270,649,000.00","13,514,520,000.00","21,383,791,000.00","5,668,694,000.00"
取得借款收到的现金,"54,105,762,250.00","47,024,559,700.00","68,416,404,000.00","92,767,555,000.00","24,052,431,000.00","46,457,480,000.00","81,880,524,000.00","114,338,296,000.00","26,698,911,000.00","42,002,568,000.00","66,983,953,000.00","98,846,758,000.00","22,610,707,000.00","46,377,873,000.00","76,868,978,000.00","90,102,125,000.00","16,931,229,000.00","49,400,417,000.00","80,669,046,000.00","97,593,389,000.00","23,131,781,000.00","50,311,043,000.00","86,848,831,000.00","109,039,297,000.00","19,204,063,000.00","38,757,288,000.00","74,996,577,000.00","100,757,817,000.00","26,442,537,000.00","48,771,932,000.00","70,395,233,000.00","96,878,532,000.00","25,645,455,000.00","49,078,747,000.00","75,810,924,000.00","84,850,314,000.00","36,621,845,000.00","69,391,175,000.00","103,023,130,000.00","116,770,275,000.00","37,685,576,000.00"
支付的各项税费,"8,286,196,370.00","3,579,055,750.00","5,458,833,000.00","7,697,580,000.00","1,999,611,000.00","4,436,151,000.00","6,700,308,000.00","9,597,278,000.00","2,911,241,000.00","6,381,039,000.00","8,552,627,000.00","11,225,669,000.00","3,046,791,000.00","5,733,609,000.00","7,745,811,000.00","9,870,378,000.00","2,772,903,000.00","6,025,241,000.00","7,673,133,000.00","10,337,058,000.00","2,574,297,000.00","5,707,070,000.00","7,363,914,000.00","11,247,436,000.00","2,827,961,000.00","6,664,029,000.00","7,922,507,000.00","11,531,185,000.00","2,847,778,000.00","6,678,214,000.00","8,345,719,000.00","10,353,956,000.00","2,934,048,000.00","6,166,450,000.00","8,406,442,000.00","9,786,848,000.00","2,928,005,000.00","6,363,212,000.00","7,870,023,000.00","10,438,345,000.00","2,734,825,000.00"
收到其他与筹资活动有关的现金,"640,936,190.00","73,875,660.00","1,559,531,000.00","2,508,645,000.00","137,508,000.00",,,"5,173,000.00",,"47,020,000.00","183,509,000.00",,,,,"210,487,000.00","202,539,000.00","196,872,000.00","650,143,000.00","258,071,000.00","196,367,000.00",,,,"108,346,000.00","1,102,534,000.00","1,285,348,000.00",,"630,808,000.00","1,204,680,000.00","880,255,000.00",,"2,165,990,000.00","1,138,273,000.00","223,988,000.00",,"235,098,000.00",,,,
支付其他与经营活动有关的现金,"4,013,085,810.00","3,329,894,650.00","3,631,497,000.00","12,245,977,000.00","2,849,019,000.00","3,839,335,000.00","5,229,295,000.00","10,941,754,000.00","3,059,353,000.00","4,679,133,000.00","6,190,668,000.00","12,009,150,000.00","2,817,340,000.00","4,950,999,000.00","7,204,769,000.00","8,940,254,000.00","1,940,182,000.00","4,370,200,000.00","5,673,609,000.00","8,804,356,000.00","3,087,881,000.00","8,911,763,000.00","9,252,978,000.00","13,080,421,000.00","2,412,713,000.00","5,437,768,000.00","11,650,783,000.00","8,158,240,000.00","4,064,297,000.00","5,009,282,000.00","13,927,335,000.00","10,608,540,000.00","5,766,024,000.00","8,100,382,000.00","8,201,435,000.00","9,371,283,000.00","3,503,151,000.00","9,416,601,000.00","9,606,797,000.00","12,005,082,000.00","5,837,043,000.00"
筹资活动现金流入小计,"55,749,724,380.00","47,343,246,420.00","102,792,304,000.00","128,440,798,000.00","24,256,439,000.00","47,645,892,000.00","83,174,622,000.00","116,608,610,000.00","26,827,834,000.00","42,868,475,000.00","68,129,421,000.00","101,686,007,000.00","22,733,910,000.00","46,713,830,000.00","77,204,935,000.00","90,651,306,000.00","17,135,718,000.00","49,600,456,000.00","81,322,356,000.00","98,801,986,000.00","23,457,322,000.00","50,440,292,000.00","86,978,633,000.00","109,187,541,000.00","19,319,372,000.00","44,815,190,000.00","81,237,293,000.00","110,883,595,000.00","27,080,422,000.00","50,001,655,000.00","71,300,528,000.00","105,034,414,000.00","32,594,060,000.00","57,083,167,000.00","86,217,196,000.00","95,090,004,000.00","36,857,054,000.00","72,690,530,000.00","106,322,485,000.00","123,148,642,000.00","37,722,776,000.00"
经营活动现金流出小计,"156,522,941,500.00","73,707,983,490.00","113,660,816,000.00","166,194,770,000.00","42,283,020,000.00","97,615,175,000.00","144,864,866,000.00","218,263,157,000.00","53,431,329,000.00","113,011,676,000.00","164,027,232,000.00","232,909,939,000.00","51,933,098,000.00","104,927,016,000.00","155,600,462,000.00","207,674,319,000.00","48,184,571,000.00","93,732,849,000.00","135,931,175,000.00","181,318,273,000.00","44,557,445,000.00","100,969,895,000.00","149,271,831,000.00","211,418,001,000.00","45,845,452,000.00","107,289,779,000.00","132,244,238,000.00","210,631,549,000.00","50,511,280,000.00","101,658,213,000.00","145,294,155,000.00","202,192,213,000.00","60,118,585,000.00","122,334,698,000.00","166,350,654,000.00","228,173,114,000.00","68,923,341,000.00","137,589,119,000.00","190,026,257,000.00","286,955,911,000.00","79,216,150,000.00"
偿还债务支付的现金,"36,559,016,100.00","30,117,442,940.00","42,665,732,000.00","76,149,495,000.00","13,058,781,000.00","27,178,560,000.00","56,692,110,000.00","79,748,996,000.00","7,603,834,000.00","25,345,835,000.00","47,032,583,000.00","69,535,951,000.00","18,881,859,000.00","39,863,175,000.00","67,454,966,000.00","90,968,810,000.00","17,257,641,000.00","52,547,462,000.00","80,973,489,000.00","110,705,008,000.00","22,798,261,000.00","47,280,594,000.00","79,348,951,000.00","113,546,803,000.00","15,308,909,000.00","39,866,071,000.00","74,840,757,000.00","112,334,593,000.00","18,221,744,000.00","39,928,279,000.00","64,374,047,000.00","101,586,763,000.00","16,416,394,000.00","39,135,209,000.00","69,168,402,000.00","88,931,933,000.00","24,805,624,000.00","51,691,916,000.00","86,728,568,000.00","110,431,072,000.00","26,364,315,000.00"
经营活动产生的现金流量净额,"6,491,649,440.00","-2,237,180,720.00","355,266,000.00","-6,814,626,000.00","-4,644,525,000.00","-10,713,149,000.00","-19,123,955,000.00","-25,120,555,000.00","-12,742,193,000.00","-13,500,366,000.00","-12,039,886,000.00","-12,631,374,000.00","-9,244,178,000.00","-9,171,194,000.00","-10,628,911,000.00","4,386,582,000.00","-6,560,368,000.00","-4,107,785,000.00","-1,805,325,000.00","20,022,146,000.00","-8,632,561,000.00","-5,732,536,000.00","-5,952,153,000.00","14,969,027,000.00","-5,278,064,000.00","-4,053,589,000.00","-2,577,235,000.00","15,357,382,000.00","-7,611,531,000.00","-2,849,369,000.00","-2,944,332,000.00","18,558,549,000.00","-16,853,505,000.00","-14,199,872,000.00","-14,077,850,000.00","18,417,847,000.00","-12,871,484,000.00","-8,106,592,000.00","-7,305,722,000.00","14,049,970,000.00","-13,935,490,000.00"
分配股利、利润或偿还利息支付的现金,"3,354,274,160.00","1,954,001,660.00","5,367,881,000.00","9,652,898,000.00","1,047,493,000.00","2,266,891,000.00","3,362,872,000.00","4,753,670,000.00","1,060,016,000.00","2,254,858,000.00","5,382,127,000.00","7,823,592,000.00","2,216,669,000.00","3,980,275,000.00","7,316,261,000.00","9,772,837,000.00","1,835,614,000.00","3,871,534,000.00","6,168,664,000.00","9,090,962,000.00","1,639,528,000.00","3,232,584,000.00","5,436,158,000.00","9,330,061,000.00","868,956,000.00","2,799,942,000.00","4,996,884,000.00","7,995,575,000.00","1,686,042,000.00","4,027,830,000.00","5,645,187,000.00","7,489,310,000.00","1,472,617,000.00","2,911,939,000.00","5,767,241,000.00","6,957,762,000.00","1,279,887,000.00","3,570,832,000.00","5,994,072,000.00","9,174,007,000.00","1,590,621,000.00"
