科目,2009-12-31,2010-12-31,2011-12-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31
货币资金,"2,868,702,749.29","2,863,396,255.97","2,860,065,810.02","1,508,163,163.54","3,918,160,566.64","2,710,070,379.19","2,842,721,335.05","2,873,028,903.21","2,425,372,535.06","1,882,647,897.27","2,500,160,024.48","3,824,792,975.64","3,682,230,836.18","9,325,581,044.71","8,979,558,349.49","8,171,068,821.65","8,506,511,355.86","10,414,479,302.30","13,402,225,848.48","13,855,661,894.49","13,798,675,033.45","9,970,224,098.00","10,302,756,068.94","12,542,876,600.00","25,443,425,700.00","26,508,760,356.69"
短期借款,"231,241,941.28","761,650,000.00","334,675,124.00","395,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","411,200,000.00","226,832,745.29","224,344,311.98","245,097,035.38","377,250,272.66",,"305,950,000.00","1,600,361,200.00","4,031,983,600.00","3,312,253,490.28","2,906,199,075.88","2,906,229,000.00","2,362,588,186.50","4,076,737,449.68","4,372,433,477.73","3,770,028,017.48","4,802,355,000.00","3,493,214,000.00","1,478,132,364.60"
交易性金融资产,"112,776,841.86","64,099,083.56","61,629,534.63","60,855,135.21","10,530,954.90","10,891,273.49","10,664,362.98","9,383,026.93","10,066,634.66",,,,,,,"2,031,637,274.12",,"4,838,045.50","9,078,200.00",,,"55,599,027.64","53,330,931.58","38,069,000.00","36,091,400.00",
交易性金融负债,,,"2,000,000,000.00",,,,,"352,728,000.00","352,728,000.00","357,251,970.00","357,669,160.00","470,716,454.00","476,017,394.00","998,690,650.00","1,103,677,550.00","1,422,624,900.00","904,156,531.35","1,505,910,504.53","971,028,993.72","1,636,359,007.95","2,708,907,746.58","2,821,441,764.40","3,793,550,806.76","4,395,672,700.00","3,238,847,000.00","3,592,187,464.60"
应收票据,"413,665,308.31","851,478,708.24","984,534,030.86","1,163,821,434.21","1,056,848,112.74","1,220,159,395.98","1,033,746,243.46","1,064,164,828.73","1,323,209,332.42","1,591,402,447.61","1,424,048,334.63","1,620,166,106.80","1,834,797,800.33","1,158,139,987.39","1,099,588,420.34","583,766,492.72","509,523,625.32","602,079,822.07","805,994,571.57","1,386,442,286.84","1,134,761,109.46","950,861,625.20","1,009,483,011.73","1,372,163,800.00","1,541,108,300.00","1,750,691,877.20"
应付票据,"73,795,000.00","100,000,000.00","73,817,000.00","24,920,000.00","58,172,060.87","75,891,401.38","456,054,340.51","14,327,761.16","55,397,361.16","27,910,000.00","30,000,000.00","39,150,400.00","91,140,400.00","156,900,000.00","63,390,000.00","545,520,000.00","717,015,000.00","782,730,000.00","682,900,000.00","830,000,000.00","640,000,000.00","660,000,000.00","517,500,000.00","317,500,000.00","10,000,000.00","23,955,000.00"
应收账款,"313,831,137.96","583,758,816.18","778,145,711.39","622,893,280.14","767,845,728.28","640,733,755.79","797,334,746.90","698,863,266.50","750,320,624.49","805,679,742.94","825,660,931.21","994,356,879.45","989,589,982.75","851,358,849.42","1,110,769,301.69","1,026,153,212.85","881,066,617.72","744,253,181.48","839,506,336.98","499,420,106.87","697,666,583.87","1,461,807,199.82","1,905,673,640.03","1,947,489,100.00","2,552,297,700.00","2,144,630,758.99"
应付账款,"165,169,420.86","414,760,632.41","445,063,550.97","284,018,816.50","260,991,895.99","267,690,496.16","255,012,540.12","187,762,618.57","194,132,553.41","197,385,526.41","219,229,587.75","194,940,686.14","191,508,075.08","192,793,812.46","170,671,476.97","272,866,585.57","192,783,238.78","237,376,385.26","201,205,211.27","167,357,852.93","182,882,613.88","741,508,273.30","858,008,405.35","890,502,600.00","891,108,000.00","976,480,556.74"
预付款项,"13,912,563.80","119,730,847.60","291,043,384.76","255,800,248.57","375,013,468.13","227,396,412.53","286,828,286.20","236,775,776.35","217,628,672.61","297,345,943.53","325,381,397.38","271,148,084.13","234,293,510.94","272,450,320.91","308,040,628.98","196,381,276.79","186,914,503.14","227,105,140.15","276,455,013.87","485,959,801.21","475,142,392.89","295,572,093.16","481,306,823.60","311,060,400.00","459,800,100.00","110,584,046.50"
预收款项,"113,667,133.04","50,078,263.19","96,938,639.19","106,817,911.77","40,735,019.74","49,024,118.34","82,419,597.11","83,526,095.08","57,716,708.64","61,827,310.76","73,199,907.30","55,171,741.54","40,636,610.55","76,780,913.29","22,869,115.77","41,401,224.66","63,372,816.26","37,781,869.32","43,027,829.16","59,866,150.22","32,833,453.15","51,867,495.95","266,320,776.93","230,879,000.00","219,864,600.00","127,796,251.75"
其他应收款,"58,404,583.28","144,035,926.51","126,272,930.32","97,016,077.38","105,478,836.68","70,336,012.59","77,383,615.17","78,842,073.13","71,995,319.52","72,517,407.57","82,280,518.65","312,045,483.78","73,061,506.66","48,949,578.33","89,174,592.42","39,129,641.52","106,120,156.44","120,062,905.23","83,871,039.18","84,519,064.80","98,851,298.52","1,147,039,318.23","1,176,546,045.47","848,788,100.00","1,422,290,200.00","789,924,287.57"
应付职工薪酬,"73,774,545.19","75,036,202.14","83,061,884.75","88,126,860.19","99,369,827.45","120,121,388.57","91,666,744.49","96,948,017.31","115,571,371.44","146,914,601.55","118,172,532.18","103,426,537.08","110,083,438.94","137,777,636.28","93,795,376.64","101,674,494.62","104,566,796.23","113,520,910.57","96,593,483.13","106,498,836.25","111,663,286.50","354,822,152.84","305,370,757.49","371,859,200.00","414,131,900.00","445,405,839.21"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"3,743,105.29","-33,564,300.62","-108,375,469.52","-189,516,717.56","-157,305,187.02","-168,792,483.06","-121,725,625.55","-94,387,369.99","-169,645,361.90","-63,559,475.84","14,365,289.07","143,539,854.70","190,653,533.50","207,789,199.47","161,272,423.78","-44,407,237.73","-72,350,594.26","-123,612,410.35","-35,535,640.03","-93,155,711.12","-31,187,186.62","57,861,242.29","116,522,023.97","835,921,900.00","1,309,980,000.00","1,137,796,210.24"
应收利息,"13,955,123.58","11,224,930.03","10,184,296.16","3,045,090.41","1,344,888.89","11,504,773.64","14,186,005.51","18,915,911.25","19,750,108.37","452,860.33","2,511,272.04","12,748,342.48","39,935,068.51","55,295,452.15","137,732,880.12","126,485,912.06","178,968,593.08","86,297,819.57","93,229,335.04","91,498,212.13","93,352,070.50","40,492,844.02","43,864,906.26","22,278,600.00","167,799,700.00","656,703,058.71"
应付利息,,,,,,"41,166,666.66","65,866,666.65","90,566,666.64","17,324,948.30","55,733,935.24","73,181,275.80","97,990,167.03","20,006,064.87","47,062,873.80","74,045,947.76","105,665,674.84","19,673,098.49","53,942,855.95","88,217,965.88","150,876,310.53","92,531,837.52","183,684,249.15","131,979,183.24","185,586,500.00","238,437,200.00","219,805,549.94"
应收股利,,,,,,,"141,000,000.00",,,,,"61,226,476.23","61,226,476.23","61,226,476.23","133,726,476.23","61,226,476.23","61,226,476.23",,,"44,100,000.00",,,,,,
应付股利,"62,217,623.04","103,643,783.73","40,845,798.67","30,845,798.67","30,845,798.67","150,547,472.71","30,845,798.67","214,424,435.06","57,085,715.06","57,085,715.06","54,125,715.06","27,885,796.67","27,885,796.67","27,885,796.67","27,885,796.67","1,041,117,718.61","27,885,796.67","27,885,796.67","27,885,796.67","450,065,764.15","27,885,796.67","27,885,796.67","27,885,796.67","27,885,800.00","27,885,800.00","27,885,796.67"
存货,"921,694,407.23","1,471,856,835.50","1,646,117,907.47","1,581,673,052.37","1,436,960,550.93","1,310,298,697.22","1,149,425,248.31","961,460,470.38","849,655,559.72","820,996,265.56","878,436,573.18","489,000,169.27","441,284,069.24","432,754,646.84","489,054,918.88","648,865,124.07","624,223,416.89","592,503,598.48","497,184,725.44","466,280,517.59","422,729,796.27","5,082,767,464.99","5,089,578,279.65","5,178,154,800.00","5,394,600,300.00","5,705,499,726.29"
其他应付款,"380,914,838.50","393,162,300.54","275,843,596.02","252,545,338.50","238,739,572.66","481,230,559.29","379,931,522.53","320,421,353.36","278,574,203.07","568,214,130.26","355,756,038.93","435,768,588.02","272,954,867.43","253,313,764.07","247,347,770.71","224,206,307.24","199,913,901.23","208,404,265.84","228,786,284.41","247,610,640.40","231,477,870.51","1,416,775,815.12","1,104,836,337.85","519,392,600.00","970,923,000.00","604,773,720.50"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,,,,"734,884,400.00",,
一年内到期的非流动负债,,"25,000,000.00","29,600,000.00","266,050,927.26","265,546,613.46","262,320,927.26","293,933,195.96","242,385,475.70","242,404,839.70","390,708,567.70","342,916,567.70","342,944,567.70","538,880,653.38","578,277,474.64","570,938,206.12","3,801,020,538.78","687,780,536.70","2,494,899,714.54","2,528,307,980.48","2,389,008,656.32","2,448,038,860.04","2,584,497,370.05","2,706,000,048.03","2,873,264,900.00","2,241,572,000.00","4,797,816,307.62"
其他流动资产,"2,284,536,237.03","96,484,638.67","92,700,516.79","41,320,741.48","28,961,348.67","1,412,014,904.49","1,840,423,965.91","2,408,329,678.59","2,585,731,915.21","1,701,577,473.05","1,408,399,295.14","1,032,777,917.23","1,356,966,979.11","2,559,100,452.85","3,611,975,145.07","3,891,191,743.12","3,820,313,993.32","2,940,139,813.99","1,730,386,995.64","1,554,472,475.66","503,974,131.76","798,592,555.76","648,417,463.58","412,601,100.00","1,775,025,200.00","1,382,004,121.85"
其他流动负债,"34,017,480.87","41,989,319.88","95,329,589.56","27,655,760.67","25,039,897.93","16,433,778.49","20,633,437.40","21,392,882.74","13,869,210.26","20,202,200.99","31,086,231.76","30,751,167.57","20,732,919.43","16,651,701.67","23,014,857.29","84,921,694.50","39,289,078.13","523,896,357.63","1,033,884,072.90","1,039,055,740.31","1,058,541,200.98","2,708,897,188.46","2,301,962,396.65","2,112,409,400.00","197,484,000.00","71,073,182.26"
流动资产合计,"7,001,478,952.34","6,206,066,042.26","6,850,694,122.40","5,334,588,223.31","7,701,144,455.86","7,613,405,604.92","8,193,713,809.49","8,349,763,935.07","8,253,730,702.06","7,172,620,037.86","7,446,878,346.71","8,618,262,435.01","8,713,386,229.95","14,764,856,808.83","15,959,620,713.22","16,775,905,975.13","14,874,868,738.00","15,731,759,628.77","17,737,932,066.20","18,468,354,359.59","17,225,152,416.72","19,802,956,226.82","20,710,957,170.84","23,408,365,900.00","38,792,438,600.00","39,048,798,233.80"
流动负债合计,"1,138,541,088.07","1,931,756,201.27","3,366,799,713.64","1,286,464,696.00","872,135,499.75","1,305,634,325.80","1,564,638,217.89","1,941,295,935.63","1,441,992,294.43","2,044,018,794.11","1,914,799,340.93","2,319,536,233.11","1,980,499,753.85","2,999,873,822.35","4,159,269,721.71","11,628,595,501.09","6,196,339,689.86","8,768,935,325.84","8,772,530,977.59","9,346,131,434.44","11,580,312,928.89","15,981,674,825.96","15,899,964,550.42","17,563,229,600.00","13,253,447,500.00","13,503,108,244.13"
可供出售金融资产,,,,,,,,,,,,,,"4,928.00","400,004,928.00","2,355,532,217.87","1,873,388,407.64","2,373,165,292.11","2,482,629,300.86","2,724,132,922.23","2,907,087,428.97","3,000,602,505.46","2,967,567,777.82","2,889,559,800.00","2,975,017,900.00","3,246,899,715.97"
长期借款,"50,000,000.00","10,000,000.00",,,,,,,,"4,664,128,500.00","4,706,356,500.00","4,706,892,000.00","4,337,512,500.00","4,160,920,000.00","4,053,840,803.92","3,870,678,612.77","3,907,507,123.44","1,941,586,400.00","1,802,674,800.00","2,823,580,000.00","12,525,477,676.00","23,376,879,939.49","23,027,766,034.75","22,464,844,000.00","25,209,251,400.00","22,033,888,519.27"
持有至到期投资,"81,207,069.44","83,072,069.44",,,,,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,"2,000,000,000.00","2,000,000,000.00","2,000,000,000.00","2,000,000,000.00","2,000,000,000.00","2,000,000,000.00","2,000,000,000.00","2,000,000,000.00","2,000,000,000.00","5,438,722,886.26","5,504,914,641.30","2,000,000,000.00","2,000,000,000.00","2,000,000,000.00","4,000,000,000.00","4,000,000,000.00","2,000,000,000.00","2,000,000,000.00","2,000,000,000.00","2,000,000,000.00","2,000,000,000.00","2,000,000,000.00"
长期应收款,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,"31,095,456.00",,,,,,,,,,,,,,,
长期股权投资,"55,070,442.76","1,614,498,354.05","1,683,741,984.15","1,630,414,611.46","1,653,348,884.66","1,678,402,125.96","1,568,560,384.25","1,612,043,643.58","1,548,561,888.75","1,598,462,198.92","1,643,630,437.65","1,530,758,787.71","1,480,559,790.12","1,484,565,921.78","1,427,546,506.49","1,436,711,024.44","1,400,623,015.26","1,260,507,394.45","1,265,259,013.69","1,220,892,785.67","1,225,878,392.82","1,191,499,274.81","1,193,560,046.06","1,170,911,200.00","1,139,416,300.00","1,136,372,852.24"
专项应付款,,,,,,,,,,,,,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,,,,,,,,,,,,,,
预计负债,"42,126,228.56","42,615,041.37","44,745,793.45","45,864,438.29","46,152,300.21","46,983,083.13","47,570,371.67","47,570,371.67","47,570,371.67","261,261,918.67","264,590,091.77","316,918,238.55","314,167,856.09","280,949,808.78","271,295,799.26","241,603,910.69","232,362,032.15","290,908,169.51","302,170,043.35","313,581,505.28","317,719,724.52","1,757,793,672.39","1,752,588,016.42","1,805,099,600.00","1,997,900,800.00","2,049,904,344.03"
固定资产,"3,432,566,521.28","4,027,702,174.98","3,666,325,877.90","3,666,330,455.20","3,630,191,397.22","3,623,670,473.44","3,546,238,921.49","3,538,206,892.18","3,475,523,855.97","5,876,304,885.87","5,826,675,080.95","5,264,391,858.45","5,178,564,670.89","4,983,502,274.40","4,775,509,610.23","4,502,822,520.48","4,313,460,782.37","4,495,248,544.61","4,418,070,815.65","4,291,785,180.03","4,225,711,351.87","27,272,921,262.94","26,777,717,880.52","26,101,008,700.00","24,922,023,400.00","24,234,932,199.51"
递延所得税负债,,,,,,,,,,,,,,,,,,,,,,"10,055,127,906.20","9,910,082,721.83","9,571,731,000.00","9,291,755,800.00","8,603,594,339.00"
在建工程,"561,574,847.80","157,623,417.76","345,851,224.66","371,034,356.92","385,248,282.58","398,038,691.38","486,928,956.55","462,886,207.50","515,919,394.97","493,586,919.64","563,335,157.13","543,329,302.06","435,638,377.81","372,524,643.53","373,035,171.98","298,755,199.13","486,354,653.45","478,679,498.42","591,229,214.01","670,645,733.10","781,437,285.50","695,359,036.41","707,420,272.49","837,951,400.00","850,492,000.00","950,111,239.78"
