科目,2007-06-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
现金及存放同业款项,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
短期借款,,,,,,,,,,,,,,,,,,,,,,,,,,,,"208,319,946.57",,,,,,,,,,,,,,,,,,,
货币资金,"3,065,116,159.36","2,728,387,476.84","2,736,475,867.75","1,645,624,628.07","1,967,421,114.00","1,658,680,137.44","3,144,914,809.92","3,213,714,683.98","3,953,429,894.41","3,440,425,068.63","3,267,961,378.53","3,391,719,240.76","3,872,402,249.56","3,717,498,259.53","3,549,538,776.29","3,298,817,590.49","2,867,004,470.60","3,360,771,542.64","2,916,613,305.55","3,193,440,900.71","2,013,714,730.63","2,422,262,595.28","2,419,337,943.87","2,335,234,701.97","2,491,189,146.97","1,954,464,703.07","1,809,981,134.03","3,568,330,893.29","2,784,004,250.15","3,824,380,330.30","6,079,988,555.96","14,641,581,651.07","6,620,841,544.32","5,922,903,119.16","8,306,552,692.60","6,785,151,056.32","7,728,419,992.38","6,561,678,339.59","11,164,561,032.27","4,234,806,533.93","3,983,087,964.37","4,887,620,222.73","4,492,736,835.40","3,686,598,506.70","3,405,823,225.73","4,382,825,734.03","5,799,456,117.20"
其中：质押借款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其中：客户资金存款,"2,015,115,337.95","1,732,804,894.37","1,944,314,539.51","1,195,525,226.81","1,459,432,444.92","1,060,681,582.01","2,219,245,408.13","2,195,885,031.45","2,864,379,184.10","2,651,925,635.35","2,256,478,330.38","2,255,454,833.86","2,282,059,961.31","2,055,171,291.16","2,524,070,810.35","2,008,708,834.67","1,684,318,856.29","1,518,666,371.52","1,743,098,559.92","1,714,232,283.42","1,366,333,679.44","1,478,933,833.23","1,473,012,182.01","1,324,322,500.37","1,256,263,001.47","1,335,909,405.41","1,251,247,942.17","1,463,089,972.21","2,298,898,119.07","2,707,093,246.37","5,098,886,890.02","8,044,608,742.53","4,932,024,431.36","4,693,065,074.92","4,572,757,992.85","4,464,508,525.62","3,327,630,585.73","3,436,985,484.77","3,222,965,987.30",,,,"3,866,519,966.70",,,,"4,862,218,245.91"
拆入资金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"200,000,000.00","510,000,000.00","200,000,000.00","600,000,000.00","200,000,000.00"
存放中央银行款项,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,942,131,150.96","1,687,993,242.86","1,113,470,014.66","1,005,907,204.47","970,724,087.74","841,580,186.69","915,324,495.69","534,454,983.70","41,210,105.64","10,902,481.94","85,324,613.65",
结算备付金,"862,430,399.11","1,324,680,637.46","516,210,583.62","618,331,804.60","389,815,178.28","909,136,690.28","750,851,822.23","707,903,553.22","887,006,444.47","1,195,187,809.89","1,097,207,873.79","670,795,434.34","614,864,839.35","1,034,653,315.56","376,670,154.56","285,506,692.23","238,278,653.64","255,735,015.17","330,809,791.85","323,820,281.57","413,359,964.69","282,464,514.12","521,611,052.35","416,566,206.57","368,357,073.45","287,593,109.16","402,775,563.07","552,493,915.20","457,104,649.03","1,474,848,343.04","947,555,916.96","1,775,141,966.50","1,391,485,919.20","1,583,280,234.52","1,844,704,704.80","1,762,666,128.70","1,652,908,231.46","1,702,930,780.52","1,271,154,670.06","1,309,778,184.56","1,266,441,012.79","1,665,012,511.66","1,659,696,391.39","1,493,819,036.03","930,494,433.04","1,125,986,292.01","1,802,502,275.95"
衍生金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,067,903.63","17,047,311.36","482,880,963.83","850,096,604.42","680,708,078.34","587,158,126.13","105,519,731.58","91,924,991.52","102,578,539.14","102,563,318.83","117,914,758.29","135,628,917.16","154,948,996.98","20,356,687.34","18,006,168.90","18,035,882.05","24,216,217.25"
其中：客户备付金,"494,208,531.59",,"394,468,357.88","464,393,619.79","284,649,401.97","623,602,298.95","477,462,513.83","477,575,712.64","673,180,772.73","933,097,860.73","931,050,449.01","533,756,394.85",,"940,828,535.41","232,592,421.23",,,,,,,,,,,,,,,,,,,,,"902,707,376.06","1,171,545,269.71","914,078,318.19","846,813,109.88","844,769,519.84","937,423,465.28","948,207,157.11","1,275,812,997.09","1,151,446,121.87","775,437,586.17","656,796,347.13","1,368,327,181.05"
