科目,2009-12-31,2010-12-31,2011-12-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"254,154,664.24","285,270,709.59","445,836,278.40","365,012,799.68","362,323,202.86","236,665,451.81","181,760,468.28","119,185,531.29","100,858,997.51","165,552,304.87","148,030,941.99","333,679,701.67","87,006,267.62","280,073,091.07","266,221,315.75","276,683,588.38","166,825,831.85","459,148,505.91","522,266,947.96","656,752,052.69","3,831,892,696.65","3,046,126,181.85","2,918,057,343.87","3,141,138,410.98","2,862,524,923.87"
短期借款,"219,100,000.00","249,300,000.00","417,538,352.69","455,400,000.00","623,800,000.00","507,300,000.00","567,900,000.00","400,351,400.00","337,951,400.00","310,000,000.00","220,000,000.00","268,800,000.00","170,000,000.00","170,000,000.00","162,950,000.00","231,810,660.00","647,747,773.96","1,174,468,631.65","439,739,735.36","978,527,829.24","950,985,151.70","743,502,964.00","790,363,394.31","1,251,230,376.23","1,162,651,980.88"
交易性金融资产,,,,,,,,,"4,927,683.48",,,,,,"653,120.00","5,207,123.24","79,128.21","2,026,925.29","4,312,679.78","1,821,867.76","2,099,822.49","4,766,628.50","1,946,556.57",,"208,206,095.40"
交易性金融负债,,,,,,,"102,733.11","86,069.29",,,"27,531.10","1,842,994.57","1,175,630.89",,"2,023,082.59",,"199,064.76","1,542,776.44",,"12,259,829.17","909,176.53","1,723,677.75","130,657.00","7,710,874.86","9,076,920.24"
应收票据,"80,000.00","450,000.00","13,216,490.55","22,732,780.43","33,146,430.97","43,357,231.08","37,492,406.67","250,265,492.07","178,926,500.27","65,566,752.52","16,955,717.00","157,583,742.22","671,350,492.72","722,666,888.42","789,745,210.80","611,614,228.04","203,144,356.77","132,835,612.06","13,806,707.81","9,906,707.81","29,953,791.06","6,070,900.00","1,200,000.00","3,430,000.00","7,870,058.90"
应付票据,"122,500,000.00","174,450,000.00","60,000,000.00","80,943,752.41","50,305,898.41","40,000,000.00","113,430,000.00","63,430,000.00",,,,,"29,766,205.60","29,766,205.60","39,000,000.00","219,000,000.00","250,000,000.00","200,000,000.00","189,990,000.00","199,990,000.00","121,300,000.00","101,300,000.00","101,300,000.00","196,300,000.00","125,000,000.00"
应收账款,"67,208,133.47","176,891,442.14","155,858,779.18","258,995,615.52","410,091,186.42","364,431,370.04","614,209,626.72","437,053,251.84","308,641,118.08","314,661,647.47","361,737,366.46","313,612,761.54","401,729,582.76","216,480,157.72","225,200,638.07","310,917,291.44","767,625,676.94","1,221,743,214.37","391,922,282.04","1,119,367,548.93","1,210,355,616.35","681,487,825.04","639,887,956.26","1,102,745,931.45","935,089,320.55"
应付账款,"3,760,511.88","16,875,674.40","7,508,657.26","73,821,048.46","72,585,204.45","159,887,455.17","196,308,420.61","143,545,203.87","146,411,807.93","48,353,464.98","137,910,538.26","311,262,802.17","735,789,491.95","682,537,398.81","834,160,677.86","808,313,912.00","430,256,243.52","416,287,344.44","106,144,841.36","501,558,651.76","595,977,509.04","135,950,013.49","155,864,324.88","24,493,453.82","159,067,582.51"
预付款项,"107,475,554.71","148,717,190.38","48,914,509.84","175,236,423.25","266,708,735.47","513,643,192.51","262,423,400.33","93,906,549.44","211,020,386.88","98,590,415.51","183,593,723.19","161,543,024.84","171,337,425.85","86,877,745.16","130,916,387.13","319,961,438.72","266,818,681.57","43,808,618.14","264,654,735.55","356,545,931.61","222,974,754.43","154,924,986.82","372,472,566.55","198,584,991.71","450,647,751.84"
预收款项,"34,233,948.77","12,737,093.00","14,056,220.75","16,699,184.65","16,614,385.60","51,611,847.35","22,782,388.69","9,850,420.63","65,945,136.57","45,090,524.11","13,483,920.71","22,305,302.87","67,066,494.03","4,394,982.56","45,371,429.47","224,933,253.78","220,306,704.17","29,551,910.44","322,678,117.63","130,964,685.25","90,479,096.85","19,807,951.00","172,773,162.35","35,519,932.21","383,119,884.36"
其他应收款,"3,034,866.25","2,290,756.86","3,491,009.24","4,120,266.20","6,500,619.61","6,141,800.32","13,543,666.57","13,316,857.24","14,351,910.17","18,517,512.93","23,453,078.19","26,496,714.94","20,577,209.64","9,044,937.10","48,815,497.19","18,538,002.41","20,509,141.98","34,684,096.00","31,846,500.90","47,181,425.81","36,310,189.41","55,309,370.60","59,166,060.54","65,903,008.12","85,468,536.61"
应付职工薪酬,"3,614,190.43","1,542,540.90","1,500,000.00","390,092.12","28,883.00",,"1,092,406.86","1,147,396.37","18,236.49","2,546.88","1,169,380.45","1,207,668.20","38,521.14","1,413.02","1,051,666.25","423,915.95","211,128.06","597,184.27","534,718.69","399,920.39","284,964.73","1,680,210.35","1,085,223.12","1,176,471.21","291,870.30"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"-915,138.40","25,358,064.35","8,028,891.76","4,157,947.52","8,335,786.06","17,447,642.17","-24,018,352.20","-3,252,630.59","-3,974,298.37","266,976.20","-4,876,421.10","2,913,058.22","4,168,017.24","2,451,850.41","2,144,719.21","3,320,093.97","2,047,535.01","12,838,550.89","2,818,188.68","2,105,631.09","3,694,809.27","7,728,492.12","5,462,513.94","3,744,875.09","8,295,356.15"
应收利息,,,,,,,,,,,,,,,,,,,,,,,,,
应付利息,,,,,,,,,,,,,,,,,,,,,,,,,
应收股利,,,,,,,,,,,,,,,,,,,,,,,,,
应付股利,,,,,,,,"10,100,000.00",,,,,,,,"2,222,000.00",,,,,,,,"5,293,375.16",
存货,"164,716,287.48","110,236,633.21","176,874,524.94","182,638,636.81","387,399,940.66","307,060,590.18","449,409,904.18","364,592,691.09","358,342,813.38","301,008,601.61","260,673,170.96","239,318,335.09","296,124,114.24","180,477,994.81","244,193,890.47","235,794,488.87","307,228,542.48","33,992,476.36","318,263,368.72","113,690,130.22","122,147,103.80","130,246,556.38","355,138,171.62","353,420,465.83","550,154,911.80"
其他应付款,"7,590,650.10","8,016,159.25","8,822,622.61","7,616,602.01","9,293,168.44","8,865,816.68","6,891,006.71","10,866,482.82","6,457,086.50","4,253,029.21","13,331,541.14","13,185,939.67","26,469,140.10","8,385,850.09","7,897,772.69","37,186,357.46","308,417,525.38","286,872,623.79","285,282,115.42","282,594,386.15","18,518,064.08","111,197,027.93","114,168,124.68","307,365,931.03","283,642,138.56"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,"10,000,000.00",,"13,000,000.00","13,000,000.00","13,000,000.00","25,000,000.00","25,000,000.00","25,000,000.00","25,000,000.00","25,000,000.00","25,000,000.00","25,000,000.00","25,000,000.00",,,,,,,,,,,,
其他流动资产,"321,531.90",,"62,298.41","340,682.41","1,231,521.66","294,225.18","75,266.05","577,842.37","155,331.96","50,076,420.32","13,312,627.34","20,936,908.06","22,766,401.29","18,818,629.48","13,422,955.30","314,591,743.98","413,522,265.74","425,255,919.64","34,847,930.40","45,296,438.59","7,966,296.05","63,165,840.13","34,545,658.45","44,218,727.26","119,829,937.15"
