科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"409,780,600.00","505,628,036.01","335,500,584.50","103,273,085.35","150,903,076.15","179,196,637.95","280,573,777.19","76,681,884.07","114,925,053.02","143,697,615.04","209,107,857.32","50,712,658.28","70,902,253.28","133,930,112.76","217,045,050.17","86,311,397.22","188,742,016.39"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,"29,132,048.85","35,702,480.97",,
收到的税费返还,,,,,,"47,233.28",,,"65,071.86","65,071.86",,,"2,905.22","2,905.22",,"270,979.22",
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"5,821,950.79","7,376,772.09","5,227,019.96","1,922,189.65","6,832,056.89","8,283,239.76","10,136,194.96","2,520,081.98","5,019,696.43","11,655,823.76","15,299,351.03","2,133,339.00","9,580,319.24","51,629,302.44","13,811,134.59","4,648,808.44","9,997,006.27"
投资活动现金流出小计,"4,604,425.03","2,811,251.50","21,871,429.31","45,584.00","1,351,778.00","1,458,888.50","2,287,946.95","14,400.00","2,173,860.00","2,406,740.00","4,103,710.00","2,358,437.00","35,118,234.40","32,444,005.27","98,568,801.01","4,033,999.00","56,625,482.31"
经营活动现金流入小计,"415,602,550.79","513,004,808.10","340,727,604.46","105,195,275.00","157,735,133.04","187,527,110.99","290,709,972.15","79,201,966.05","120,009,821.31","155,418,510.66","224,407,208.35","52,845,997.28","80,485,477.74","185,562,320.42","230,856,184.76","91,231,184.88","198,739,022.66"
投资活动产生的现金流量净额,"-4,587,975.03","-2,795,151.50","-1,551,814.24","-31,648.70","-814,818.00","-855,748.50","-1,761,244.25","-13,730.00","-2,172,590.00","-2,400,460.00","-4,081,030.00","-2,338,437.00","-35,090,979.40","-32,137,318.27","-39,246,722.60","-4,020,814.00","-8,572,385.85"
购买商品、接受劳务支付的现金,"208,275,390.64","419,804,933.78","277,830,057.22","93,429,292.63","124,684,598.48","151,411,032.30","181,943,959.42","41,183,148.55","68,002,561.64","98,590,638.79","122,366,134.63","58,397,370.14","99,755,870.89","144,704,922.20","163,955,967.09","44,051,166.26","135,039,045.78"
吸收投资收到的现金,,,,,"169,796,600.00","169,796,600.00","163,469,766.10",,,,,,,"2,450,000.00","6,290,000.00",,
支付给职工以及为职工支付的现金,"39,438,732.16","46,783,013.14","53,308,392.44","23,281,189.76","30,278,690.69","39,047,673.34","53,353,892.74","16,082,938.18","23,953,624.26","33,265,839.14","44,813,642.48","15,541,035.07","24,972,642.96","41,156,366.77","59,478,785.20","22,917,296.45","47,373,265.81"
取得借款收到的现金,,,,,,,,,,,,,,,,,
支付的各项税费,"29,010,260.25","28,270,918.03","19,551,281.45","10,370,536.08","14,813,879.44","18,538,175.86","21,816,343.86","4,690,822.82","7,274,942.50","8,081,418.22","14,191,799.98","3,000,657.03","8,694,044.03","10,490,842.96","14,017,022.40","9,008,828.29","19,651,521.75"
收到其他与筹资活动有关的现金,,,,,,"146,249.62",,"3,545.44",,,,,,,,,
支付其他与经营活动有关的现金,"32,407,965.06","31,491,233.51","25,334,864.33","8,196,351.48","14,388,165.54","20,350,351.09","34,398,453.95","4,720,149.39","12,030,630.67","19,818,865.16","26,306,099.11","18,398,307.40","28,180,433.89","71,148,701.32","43,706,081.72","13,695,559.19","35,196,147.64"
