科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月
销售商品、提供劳务收到的现金,"52,471,759.83","110,999,285.36","171,238,786.33","211,137,005.12","97,458,290.76","238,151,864.70","407,402,158.88","378,162,203.01","8,605,974.12","8,701,094.83","12,731,094.83",,,,,,,,,"461,240.77",,,"98,600,710.43","156,049,820.13","62,963,500.73","96,179,130.29","134,541,614.69","189,159,286.10","24,509,832.28","56,401,463.45","103,212,029.71","23,644,659.24",,,,,
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,"5,000,000.00","5,000,000.00",,,,,,,,,,
收到的税费返还,,,"200,278.38","113,151.47","648,458.03","841,715.58","1,052,008.37","1,052,008.37",,,,"30,111.52",,,,,,,,,,,,,,,,,,,,,,,,,
支付其他与投资活动有关的现金,,"40,000.00","354,320.00",,,"1,515,053.48",,,,,,,,,,,,,,,,,,,,,,,,,,"8,890,379.68",,,,,
收到其他与经营活动有关的现金,"5,753,839.49","10,259,858.15","15,072,960.07","30,005,814.80","3,905,463.13","1,465,050.37","5,531,445.20","10,210,761.71","2,232,443.10","3,389,511.84","3,774,560.78","20,852,141.72","40,000.00","1,287,146.22","4,198,368.80","87,767,835.31","2,552,176.72","9,271,008.25","25,918,095.16","677,851,995.97","5,142,029.11","76,579,147.74","79,561,437.40","74,643,619.82","744,732,413.65","762,402,646.70","768,203,664.99","177,457,838.94","43,046,794.42","48,922,466.18","85,006,626.37","163,929,842.82","1,806,766.21","2,661,877.88","2,978,275.02","7,448,629.76","1,586,206.54"
投资活动现金流出小计,"952,752.36","1,358,206.36","2,246,605.42","4,742,075.18","437,840.00","4,893,714.89","3,797,260.14","4,271,331.98",,,,"144,050.00",,"1,001,700.00","31,612,368.00","1,313,320.00",,"20,014,832.05","20,021,969.65","20,016,120.00",,,"94,396.66","250,587.48",,"5,259,646.18","5,749,252.66","6,872,182.05","24,593.17","388,565.82","534,915.44","91,890,379.68",,,,"67,256.80",
经营活动现金流入小计,"58,225,599.32","121,259,143.51","186,512,024.78","241,255,971.39","102,012,211.92","240,458,630.65","413,985,612.45","389,424,973.09","10,838,417.22","12,090,606.67","16,505,655.61","20,882,253.24","40,000.00","1,287,146.22","4,198,368.80","87,767,835.31","2,552,176.72","9,271,008.25","25,918,095.16","678,313,236.74","5,142,029.11","76,579,147.74","178,162,147.83","230,693,439.95","807,695,914.38","858,581,776.99","902,745,279.68","366,617,125.04","67,556,626.70","105,323,929.63","188,218,656.08","187,574,502.06","1,806,766.21","2,661,877.88","2,978,275.02","7,448,629.76","1,586,206.54"
投资活动产生的现金流量净额,"-462,752.36","-868,206.36","38,243,694.58","259,756,705.01","-437,840.00","-4,766,833.89","-3,670,379.14","25,764,006.24",,,,"-144,050.00",,"-1,001,700.00","-31,612,368.00","-1,341,371.75",,"-20,014,832.05","-20,021,969.65","-20,016,120.00",,,"-94,396.66","-250,587.48",,"-5,144,646.18","-5,498,252.66","-2,303,532.05","65,406.83","-298,565.82","-439,915.44","-91,890,379.68",,,"-14,912.15","-67,256.80",
购买商品、接受劳务支付的现金,"46,535,233.65","98,394,621.82","144,052,751.04","182,058,000.15","48,282,868.74","236,510,272.29","353,250,293.17","357,057,667.46","4,999.87","16,078,749.38","16,078,749.38","1,763,773.66",,,,,,,,"461,820.51",,,"106,936,236.31","164,485,583.23","55,768,754.45","83,554,476.94","132,664,512.87","159,830,982.04","16,902,503.97","43,959,366.23","96,269,966.78","23,601,600.00",,,,,
吸收投资收到的现金,"4,200,000.00","4,200,000.00","4,500,000.00","4,500,000.00",,,"1,000,000.00","2,500,000.00",,,,,,,,,,,,,,,,,,,,,,,,"5,000,000.00",,,,,
