科目,2008年度,2009年度,2010年度,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"1,221,709,895.85","1,095,472,993.05","1,361,858,008.71","485,555,591.83","916,706,013.54","1,625,053,587.26","312,578,746.94","717,081,085.94","1,189,987,573.07","2,064,573,067.87","299,482,205.35","823,451,130.02","1,208,795,922.62","1,900,962,175.56","362,219,365.31","696,518,937.98","1,244,094,425.69","2,002,040,804.23","449,647,811.55","841,557,213.27","1,245,861,685.43","2,675,090,954.54","393,892,705.08","972,179,375.58","1,808,847,381.55","2,697,416,079.53","734,768,888.53","1,267,149,354.89","2,120,664,821.14","3,304,936,278.60"
取得子公司及其他营业单位支付的现金净额,,"1,160,000.00",,,,,,,,,,,,,,,,"76,532,073.50",,,"26,560,669.78","5,862,541.34","3,000,000.00","62,521,679.86","71,387,459.42","93,348,127.31",,"-101,967,815.28","-116,877,169.04","-111,602,421.11"
收到的税费返还,"2,995,242.09","1,982,250.93","1,862,870.02","3,478,887.17","5,394,289.45","5,791,697.99","2,863,341.74","4,768,906.74","5,890,483.17","7,797,321.56","1,257,228.93","2,272,539.04","4,052,699.10","7,110,301.87","2,300,517.33","5,126,557.16","4,895,873.10","5,969,282.73","1,206,498.05","2,144,332.90","3,940,506.25","5,259,786.87","2,446,363.00","3,629,138.85","5,924,874.07","9,723,679.50","6,271,098.67","11,138,503.37","23,536,412.48","31,848,002.53"
支付其他与投资活动有关的现金,"14,678,796.99","23,925,219.58",,,,,955.00,,,,,,,,,,,,,"63,400,000.00","75,400,000.00",,"47,516,780.00",,,,,,,
收到其他与经营活动有关的现金,"20,511,717.12","35,468,826.14","46,414,999.60","23,084,438.42","13,256,204.92","91,493,588.96","12,324,345.45","44,785,296.24","70,260,716.33","63,195,979.10","9,292,047.60","25,262,423.78","43,235,291.99","54,596,720.78","27,696,521.67","48,262,660.02","51,193,687.02","28,455,059.95","51,797,651.16","30,665,336.40","47,742,383.57","34,996,988.79","27,385,425.98","35,752,153.84","93,745,918.04","46,869,667.16","439,582,252.40","175,648,763.68","176,512,981.18","209,840,039.97"
投资活动现金流出小计,"142,354,493.74","109,239,265.80","55,531,421.72","43,223,522.41","68,245,148.04","126,624,979.61","24,289,701.73","46,943,990.30","64,507,024.34","289,371,309.55","31,806,738.29","167,945,421.54","443,124,812.45","795,561,718.79","411,356,125.97","825,436,365.59","1,455,729,519.78","1,916,083,165.13","984,158,702.31","2,142,504,060.73","4,082,847,367.13","5,174,261,855.02","742,992,367.08","2,782,536,781.25","5,210,458,479.87","6,685,920,445.45","1,924,848,939.71","3,439,757,003.80","3,878,452,031.58","8,028,367,701.01"
经营活动现金流入小计,"1,245,216,855.06","1,132,924,070.12","1,410,135,878.33","512,118,917.42","935,356,507.91","1,722,338,874.21","327,766,434.13","766,635,288.92","1,266,138,772.57","2,135,566,368.53","310,031,481.88","850,986,092.84","1,256,083,913.71","1,962,669,198.21","392,216,404.31","749,908,155.16","1,300,183,985.81","2,036,465,146.91","502,651,960.76","874,366,882.57","1,297,544,575.25","2,715,347,730.20","423,724,494.06","1,011,560,668.27","1,908,518,173.66","2,754,009,426.19","1,180,622,239.60","1,453,936,621.94","2,320,714,214.80","3,546,624,321.10"
投资活动产生的现金流量净额,"175,168,018.26","4,519,947.00","-52,113,292.20","-42,652,456.41","-67,633,600.34","-126,348,851.82","-22,390,968.22","-46,297,328.57","-63,734,462.61","-288,761,512.09","-21,668,137.82","15,108,541.02","-37,040,654.64","-45,513,408.14","-87,795,269.88","-309,270,641.13","-536,269,220.05","-380,502,468.07","-411,844,640.53","-1,029,192,338.81","-1,680,606,123.65","-2,053,452,669.84","-327,754,693.76","-2,158,477,232.67","-2,434,108,037.32","-2,289,382,225.34","-731,133,439.74","-989,556,315.79","-1,347,833,573.00","-3,949,052,025.19"
购买商品、接受劳务支付的现金,"940,251,319.20","759,824,575.90","855,097,259.85","506,686,921.10","845,689,125.91","1,189,376,847.16","319,283,773.27","586,398,829.72","914,673,969.53","1,406,386,945.66","300,512,902.79","541,069,788.98","854,013,855.07","1,140,764,046.66","263,933,268.77","480,099,911.31","927,959,737.03","1,166,491,275.40","413,435,703.60","720,122,316.83","938,849,820.94","1,613,197,041.08","544,372,130.97","1,230,841,725.49","1,583,675,386.91","2,243,379,277.14","830,830,368.28","920,469,817.12","1,400,629,325.07","1,946,043,572.93"
吸收投资收到的现金,"7,600,000.00","1,750,000.00","57,000,000.00",,"1,298,200,000.00","1,298,200,000.00",,,,"40,386,600.00",,,,,,,,,,"1,760,448,556.73","1,760,448,556.73","1,760,848,556.73",,"2,756,288,598.27","2,756,288,598.27","2,756,288,598.27","97,020,000.00","97,020,000.00","97,820,000.00","3,067,820,000.00"
