科目,2011-12-31,2012-12-31,2013-12-31,2014-06-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"860,653,706.35","655,901,359.47","420,886,802.05","734,648,438.30","592,067,839.98","816,404,366.20","1,237,120,241.93","1,162,644,034.78","1,058,321,617.45","932,112,659.78","1,060,455,749.66","894,382,742.63","1,784,700,359.04","1,291,072,989.77","1,407,908,395.71","1,265,704,902.97","1,752,885,040.46","2,942,452,513.15","2,566,411,021.70","1,722,857,659.37","2,324,164,775.98","3,152,332,283.88"
短期借款,"1,032,881,558.29","899,776,586.96","1,698,018,990.65","2,603,701,081.72","2,750,402,591.86","2,895,567,162.80","3,229,235,609.84","3,482,355,725.06","3,875,603,929.91","3,899,048,178.10","3,900,552,843.66","4,104,478,847.41","3,090,790,647.17","3,357,386,629.79","4,408,204,214.38","4,393,199,750.20","5,556,186,833.63","5,854,853,438.37","5,750,802,396.69","5,539,897,915.98","5,121,992,187.76","6,088,318,625.27"
交易性金融资产,,,"8,125,205.91",,,,,"7,469,328.69","1,973,279.00","6,100,024.00","7,151,273.00","5,872,102.00","29,648,445.49","5,809,951.18","2,582,122.00","15,687,562.30","15,897,613.60","20,385.00","64,932,736.20","12,557,147.56","15,315,198.87","95,306,916.98"
交易性金融负债,"1,554,914.12",,,"3,279,968.46","6,309,705.58","7,276,642.11","6,490,320.77","12,807,171.08","18,547,130.47","11,939,063.14","20,489,241.66","20,837,067.77","16,558,146.92","16,336,093.85","13,510,283.31","11,412,285.88","7,201,290.09","5,452,031.71","4,645,598.92","6,801,776.65","6,529,248.16","4,557,814.33"
应收票据,"143,476,953.18","119,158,130.64","274,581,563.02","187,212,778.07","267,213,722.50","399,908,732.31","525,732,763.44","438,270,350.07","339,639,481.94","493,007,722.75","439,009,140.46","348,939,379.51","546,422,827.47","447,722,753.00","612,523,902.33","931,035,924.63","1,547,792,740.26","1,674,249,589.00","1,198,044,644.08","739,926,242.10","591,030,308.20","686,089,962.21"
应付票据,,,"13,648,084.50","220,057,536.00","350,770,247.54","378,068,251.71","660,350,926.99","789,867,188.34","456,948,462.62","456,673,623.70","704,680,157.17","763,469,436.16","465,409,527.85","223,248,408.87","357,723,691.46","490,335,086.83","526,670,865.27","1,073,932,212.07","1,042,399,881.87",,"762,017,481.23",
应收账款,"134,658,784.45","138,890,283.77","166,225,071.66","308,052,732.57","253,886,692.93","351,440,730.87","306,711,909.62","519,948,971.82","327,877,450.04","525,153,465.59","646,805,004.35","646,312,363.22","435,191,009.89","778,459,014.25","874,201,088.50","1,086,279,422.81","1,350,079,224.67","1,964,479,686.90","1,193,519,755.61","1,165,040,990.10","915,460,791.70","872,982,802.43"
应付账款,"186,894,050.54","278,580,991.62","408,073,531.54","447,632,384.56","570,359,922.99","785,611,372.39","517,059,169.85","467,790,652.17","405,304,699.14","414,956,278.05","398,851,398.86","443,268,696.46","578,413,816.91","739,323,587.81","1,111,909,959.05","1,019,471,705.22","1,307,817,442.68","1,339,189,536.06","1,406,681,096.99",,"1,118,530,951.43",
预付款项,"176,741,948.87","96,056,085.45","127,445,846.88","159,332,957.92","227,068,475.42","231,410,270.89","283,729,707.05","318,207,214.07","188,507,021.04","226,162,218.13","248,947,792.06","317,725,459.37","330,479,804.14","378,554,536.40","603,142,830.73","815,918,256.27","578,430,623.45","944,530,290.08","1,466,143,920.42","1,413,610,200.18","966,567,350.95","1,381,009,222.20"
预收款项,"39,988,773.77","5,382,889.14","58,817,808.34","6,490,365.34","55,300,248.62","28,733,188.73","11,941,221.86","3,684,956.57","42,696,454.29","67,715,920.05","53,576,333.37","52,311,282.72","123,563,908.75","103,331,347.74","76,056,786.79","148,186,640.90","79,532,817.98","140,026,839.98","269,431,956.76","150,453,860.24","252,045,342.50","190,167,527.34"
其他应收款,"33,763,498.28","26,723,724.84","34,830,364.60","23,950,597.23","27,426,967.51","52,847,924.34","18,353,931.25","35,621,438.71","19,816,375.12","28,584,538.96","18,683,254.32","92,176,591.90","16,132,206.92","26,408,250.51","28,317,548.53","44,108,672.05","167,291,227.21","214,097,554.50","185,621,678.69","125,429,074.40","90,796,079.33","116,325,575.99"
应付职工薪酬,"18,678,282.78","26,763,298.56","30,716,897.65","22,188,253.00","39,493,811.27","12,724,458.71","16,558,955.27","20,927,930.02","33,097,363.96","9,675,541.07","21,287,921.61","23,465,222.70","35,066,869.02","12,353,609.24","24,849,150.93","34,436,491.33","87,426,250.99","27,115,164.93","43,235,209.53","60,238,852.42","109,492,290.04","33,351,419.39"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,
应交税费,"28,281,576.81","14,667,105.07","26,807,967.88","58,210,748.48","67,283,150.67","73,213,776.44","25,194,052.55","25,876,534.64","10,799,889.35","13,908,598.03","21,556,299.71","38,263,739.44","51,715,726.73","76,048,041.03","139,511,166.44","170,247,650.93","285,159,162.35","281,282,335.84","350,408,790.50","303,311,703.43","286,271,393.89","162,373,866.77"
应收利息,,,,,,,"1,295,444.35","1,927,417.55",,,,,,,,,,,,,,
应付利息,"6,241,590.78","15,055,297.78","14,314,906.21","29,371,653.38","27,877,771.46","30,671,078.50","22,448,262.47","31,368,922.67","33,367,416.96","49,243,304.21","39,091,235.32","25,740,537.51","11,936,710.76","17,575,230.31","25,741,322.38","32,450,492.58","17,721,918.73","34,907,779.37","33,244,783.43","35,028,888.93","84,428,317.74","28,490,994.40"
应收股利,,,,,,,,,,,,,,,,,,,,,,
应付股利,,,,,,,"53,519,000.00",,,,,,,,,,,,"296,338,316.00",,,
存货,"670,336,278.95","732,174,615.04","1,411,432,245.15","1,882,829,257.00","2,407,967,705.71","2,551,237,646.19","2,608,508,596.47","2,692,386,252.87","2,550,706,685.75","2,391,028,234.75","2,331,554,199.71","2,108,403,794.76","2,032,664,412.47","2,314,071,472.39","3,447,119,453.74","3,858,986,824.37","4,832,631,617.24","5,446,406,136.83","6,397,313,454.01","6,863,674,419.19","5,487,843,176.69","5,107,157,795.10"
