科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"308,498,221.14","357,372,475.42","406,931,419.55","467,350,778.27","49,047,603.48","102,564,567.56","157,065,173.95","219,874,791.59","55,325,235.31","108,828,253.96","162,049,636.01","221,781,042.40","56,208,928.68","113,008,390.98","170,324,479.71","333,592,619.22","63,815,262.29","130,368,897.97","198,705,449.20","270,057,256.48","64,370,514.29","124,358,435.81","177,089,132.35","231,622,013.63","52,630,907.56","125,535,753.49","176,221,636.37","221,423,510.82","53,507,404.72","106,177,409.30","160,541,582.68","205,683,518.96","44,461,396.43","84,382,528.95","125,315,044.38","182,880,029.24","40,910,894.03","88,484,693.44","143,819,741.52","211,481,304.97","45,060,082.49","850,545,227.76","905,703,607.26","970,869,367.96","56,688,700.49","124,774,650.85"
二、营业利润,"254,156,510.93","275,558,336.05","286,802,670.79","270,186,230.88","8,142,541.63","21,324,490.00","41,693,992.38","53,987,000.27","25,956,123.47","68,063,823.52","82,908,282.25","114,513,649.92","20,169,469.52","65,233,027.66","84,164,187.40","133,839,398.25","21,741,351.62","49,868,171.26","62,248,043.88","85,276,536.16","15,182,330.29","28,787,930.77","34,825,599.15","42,962,769.82","8,252,629.55","19,318,361.56","26,668,954.14","30,304,155.05","7,940,624.86","18,149,381.75","32,194,500.91","30,247,894.95","-2,077,088.44","2,341,312.23","4,310,881.07","18,262,323.56","-878,952.58","57,007,790.47","72,371,231.86","16,283,570.80","2,058,139.73","164,146,379.76","181,661,619.32","163,407,839.29","3,777,727.20","25,254,380.33"
减:营业成本,"17,919,790.13","33,522,605.14","55,551,589.56","97,411,342.86","15,929,155.16","32,825,895.87","49,346,798.05","66,718,366.63","20,522,595.25","35,034,516.17","50,990,308.49","66,546,130.20","15,825,319.31","30,244,542.26","45,270,445.46","129,527,993.98","17,124,435.53","35,643,419.55","53,181,805.21","78,970,617.64","19,551,590.24","37,301,637.06","55,445,271.32","71,684,362.73","15,972,893.74","47,592,843.64","63,287,426.08","77,321,281.42","19,046,434.80","35,808,774.19","51,506,982.83","72,763,241.36","18,585,055.98","34,635,100.14","50,940,449.26","71,884,909.61","16,489,882.81","39,461,951.73","58,620,177.96","87,002,854.49","20,888,599.03","570,678,901.29","593,745,713.28","640,463,311.12","27,335,638.92","54,808,108.24"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"16,485,421.96","18,736,722.62","20,789,471.69","23,716,799.57","2,210,180.20","4,505,480.07","6,889,298.77","9,861,687.66","2,417,931.40","4,752,884.29","7,108,545.16","9,676,779.31","2,488,214.53","5,031,450.19","7,605,067.60","12,833,437.48","2,931,305.39","6,068,849.67","10,183,464.96","13,605,443.88","3,078,940.45","5,989,162.67","8,517,861.26","11,084,857.98","2,551,165.15","7,651,161.78","10,079,419.63","12,230,392.81","2,345,630.88","4,870,823.80","7,555,931.57","10,055,422.49","4,386,512.23","6,131,322.38","7,898,134.04","7,674,603.31","1,815,909.08","2,536,299.40","3,201,265.98","5,548,232.09","406,822.86","54,810,214.22","55,950,451.02","63,584,702.70","2,091,365.40","4,218,758.32"
营业外收入,"45,281.65","182,446.44","211,677.65","33,862,159.91","208,093.56","6,467,573.45","6,743,115.27","7,405,046.18","63,699.14","30,049,726.54","30,153,144.38","38,087,706.79","71,983.43","238,218.62","405,037.23","1,516,245.87","174,023.33","355,052.82","589,888.92","1,224,887.84","245,294.03","14,621,811.51","14,818,984.57","15,100,604.03","571,981.43","734,254.11","901,044.95","1,273,591.05","241,263.57","407,787.89","486,405.33","3,283,707.31","554,887.64","671,187.24","735,471.25","834,854.84","196,886.65","1,641,659.05","1,708,546.65","63,797,598.01","129,411.49","368,386.92","496,628.32","703,430.63","174,541.48","444,681.70"
销售费用,"4,850,804.53","10,060,565.61","15,284,887.80","21,543,483.35","4,910,115.87","9,711,870.86","14,556,893.41","20,353,092.19","3,741,526.49","7,559,606.24","12,364,337.76","15,673,347.68","4,244,009.95","8,450,851.16","13,496,463.94","18,143,197.28","5,077,423.07","10,108,844.61","14,903,964.49","20,478,260.78","5,157,858.28","9,721,676.91","13,927,927.94","18,768,677.58","4,520,990.02","8,793,877.14","13,381,391.86","18,231,016.83","4,590,588.73","8,742,521.51","12,840,863.69","17,568,101.05","4,264,662.56","8,295,488.67","12,385,238.09","17,817,459.46","4,679,853.31","8,580,967.33","12,493,477.80","16,611,945.76","3,986,156.51","7,948,406.09","11,948,551.49","17,092,889.43","4,596,525.29","8,856,705.14"
减:营业外支出,157.17,"19,437.75","38,163.87","2,250,508.26","30,449.50","740,698.90","752,167.93","988,892.96","9,627.20","4,379,863.54","10,831,333.42","11,084,385.25","83,346.05","91,409.61","120,321.02","161,162.18","45,736.17","73,341.18","125,086.95","513,158.35","456,585.97","622,947.29","665,880.11","833,247.96","37,836.55","42,903.06","50,523.38","2,685,705.28","4,009.22","55,771.00","65,860.02","7,163,485.52","1,316.17","24,580.44","33,308.43","218,935.36","7,574.92","113,810.83","710,787.50","1,112,918.20","5,840.16","29,029.46","599,324.32","550,791.53","16,934.00","15,700.00"
管理费用,"3,842,229.98","29,601,890.67","43,142,755.84","59,930,795.81","17,420,302.68","30,657,487.65","43,044,861.71","65,633,261.39","12,933,600.91","28,662,472.23","45,186,193.44","53,550,441.58","14,462,003.24","27,787,299.67","42,670,806.64","57,180,192.59","17,425,386.32","32,030,777.43","57,737,268.47","73,177,427.41","18,472,905.92","33,339,094.43","49,833,478.04","68,515,164.62","16,311,061.28","32,434,326.90","48,336,331.80","65,317,071.19","16,420,198.45","31,837,724.85","46,603,235.70","63,632,569.51","17,073,874.41","31,496,232.54","45,803,813.64","64,160,974.26","16,442,358.79","35,303,833.01","53,589,085.31","76,471,246.30","20,266,390.84","46,286,560.64","63,784,225.14","86,255,888.09","18,772,604.00","31,968,924.08"
其中:非流动资产处置净损失,,,,,,,,,,,"10,594,496.65",,,,,"84,762.09",,,,"297,228.71",,"108,913.57","108,913.57","275,514.15",,"42,207.59","49,511.48","2,682,549.49",,"55,763.45","65,455.74","7,110,316.95",,"23,812.67","23,812.67","116,542.53","7,560.34","12,589.98","26,172.23","51,687.57",,"7,654.41","48,832.79",,,
