科目,2007年度,2008年度,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"740,776,974.93","851,824,854.00","1,056,247,910.98","613,918,608.39","972,923,124.30","1,317,310,700.92","330,538,772.15","804,711,402.95","1,207,863,501.27","1,661,446,987.66","297,829,084.52","834,360,251.95","1,211,677,246.26","1,613,515,133.62","275,983,357.43","667,069,801.05","1,016,770,220.17","1,454,760,458.71","287,536,162.92","774,809,524.34","1,098,639,492.73","1,453,717,962.08","224,383,387.21","496,132,019.01","728,595,301.69","1,075,908,394.07","197,601,713.20","437,761,102.71","610,230,941.68","856,527,703.61","235,161,100.80","494,104,945.71","902,200,969.76"
二、营业利润,"79,641,478.51","69,424,954.58","94,886,949.51","72,819,022.56","110,383,752.67","151,030,568.52","29,480,150.93","84,013,003.70","111,312,926.44","162,046,644.74","28,782,862.14","62,577,313.07","94,795,916.57","30,272,589.01","4,232,259.74","28,383,572.38","34,479,125.30","29,410,531.06","3,653,546.31","29,199,232.94","19,207,870.56","3,983,369.33","3,874,021.99","8,785,984.34","-9,383,294.12","-250,774,510.74","-3,744,884.55","-27,282,463.98","-44,397,520.34","-39,934,685.12","-13,287,980.38","7,374,582.45","35,767,151.41"
减:营业成本,"585,205,791.09","661,659,988.78","831,204,502.59","469,491,425.69","752,225,662.81","1,017,062,200.41","259,813,423.32","632,052,983.24","960,268,448.87","1,298,431,423.56","223,282,941.26","660,135,933.43","959,255,711.81","1,286,034,307.26","223,660,382.50","545,737,962.44","837,954,382.81","1,193,109,211.04","229,693,526.97","619,249,881.02","879,502,003.88","1,159,367,045.02","175,664,236.88","399,142,558.98","598,953,220.02","877,016,310.48","174,138,649.72","403,846,403.64","553,196,558.27","719,420,556.77","202,371,175.47","412,096,027.39","752,034,972.82"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"3,326,309.82","1,778,730.84","5,273,845.91","1,406,180.38","3,067,455.19","4,556,356.11","749,121.10","2,041,194.18","3,999,832.92","6,548,611.83","1,314,506.83","1,771,589.73","4,220,128.35","9,375,690.99","1,355,001.55","3,615,345.93","4,669,524.89","10,350,376.53","913,843.36","7,771,234.82","9,783,433.02","12,660,625.49","1,550,646.57","-348,601.63","2,644,558.49","11,366,372.33","1,186,142.36","2,373,536.51","3,499,237.31","11,085,008.94","4,614,706.00","6,789,420.47","10,600,170.12"
营业外收入,"24,801,131.22","5,390,476.95","4,179,199.99","770,388.87","1,285,772.38","12,953,016.63","669,228.39","5,130,199.22","5,280,319.22","7,020,811.28","56,835.92","27,229,124.38","33,153,554.38","28,697,034.98","456,656.69","1,275,614.71","12,862,237.20","25,248,434.01","845,770.62","984,465.34","1,520,239.77","29,064,602.79","1,182,576.54","4,246,170.58","14,972,328.19","15,491,908.63","3,000,047.91","5,657,437.93","8,841,089.16","53,247,009.96","2,438,066.64","4,564,376.42","5,096,681.87"
销售费用,"37,729,618.72","57,130,913.45","72,232,692.42","37,802,160.80","60,213,906.85","85,173,297.40","25,574,312.29","54,238,240.75","81,967,629.13","109,248,550.59","25,920,131.21","60,516,774.96","95,683,859.22","126,709,924.90","20,572,589.97","49,678,249.26","79,234,407.31","113,789,190.67","23,471,036.79","50,576,114.86","78,058,984.25","98,080,031.32","16,115,911.38","38,223,569.57","56,043,167.60","85,726,665.23","9,978,851.27","21,686,270.72","34,226,332.71","53,420,904.47","13,138,607.82","30,088,957.11","49,461,777.62"
减:营业外支出,"9,690,012.28","466,441.35","917,947.59","58,118.57","212,391.25","782,241.67","374,870.70","668,698.27","800,377.06","861,404.92","1,773.01","17,320.60","1,529,592.13","1,818,994.18","235,249.64","546,117.98","835,587.75","1,622,826.00","1,243.00","202,906.86","571,575.40","3,115,678.36","60,153.70","669,353.42","924,979.00","18,860,705.00","130,103.10","951,770.17","1,938,531.06","2,829,529.35","64,092.14","618,463.32","1,135,225.94"
管理费用,"12,829,858.29","27,500,107.05","26,171,629.68","14,521,671.11","21,965,607.58","30,013,914.02","10,434,070.25","20,594,476.73","29,304,559.59","50,078,064.70","11,719,119.75","23,500,846.58","36,976,404.97","65,967,429.62","17,900,149.89","28,546,354.41","42,684,293.16","55,968,346.30","19,366,907.29","38,881,994.07","68,295,465.13","103,851,241.53","17,668,560.92","48,189,492.93","69,640,952.51","103,844,910.38","17,275,324.12","37,946,403.37","55,545,901.44","91,204,001.44","16,679,324.18","34,410,199.59","54,475,023.40"
其中:非流动资产处置净损失,"9,166,197.19","224,309.87","169,710.69","19,686.44",,"735,228.32",,,,"390,614.04",,,,,,,,"408,283.32",,,,"304,947.91",,"15,437.77","73,433.73","109,776.28",,,,"972,107.22",,"2,075.19",
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
