科目,2011年度,2012年度,2013年度,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"482,442,567.62","398,065,635.55","450,126,802.70","366,680,720.24","511,866,727.11","105,071,518.01","235,959,456.09","334,090,013.59","483,144,103.35","96,054,303.20","244,593,876.23","443,633,964.00","678,349,722.03","135,228,612.43","419,384,891.77","664,724,965.84","1,076,503,102.66","302,498,989.43","724,992,490.84","1,064,588,688.78","1,461,024,578.26","321,293,618.52"
二、营业利润,"68,113,083.15","37,080,448.91","41,335,467.66","10,703,429.00","24,621,882.82","1,512,383.11","9,934,602.84","8,729,278.58","13,448,313.95","1,004,116.38","11,358,146.76","20,889,310.86","31,862,337.58","2,150,934.32","33,189,410.63","47,888,837.32","87,976,938.50","22,856,855.88","62,516,265.79","69,092,067.25","102,217,739.89","19,388,377.70"
减:营业成本,"343,338,375.77","271,100,192.32","302,899,007.95","247,113,806.73","346,014,354.10","70,606,952.39","153,858,602.15","214,704,644.02","315,727,023.79","62,304,116.53","161,306,839.09","296,852,877.02","463,671,510.89","88,156,763.50","277,719,798.74","447,541,895.96","716,562,640.25","179,953,712.91","462,905,294.85","679,838,801.46","935,266,921.47","195,871,326.96"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"2,010,484.94","2,453,697.73","2,972,359.61","2,826,147.65","3,684,296.52","854,515.27","1,723,667.53","2,170,886.95","2,954,058.38","771,510.05","1,468,424.28","2,644,985.29","6,225,429.44","951,497.20","2,868,253.16","4,307,617.69","8,737,692.91","1,236,793.71","4,449,942.74","6,144,805.21","10,289,533.41","835,912.04"
营业外收入,"6,272,846.82","11,443,913.39","18,674,108.56","13,766,200.04","22,450,590.47","4,427,407.55","6,897,770.48","10,966,079.87","41,109,955.47","3,603,510.89","8,220,304.17","17,343,940.05","48,710,776.89","19,342,547.00","21,651,394.33","27,419,816.77","27,708,782.49","1,189,569.17","6,216,891.78","12,555,747.63","22,141,464.61","4,000,095.82"
销售费用,"21,894,587.29","24,688,056.95","29,582,363.49","31,605,885.23","41,438,509.79","10,130,960.52","22,022,488.02","34,062,414.37","47,270,864.87","9,593,107.40","21,077,311.17","36,516,464.38","56,057,147.13","12,059,389.11","33,094,936.24","54,908,350.63","76,196,517.08","18,322,971.93","42,745,779.65","75,463,026.96","106,287,209.55","19,958,094.71"
减:营业外支出,"97,167.18","150,870.53","101,495.18","53,656.08","98,751.14","4,696.18","78,099.16","100,496.74","497,813.48","114,801.71","189,377.11","193,211.98","308,288.36","144,372.02","217,839.97","388,846.75","237,245.38","4,177.87","18,409.45","204,158.97","700,842.14","171,500.70"
管理费用,"45,547,357.95","54,862,130.08","67,879,353.76","68,626,416.04","89,203,442.16","20,439,677.90","46,475,757.85","69,700,312.17","97,175,122.05","20,902,750.66","45,298,285.96","76,109,020.76","111,218,215.91","32,005,643.89","77,836,959.88","120,966,683.50","204,771,873.72","81,833,431.33","146,695,436.51","121,593,160.02","190,758,263.77","58,195,516.14"
其中:非流动资产处置净损失,,,,,"45,914.24",,,,"81,133.65",,"162,290.63",,"266,116.04",,"192,348.87",,,,,,,
