科目,2007年度,2008年度,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
一、营业收入,"9,824,396,500.86","3,691,020,843.50","2,622,642,049.64","4,175,169,095.46","5,594,129,092.41","839,269,903.25","1,948,209,915.44","3,224,165,576.48","5,054,075,247.29","1,340,754,385.63","2,649,925,683.45","3,519,945,982.57","4,498,480,695.74","969,374,473.10","2,112,610,145.85","2,841,976,601.08","3,651,701,015.91","1,374,954,238.20","2,392,423,286.96","2,967,176,730.71","4,019,544,554.70","914,210,134.48","1,922,140,670.23","3,459,412,411.74","6,601,422,929.86","3,189,131,825.25","9,520,704,700.78","12,350,227,134.76","16,571,087,246.74","1,844,308,084.51","4,052,899,618.96","6,446,282,008.85","9,164,639,102.50","1,731,018,310.49","3,967,146,009.47","6,673,005,772.99","9,838,147,762.07"
提取保险责任准备金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
利息净收入,"278,148,392.67","498,689,141.39","221,307,520.18","364,416,333.81","560,815,556.08","158,995,299.32","370,092,660.79","572,088,416.68","733,109,959.72","269,504,253.66","491,108,935.39","712,798,230.82","908,308,853.88","177,564,688.58","348,538,692.33","529,991,967.95","648,653,332.46","156,643,897.59","369,335,620.66","630,787,136.26","924,382,633.02","305,367,895.27","564,108,739.58","849,493,869.35","1,268,207,358.53","595,111,493.68","1,363,794,884.99","1,743,775,505.99","2,219,817,432.16","229,524,850.18","681,677,731.91","1,128,928,218.15","1,595,721,846.68","469,590,341.03","688,566,807.07","1,042,906,199.40","1,245,500,101.00"
减：摊回保险责任准备金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
利息收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,867,387,193.27",,"2,451,965,727.81",,"5,128,882,837.26"
保单红利支出,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
利息支出,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,271,665,346.59",,"1,763,398,920.74",,"3,883,382,736.26"
分保费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
手续费及佣金净收入,"4,884,432,731.70","3,363,973,133.97","2,033,584,722.69","3,437,331,583.49","4,483,703,920.52","852,317,497.47","1,715,762,025.38","2,557,307,214.34","3,889,008,758.29","910,334,592.69","1,824,388,658.31","2,661,056,937.62","3,208,166,769.18","571,237,320.52","1,149,456,130.52","1,657,304,455.03","2,239,978,797.15","785,757,099.69","1,523,147,476.00","2,362,557,246.38","3,330,787,903.96","674,266,379.98","1,319,618,678.91","2,361,147,636.95","4,102,328,927.82","1,894,261,168.39","5,545,273,271.04","7,673,046,926.34","10,262,307,650.86","1,424,343,995.85","2,926,993,090.13","3,946,161,333.19","6,093,255,665.01","1,044,561,241.26","2,091,565,424.63","3,525,861,193.96","5,623,619,323.30"
营业税金及附加,"401,305,392.32","181,823,061.80","111,257,013.52","189,168,872.29","265,956,298.66","47,734,853.73","98,396,891.62","145,899,845.52","227,105,746.13","62,666,742.28","117,505,775.97","170,253,963.84","207,347,974.78","37,061,144.19","82,768,499.68","117,844,710.85","152,375,591.98","69,732,040.33","134,025,907.42","209,187,740.59","250,174,270.48","58,974,502.57","100,110,775.70","183,594,265.19","350,759,071.60","190,682,749.68","520,253,032.35","713,221,336.87","971,218,398.76","122,990,606.57","182,631,209.56","199,964,125.00","214,309,431.59","12,480,223.11","29,704,737.83","46,523,844.08","70,674,841.13"
手续费及佣金收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,358,470,331.34",,"2,682,944,763.94",,"6,714,916,270.18"
手续费及佣金支出2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
手续费及佣金支出,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,265,214,666.33",,"591,379,339.31",,"1,091,296,946.88"
