科目,2009年度,2010年度,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"93,900,591.08","138,781,265.65","175,113,472.96","28,496,051.52","67,706,740.75","125,640,210.57","192,974,175.08","31,875,459.50","89,104,562.28","142,627,271.69","245,386,180.86","40,871,615.20","93,860,207.76","167,506,720.23","296,780,115.60","53,450,300.13","119,985,219.55","206,929,645.46","359,912,426.63","102,159,811.18","243,544,421.30","377,670,489.18","662,859,791.50","220,078,426.26","459,840,117.28","650,386,030.69","1,076,908,064.59","214,070,386.50","548,651,694.60"
二、营业利润,"20,388,718.03","29,777,406.79","35,383,020.40","184,317.29","3,575,357.96","9,821,711.23","23,788,673.48","-110,921.86","4,030,261.52","6,902,291.86","12,226,164.29","-241,897.57","7,288,635.77","22,184,101.46","31,001,153.13","-1,845,274.17","5,653,719.49","15,577,524.82","46,398,572.95","13,860,558.75","51,610,874.86","75,588,978.60","111,471,890.04","13,862,785.34","51,368,923.04","73,271,469.82","-37,529,010.75","15,270,962.38","71,595,575.77"
减:营业成本,"32,020,579.39","57,832,330.98","76,276,299.40","9,373,303.48","25,562,768.03","53,359,940.27","83,974,440.74","11,311,923.23","34,466,882.59","57,507,639.50","119,905,374.33","14,829,362.71","30,303,954.11","56,595,469.34","124,065,569.57","32,526,373.56","49,497,495.26","77,267,257.57","125,000,064.78","38,033,324.20","83,172,415.06","131,324,447.57","279,703,128.03","133,109,838.74","258,066,064.44","352,466,151.97","520,806,674.05","126,317,791.21","305,487,462.44"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"1,375,257.70","1,394,706.88","2,670,561.19","343,071.53","862,312.01","1,398,152.92","2,325,428.00","160,584.93","448,639.14","588,002.76","989,613.40","53,629.87","201,964.88","659,612.46","1,811,628.31","591,652.10","1,273,596.63","1,776,024.97","3,130,055.06","742,801.12","1,903,532.28","2,708,847.36","6,923,789.53","1,721,609.89","2,958,878.94","5,402,204.82","10,570,486.31","2,765,411.55","5,464,881.02"
营业外收入,"5,535,524.08","4,699,312.48","9,033,313.63","3,191,049.56","11,024,009.12","13,925,671.08","16,759,079.58","2,965,900.00","4,440,835.50","11,104,139.75","14,723,892.06","3,574,818.16","5,141,399.09","6,348,111.65","12,514,672.46","6,445,372.42","9,208,091.63","15,920,139.02","21,197,551.98","3,207,719.52","10,966,818.27","16,341,978.11","26,481,314.75","4,931,272.36","5,890,468.59","25,805,930.47","204,826,466.57","341,404.54","11,721,663.83"
销售费用,"11,236,022.34","14,403,353.62","16,499,821.24","5,606,616.92","10,055,056.38","17,020,764.52","20,163,367.28","6,010,206.33","11,478,385.63","17,248,256.96","23,708,858.06","6,298,610.63","14,768,079.87","22,854,887.52","33,181,237.40","6,788,752.56","16,259,849.46","26,614,057.51","43,320,060.59","14,620,220.87","42,353,938.16","68,548,947.79","101,278,085.44","32,154,936.52","62,452,817.09","91,672,551.35","168,384,715.54","33,889,501.87","72,594,315.98"
减:营业外支出,"325,760.48","101,470.00","56,950.00","19,530.80","23,530.80","43,848.84","87,566.84","22,521.99","1,125,771.99","1,139,771.99","1,232,732.00","251,274.06","252,687.81","263,749.83","738,277.78",-50.62,"607,004.65","757,162.98","826,576.49","112,260.13","125,579.61","906,485.61","832,043.06","55,235.57","102,254.18","102,646.34","60,514.50","677,066.25","706,890.50"
管理费用,"29,298,280.67","35,173,850.45","43,781,781.87","13,021,351.80","27,996,627.05","44,486,566.92","58,676,134.15","14,794,056.10","42,089,300.61","63,784,666.15","86,372,923.10","20,162,775.68","42,868,628.24","66,611,765.02","99,851,238.51","16,457,609.31","45,722,385.72","85,365,638.25","137,661,472.71","35,418,321.67","62,994,099.45","98,292,554.82","154,004,982.74","40,828,292.30","92,155,757.78","137,860,223.78","224,165,646.12","51,860,663.27","117,032,690.80"
其中:非流动资产处置净损失,,,,,,,,,,,,,,,,,,,"452,600.43",,"9,865.18",,"547,583.81",,"47,350.37",,,,
