科目,2008年度,2009年度,2010年度,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"61,493,281.76","76,982,332.43","201,238,392.79","97,260,769.27","184,348,792.43","198,118,392.07","44,817,362.36","61,173,195.55","93,357,628.17","167,203,511.81","16,887,717.00","59,796,245.94","114,338,741.53","188,582,435.69","26,600,488.07","89,893,507.15","166,306,585.94","361,456,646.75","203,808,762.46","546,558,852.83","794,922,673.00","1,466,064,767.26","474,137,608.60","1,099,988,506.15","1,572,312,827.32","1,785,557,004.77","665,837,672.73","1,606,546,723.89","2,286,057,867.00","2,946,172,620.86","613,498,037.09","1,257,894,241.26"
取得子公司及其他营业单位支付的现金净额,,,"15,876,533.85",,,,,,,,,,,,,,,"42,412,901.01",,"331,179,964.25","331,179,964.25",,,"44,331,341.95","49,183,172.06","50,982,984.44",,"2,112,500.00",,,,
收到的税费返还,,,,,,,,"1,129,750.00","1,191,495.10","61,745.10",,,,,"2,897,252.94","2,897,252.94","2,897,252.94","2,901,664.14",,,,,"22,136.51","22,899.58","22,899.58","183,332.49","1,572,314.06","9,664,565.82","9,820,979.52",,"221,621.55","932,579.53"
支付其他与投资活动有关的现金,,,,,"4,000,000.00",,,,"3,667.73","1,000,000.00","10,220.52",,135.00,,,,,"16,623,414.57","19,210,958.94",,,,"123,677.40",,,,"7,532.98",,"11,401.65","6,000.00","15,000,000.00","31,993,477.10"
收到其他与经营活动有关的现金,"7,510,062.41","20,945,052.80","11,210,345.94","15,497,751.56","33,757,069.50","45,638,345.62","9,208,989.35","18,189,174.50","18,852,005.47","54,243,354.60","22,065,914.61","7,439,750.52","9,205,725.37","38,063,484.62","27,156,958.21","17,567,965.41","44,510,683.18","16,561,386.83","22,513,978.13","32,159,668.43","49,673,590.61","6,849,537.81","47,786,592.14","35,763,454.93","52,793,094.16","19,043,842.53","25,381,638.59","69,975,190.79","254,261,607.78","56,361,335.16","27,473,360.14","112,664,850.06"
投资活动现金流出小计,"3,598,978.67","20,180,363.15","36,449,879.89","21,267,153.34","51,658,680.44","51,927,356.80","23,644,816.46","39,037,119.14","65,428,843.04","71,704,452.24","4,807,458.62","6,417,820.78","6,712,225.31","46,264,098.09","2,296,794.34","4,484,143.93","5,185,041.55","77,208,270.09","353,922,266.57","340,932,385.22","348,611,369.99","458,208,047.74","77,102,642.51","127,931,420.53","143,789,213.61","272,025,381.18","59,569,275.28","122,125,393.22","157,008,823.51","96,651,502.07","20,675,135.73","49,763,126.76"
经营活动现金流入小计,"69,003,344.17","97,927,385.23","212,448,738.73","112,758,520.83","218,105,861.93","243,756,737.69","54,026,351.71","80,492,120.05","113,401,128.74","221,508,611.51","38,953,631.61","67,235,996.46","123,544,466.90","226,645,920.31","56,654,699.22","110,358,725.50","213,714,522.06","380,919,697.72","226,322,740.59","578,718,521.26","844,596,263.61","1,472,914,305.07","521,946,337.25","1,135,774,860.66","1,625,128,821.06","1,804,784,179.79","692,791,625.38","1,686,186,480.50","2,550,140,454.30","3,002,533,956.02","641,193,018.78","1,371,491,670.85"
投资活动产生的现金流量净额,"-3,598,978.67","-20,180,363.15","-30,411,879.89","-21,126,153.34","-51,517,680.44","-51,786,356.80","-23,644,816.46","-39,037,119.14","-65,428,843.04","-71,697,452.24","-4,807,458.62","-6,417,820.78","-6,712,225.31","-46,259,098.09","-2,296,794.34","-3,484,143.93","5,862,057.44","-77,208,270.09","-345,603,287.36","-331,883,454.32","-339,486,006.29","-440,968,069.42","-76,877,192.51","-127,651,970.53","-143,388,169.61","-270,940,802.35","-59,253,961.28","-121,509,389.22","-156,337,474.07","-96,392,319.53","-20,675,135.73","-49,763,126.76"
购买商品、接受劳务支付的现金,"50,397,198.09","67,623,337.20","131,953,054.41","73,795,930.04","165,294,411.05","152,048,634.14","66,213,657.18","106,959,389.42","141,398,420.75","190,418,617.76","20,669,577.53","56,454,316.95","86,466,678.39","127,896,994.62","32,606,365.51","94,451,093.61","127,251,774.60","253,681,530.10","198,142,470.00","451,799,052.04","567,585,331.05","1,132,023,812.01","422,180,464.01","870,897,341.91","1,345,283,965.90","1,285,572,585.35","595,037,710.72","1,139,258,130.32","1,652,214,054.43","2,197,559,343.53","388,106,539.10","836,189,478.29"
吸收投资收到的现金,"400,000.00","9,930,000.00","114,390,000.00",,,"323,353,840.00",,,,,,,,,,,"204,054,999.76","208,806,079.74",,,,,"3,000,000.00","5,644,439.61","14,068,639.61","14,068,639.61",,,"10,000,000.00",,,"240,390,000.00"
