科目,2007年度,2008年度,2009年度,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"883,290,713.91","1,096,335,481.68","724,022,480.30","820,010,307.70","1,137,819,001.27","303,091,183.13","633,755,275.18","1,058,957,635.22","1,445,331,541.76","342,010,693.31","708,930,407.93","1,152,510,744.74","1,621,101,972.48","424,623,119.71","750,237,703.26","1,156,357,464.41","1,640,899,051.11","528,092,223.39","1,062,897,483.29","1,466,721,265.03","2,047,490,691.33","480,695,032.75","964,337,222.84","1,478,244,547.67","2,020,875,172.71","453,374,602.41","755,957,572.62","1,156,853,170.64","1,745,813,581.34","1,561,213,251.64","5,356,813,485.48","8,037,492,138.14","7,680,531,381.96","1,938,313,342.42"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,"14,955,082.71","14,955,082.71","14,955,082.71","17,873,803.84","17,873,803.84","17,873,803.84","19,613,803.84",,,,,,,,"2,925,000.00",,"57,000,000.00","79,606,400.00","1,009,267,400.58",,"8,095,935.26","51,964,537.02","693,099,105.04",
收到的税费返还,"11,692,050.39",,,,,,,,,"1,635,051.20","1,638,170.10","2,799,562.38","2,799,562.38",,,,,,,,,,,,,"4,885,759.02","12,694,431.84","25,861,246.89","22,385,444.56","11,015,064.22","21,098,370.31","31,506,850.61","66,498,807.48","1,625,495.02"
支付其他与投资活动有关的现金,"590,000.00","14,234,693.73","107,264,534.05","134,887,600.00","175,947,600.00","1,485,000.00","13,541,000.00","13,541,000.00","51,041,000.00","1,478,698.50","800,000.00","800,000.00","17,000,000.00","9,303,216.50","9,075,000.00","9,175,000.00","180,000,000.00",,"179,000,000.00","211,930,000.00","340,548,771.79",,"48,000,000.00","48,000,000.00","48,000,000.00","32,000,000.00","5,000,000.00","5,000,000.00","39,000,000.00","34,921.00",,,,"6,376,065.00"
收到其他与经营活动有关的现金,"76,627,593.43","123,096,648.59","168,662,278.90","199,077,932.07","260,073,708.82","49,465,284.69","112,255,051.74","168,117,564.22","236,008,914.94","76,078,788.05","170,885,049.21","225,184,320.90","271,082,129.06","59,732,089.85","93,257,894.85","138,432,730.77","198,391,235.01","16,587,864.59","149,439,370.70","197,651,650.21","357,969,722.27","76,747,132.86","164,979,866.22","445,032,359.63","361,355,273.81","113,789,843.30","227,103,043.36","293,147,868.09","571,956,058.72","350,088,732.33","235,357,974.60","391,883,263.54","920,694,877.24","514,286,952.77"
投资活动现金流出小计,"88,776,238.11","219,590,436.53","338,815,783.05","486,406,089.55","714,123,568.67","98,856,540.01","297,814,761.68","428,808,350.12","550,980,694.44","114,960,004.34","211,639,291.74","351,749,878.71","525,104,684.44","125,986,996.20","188,929,921.68","297,011,558.00","421,736,614.10","154,443,152.00","275,587,336.39","467,010,086.16","680,395,912.49","82,427,355.64","256,797,211.24","298,055,661.20","265,166,408.60","134,983,584.02","122,658,103.52","223,261,629.53","1,166,257,742.87","23,040,949.26","658,406,963.39","732,275,627.23","1,244,456,858.50","483,804,417.86"
经营活动现金流入小计,"971,610,357.73","1,219,432,130.27","892,684,759.20","1,019,088,239.77","1,397,892,710.09","352,556,467.82","746,010,326.92","1,227,075,199.44","1,681,340,456.70","419,724,532.56","881,453,627.24","1,380,494,628.02","1,894,983,663.92","484,355,209.56","843,495,598.11","1,294,790,195.18","1,839,290,286.12","544,680,087.98","1,212,336,853.99","1,664,372,915.24","2,405,460,413.60","557,442,165.61","1,129,317,089.06","1,923,276,907.30","2,382,230,446.52","572,050,204.73","995,755,047.82","1,475,862,285.62","2,340,155,084.62","1,922,317,048.19","5,613,269,830.39","8,460,882,252.29","8,667,725,066.68","2,454,225,790.21"
投资活动产生的现金流量净额,"-87,576,456.50","-219,039,266.58","-291,794,311.56","-388,196,498.88","-525,359,634.62","-98,456,540.01","-217,946,161.68","-348,929,750.12","-452,002,036.75","-78,960,004.34","-163,815,291.74","-303,680,878.71","-468,818,858.35","-118,084,440.86","-101,051,071.68","-208,306,808.00","-156,347,179.64","-60,289,880.76","-86,926,653.01","-269,650,379.18","-409,152,516.17","19,322,199.24","-94,594,912.62","-135,836,878.02","-128,061,301.41","-103,281,353.88","-101,447,232.88","-189,006,109.89","-1,111,021,553.81","31,210,528.49","-401,335,069.01","-475,060,432.85","-957,654,024.39","-472,303,417.86"
购买商品、接受劳务支付的现金,"666,679,562.09","773,112,765.11","570,800,932.27","683,756,976.44","830,761,726.45","316,965,495.70","792,931,741.17","1,201,129,830.86","1,577,000,004.83","466,250,493.05","904,442,274.18","1,229,495,536.04","1,603,052,920.79","331,435,915.89","673,088,878.84","1,059,064,653.33","1,463,123,650.07","464,709,996.94","888,410,063.06","1,288,622,401.30","1,657,801,006.57","358,949,563.49","644,387,482.11","1,105,775,455.98","1,296,926,112.37","294,881,687.51","502,585,108.13","871,630,846.54","1,208,741,294.35","1,928,137,529.09","4,914,294,309.05","7,406,449,915.25","7,332,757,044.22","1,720,293,903.67"
吸收投资收到的现金,,,"166,705,000.00",,,"1,344,290,000.00","1,347,444,000.00","1,347,444,000.00","1,340,344,090.00",,,"4,154,400.00","4,154,400.00",,"576,000,000.00","576,000,000.00","574,800,000.00",,,,,,,,,,,,,,,"4,050,000.00","51,550,000.00",
