科目,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
处置交易性金融资产净增加额,,,,,,,,,,,,,,,,,"1,095,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,
质押贷款净增加额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
拆入资金净增加额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"46,725,000,000.00"
购建固定资产、无形资产和其他长期资产支付的现金,"2,051,000,000.00","2,984,000,000.00","12,925,000,000.00","1,212,000,000.00","4,888,000,000.00","8,545,000,000.00","17,699,000,000.00","1,731,000,000.00","4,760,000,000.00","7,764,000,000.00","22,045,000,000.00","682,000,000.00","3,792,000,000.00","6,791,000,000.00","20,452,000,000.00","560,000,000.00","5,057,000,000.00","9,494,000,000.00","23,312,000,000.00","4,615,000,000.00","11,466,000,000.00","17,704,000,000.00","34,939,000,000.00","3,165,000,000.00","13,083,000,000.00","20,323,000,000.00","38,406,000,000.00","2,717,000,000.00","10,712,000,000.00","16,949,000,000.00","35,490,000,000.00","2,074,000,000.00","6,942,000,000.00","10,836,000,000.00","28,589,000,000.00","2,823,000,000.00","9,153,000,000.00","13,473,000,000.00","27,742,000,000.00","2,783,000,000.00","7,687,000,000.00","13,112,000,000.00","22,263,000,000.00","2,523,000,000.00","4,739,000,000.00"
回购业务资金净增加额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付其他与投资活动有关的现金,,,"1,001,000,000.00",,,,,,"12,000,000.00","12,000,000.00","54,000,000.00",,"15,000,000.00","18,000,000.00","18,000,000.00","3,000,000.00","802,000,000.00","997,000,000.00","1,063,000,000.00",,"209,000,000.00","265,000,000.00","294,000,000.00","6,000,000.00","8,000,000.00","221,000,000.00","250,000,000.00","100,000,000.00","106,000,000.00","4,074,000,000.00","4,289,000,000.00","254,000,000.00","681,000,000.00","875,000,000.00","1,657,000,000.00",,"1,010,000,000.00","1,783,000,000.00","1,393,000,000.00",,"864,000,000.00","1,829,000,000.00","1,544,000,000.00","652,000,000.00","745,000,000.00"
销售商品、提供劳务收到的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流出小计,"770,880,000,000.00","1,149,871,000,000.00","1,142,502,000,000.00","314,252,000,000.00","486,737,000,000.00","731,263,000,000.00","930,744,000,000.00","306,673,000,000.00","600,137,000,000.00","1,255,120,000,000.00","1,591,010,000,000.00","467,682,000,000.00","864,388,000,000.00","1,387,993,000,000.00","1,717,198,000,000.00","280,724,000,000.00","560,275,000,000.00","817,279,000,000.00","995,539,000,000.00","174,795,000,000.00","370,753,000,000.00","537,251,000,000.00","765,650,000,000.00","166,101,000,000.00","342,945,000,000.00","795,431,000,000.00","1,010,654,000,000.00","155,867,000,000.00","382,625,000,000.00","640,252,000,000.00","850,083,000,000.00","256,784,000,000.00","708,912,000,000.00","1,048,939,000,000.00","1,121,697,000,000.00",,"843,967,000,000.00","1,388,889,000,000.00","1,392,175,000,000.00","342,894,000,000.00","716,933,000,000.00","957,504,000,000.00","1,549,336,000,000.00","439,047,000,000.00","1,041,388,000,000.00"
收到的税费返还,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动产生的现金流量净额,"-237,886,000,000.00","-302,447,000,000.00","-282,707,000,000.00","-39,973,000,000.00","-10,841,000,000.00","54,516,000,000.00","38,759,000,000.00","115,109,000,000.00","-125,377,000,000.00","-299,300,000,000.00","-417,491,000,000.00","-241,389,000,000.00","-278,947,000,000.00","-247,970,000,000.00","-345,136,000,000.00","203,142,000,000.00","172,509,000,000.00","85,655,000,000.00","152,584,000,000.00","-49,066,000,000.00","-87,837,000,000.00","-107,281,000,000.00","-155,855,000,000.00","-23,849,000,000.00","-40,831,000,000.00","-169,082,000,000.00","-278,182,000,000.00","-25,923,000,000.00","-124,092,000,000.00","-216,903,000,000.00","-343,887,000,000.00","-84,525,000,000.00","-217,742,000,000.00","-379,372,000,000.00","-593,629,000,000.00","9,321,000,000.00","-326,422,000,000.00","-737,518,000,000.00","-610,481,000,000.00","-7,198,000,000.00","104,560,000,000.00","-27,877,000,000.00","-97,456,000,000.00","-7,704,000,000.00","-9,736,000,000.00"
