科目,2008年度,2009年1-6月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"18,018,398,769.56","5,454,140,641.46","11,729,980,601.22","2,373,567,852.06","5,538,646,348.28","9,411,368,013.96","14,027,053,200.48","9,357,852,169.57","20,812,711,460.71","30,971,253,030.26","39,120,726,041.01","6,829,337,724.22","15,778,633,782.76","23,697,025,912.21","35,278,562,453.61","7,346,113,788.71","15,427,919,606.87","25,805,712,148.29","40,598,746,597.00","8,528,408,121.88","27,076,358,743.97","35,037,056,353.09","51,644,747,326.18","14,028,134,293.75","23,223,994,564.26","37,142,808,497.52","52,383,657,731.67","7,517,969,398.04","17,236,612,216.77","26,063,813,769.60","35,218,375,552.42","6,411,300,951.84","19,723,369,604.88","29,013,884,880.18","37,641,768,673.66","8,227,680,568.78","18,026,454,553.45"
取得子公司及其他营业单位支付的现金净额,,,,"30,012,706.11",,,,,,,,,,,,"5,204,100.00",,"5,304,100.00","16,701,475.25",,,,"42,297,844.19",,,,,,,,,,,,"54,130,764.22",,
收到的税费返还,"237,241,926.51","166,076,417.33","287,612,335.43","9,396,127.73","23,188,211.39","25,920,553.48","21,248,554.88","957,629,313.67","1,813,855,597.01","2,574,926,453.42","2,547,201,717.26","784,868,506.47","2,008,090,595.84","3,284,900,330.25","3,729,021,456.23","392,022,070.80","748,856,487.48","1,692,773,459.92","2,668,576,463.42","457,586,088.47","958,589,351.91","1,859,304,775.33","2,607,185,819.23","377,787,937.26","1,018,928,162.58","1,496,261,956.93","2,008,448,670.09","335,232,141.70","931,144,456.18","1,318,434,003.51","1,679,782,354.63","221,632,034.65","571,003,384.16","970,657,570.42","1,334,468,833.11","430,571,020.56","803,042,923.20"
支付其他与投资活动有关的现金,"51,666,020.56","7,436,622.51","19,355,801.51","185,766,548.66","4,507,589.47","32,879,891.98","15,760,337.83","14,071,988.72","6,009,699.61","39,022,511.42","20,013,349.78","42,701,440.98","81,764,114.65","136,593,304.22","100,458,735.17","39,237,612.82","116,000,549.38","144,541,716.61","32,545,007.41","1,929,872.09","49,687,354.93","218,904,425.08","50,419,999.50","14,899,669.23","14,902,515.03","16,837,396.80","27,656,159,744.18","342,827,777.12","4,332,153,675.70","5,501,421,828.33","6,422,310,560.31","16,289,369.06","2,843,073,961.38","512,396,163.69",,"38,286,648.18",
收到其他与经营活动有关的现金,"227,982,719.90","149,248,256.82","302,142,779.10","185,071,817.83","153,280,204.89","204,156,436.26","393,630,229.28","944,703,766.92","2,457,374,368.51","3,410,964,557.55","5,258,367,079.55","362,855,099.31","1,927,401,844.96","2,897,412,372.72","2,348,380,758.90","504,683,067.02","2,448,107,691.34","5,375,142,254.11","3,162,427,609.57","842,306,117.85","2,776,201,769.69","8,940,838,517.09","5,660,115,721.60","1,016,149,989.16","2,882,772,542.60","3,576,810,114.21","4,528,598,802.02","1,859,405,825.28","3,317,319,868.89","3,805,386,562.35","3,851,006,695.22","722,840,005.11","2,625,495,574.29","3,901,139,393.77","2,545,932,263.12","721,240,016.69","1,339,073,945.28"
投资活动现金流出小计,"2,466,998,911.51","788,428,575.75","2,015,785,898.67","548,891,678.70","518,330,298.89","931,357,914.85","1,491,559,835.26","796,106,429.93","1,844,941,368.30","3,083,052,703.69","4,113,649,920.35","2,639,353,588.08","1,596,650,897.65","2,524,218,209.42","3,624,930,673.81","602,133,166.64","1,395,254,085.13","2,087,821,666.26","2,891,724,946.62","779,589,351.32","1,928,404,487.73","2,897,082,874.73","3,564,046,987.32","890,566,637.77","1,038,898,967.46","1,643,930,775.97","29,937,146,578.81","860,464,015.43","5,167,444,463.29","6,596,608,807.13","7,950,998,206.85","329,237,419.35","3,729,455,318.10","21,170,696,158.09","23,707,113,294.90","208,933,931.55","1,847,452,302.44"
经营活动现金流入小计,"18,483,623,415.97","5,769,465,315.61","12,319,735,715.75","2,568,035,797.62","5,715,114,764.56","9,641,445,003.70","14,441,931,984.64","11,260,185,250.16","25,083,941,426.23","36,957,144,041.23","46,926,294,837.82","7,977,061,330.00","19,714,126,223.56","29,879,338,615.18","41,355,964,668.74","8,242,818,926.53","18,624,883,785.69","32,873,627,862.32","46,429,750,669.99","9,828,300,328.20","30,811,149,865.57","45,837,199,645.51","59,912,048,867.01","15,422,072,220.17","27,125,695,269.44","42,215,880,568.66","58,920,705,203.78","9,712,607,365.02","21,485,076,541.84","31,187,634,335.46","40,749,164,602.27","7,355,772,991.60","22,919,868,563.33","33,885,681,844.37","41,522,169,769.89","9,379,491,606.03","20,168,571,421.93"
投资活动产生的现金流量净额,"-2,013,340,265.20","-459,958,784.45","-1,479,041,448.94","-531,036,160.35","-245,201,506.56","-589,632,242.17","-792,462,836.45","-782,372,505.43","-1,741,098,131.25","-2,913,229,181.23","-3,810,717,188.21","-2,534,220,444.79","-1,197,964,849.09","-2,006,657,236.58","-2,849,087,145.20","-500,224,591.40","-1,054,885,514.51","-1,611,897,933.76","-2,276,940,081.62","-444,650,926.48","-1,457,849,313.32","-1,962,142,808.06","-2,702,199,326.14","-782,361,611.86","-780,281,738.94","-1,195,908,293.42","-28,586,997,385.65","-588,848,697.51","145,758,266.07","-1,125,030,748.32","-4,418,846,874.95","-87,616,237.09","-2,352,970,597.63","-4,145,719,066.45","-3,604,468,421.45","4,922,170.73","-1,026,420,910.47"
购买商品、接受劳务支付的现金,"12,383,842,605.52","4,508,872,842.95","9,479,108,430.30","2,445,713,741.71","5,261,321,976.53","8,196,671,896.65","11,672,546,940.20","12,304,512,775.11","24,559,260,052.51","35,136,328,117.31","48,880,354,146.29","9,844,131,592.74","20,686,807,043.12","31,877,687,157.28","40,058,432,745.64","8,486,800,680.35","18,511,320,856.05","28,172,691,060.06","39,558,879,265.46","9,882,093,772.18","25,386,163,356.10","37,353,958,670.79","46,884,807,199.29","10,729,434,603.01","23,416,946,109.18","37,021,654,650.86","49,203,193,603.18","10,170,554,231.26","18,925,523,611.66","26,195,248,606.62","35,348,598,193.60","6,008,620,156.96","17,694,569,119.61","24,415,696,858.07","34,459,353,662.20","6,637,979,415.69","14,971,075,911.79"
吸收投资收到的现金,"1,403,900,000.00",,"14,387,802,000.00",,"19,511,100.00","19,511,100.00","288,311,100.00","3,794,419.80",,,"82,300,000.00","139,561,933.18","115,500,000.00","146,850,000.00","236,448,029.51","77,342,721.89","100,650,000.00","100,650,000.00","501,648,579.11","8,319,999,999.80","8,324,260,460.80","7,919,999,999.80","8,125,999,999.80","11,600,000.00",,,"49,000,000.00","50,000,000.00","115,000,000.00","115,000,000.00","135,000,000.00",,"3,894,999,988.06","18,862,169,988.06","18,826,999,688.06",,
