科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"1,107,451,284.78","1,226,705,908.09","1,037,661,719.07","264,517,759.79","481,923,496.85","981,304,225.22","172,041,466.27","342,691,362.32","559,087,129.76","1,042,936,846.49","146,256,722.95","547,345,925.58"
取得子公司及其他营业单位支付的现金净额,,,,,,,"50,000,000.00","50,000,000.00","90,000,000.00",,,
收到的税费返还,"920,290.62","591,515.11","677,504.26","531,760.70","4,195,333.03","4,333,777.48","300,299.82","335,239.99","553,855.38","678,060.51","963,377.75","1,024,554.16"
支付其他与投资活动有关的现金,,,,,,,,,,,,
收到其他与经营活动有关的现金,"19,376,081.54","14,882,916.84","18,710,115.50","6,094,271.56","14,975,573.22","15,125,069.44","4,140,936.83","9,364,225.93","16,425,802.84","22,886,414.38","6,908,879.83","13,528,742.21"
投资活动现金流出小计,"2,303,635.32","52,594,125.57","4,243,361.68","435,543.70","1,234,308.70","2,223,063.97","50,762,178.37","213,929,937.37","274,059,262.37","178,787,558.78","3,251,855.55","10,475,979.05"
经营活动现金流入小计,"1,127,747,656.94","1,242,180,340.04","1,057,049,338.83","271,143,792.05","501,094,403.10","1,000,763,072.14","176,482,702.92","352,390,828.24","576,066,787.98","1,066,501,321.38","154,128,980.53","561,899,221.95"
投资活动产生的现金流量净额,"-2,968,417.22","-52,593,875.57","45,884,030.75","-435,543.70","-1,234,308.70","-2,223,063.97","-50,762,178.37","-181,097,710.42","-109,761,722.01","-178,787,558.78","-3,251,855.55","-10,475,979.05"
购买商品、接受劳务支付的现金,"867,055,889.69","930,174,078.63","731,081,423.91","381,515,842.13","588,135,347.09","762,868,122.23","288,921,615.89","415,468,181.60","546,888,882.31","891,722,774.98","199,035,182.17","371,499,574.27"
吸收投资收到的现金,,,,,"312,100,000.00","312,100,000.00",,,,,,"13,058,730.00"
支付给职工以及为职工支付的现金,"163,611,182.61","194,883,330.45","218,309,104.33","121,390,484.85","171,784,970.43","222,126,773.95","71,938,273.39","124,217,521.08","177,151,173.14","221,654,028.02","71,035,923.30","120,920,840.69"
取得借款收到的现金,"140,000,000.00","259,890,000.00","255,624,067.00","259,934,194.27","304,060,915.20","314,060,915.20","178,169,976.79","267,369,976.79","397,369,976.79","511,829,839.02","79,434,466.74","148,892,581.54"
支付的各项税费,"38,434,103.17","42,964,884.73","39,554,744.72","28,685,488.56","47,283,556.13","44,256,610.66","16,579,943.18","17,689,245.18","21,569,878.29","28,174,415.32","23,755,192.68","26,368,521.22"
收到其他与筹资活动有关的现金,,,,"163,350.00","163,350.00","163,350.00",,,,,,
支付其他与经营活动有关的现金,"50,458,945.27","43,455,353.36","45,099,202.77","22,310,156.22","45,336,199.71","48,330,279.31","18,534,779.45","34,736,156.43","62,336,418.47","63,479,164.84","18,033,661.43","37,151,495.67"
筹资活动现金流入小计,"140,000,000.00","259,890,000.00","255,624,067.00","260,097,544.27","616,324,265.20","626,324,265.20","178,169,976.79","267,369,976.79","397,369,976.79","511,829,839.02","79,434,466.74","161,951,311.54"
经营活动现金流出小计,"1,119,560,120.74","1,211,477,647.17","1,034,044,475.73","553,901,971.76","852,540,073.36","1,077,581,786.15","395,974,611.91","592,111,104.29","807,946,352.21","1,205,030,383.16","311,859,959.58","555,940,431.85"
偿还债务支付的现金,"125,109,000.00","228,890,000.00","221,734,226.73","105,000,000.00","145,000,000.00","318,060,915.20","50,999,976.79","65,934,194.27","155,999,976.79","262,829,839.02","99,434,466.74","159,434,466.74"
经营活动产生的现金流量净额,"8,187,536.20","30,702,692.87","23,004,863.10","-282,758,179.71","-351,445,670.26","-76,818,714.01","-219,491,908.99","-239,720,276.05","-231,879,564.23","-138,529,061.78","-157,730,979.05","5,958,790.10"
分配股利、利润或偿还利息支付的现金,"19,448,783.46","23,865,355.21","11,201,616.39","5,115,566.62","8,486,130.39","11,214,233.08","1,259,076.68","16,521,565.67","20,347,950.50","24,999,295.58","4,273,999.13","20,493,580.62"
